clause_text,clause_type
"Method of Payment. Subject to Section 8.01(c), distributions required to be made to Certificateholders on any Payment Date as provided in Section 5.01 shall be made to each Certificateholder of record on the preceding Record Date by wire transfer, in immediately available funds, to the account of such Holder at a bank or other entity having appropriate facilities therefor, if such Certificateholder shall have provided to the Certificate Registrar appropriate written instructions at least five Business Days prior to such Payment Date or, if not, by check mailed to such Certificateholder at the address of such Holder appearing in the Certificate Register.",method-of-payment
"Method of Payment. Payment of the aggregate Exercise Price shall be by any of the following, or a combination thereof, at the election of the Optionee:",method-of-payment
"Method of Payment. The Issuers shall pay interest on the Notes to the Persons who are registered holders at the close of business on the June 15 and December 15 (whether or not a Business Day) next preceding the Interest Payment Date even if Notes are canceled after the record date and on or before the Interest Payment Date. The holders must surrender Notes to a Paying Agent to collect principal payments. The Issuers shall pay principal, premium, if any, and interest in money of the United States of America that at the time of payment is legal tender for payment of public and private debts. Payments in respect of the Notes represented by a Global Note (including principal, premium, if any, and interest) shall be made by wire transfer of immediately available funds to the accounts specified by the Depository. The Issuers will make all payments in respect of a certificated Note (including principal, premium, if any, and interest), at the office of each Paying Agent, except that, at the option of the Issuers, payment of interest may be made by mailing a check to the registered address of each holder thereof; provided, however, that payments on the Notes may also be made by wire transfer to a U.S. dollar account maintained by the payee with a bank in the United States if such holder elects payment by wire transfer by giving written notice to the Trustee or a Paying Agent to such effect designating such account no later than 10 days immediately preceding the relevant due date for payment (or such other date as the Trustee may accept in its discretion).",method-of-payment
"Method of Payment. The Company shall pay interest on the Notes (except defaulted interest) to the Persons who are the registered Holders at the close of business on the Record Date immediately preceding the Interest Payment Date even if the Notes are cancelled on registration of transfer or registration of exchange after such Record Date. Holders must surrender Notes to a Paying Agent to collect principal payments. The Company shall pay principal and interest in money of the United States that at the time of payment is legal tender for payment of public and private debts (""U.S. Legal Tender""). However, the Company may pay principal and interest by its check payable in such U.S. Legal Tender. The Company may deliver any such interest payment to the Paying Agent or to a Holder at the Holder's registered address.",method-of-payment
"Method of Payment. The Company will pay interest on the Securities (except Defaulted Interest) to the Persons who are registered Holders of Securities at the close of business on the February 1 or August 1 next preceding the Interest Payment Date, even if such Securities are canceled after such record date and on or before such Interest Payment Date, except as provided in Section 2.11 of the Indenture with respect to Defaulted Interest. The Securities will be payable as to principal, premium, if any, and interest at the office or agency of the Paying Agent maintained for such purpose within the City and State of New York, or, at the option of the Company, payment of interest may be made by check mailed by such Paying Agent to the Holders at their addresses set forth in the register of Holders; provided that payment by wire transfer of immediately available funds will be required with respect to principal of and interest, and premium, if any, on all Global Securities and all other Securities, the Holders of which hold at least $5,000,000 aggregate principal amount of the Securities and have provided wire transfer instructions to the Company and the Paying Agent. Such payment will be in such coin or currency of the United States of America as at the time of payment is legal tender for payment of public and private debts. Holders must surrender their Securities to the Paying Agent to collect payments of principal and premium, if any.",method-of-payment
"Method of Payment. The Company will pay interest on the Notes (except defaulted interest) and Liquidated Damages, if any, to the Persons who are registered Holders of Notes at the close of business on the June 1 or December 1 next preceding the Interest Payment Date, even if such Notes are canceled after such record date and on or before such Interest Payment Date, except as provided in Section 2.12 of the Indenture with respect to defaulted interest. The Notes will be payable as to principal, premium and Liquidated Damages, if any, and interest at the office or agency of the Company maintained for such purpose within or without the City and State of New York, or, at the option of the Company, payment of interest and Liquidated Damages, if any, may be made by check mailed to the Holders at their addresses set forth in the register of Holders; provided that payment by wire transfer of immediately available funds will be required with respect to principal of and interest, premium and Liquidated Damages, if any, on, all Global Notes and all other Notes the Holders of which will have provided wire transfer instructions to the Company or the Paying Agent. Such payment will be in such coin or currency of the United States of America as at the time of payment is legal tender for payment of public and private debts.",method-of-payment
"Method of Payment. The Company will pay interest on the Notes (except defaulted interest) to the Persons who are registered Holders of Notes at the close of business on the record date next preceding the Interest Payment Date, even if such Notes are canceled after such record date and on or before such Interest Payment Date. The Company will pay principal and interest in money of the United States that at the time of payment is legal tender for payment of public and private debts. The Company, however, may pay principal, premium, if any, and interest by check payable in such money. It may mail an interest check to a Holder's registered address.",method-of-payment
"Method of Payment. The Issuers shall pay interest on the Notes (except defaulted interest) to the Persons who are registered Holders at the close of business on April 15 or October 15 next preceding the Interest Payment Date, even if such Notes are canceled after such record date and on or before such Interest Payment Date, except as provided in Section 2.12 of the Supplemental Indenture with respect to defaulted interest. The Notes will be payable as to principal, premium, if any, and interest at the office or agency of the Issuers maintained for such purpose within or without the City and State of New York, or, at the option of the Issuers, payment of interest may be made by check mailed to the Holders at their addresses set forth in the register of Holders, and provided that payment by wire transfer of immediately available funds will be required with respect to principal of and interest and premium on all Global Notes and all other Notes the Holders of which shall have provided wire transfer instructions to the Issuers or the Paying Agent. Such payment shall be in such coin or currency of the United States of America as at the time of payment is legal tender for payment of public and private debts.",method-of-payment
"Method of Payment. The Company will pay interest on the Securities (except defaulted interest) to the Persons who are registered holders of Securities at the close of business on the January 1 or July 1 next preceding the interest payment date even if Securities are canceled after the record date and on or before the interest payment date. Holders must surrender Securities to a Paying Agent to collect principal payments. The Company will pay principal and interest in money of the United States that at the time of payment is legal tender for payment of public and private debts. Payments in respect of the Securities represented by a Global Security (including principal, premium and interest) will be made by wire transfer of immediately available funds to the accounts specified by The Depository Trust Company. The Company will make all payments in respect of a certificated Security (including principal, premium and interest) by mailing a check to the registered address of each Holder thereof; provided, however, that payments on a certificated Security will be made by wire transfer to a U.S. dollar account maintained by the payee with a bank in the United States if such Holder elects payment by wire transfer by giving written notice to the Trustee or the Paying Agent to such effect designating such account no later than 30 days immediately preceding the relevant due date for payment (or such other date as the Trustee may accept in its discretion).",method-of-payment
"Method of Payment. All payments of the Obligations hereunder shall be made, without setoff, deduction, or counterclaim, in immediately available funds to the Administrative Agent at the Administrative Agent’s address specified pursuant to Article 13, or at any other Lending Installation of the Administrative Agent specified in writing by the Administrative Agent to the Borrower, by 12:00 noon on the date when due and shall (except for payments of Reimbursement Obligations for which the applicable LC Issuer has not received payments from the Lenders or as otherwise specifically required hereunder) be applied ratably by the Administrative Agent among the Lenders. Each payment delivered to the Administrative Agent for the account of any Lender shall be delivered promptly by the Administrative Agent to such Lender in the same type of funds that the Administrative Agent received at its address specified pursuant to Article 13 or at any Lending Installation specified in a notice received by the Administrative Agent from such Lender. The Administrative Agent is hereby authorized to charge any account of the Borrower maintained with Wells Fargo for each payment of principal, interest, Reimbursement Obligations and fees as it becomes due hereunder. Each reference to the Administrative Agent in this Section 2.11 shall also be deemed to refer, and shall apply equally, (i) to the Swingline Lender, in the case of payments required to be made by the Borrower to the Swingline Lender and (ii) to the applicable LC Issuer, in the case of payments required to be made by the Borrower to such LC Issuer.",method-of-payment
