clause_text,clause_type
Miscellaneous Provisions. The following miscellaneous provisions are a part of this Agreement:,miscellaneous-provisions
Miscellaneous Provisions. Section 10.01 Amendment................................................. Section 10.02 Recordation of Agreement.................................. Section 10.03 Limitation on Rights of Certificateholders................ Section 10.04 Governing Law; Jurisdiction............................... Section 10.05 Notices................................................... Section 10.06 Severability of Provisions................................ Section 10.07 Special Notices to Rating Agencies........................ Section 10.08 Covenant of Seller........................................ Section 10.09 Recharacterization........................................,miscellaneous-provisions
Miscellaneous Provisions. Section 13.01 Amendment 431 Section 13.02 Recordation of Agreement; Counterparts 436 Section 13.03 Limitation on Rights of Certificateholders and RR Interest Owner 436 Section 13.04 Governing Law; Submission to Jurisdiction; Waiver of Jury Trial 437 Section 13.05 Notices 438 Section 13.06 Severability of Provisions 445 Section 13.07 Grant of a Security Interest 445 Section 13.08 Successors and Assigns; Third Party Beneficiaries 446 Section 13.09 Article and Section Headings 446 Section 13.10 Notices to the Rating Agencies 446 Section 13.11 Cooperation with the Mortgage Loan Sellers with Respect to Rights Under the Loan Agreements 448 Exhibit A-1 Form of Class A-1 Certificate Exhibit A-2 Form of Class A-4 Certificate Exhibit A-3 Form of Class A-5 Certificate Exhibit A-4 Form of Class A-AB Certificate Exhibit A-5 Form of Class X-A Certificate Exhibit A-6 Form of Class A-S Certificate Exhibit A-7 Form of Class B Certificate Exhibit A-8 Form of Class C Certificate Exhibit A-9 Form of Class D Certificate Exhibit A-10 Form of Class E Certificate Exhibit A-11 Form of Class X-E Certificate Exhibit A-12 Form of Class F Certificate Exhibit A-13 Form of Class X-F Certificate Exhibit A-14 Form of Class G Certificate Exhibit A-15 Form of Class X-G Certificate Exhibit A-16 Form of Class H Certificate Exhibit A-17 Form of Class RR Certificate Exhibit A-18 Form of Class R Certificate Exhibit B Mortgage Loan Schedule Exhibit C Form of Investment Representation Letter Exhibit D-1 Form of Transferee Affidavit Exhibit D-2 Form of Transferor Letter Exhibit D-3 Form of Transferee Certificate for Transfers of the RR Interest Exhibit D-4 Form of Transferor Certificate for Transfers of the RR Interest Exhibit D-5 Form of Transferee Certificate for Transfers of the Class RR Certificates Exhibit D-6 Form of Transferor Certificate for Transfers of the Class RR Certificates Exhibit D-7 Form of Request of Retaining Sponsor Consent for Release of the Class RR Certificates Exhibit E Form of Request for Release Exhibit F-1 Form of ERISA Representation Letter regarding ERISA Restricted Certificates Exhibit F-2 Form of ERISA Representation Letter regarding [Class R Certificates][Class RR Certificates][the RR Interest] Exhibit G Form of Distribution Date Statement Exhibit H [Reserved] Exhibit I Form of Transfer Certificate for Rule 144A Book-Entry Certificate to Temporary Regulation S Book-Entry Certificate during Restricted Period Exhibit J Form of Transfer Certificate for Rule 144A Book-En...,miscellaneous-provisions
"Miscellaneous Provisions. Section 6.01. Any notice or request required or permitted to be given or made under this Agreement and any agreement between the parties contemplated by this Agreement shall be in writing. Such notice or request shall be deemed to have been duly given or made when it shall be delivered by hand or by mail, telegram, cable, telex, or radiogram to the party to which it is required or permitted to be given or made at such party's address hereinafter specified or at such other address as such party shall have designated by notice to the party giving such notice or making such request. The addresses so specified are: For the Association: International Development Association 1818 H Street, N.W. Washington, D.C. 20433 United States of America Cable address: Telex: INDEVAS 248423 (MCI) or Washington, DC 64145 (MCI) For Twitezimbere: B.P. 2415 Bujumbura Burundi",miscellaneous-provisions
Miscellaneous Provisions. Section 11.01,miscellaneous-provisions
"Miscellaneous Provisions. SECTION 11.01. Amendment..........................................................................-146- SECTION 11.02. Recordation of Agreement; Counterparts.............................................-147- SECTION 11.03. Limitation on Rights of Certificateholders.........................................-147- SECTION 11.04. Governing Law......................................................................-148- SECTION 11.05. Notices............................................................................-148- SECTION 11.06. Severability of Provisions.........................................................-149- SECTION 11.07. Notice to Rating Agencies..........................................................-149- SECTION 11.08. Article and Section References.....................................................-150- SECTION 11.09. Grant of Security Interest.........................................................-150- SECTION 11.10. Third Party Rights.................................................................-151- EXHIBITS Exhibit A-1 Form of Class A-1 Certificate Exhibit A-2 Form of Class A-2 Certificate Exhibit A-3 Form of Class A-3 Certificate Exhibit A-4 Form of Class M-1 Certificate Exhibit A-5 Form of Class M-2 Certificate Exhibit A-6 Form of Class M-3 Certificate Exhibit A-7 Form of Class M-4 Certificate Exhibit A-8 Form of Class M-5 Certificate Exhibit A-9 Form of Class M-6 Certificate Exhibit A-10 Form of Class M-7 Certificate Exhibit A-11 Form of Class CE Certificate Exhibit A-12 Form of Class P Certificate Exhibit A-13 Form of Class R Certificate Exhibit B [Reserved] Exhibit C-1 Form of Trustee's Initial Certification Exhibit C-2 Form of Trustee's Final Certification Exhibit C-3 Form of Trustee's Receipt of Mortgage Notes Exhibit D Form of Mortgage Loan Purchase Agreement Exhibit E Request for Release Exhibit F-1 Form of Transferor Representation Letter and Form of Transferee Representation Letter in Connection with Transfer of the Class CE Certificates, Class P Certificates or Residual Certificates Pursuant to Rule 144A Under the 1933 Act Exhibit F-2 Form of Transfer Affidavit and Agreement and Form of Transferor Affidavit in Connection with Transfer of Residual Certificates Exhibit G Form of Certification with respect to ERISA and the Code Exhibit H Form of Report Pursuant to Section 4.06 Exhibit I Form of Lost Note Affidavit Exhibit J-1 Form of Certification to Be Provided by the Master Servicer with Form 10-K Exhibit J-2 Form of Ce...",miscellaneous-provisions
Miscellaneous Provisions. Section 13.01 Amendment 439 Section 13.02 Recordation of Agreement; Counterparts 443 Section 13.03 Limitation on Rights of Certificateholders 443 Section 13.04 Governing Law; Submission to Jurisdiction; Waiver of Jury Trial 444 Section 13.05 Notices 445 Section 13.06 Severability of Provisions 451 Section 13.07 Grant of a Security Interest 451 Section 13.08 Successors and Assigns; Third Party Beneficiaries 452 Section 13.09 Article and Section Headings 452 Section 13.10 Notices to the Rating Agencies 452 EXHIBIT A-1 Form of Certificate (other than Class V and Class R Certificates) EXHIBIT A-2 Form of Class V Certificate EXHIBIT A-3 Form of Class R Certificate EXHIBIT A-4 [RESERVED] EXHIBIT B Mortgage Loan Schedule EXHIBIT C Form of Investment Representation Letter EXHIBIT D-1 Form of Transferee Affidavit for Transfers of Class R Certificates EXHIBIT D-2 Form of Transferor Letter for Transfers of Class R Certificates EXHIBIT D-3 [RESERVED] EXHIBIT D-4 [RESERVED] EXHIBIT D-5 [RESERVED] EXHIBIT E Form of Request for Release EXHIBIT F-1 Form of ERISA Representation Letter regarding ERISA Restricted Certificates EXHIBIT F-2 Form of ERISA Representation Letter regarding Class V Certificates and Class R Certificates EXHIBIT G Form of Distribution Date Statement EXHIBIT H Form of Omnibus Assignment EXHIBIT I Form of Transfer Certificate for Rule 144A Book-Entry Certificate to Temporary Regulation S Book-Entry Certificate during Restricted Period EXHIBIT J Form of Transfer Certificate for Rule 144A Book-Entry Certificate to Regulation S Book-Entry Certificate after Restricted Period EXHIBIT K Form of Transfer Certificate for Temporary Regulation S Book-Entry Certificate to Rule 144A Book-Entry Certificate during Restricted Period EXHIBIT L Form of Transfer Certificate for Temporary Regulation S Book-Entry Certificate to Regulation S Book-Entry Certificate after Restricted Period EXHIBIT M Form of Transfer Certificate for Non-Book Entry Certificate to Temporary Regulation S Book-Entry Certificate EXHIBIT N Form of Transfer Certificate for Non-Book Entry Certificate to Regulation S Book-Entry Certificate EXHIBIT O Form of Transfer Certificate for Non-Book Entry Certificate to Rule 144A Book-Entry Certificate EXHIBIT P-1A Form of Investor Certification for Non-Borrower Party and/or Risk Retention Consultation Party (for Persons other than the Directing Certificateholder and/or a Controlling Class Certificateholder) EXHIBIT P-1B Form of Investor Certification for Non-B...,miscellaneous-provisions
Miscellaneous Provisions. Section 9.01.,miscellaneous-provisions
Miscellaneous Provisions. Section 2.01.,miscellaneous-provisions
Miscellaneous Provisions. Section 9.01,miscellaneous-provisions
