clause_text,clause_type
"Miscellaneous a. A Person is deemed to be a holder of Registrable Securities whenever such Person owns or is deemed to own of record such Registrable Securities. If the Company receives conflicting instructions, notices or elections from two or more Persons with respect to the same Registrable Securities, the Company shall act upon the basis of instructions, notice or election received from the registered owner of such Registrable Securities.",miscellaneous
"Miscellaneous. The captions in this Agreement are included for convenience of reference only and in no way define or delimit any of the provisions hereof or otherwise affect their construction or effect. If any provision of this Agreement shall be held or made invalid by a court decision, statute, rule or otherwise, the remainder of this Agreement shall not be affected thereby. This Agreement shall be binding on, and shall inure to the benefit of the parties hereto and their respective successors.",miscellaneous
"Miscellaneous. (a) The Company and the Trustee each acknowledge that the Trustee will follow the security procedures set forth below with respect to funds transferred from the Trust Account. The Company and the Trustee will each restrict access to confidential information relating to such security procedures to authorized persons. Each party must notify the other party immediately if it has reason to believe unauthorized persons may have obtained access to such confidential information, or of any change in its authorized personnel. In executing funds transfers, the Trustee shall rely upon all information supplied to it by the Company, including, account names, account numbers, and all other identifying information relating to a Beneficiary, Beneficiary’s bank or intermediary bank. Except for any liability arising out of the Trustee’s gross negligence, fraud or willful misconduct, the Trustee shall not be liable for any loss, liability or expense resulting from any error in the information or transmission of the funds.",miscellaneous
Miscellaneous. Use of the masculine pronoun shall be deemed to include usage of the feminine pronoun where appropriate. The headings of the paragraphs of this Agreement are inserted for convenience only and shall not be deemed to constitute part of this Agreement or to affect the construction thereof.,miscellaneous
"Miscellaneous. (a) This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without reference to principles of conflict of laws. The captions of this Agreement are not part of the provisions hereof and shall have no force or effect. This Agreement may not be amended or modified otherwise than by a written agreement executed by the parties hereto or their respective successors and legal representatives.",miscellaneous
Miscellaneous. The Vendor acknowledges and agrees that continued participation in TIPS is subject to TIPS sole discretion and that any Vendor may be removed from the participation in the Program at any time with or without cause. Nothing in the Agreement or in any other communication between TIPS and the Vendor may be construed as a guarantee that TIPS or TIPS Members will submit any orders at any time. TIPS reserves the right to request additional proposals for items or services already on Agreement at any time.,miscellaneous
Miscellaneous. 8.1 The captions in this Agreement are included for convenience of reference only and in no way define or delineate any of the provisions hereof or otherwise affect their construction or effect.,miscellaneous
"Miscellaneous. (a) The captions in this Agreement are included for convenience of reference only and in no way define or limit any of the provisions hereof or otherwise affect their construction or effect. This Agreement may be executed simultaneously in two or more counterparts, each of which will be deemed an original, but all of which together will constitute one and the same instrument.",miscellaneous
"Miscellaneous. No provision of this Agreement may be waived, modified or discharged unless such waiver, modification or discharge is agreed to in writing signed by Indemnitee and the Company. No waiver by either party hereto at any time of any breach by the other party hereto or compliance with any condition or provision of this Agreement to be performed by such other party shall be deemed a waiver of similar or dissimilar provisions or conditions at the same or at any prior or subsequent time. No agreements or representations, oral or otherwise, expressed or implied with respect to the subject matter hereof have been made by either party that are not set forth expressly in this Agreement.",miscellaneous
"Miscellaneous. This Agreement and the rights and obligations of the parties under this Agreement will be governed, construed, interpreted and enforced in accordance with the laws of the State of Michigan, without regard to its conflict of laws principles. To the extent permitted under applicable law, any and all actions concerning any dispute arising under this Agreement shall be filed and maintained in the Circuit Court of Kent County, Michigan or the Federal District Court for the Western District of Michigan. The parties specifically consent and submit to the jurisdiction and venue of such state or federal court, and irrevocably waive any objections any party may have based on improper venue or forum non conveniens to the conducting of any proceeding in any such court. This Agreement shall be binding upon and inure to the benefit of the parties and their respective successors and lawful assigns. Each party agrees to cause any purchaser or assignee of its intellectual property subject to this Agreement or a successor to its business to expressly agree to be bound by the provisions of this Agreement and to deliver to the other party an executed instrument, which will be in a form reasonably satisfactory to the other party, evidencing the purchaser's or assignee's agreement to be so bound no later than the date of consummation of the applicable transaction. This Agreement cannot be amended, altered, supplemented or modified, unless done so in a writing, signed by a duly authorized representative of the party against whom such modification is sought to be enforced. No provision of this Agreement shall be waived by any party, unless such waiver is in a writing, signed by a duly authorized representative of the party against whom such waiver is sought to be enforced. A waiver by either party of any breach or failure to comply with any provision of this Agreement by the other party shall not be construed as or constitute a continuing waiver of such provision or a waiver of any other breach of or failure to comply with any other provision of this Agreement. If any portion of this Agreement is found to be invalid or unenforceable for any reason, any court or other tribunal adjudicating the rights and duties of the parties under this Agreement shall alter, modify, or strike portions of the Agreement so that it will be enforceable to the fullest extent permitted by law and consistent with the intent and purpose of the parties. If any provision of this Agreement is held, in whole...",miscellaneous
"Miscellaneous. 12.1 All persons dealing with the Fund must look solely to the property of the Fund for the enforcement of any claims against the Fund as neither the Board, officers, agents or shareholders assume any personal liability for obligations entered into on behalf of the Fund.",miscellaneous
"Miscellaneous. Section 5.01 This Supplemental Indenture and the Notes shall be governed by and construed in accordance with the laws of the State of New York, without regard to principles of conflicts of laws that would cause the application of laws of another jurisdiction. This Supplemental Indenture is subject to the provisions of the Trust Indenture Act that are required to be part of the Indenture and shall, to the extent applicable, be governed by such provisions.",miscellaneous
"Miscellaneous. Neither this Agreement nor any term or provision hereof may be changed, waived, discharged or terminated except by a writing signed by a duly authorized officer of the party against whom enforcement of such change, waiver, discharge or termination is sought to be enforced. This Agreement may be executed in any number of counterparts, each of which shall for all purposes be deemed to be an original and all of which shall together constitute but one and the same instrument. Delivery of an executed counterpart of a signature page of this Agreement in Portable Document Format (PDF) or by facsimile transmission shall be as effective as delivery of a manually executed original counterpart of this Agreement. This Agreement will inure to the benefit of and be binding upon the parties hereto and their respective successors and assigns, and no other person will have any right or obligation hereunder. The Mortgage Loan Seller shall be an express third party beneficiary to the Pooling and Servicing Agreement to the extent set forth therein.",miscellaneous
"Miscellaneous. (a) No course of dealing between the Company and the Secured Party, nor any failure to exercise, nor any delay in exercising, on the part of the Secured Party, any right, power or privilege hereunder or under the Notes shall operate as a waiver thereof; nor shall any single or partial exercise of any right, power or privilege hereunder or thereunder preclude any other or further exercise thereof or the exercise of any other right, power or privilege.",miscellaneous
