clause_text,clause_type
"Modification and Waiver. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by the parties hereto. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provisions of this Agreement nor shall any waiver constitute a continuing waiver.",modification-and-waiver
"Modification and Waiver. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by both of the parties hereto. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provisions hereof (whether or not similar) nor, unless otherwise expressly stated, shall such waiver constitute a continuing waiver.",modification-and-waiver
Modification and Waiver. (a) This Agreement may not be modified or amended except by an instrument in writing signed by the parties hereto.,modification-and-waiver
"Modification and Waiver. This Warrant and any provision hereof may be changed, waived, discharged or terminated only by an instrument in writing signed by the party against which enforcement of the same is sought.",modification-and-waiver
"Modification and Waiver. No supplement, modification or amendment to this Agreement shall be binding unless executed in writing by the parties hereto. No amendment, alteration or repeal of this Agreement shall adversely affect any right of Indemnitee under this Agreement in respect of any action taken or omitted by such Indemnitee in his or her Corporate Status prior to such amendment, alteration or repeal. No waiver of any of the provisions of this Agreement shall constitute or be deemed a waiver of any other provision of this Agreement nor shall any waiver constitute a continuing waiver.",modification-and-waiver
"Modification and Waiver. No provision of this Agreement may be amended or modified unless such amendment or modification is agreed to in writing and signed by the Executive and the Company. No waiver by either of the parties of any breach by the other party hereto of any condition or provision of this Agreement to be performed by the other party hereto shall be deemed a waiver of any similar or dissimilar provision or condition at the same or any prior or subsequent time, nor shall the failure of or delay by either of the parties in exercising any right, power or privilege hereunder operate as a waiver thereof to preclude any other or further exercise thereof or the exercise of any other such right, power or privilege.",modification-and-waiver
"Modification and Waiver. Except as otherwise provided below, no provision of this Agreement may be modified, waived, or discharged unless such waiver, modification or discharge is duly approved by the Board and is agreed to in writing by the Employee and such officer(s) as may be specifically authorized by the Board to effect it. No waiver by any party of any breach by any other party of, or of compliance with, any term or condition of this Agreement to be performed by any other party, at any time, will constitute a waiver of similar or dissimilar terms or conditions at that time or at any prior or subsequent time.",modification-and-waiver
"Modification and Waiver. This Agreement may not be modified or amended except by an instrument in writing signed by the parties hereto. No term or condition of this Agreement shall be deemed to have been waived, nor shall there be any estoppel against the enforcement of any provision of this Agreement except by written instrument signed by the party charged with such waiver or estoppel. No such written waiver shall be deemed a continuing waiver unless specifically stated therein, and each such waiver shall operate only as to the specific term or condition waived and shall not constitute a waiver of such term or condition for the future or as to any act other than that specifically waived.",modification-and-waiver
"Modification and Waiver. This Agreement may be amended from time to time to reflect changes in Delaware law or for other reasons. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by both of the parties hereto. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provision hereof nor shall any such waiver constitute a continuing waiver.",modification-and-waiver
Modification and Waiver. Any of the terms or conditions of this Agreement may be waived in writing at any time by the party which is entitled to the benefits thereof. No waiver of any of the provisions of this Agreement shall be deemed to or shall constitute a waiver of any other provision hereof (whether or not similar).,modification-and-waiver
"Modification and Waiver. No supplement, modification or amendment of this Agreement shall be binding unless executed in a writing identified as such by all of the parties hereto. Except as otherwise expressly provided herein, the rights of a party hereunder (including the right to enforce the obligations hereunder of the other parties) may be waived only with the written consent of such party, and no waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provisions hereof (whether or not similar) nor shall such waiver constitute a continuing waiver.",modification-and-waiver
"Modification and Waiver. This Agreement supersedes any existing or prior agreement between the Fund and the Board Member pertaining to the subject matter of indemnification, advancement of Expenses and insurance. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by both parties or their respective successors or legal representatives. Any waiver by either party of any breach by the other party of any provision contained in this Agreement to be performed by the other party must be in writing and signed by the waiving party or such party’s successor or legal representative, and no such waiver shall be deemed a waiver of similar or other provisions at the same or any prior or subsequent time.",modification-and-waiver
"Modification and Waiver. Except as provided in the Plan with respect to determinations of the Board or the Committee and subject to the Board’s right to amend the Plan, neither this Agreement nor any provision hereof can be changed, modified, amended, discharged, terminated or waived orally or by any course of dealing or purported course of dealing, but only by an agreement in writing signed by you and Capital One; provided, that changes, modifications and amendments not detrimental to you may be made in writing signed only by Capital One. No such agreement shall extend to or affect any provision of this Agreement not expressly changed, modified, amended, discharged, terminated or waived or impair any right consequent on such a provision. The waiver of or failure to enforce any breach of this Agreement shall not be deemed to be a waiver or acquiescence in any other breach thereof.",modification-and-waiver
"Modification and Waiver. No provisions of this Agreement may be modified, waived or discharged unless such waiver, modification or discharge is agreed to in writing signed by the Executive and the Chief Executive Officer or the President of the Company. No waiver by either party hereto at any time of any breach by the other party hereto of, or compliance with, any condition or provision of this Agreement to be performed by such other party shall be deemed a waiver of similar or dissimilar provisions or conditions at the same or at any prior or subsequent time. No agreements or representations, oral or otherwise, express or implied, with respect to the subject matter hereof have been made by either party which are not set forth expressly in this Agreement. The validity, interpretation, construction and performance of this Agreement shall be governed by the laws of the State of California without regard to its conflicts of law principles.",modification-and-waiver
"Modification and Waiver. This Warrant and any provision hereof may be amended, waived, discharged or terminated only by an instrument in writing signed by the Company and the Holder.",modification-and-waiver
"Modification and Waiver. Any of the terms or conditions of this Agreement may be waived in writing at any time by the party which is entitled to the benefits thereof, and this Agreement may be modified or amended by a written instrument executed by all parties hereto. No supplement, modification, or amendment of this Agreement shall be binding unless executed in writing by all parties. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provision hereof (whether or not similar) nor shall such waiver constitute a continuing waiver.",modification-and-waiver
"Modification and Waiver. This Agreement constitutes the agreement between the parties pertaining to the subject matter contained in it and supersedes all prior and contemporaneous agreements, representations, and understandings of the parties. No supplement, modification, or amendment for this Agreement shall be binding unless executed in writing by all the parties. No Waiver of any of the provisions of this Agreement shall be deemed, or shall constitute, a Waiver of any other provisions, whether or not similar, nor shall any Waiver constitute a continuing Waiver. No Waiver shall be binding unless executed in writing by the party making the Waiver.",modification-and-waiver
"Modification and Waiver. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by each of the parties hereto.",modification-and-waiver
Modification and Waiver. A modification or waiver of any of the provisions of this Agreement shall be effective only if made in writing and executed with the same formality as this Agreement. The failure of any party to insist upon strict performance of any of the provisions of this Agreement shall not be construed as a waiver of any subsequent default of the same or similar nature or of any other nature.,modification-and-waiver
"Modification and Waiver. No modification, amendment or waiver of any of the provisions of this Agreement shall be effective unless in writing and signed by the party against which the same is sought to be enforced. No waiver by either party at any time of any breach by the party of, or compliance with, any condition or provision of this Agreement to be performed by the other party shall be deemed a waiver of similar or dissimilar provisions or conditions at the same time or at any prior or subsequent time.",modification-and-waiver
Modification and Waiver. This Agreement may not be altered or modified except by writing signed by each of the respective parties hereof. No breach or violation of this Agreement shall be waived except in writing executed by the party granting such waiver.,modification-and-waiver
"Modification and Waiver. No modification or waiver of any provision of this Agreement shall in any event be effected unless the same shall be in writing and signed by the party adversely affected by the waiver or modification, and then such waiver and consent shall be effective only in the specific instance and for the purpose for which given.",modification-and-waiver
"Modification and Waiver. This Warrant and any provisions hereof may be changed, waived, discharged or terminated only by an instrument in writing signed by the party against which enforcement of the same is sought. Any amendment effected in accordance with this paragraph shall be binding upon the Purchaser, each future holder of this Warrant and the Company. No waivers of, or exceptions to, any term, condition or provision of this Warrant, in any one or more instances, shall be deemed to be, or construed as, a further or continuing waiver of any such term, condition or provision.",modification-and-waiver
"Modification and Waiver. The Trustee may agree, without the consent of the Bondholders, to (i) any modification of any of the provisions of the Trust Deed, any trust deed supplemental to the Trust Deed, the Agency Agreement, any agreement supplemental to the Agency Agreement, the Bonds or these Conditions which in the Trustee’s opinion is of a formal, minor or technical nature or is made to correct a manifest error or to comply with mandatory provisions of law, and (ii) any other modification to the Trust Deed, any trust deed supplemental to the Trust Deed, the Agency Agreement, any agreement supplemental to the Agency Agreement, the Bonds or these Conditions (except as mentioned in the Trust Deed), and any waiver or authorisation of any breach or proposed breach, of any of the provisions of the Trust Deed, any trust deed supplemental to the Trust Deed, the Agency Agreement, any agreement supplemental to the Agency Agreement, the Bonds or these Conditions which is, in the opinion of the Trustee, not materially prejudicial to the interests of the Bondholders. The Trustee may, without the consent of the Bondholders, determine that any Event of Default should not be treated as such, provided that in the opinion of the Trustee, the interests of Bondholders will not be materially prejudiced thereby. Any such modification, authorisation, waiver or determination shall be binding on the Bondholders and, if the Trustee so requires, shall be notified to the Bondholders promptly in accordance with Section 15.7.",modification-and-waiver
"Modification and Waiver. Any term or condition of this Agreement may be waived at any time by the party hereto that is entitled to the benefit thereof; provided, however, that any such waiver shall be in writing and signed by the waiving party, and no such waiver of any breach or default hereunder is to be implied from the omission of the other party to take any action on account thereof. A waiver on one occasion shall not be deemed to be a waiver of the same or of any other breach on a future occasion. This Agreement may be modified or amended only by a writing signed by both parties hereto.",modification-and-waiver
"Modification and Waiver. This Agreement may not be amended or modified in any manner, except by an instrument in writing signed by each of the parties hereto. The failure of any party to enforce at any time any of the provisions of this Agreement shall in no way be construed to be a waiver of any such provision, or in any way affect the right of such party thereafter to enforce each and every such provision. No waiver of any breach of this Agreement shall be deemed to be a waiver of any other or subsequent breach.",modification-and-waiver
Modification and Waiver. (a) This Agreement may not be modified or amended except as agreed to in writing by the parties hereto.,modification-and-waiver
"Modification and Waiver. This Agreement shall not be canceled, rescinded or revoked, nor may any provision of this Agreement be modified, waived or discharged unless the cancellation, rescission, revocation, modification, waiver or discharge is agreed to in writing and signed by Executive and by the President or Chairman of the Board of the Company. No waiver by either party of any breach of, or of compliance with, any condition or provision of this Agreement by the other party shall be considered a waiver of any other condition or provision or of the same condition or provision at another time.",modification-and-waiver
"Modification and Waiver. The Indenture permits, with certain exceptions as therein provided, the amendment thereof and the modification of the rights and obligations of the Company and the rights of the Holders of the Securities of each series to be affected under the Indenture at any time by the Company and the Trustee with the consent of the holders of a Majority in principal amount of the Outstanding Securities of each series to be affected. The Indenture also contains provisions permitting the Holders of specified percentages in principal amount of the Outstanding Securities of each series, on behalf of the Holders of all Outstanding Securities of such series, to waive compliance by the Company with certain provisions of the Indenture and certain past defaults under the Indenture and their consequences. Any such consent or waiver by the Holder of this Security shall be conclusive and binding upon such Holder and upon all future Holders of this Security and of any Security issued upon the registration of transfer hereof or in exchange or in lieu hereof, whether or not notation of such consent or waiver is made upon this Security. No reference herein to the Indenture and no provision of this Security or of the Indenture shall alter or impair the obligation of the Company, which is absolute and unconditional, to pay the amount of principal of (and premium, if any, on) and interest on this Security herein provided, and at the times, place and rate, and in the coin or currency, herein prescribed.",modification-and-waiver
"Modification and Waiver. This Agreement may not be changed or terminated orally, nor shall any change, termination or attempted waiver of any of the provisions contained in this Agreement be binding unless in writing and signed by the party against whom the same is sought to be enforced, nor shall this section itself by waived verbally. This Agreement may be amended only by a written instrument duly executed by or on behalf of the parties hereto.",modification-and-waiver
"Modification and Waiver. No modification to this Agreement, nor any waiver of any rights, will be effective unless assented to in writing by the party to be charged, and the waiver of any breach or default shall not constitute a waiver of any other right hereunder or any subsequent breach or default.",modification-and-waiver
Modification and Waiver. No modification of this Agreement or any Schedule or Addendum and no waiver of any breach of this Agreement shall be effective unless in writing and signed by an authorized representative of the party against whom enforcement is sought. No waiver of any breach of this Agreement and no course of dealing between the parties shall be construed as a waiver of any subsequent breach of this Agreement. The failure of either party at any time or times to require performance of any provision hereof shall in no manner affect the right at a later time to enforce such provision.,modification-and-waiver
"Modification and Waiver. No purported amendment, modification or waiver of any provision hereof shall be binding unless set forth in a written document signed by all parties (in the case of amendments or modifications) or by the party to be charged thereby (in the case of waivers). Any waiver shall be limited to the circumstance or event specifically referenced in the written waiver document and shall not be deemed a waiver of any other term hereof or of the same circumstance or event upon any recurrence thereof.",modification-and-waiver
