clause_text,clause_type
"Modifications. This Agreement shall not be modified, cancelled or terminated except by an instrument in writing signed by each Note Holder. Additionally, for as long as any Note is contained in a Securitization Trust, the Note Holders shall not amend or modify this Agreement without first receiving a written confirmation from each Rating Agency that such amendment or modification will not result in a qualification, withdrawal or downgrade of its then current ratings of the securities issued in connection with a Securitization; provided that no such confirmation from the Rating Agencies shall be required in connection with a modification (i) to cure any ambiguity, to correct or supplement any provisions herein that may be defective or inconsistent with any other provisions herein or with the Lead Securitization Servicing Agreement, or (ii) to make other provisions with respect to matters or questions arising under this Agreement, which shall not be inconsistent with the provisions of this Agreement.",modifications
"Modifications. This Agreement shall not be modified, cancelled or terminated except by an instrument in writing signed by the parties hereto. Additionally, from and after a Securitization, except to cure any ambiguity or to correct any error or as set forth in Section 18(a), this Agreement may not be modified unless a Rating Agency Confirmation has been delivered with respect to each Securitization.",modifications
"Modifications. Custodian reserves the right to modify the Software from time to time and the Fund shall install new releases of the Software as Custodian may direct. The Fund agrees not to modify or attempt to modify the Software without Custodian's prior written consent. The Fund acknowledges that any modifications to the Software, whether by the Fund or Custodian and whether with or without Custodian's consent, shall become the property of Custodian.",modifications
Modifications. No modification hereof or any agreement referred to herein shall be binding or enforceable unless in writing and signed on behalf of the party against whom enforcement is sought.,modifications
"Modifications. No change, modification or waiver of any provision of this Agreement shall be valid unless the same be in writing and signed by the parties hereto.",modifications
"Modifications. Any renewal, extension, increase, modification, alteration or rearrangement of all or any part of the Guaranteed Obligations, Note, Loan Documents, or other document, instrument, contract or understanding between Borrower and Lender, or any other parties, pertaining to the Guaranteed Obligations or any failure of Lender to notify Guarantor of any such action.",modifications
"Modifications. This Agreement may not be amended, modified or changed (in whole or in part), except by a formal, definitive written agreement expressly referring to this Agreement, which agreement is executed by both of the parties hereto.",modifications
"Modifications. Each Guarantor agrees that (a) all or any part of the security now or hereafter held for the Credit Party Obligations, if any, may be exchanged, compromised or surrendered from time to time; (b) the Lenders shall not have any obligation to protect, perfect, secure or insure any such security interests, liens or encumbrances now or hereafter held, if any, for the Credit Party Obligations or the properties subject thereto; (c) the time or place of payment of the Credit Party Obligations may be changed or extended, in whole or in part, to a time certain or otherwise, and may be renewed or accelerated, in whole or in part; (d) the Borrower and any other party liable for payment under the Credit Documents may be granted indulgences generally; (e) any of the provisions of the Notes or any of the other Credit Documents may be modified, amended or waived; (f) any party (including any co-guarantor) liable for the payment thereof may be granted indulgences or be released; and (g) any deposit balance for the credit of the Borrower or any other party liable for the payment of the Credit Party Obligations or liable upon any security therefor may be released, in whole or in part, at, before or after the stated, extended or accelerated maturity of the Credit Party Obligations, all without notice to or further assent by such Guarantor, which shall remain bound thereon, notwithstanding any such exchange, compromise, surrender, extension, renewal, acceleration, modification, indulgence or release.",modifications
Modifications. Any modification of this Agreement shall be effective only if it is in writing and signed by each party or such party's authorized representative.,modifications
"Modifications. Entire Agreement. A modification of this contract is not valid unless signed by both parties and otherwise in accordance with requirements of law. Further, a modification is not enforceable against the City unless it is signed by the City Manager, a deputy or assistant City Manager, or, in limited circumstances, a City department director. This contract contains the entire agreement between the parties pertaining to the subject matter of this contract. With respect to that subject matter, there are no promises, agreements, conditions, inducements, warranties, or understandings, written or oral, expressed or implied, between the parties, other than as set forth or referenced in this contract.",modifications
