clause_text,clause_type
"Name. The name of the Partnership is Digital Realty Trust, L.P. The Partnership’s business may be conducted under any other name or names deemed advisable by the General Partner, including the name of the General Partner or any Affiliate thereof. The words “Limited Partnership,” “L.P.,” “Ltd.” or similar words or letters shall be included in the Partnership’s name where necessary for the purposes of complying with the laws of any jurisdiction that so requires. The General Partner in its sole and absolute discretion may change the name of the Partnership at any time and from time to time and shall notify the Limited Partners of such change in the next regular communication to the Limited Partners.",name
Name. (a) Full Legal Name of Selling Stockholder,name
Name. (a) Full Legal Name of Selling Securityholder,name
"Name. The Trust created and governed by the Trust Agreement shall be the trust specified in the Omnibus Instrument. The name of the Trust shall be the name specified in the first paragraph of the Omnibus Instrument, as such name may be modified from time to time by the Trustee following written notice to the Trust Beneficial Owner.",name
"Name. The name of the Partnership shall be “Enable Midstream Partners, LP”. Subject to applicable law, the Partnership’s business may be conducted under any other name or names as determined by the General Partner, including the name of the General Partner. The words “Limited Partnership,” “L.P.,” “Ltd.” or similar words or letters shall be included in the Partnership’s name where necessary for the purpose of complying with the laws of any jurisdiction that so requires. The General Partner may change the name of the Partnership at any time and from time to time and shall notify the Limited Partners of such change in the next regular communication to the Limited Partners.",name
"Name. The Trust continued hereby shall be known as “Schwab Capital Trust ,” as such name may be modified from time to time by the Administrative Trustees following written notice to the Holders of Trust Securities and the other Trustees, in which name the Trustees may conduct the business of the Trust, make and execute contracts and other instruments on behalf of the Trust and sue and be sued.",name
"Name. The name of the Trust is the American Beacon Apollo Total Return Fund and the Trustees shall conduct the business of the Trust under that name or any other name as they may from time to time determine. The Trustees may, without Shareholder approval, change the name of the Trust or any Series or Class and adopt such other name as they deem proper. Any name change of any Series or Class shall become effective upon approval by the Trustees of such change or any document (including any Registration Statement) reflecting such change. Any name change of the Trust shall become effective upon the filing of a certificate of amendment under the Delaware Act reflecting such change with the office of the Delaware Secretary of State or at a future date or time specified in such certificate of amendment. Any such name change shall have the status of an amendment to this Declaration of Trust.",name
"Name. The name of the Company shall be “REITless Impact Opportunity Zone Strategies LLC”. The words “Limited Liability Company”, “LLC”, or similar words or letters shall be included in the Company’s name where necessary for the purpose of complying with the laws of any jurisdiction that so requires. The business of the Company may be conducted under any other name or names, as determined by the Manager. The Manager may change the name of the Company at any time and from time to time and shall notify the Members of such change in the next regular communication to the Members.",name
"Name. The trust continued hereby shall be known as ""SCE&G Trust I,"" as such name may be modified from time to time by the Administrative Trustees following written notice to the Holders of Trust Securities and the other Issuer Trustees, in which name the Issuer Trustees may conduct the business of the Issuer Trust, make and execute contracts and other instruments on behalf of the Issuer Trust and sue and be sued.",name
"Name. The name of the Trust is “VANGUARD TREASURY FUND” and the Trustees shall conduct the business of the Trust under that name or any other name as they may from time to time determine. If the Trustees determine to change the name of the Trust, they may adopt such other name for the Trust as they deem proper. Any name change shall become effective upon approval by the Trustees of such change and the filing of a certificate of amendment under the Delaware Act. Any such action shall have the status of an amendment to this Declaration of Trust.",name
"Name. Paladin Realty Partners, LLC, an Affiliate of the Advisor, has a proprietary interest in the name “Paladin.” Accordingly, and in recognition of this right, if at any time the Fund ceases to retain the Advisor or one of its Affiliates to perform the services of the Advisor under this Agreement, the Fund will cease to conduct business under or use the name “Paladin” or any variation or diminutive thereof and each of the Company and the Operating Partnership shall use its best efforts to change their respective names (and the names of any of their subsidiaries) to a name that does not contain the name “Paladin” or any other word or words that might, in the sole discretion of the Advisor, be susceptible of indication of some form of relationship between the Fund and the Advisor or any Affiliate thereof. Consistent with the foregoing, the parties acknowledge and agree that the Advisor or one or more of its Affiliates has organized or sponsored, and intends to continue to organize and sponsor, other investment vehicles (including vehicles for investment in real estate) and financial and service organizations having “Paladin” as a part of their name, all without the need for any consent (and without the right to object thereto) by the Company or the Operating Partnership.",name
"Name. The Trust created hereby shall be known as “Air T Funding,” as such name may be modified from time to time by the Administrative Trustees following written notice to the Holders of Trust Securities and the other Trustees, in which name the Trustees may engage in the transactions contemplated hereby, make and execute contracts and other instruments on behalf of the Trust and sue and be sued.",name
