clause_text,clause_type
"NEGATIVE COVENANTS. Until the Commitments have expired or terminated and the principal of and interest on each Loan and all fees payable hereunder have been paid in full and all Letters of Credit have expired or terminated and all LC Disbursements shall have been reimbursed, the Borrower covenants and agrees with the Lenders that:",negative-covenants
"NEGATIVE COVENANTS. So long as any Lender shall have any Commitment hereunder, any Loan or other Obligation hereunder shall remain unpaid or unsatisfied, or any Letter of Credit shall remain outstanding, the Borrower shall not, nor shall it permit any Subsidiary to, directly or indirectly:",negative-covenants
"NEGATIVE COVENANTS. So long as any Notes are Outstanding, the Issuer shall not:",negative-covenants
"NEGATIVE COVENANTS. Until the Commitments have expired or terminated and the principal of and interest on each Loan and all fees payable hereunder have been paid in full, the Borrower covenants and agrees with the Lenders that:",negative-covenants
"NEGATIVE COVENANTS. The Borrower hereby agrees that, so long as the Commitments remain in effect, any Letter of Credit remains outstanding or any Loan or other amount is owing to any Lender or the Administrative Agent hereunder, the Borrower shall not, and shall not permit any of its Subsidiaries to, directly or indirectly:",negative-covenants
NEGATIVE COVENANTS. Borrower shall not do any of the following without Bank’s prior written consent:,negative-covenants
"NEGATIVE COVENANTS. Each Loan Party warrants, covenants and agrees with each Lender that, so long as this Agreement shall remain in effect and until the Commitments have been terminated and the principal of and interest on each Loan, all Fees and all other expenses or amounts payable under any Loan Document have been paid in full and all Letters of Credit have been canceled or have expired and all amounts drawn thereunder have been reimbursed in full, unless the Required Lenders shall otherwise consent in writing, no Loan Party will, nor will they cause or permit any Subsidiaries to:",negative-covenants
NEGATIVE COVENANTS. The Company covenants that so long as any of the Notes are outstanding:,negative-covenants
"NEGATIVE COVENANTS. Borrower covenants and agrees with Lender that while this Agreement is in effect, Borrower shall not, without the prior written consent of Lender:",negative-covenants
"NEGATIVE COVENANTS. So long as any Advance shall remain unpaid or any Lender shall have any Commitment hereunder, the Borrower will not:",negative-covenants
"NEGATIVE COVENANTS. The Company covenants and agrees that, from the date hereof until the Obligations have been fully paid and satisfied, the Company shall not, unless the Secured Party shall consent otherwise in writing:",negative-covenants
"NEGATIVE COVENANTS. From the Closing Date until payment and performance in full of all obligations of Borrower under the Loan Documents or the earlier release of the Lien of the Mortgage encumbering the Property in accordance with the terms of this Agreement and the other Loan Documents, Borrower covenants and agrees with Lender that it will not do, directly or indirectly, any of the following:",negative-covenants
"NEGATIVE COVENANTS. Borrower further covenants that so long as Bank remains committed to extend credit to Borrower pursuant hereto, or any liabilities (whether direct or contingent, liquidated or unliquidated) of Borrower to Bank under any of the Loan Documents remain outstanding, and until payment in full of all obligations of Borrower subject hereto, Borrower will not without Bank's prior written consent:",negative-covenants
"NEGATIVE COVENANTS. So long as any Lender shall have any Commitment hereunder, any Loan or other Obligation hereunder shall remain unpaid or unsatisfied, or any Letter of Credit shall remain outstanding (other than contingent indemnification obligations for which a claim has not been asserted), no Loan Party shall, nor shall it permit any Subsidiary to, directly or indirectly:",negative-covenants
"NEGATIVE COVENANTS. So long as any Bank shall have any Commitment hereunder, or any Loan or other Obligation shall remain unpaid or unsatisfied, unless the Majority Banks waive compliance in writing:",negative-covenants
"NEGATIVE COVENANTS. Borrower covenants and agrees that, so long as any credit hereunder shall be available and until payment in full of the outstanding Obligations or for so long as Bank may have any commitment to make any Credit Extensions, Borrower will not do any of the following:",negative-covenants
"NEGATIVE COVENANTS. The Borrower covenants and agrees with each Lender that, so long as this Agreement shall remain in effect (other than in respect of contingent indemnification obligations for which no claim has been made) and until the Commitments have been terminated and the Obligations (including principal of and interest on each Loan, all fees and all other expenses or amounts payable under any Loan Document) have been paid in full, unless the Required Lenders shall otherwise consent in writing, the Borrower will not, and will not permit any of the Material Subsidiaries to:",negative-covenants
"NEGATIVE COVENANTS. For so long as this Agreement is in effect, unless the Requisite Lenders (or, if required pursuant to Section 12.6., all of the Lenders) shall otherwise consent in the manner set forth in Section 12.6., the Borrower shall comply with the following covenants:",negative-covenants
"NEGATIVE COVENANTS. So long as any Lender shall have any Commitment hereunder, any Loan or other Obligation hereunder shall remain unpaid or unsatisfied, or any Letter of Credit shall remain outstanding:",negative-covenants
"NEGATIVE COVENANTS. Borrower covenants and agrees that, so long as any credit hereunder shall be available and until the outstanding Obligations are paid in full or for so long as Bank may have any commitment to make any Credit Extensions, Borrower will not do any of the following without Bank’s prior written consent, which shall not be unreasonably withheld:",negative-covenants
"NEGATIVE COVENANTS. Except as may be permitted in the Schedule, Borrower shall not, without Silicon's prior written consent, do any of the following: (i) merge or consolidate with another corporation or entity; (ii) acquire any assets, except in the ordinary course of business; (iii) enter into any other transaction outside the ordinary course of business; (iv) sell or transfer any Collateral, except for the sale of finished Inventory in the ordinary course of Borrower's business, and except for the sale of obsolete or unneeded Equipment in the ordinary course of business; (v) store any Inventory or other Collateral with any warehouseman or other third party; (vi) sell any Inventory on a sale-or-return, guaranteed sale, consignment, or other contingent basis; (vii) make any loans of any money or other assets; (viii) incur any debts, outside the ordinary course of business, which would have a material, adverse effect on Borrower or on the prospect of repayment of the Obligations; (ix) guarantee or otherwise become liable with respect to the obligations of another party or entity; (x) pay or declare any dividends on Borrower's stock (except for dividends payable solely in stock of Borrower); (xi) redeem, retire, purchase or otherwise acquire, directly or indirectly, any of Borrower's stock; (xii) make any change in Borrower's capital structure which would have a material adverse effect on Borrower or on the prospect of repayment of the Obligations; or (xiii) pay total compensation, including salaries, fees, bonuses, commissions, and all other payments, whether directly or indirectly, in money or otherwise, to Borrower's executives, officers and directors (or any relative thereof) in an amount in excess of the amount set forth on the Schedule; or (xiv) dissolve or elect to dissolve. Transactions permitted by the foregoing provisions of this Section are only permitted if no Default or Event of Default would occur as a result of such transaction.",negative-covenants
"NEGATIVE COVENANTS. Borrower shall not, and shall not permit any of its Subsidiaries to, do any of the following without the prior written consent of the Required Lenders:",negative-covenants
"NEGATIVE COVENANTS. The Borrower agrees with the Facility Agent and each Lender that, from the Effective Date until all Commitments have terminated and all Obligations have been paid and performed in full, the Borrower will perform the obligations set forth in this Section 7.2.",negative-covenants
"NEGATIVE COVENANTS. Until the Commitments have expired or terminated and the principal of and interest on each Loan and all Fees and other amounts payable hereunder or under any other Loan Document have been paid in full and all Letters of Credit have expired or terminated and all LC Disbursements shall have been reimbursed, each of the Loan Parties agrees with the Lenders that:",negative-covenants
"NEGATIVE COVENANTS. Until the Commitments shall have expired or been terminated and the principal of and interest on each Loan and all fees, expenses and other amounts payable under this Agreement or any other Loan Document have been paid in full (other than contingent amounts not yet due) and all Letters of Credit have expired or been terminated or shall have been backstopped or cash collateralized (in each case, in a manner reasonably satisfactory to the applicable Issuing Bank) and all LC Disbursements shall have been reimbursed, the Borrower covenants and agrees with the Lenders that:",negative-covenants
"NEGATIVE COVENANTS. So long as any Advance or any other Obligation of any Loan Party under any Loan Document shall remain unpaid, any Letter of Credit shall be outstanding or any Lender Party shall have any Commitment hereunder, no Loan Party will, at any time:",negative-covenants
"NEGATIVE COVENANTS. Each Credit Party covenants and agrees that, so long as any Commitment is in effect and until payment in full of all Obligations and cancellation or expiration of all Letters of Credit, such Credit Party shall perform, and shall cause each of its Subsidiaries to perform, all covenants in this Section 6.",negative-covenants
NEGATIVE COVENANTS. Borrower will not do any of the following:,negative-covenants
"NEGATIVE COVENANTS. Each Borrower covenants and agrees as to itself and its Subsidiaries that on and after the Effective Date and until the Total Commitment and all Letters of Credit have terminated and the Loans, Notes and Unpaid Drawings, together with interest, Fees and all other Obligations incurred hereunder and thereunder are paid in full:",negative-covenants
NEGATIVE COVENANTS. 46 (a) Net Worth . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 46 (b) Total Debt to EBITDA Ratio . . . . . . . . . . . . . . . . . . . . . . . . . . . 46 (c) Fixed Charge Coverage Ratio . . . . . . . . . . . . . . . . . . . . . . . . . . . 47 (d) Interest Coverage Ratio . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 47 (e) Indebtedness . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 47 (f) Liens . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 47 (g),negative-covenants
"NEGATIVE COVENANTS. Each Borrower covenants and agrees that, so long as any credit hereunder shall be available and until full and final payment of the Obligations, Borrowers will not and will not permit any of their respective Subsidiaries to do any of the following:",negative-covenants
NEGATIVE COVENANTS. Each Credit Party executing this Agreement jointly and severally agrees as to all Credit Parties that from and after the date hereof until the Termination Date:,negative-covenants
"NEGATIVE COVENANTS. Until all of the Obligations have been paid and satisfied in full and the Commitments terminated, unless consent has been obtained in the manner set forth in Section 14.11, the Borrower has not and will not and will not permit any of its Restricted Subsidiaries to:",negative-covenants
