clause_text,clause_type
No Assignment. This Agreement and all rights and obligations of the Executive hereunder are personal to the Executive and may not be transferred or assigned by the Executive at any time. The Company may assign its rights under this Agreement to any entity that assumes the Company’s obligations hereunder in connection with any sale or transfer of all or a substantial portion of the Company’s assets to such entity.,no-assignment
No Assignment. This Agreement may not be assigned.,no-assignment
"No Assignment. Executive represents and warrants to the Company Releasees that there has been no assignment or other transfer of any interest in any Claim that Executive may have against the Company Releasees. Executive agrees to indemnify and hold harmless the Company Releasees from any liability, claims, demands, damages, costs, expenses and attorneys’ fees incurred as a result of any such assignment or transfer from Executive.",no-assignment
No Assignment. No assignment (within the meaning of the Act) of this Sub-Advisory Agreement may be made without the express written consent of all parties hereto.,no-assignment
"No Assignment. Executive’s rights to receive payments or benefits under this Agreement shall not be assignable or transferable whether by pledge, creation of a security interest or otherwise, other than a transfer by will or by the laws of descent or distribution. In the event of any attempted assignment or transfer contrary to this Section, the Employer shall have no liability to pay any amount so attempted to be assigned or transferred. This Agreement shall inure to the benefit of and be enforceable by Executive’s personal or legal representatives, executors, administrators, successors, heirs, distributees, devisees and legatees.",no-assignment
No Assignment. This Agreement is not assignable.,no-assignment
"No Assignment. The HSP will not assign this Agreement or the Funding in whole or in part, directly or indirectly, without the prior written consent of the LHIN. No assignment or subcontract shall relieve the HSP from its obligations under this Agreement or impose any liability upon the LHIN to any assignee or subcontractor. The LHIN may assign this Agreement or any of its rights and obligations under this Agreement to any one or more of the LHINs or to the MOHLTC.",no-assignment
"No Assignment. The rights of any person to payments or benefits under this Agreement shall not be made subject to option or assignment, either by voluntary or involuntary assignment or by operation of law, including (without limitation) bankruptcy, garnishment, attachment or other creditor's process, and any action in violation of this Subsection (h) shall be void.",no-assignment
"No Assignment. Neither the Guarantor nor the Guaranteed Party may assign or delegate (whether by operation of Law, merger, consolidation or otherwise) its rights, interests or obligations hereunder to any other person, in whole or in part, without the prior written consent of the other party hereto , except that the Guarantor may assign or delegate all or part of its rights, interests and obligations hereunder, without the prior written consent of the Guaranteed Party, to (a) any Other Guarantor or (b) any of the Guarantor’s Affiliates, or any other investment fund or investment vehicle advised or managed by the Guarantor or such Affiliate, to the extent that such person has been allocated, in accordance with the Equity Commitment Letter, all or a portion of the Guarantor’s investment commitment to Holdco; provided that any such assignment or delegation shall not relieve the Guarantor of its obligations hereunder to the extent not performed by such Other Guarantor, Affiliate, fund or investment vehicle. Any assignment or delegation in violation of this Section 6 shall be null and void and of no force and effect.",no-assignment
"No Assignment. Except as otherwise expressly provided herein, this Agreement is not assignable by any party and no payment to be made hereunder shall be subject to anticipation, alienation, sale, transfer, assignment, pledge, encumbrance or other charge.",no-assignment
"No Assignment. Notwithstanding anything to the contrary in this Award Agreement, neither this Award Agreement nor any rights granted herein shall be assignable by the Participant.",no-assignment
No Assignment. This Agreement may not be assigned by the Company without the prior written consent of Washington Mutual Mortgage. The Company hereby consents to the assignment by Washington Mutual Mortgage of all or any part of its rights and obligations under this Agreement to any affiliate designated by Washington Mutual Mortgage. Any other transfer by Washington Mutual Mortgage will be allowed and be effective upon written notice by Washington Mutual Mortgage to the Company.,no-assignment
"No Assignment. This Contract and the proceeds of this Contract may not be assigned or sublet as a whole, nor may the performance thereunder be assigned, without the prior written consent of the Owner.",no-assignment
"No Assignment. Neither this Agreement nor any of the rights and obligations hereunder may be assigned by the Company, the Distributor or the Trust without the prior written consent of the other parties.",no-assignment
"No Assignment. Neither party hereto may assign any of its rights or obligations hereunder to any other person, without the prior written consent of the other party hereto.",no-assignment
"No Assignment. This Agreement is personal to each of the Parties. Except as provided below, no Party may assign or delegate any rights or obligations hereunder without first obtaining the written consent of the other Party hereto; provided, however, that the Company may assign this Agreement to any successor (whether direct or indirect, by purchase, merger, consolidation or otherwise) to all or substantially all of the business or assets of the Company.",no-assignment
"No Assignment. Neither this Limited Guarantee nor any of the rights, interests or obligations hereunder shall be assignable without the prior written consent of the Guaranteed Party (in the case of an assignment by the Guarantor) or the Guarantor (in the case of an assignment by the Guaranteed Party).",no-assignment
No Assignment. Executive represents and warrants that he has not assigned any of the Claims being released under this Agreement.,no-assignment
"No Assignment. As of the Closing Date, Seller shall not have taken any action to convey any right to any Person that would result in such Person having a right to payments received under the Insurance Policies or Dealer Agreements, or payments due under the Receivable, that is senior to, or equal with, that of Issuer.",no-assignment
"No Assignment. This Agreement may not be transferred, assigned, sold or in any manner hypothecated or pledged by either party hereto and this Agreement shall terminate automatically in the event of any such transfer, assignment, sale, hypothecation or pledge. The terms ""transfer"", ""assignment"", and ""sale"" as used in this paragraph shall have the meanings ascribed thereto by governing law and any interpretation thereof contained in rules or regulations promulgated by the Securities and Exchange Commission thereunder.",no-assignment
"No Assignment. Neither this Agreement nor any or interest in this Agreement may be assigned by Executive without the prior express written approval of Company, which may be withheld by Company at Company's absolute discretion.",no-assignment
No Assignment. This Agreement may not be assigned by any Party hereto except with the prior written consent of the other Parties.,no-assignment
"No Assignment. No party may assign or otherwise transfer any of its rights or obligations under this Agreement to any other party without the prior written consent of all other parties to this Agreement. Any purported assignment or delegation in contravention of this paragraph is null and void, and shall immediately cause this Agreement to terminate.",no-assignment
"No Assignment. The Executive may not assign, pledge or encumber the Executive's interest in this Agreement nor assign any of the rights or duties of the Executive under this Agreement without the prior written consent of the Corporation.",no-assignment
"No Assignment. Neither this Agreement nor any of the rights, interests or obligations under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise by any of the parties hereto without the prior written consent of the other party. Any purported assignment in violation of the preceding sentence shall be void. Subject to the preceding two sentences, this Agreement will be binding upon, inure to the benefit of and be enforceable by the parties and their respective successors and assigns.",no-assignment
No Assignment. This Agreement may not be assigned by either party without the prior written consent of the other party.,no-assignment
"No Assignment. Except as otherwise provided in this Agreement, the Optionee may not assign any of his, her or its rights under this Agreement without the prior written consent of the Company, which consent may be withheld in its sole discretion. The Company shall be permitted to assign its rights or obligations under this Agreement, but no such assignment shall release the Company of any obligations pursuant to this Agreement.",no-assignment
"No Assignment. Except as contemplated by Section 15 above, this Agreement shall not be assignable or otherwise transferable by either party.",no-assignment
"No Assignment. This Agreement and the rights and privileges granted to the Resident under it are not assignable by the Resident and the Resident may not sublet the Room. The Resident may not permit the use of the Room by any other person, other than a person designated by the Manager. The Room or Residence services/facilities including the mailbox, telephone, internet or data connection may not be used for any business use.",no-assignment
"No Assignment. The services to be provided by the VENDOR under this Contract are personal and cannot be assigned, delegated, sublet or transferred without the specific written consent of the CITY.",no-assignment
No Assignment. Tenant expressly agrees that the leased premises nor any portion thereof shall not be assigned or sub-let by Tenant without the prior written consent of Landlord.,no-assignment
"No Assignment. This Agreement shall not be assignable by any party without the prior written consent of the other parties, which consent shall be subject to such party’s sole, absolute and unfettered discretion.",no-assignment
"No Assignment. Neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned, in whole or in part, by any of the parties without the prior written consent of the other parties; provided that Parent and Subcorp may assign any of or all of its rights, interests and obligations under this Agreement to Parent or to any direct or indirect wholly owned Subsidiary of Parent, but no such assignment shall relieve Parent or Subcorp of any of its obligations under this Agreement. Subject to the preceding sentence, this Agreement shall be binding upon, inure to the benefit of, and be enforceable by, the parties hereto and their respective successors and permitted assigns. Any purported assignment not permitted under this Section 5.8 shall be null and void.",no-assignment
"No Assignment. Without the written consent of the State, Contractor shall not assign this Agreement in whole or in part.",no-assignment
No Assignment. Neither a Fund nor State Street shall assign any rights or obligations under this Agreement to any other party without the written consent to such assignment signed by both the Fund and State Street. State Street further agrees that its Kansas City location will be primarily responsible for the performance of the services rendered hereunder unless the Fund agrees otherwise.,no-assignment
"No Assignment. Tenant shall not assign, sublet, encumber, or otherwise transfer, whether voluntary or involuntary or by operation of law, the Premises or any part thereof, or any interest herein, without City’s prior written consent, which consent may be granted or denied in City’s sole and absolute discretion (the term “Transfer” shall mean any such assignment, subletting, encumbrance, or transfer). City’s consent to one Transfer shall not be deemed a consent to subsequent Transfers. Any Transfer made without City’s consent shall constitute a default hereunder and shall be voidable at City’s election. Notwithstanding or limiting the foregoing, the City will allow a Tenant, including an individual or entity with any level of ownership in an Airport tenancy, to hold a maximum of eight (8) retail or food and beverage, or a combination therein, leases at the Airport at any given time. This policy does not included subleases. Any transfer made without the City's consent shall constitute a default hereunder and shall be voidable at the City's election.",no-assignment
"No Assignment. Seller shall not sell, assign, transfer or otherwise dispose of, or grant any option with respect to, or pledge, hypothecate or grant a security interest in or lien on or otherwise encumber (except pursuant to the Program Documents), any of the Purchased Loans or any interest therein, provided that this Section 13(m) shall not prevent any contribution, assignment, transfer or conveyance of Purchased Loans in accordance with the Program Documents.",no-assignment
No Assignment. The parties represent and warrant that they have not assigned any of the Claims being released under this Release.,no-assignment
"No Assignment. Neither this Agreement nor any part, share or interest herein nor any rights or obligations hereunder may be ceded, delegated or assigned by either Party without the prior signed written consent of the other Party, save as otherwise provided herein.",no-assignment
"No Assignment. The Executive represents and warrants that he has not assigned any of the Claims being released under this Agreement. The Company may assign this Agreement, in whole or in part, to any affiliated company or subsidiary of, or any successor in interest to, the Company.",no-assignment
"No Assignment. This Agreement and any rights, agreements or obligations hereunder may not be assigned, by operation of law, merger or otherwise, without the prior written consent of the other party hereto, and any purported assignment by a party without prior written consent of the other party will be null and void and not binding on such other party. Subject to the preceding sentence, all of the terms, agreements, covenants, representations, warranties and conditions of this Agreement are binding upon, and inure to the benefit of and are enforceable by, the parties and their respective successors and assigns.",no-assignment
"No Assignment. This Agreement and the rights and duties hereunder are personal to the Executive and shall not be assigned, delegated, transferred, pledged or sold by the Executive without the prior written consent of the Company. The Executive hereby acknowledges and agrees that the Company may assign, delegate, transfer, pledge or sell this Agreement and the rights and duties hereunder (a) to an affiliate of the Company or (b) to any third party in connection with (i) the sale of all or substantially all of the assets of the Company or (ii) a stock purchase, merger, or consolidation involving the Company. This Agreement shall inure to the benefit of and be enforceable by the parties hereto, and their respective heirs, personal representatives, successors and assigns.",no-assignment
No Assignment. This Debenture and the obligation hereunder shall not be assignable by the Company or the Holder.,no-assignment
"No Assignment. This Consent and Agreement shall be binding upon and shall inure to the benefit of the successors and assigns of PG&E, and shall be binding on and inure to the benefit of the Financing Provider, the Secured Parties and their respective successors and permitted transferees and assigns under the [loan agreement] and [security agreement].",no-assignment
"No Assignment. Neither party may assign or transfer this agreement or an order to a third party, except that this agreement with all orders may be assigned, without the consent of the other party, as part of a merger, or sale of substantially all the assets, of a party.",no-assignment
"No Assignment. Neither Party shall transfer or assign any rights ------------- or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party. Any purported transfer, assignment or delegation by either Party without the appropriate prior written approval shall be null and void and of no force or effect. Notwithstanding the foregoing, without securing such prior consent, either Party shall have the right to assign this Agreement and the obligations hereunder to any successor of such Party by way of merger, consolidation, reorganization or the acquisition of substantially all of the business and assets of the assigning Party relating to the Agreement, provided however that -------- the foregoing shall not be construed to limit a Party 's right to terminate this Agreement in accordance with Article 10.",no-assignment
No Assignment. Consultant's obligations hereto with respect to provision of Services shall not be assignable to any other person without the express written consent of the Company.,no-assignment
No Assignment. No party hereto may assign any of its rights or obligations under this Reorganization Agreement to any other person.,no-assignment
"No Assignment. Neither party may assign any of its rights under this agreement, except with the prior written consent of the other party. All voluntary assignments of rights are limited by this subsection.",no-assignment
"No Assignment. No party hereto (in the case of the Guaranteed Party, acting under the direction of the Special Committee) may assign its rights, interests or obligations hereunder to any other person (whether by operation of Law or otherwise) without the prior written consent of each other party hereto (in the case of the Guaranteed Party, acting under the direction of the Special Committee); provided, however, that if a portion of a Guarantor’s commitment under the Equity Commitment Letter is assigned in accordance with the terms thereof, each Guarantor may assign a corresponding portion of its obligations hereunder, with prior written notice to the Guaranteed Party accompanied by a guarantee in the form identical to this Limited Guarantee duly executed and delivered by the assignee, to an Affiliate or to any other investment fund advised, managed and/or appointed by an Affiliate of such Guarantor; provided, further, that no assignment shall relieve such Guarantor of any liability or obligations hereunder except to the extent actually performed or satisfied by the assignee. Any purported assignment in violation of this Limited Guarantee will be null and void.",no-assignment
No Assignment. (a) This Agreement is personal to the Executive and without the prior written consent of the Corporation shall not be assignable by the Executive other than by will or the laws of descent and distribution. This Agreement shall inure to the benefit of and be enforceable by the Executive's legal representatives and Beneficiary.,no-assignment
"No Assignment. This Supplemental License Agreement is binding upon and shall inure to the benefit of each Party hereto and each of its successors and permitted assigns. IMPAX may not assign (by way of merger, acquisition, statute, operation of law or otherwise) this Supplemental License Agreement (an “Assignment”) without the prior written consent of the Purdue Companies which may be withheld in the Purdue Companies’ sole discretion; provided, however, that the Purdue Companies’ consent shall not be required if such Assignment is part of the transfer of all or substantially all of IMPAX’s assets or all of the equity or capital stock of IMPAX; provided that such assignee is bound by and subject to the Settlement Agreement. Any Assignment, attempted Assignment or assignment of the rights granted hereunder, by IMPAX, in contravention of the provisions of this Section 12 shall be void and shall have no force or effect In the event that any of the Purdue Companies (or any of their respective successors and assigns) sells or assigns (other than in connection with the grant of a security interest) any of the Purdue Patents to any other person or entity, such person or entity shall agree to assume the obligations of such Purdue Company under this Supplemental License Agreement in writing as a condition to such acquisition.",no-assignment
"No Assignment. No Party may assign or transfer all or part of its rights and/or obligations under this Agreement without the prior written consent of the other Party and any purported assignment without such consent will be void; provided, that such prior written consent will not be required in the event that (i) Licensee or Citigroup sells, transfers, divests or otherwise disposes of all or substantially all of its business to one or more of its Controlled Affiliates, or (ii) Citigroup assigns one or more of the Citi Marks to one or more of its Controlled Affiliates. This Agreement shall be binding on the successors and permitted assigns of each Party hereto.",no-assignment
"No Assignment. This Agreement may not be assigned by either party without the prior written consent of the other party, except as provided in Section 8.",no-assignment
No Assignment. The Executive represents that he has not assigned to any other person or entity any Claims against any Releasee.,no-assignment
"No Assignment. Neither this Agreement nor any of the rights, interests or obligations hereunder may be assigned by any Party without the prior written consent of the other Parties.",no-assignment
"No Assignment. None of the parties hereto may assign any of its rights or delegate any of its obligations under this Agreement to any other Person, and any such purported assignment or delegation that is made without the prior written consent of the other parties to this Agreement shall be void and of no effect.",no-assignment
