clause_text,clause_type
"No Conflict. The execution and delivery of this Agreement, the performance of the transactions contemplated hereby and the fulfillment of the terms hereof will not conflict with, result in any breach of its articles of incorporation or bylaws or any of the terms and provisions of, or constitute (with or without notice or lapse of time or both) a default under any indenture, contract, agreement, mortgage, deed of trust, or other instrument to which the Collateral Custodian is a party or by which it or any of its property is bound.",no-conflict
"No Conflict. Provided that all consents, approvals, authorizations and other actions described in Section 4.04 have been obtained or taken, except as otherwise provided in this Article IV and except as may result from any facts or circumstances relating to the Sellers, the execution, delivery and performance by the Buyer of, and the consummation by the Buyer of the transactions contemplated by, this Agreement and the Companion Agreements do not and will not (a) violate or conflict with the Certificate of Incorporation or Bylaws or similar organizational documents of the Buyer, (b) conflict with or violate any Law or Governmental Order applicable to the Buyer or (c) result in any material breach of, or constitute a material default (or event which, with the giving of notice or lapse of time, or both, would become a material default) under, or give to any Person any rights of termination, amendment, acceleration or cancellation of, or result in the creation of any Lien (other than a Permitted Lien) on any of the assets or properties of the Buyer pursuant to, any note, bond, mortgage, indenture, contract, agreement, lease, license, permit, franchise or other material instrument to which the Buyer or any of its Subsidiaries is a party or by which any of such assets or properties is bound or affected, except for any such conflicts, violations, breaches, defaults, rights or Liens as would not materially impair or delay the ability of the Buyer to consummate the transactions contemplated by, or perform its obligations under, this Agreement and the Companion Agreements.",no-conflict
"No Conflict. The execution, delivery and performance of this Agreement by the Company and the consummation by the Company of the transactions contemplated hereby will not (i) result in a violation of the Certificate of Incorporation, any certificate of designations of any outstanding series of preferred stock of the Company or By-laws or (ii) conflict with or constitute a default (or an event which with notice or lapse of time or both would become a default) under, or give to others any rights of termination, amendment, acceleration or cancellation of, any agreement, indenture or instrument to which the Company or any of its subsidiaries is a party, or result in a violation of any law, rule, regulation, order, judgment or decree (including federal and state securities laws and regulations and the rules and regulations of the Principal Market on which the Common Stock is quoted) applicable to the Company or any of its subsidiaries or by which any material property or asset of the Company or any of its subsidiaries is bound or affected and which would cause a Material Adverse Effect. Except as disclosed in the SEC Documents, neither the Company nor its subsidiaries is in violation of any term of or in default under its Articles of Incorporation or By-laws or their organizational charter or by-laws, respectively, or any material contract, agreement, mortgage, indebtedness, indenture, instrument, judgment, decree or order or any statute, rule or regulation applicable to the Company or its subsidiaries. The business of the Company and its subsidiaries is not being conducted in violation of any material law, ordinance, regulation of any governmental entity. Except as specifically contemplated by this Agreement and as required under the Securities Act and any applicable state securities laws, the Company is not required to obtain any consent, authorization or order of, or make any filing or registration with, any court or governmental agency in order for it to execute, deliver or perform any of its obligations under or contemplated by this Agreement or the Registration Rights Agreement in accordance with the terms hereof or thereof. All consents, authorizations, orders, filings and registrations which the Company is required to obtain pursuant to the preceding sentence have been obtained or effected on or prior to the date hereof. The Company and its subsidiaries are unaware of any fact or circumstance which might give rise to any of the foregoing.",no-conflict
"No Conflict. This Coordination Agreement is intended to be in furtherance of the agreements reflected in the documents related to the Program Documents, and not in conflict. To the extent that a provision of this Coordination Agreement conflicts with the provisions of one or more Program Documents, the provisions of such Program Documents shall govern.",no-conflict
"No Conflict. The execution, delivery and performance by Credit Parties of the Credit Documents to which they are parties and the consummation of the transactions contemplated by the Credit Documents do not and will not (a) violate (i) any provision of any Applicable Law, (ii) any of the Organizational Documents of Borrower or any of its Subsidiaries, or (iii) any order, judgment or decree of any court or other agency of government binding on Borrower or any of its Subsidiaries, except with respect to clauses (i) and (iii) to the extent that such violation could not reasonably be expected to have a Material Adverse Effect; (b) conflict with, result in a breach of or constitute (with due notice or lapse of time or both) a default under any Contractual Obligation of Borrower or any of its Subsidiaries, except to the extent that such conflict, breach or default could not reasonably be expected to have a Material Adverse Effect; (c) result in or require the creation or imposition of any Lien upon any of the properties or assets of Borrower or any of its Subsidiaries (other than any Liens created under any of the Credit Documents in favor of Collateral Agent, on behalf of Secured Parties); or (d) require any approval of stockholders, members or partners or any approval or consent of any Person under any Contractual Obligation of Borrower or any of its Subsidiaries, except for such approvals or consents which will be obtained on or before the Third Restatement Date and disclosed in writing to Lenders and except for any such approval or consent the failure of which to obtain could not reasonably be expected to have a Material Adverse Effect.",no-conflict
"No Conflict. The execution, delivery and performance by such Guarantor of this Guaranty and the consummation of the transactions contemplated hereby do not and will not (a) violate in any material respect (i) any provision of any Applicable Law with respect to such Guarantor, (ii) any of the Organizational Documents of such Guarantor or (iii) any order, judgment or decree of any court or other agency of government binding on such Guarantor; (b) conflict with, result in a breach of or constitute (immediately or upon the giving of notice) a default in any material respect under any Contractual Obligation of such Guarantor; (c) result in or require the creation or imposition of any material Lien upon any of the properties or assets of such Guarantor (other than any Liens permitted by or created under any of the Loan Documents in favor of Collateral Agent, on behalf of the Secured Parties); or (d) require any approval of stockholders, members or partners of such Guarantor or any approval or consent of any Person under any Contractual Obligations of such Guarantor except such approvals or consents which have been obtained on or prior to the date hereof and are in full force and effect.",no-conflict
"No Conflict. The execution and delivery by such Seller Party of this Agreement and each other Transaction Document to which it is a party, and the performance of its obligations hereunder and thereunder do not contravene or violate (i) its certificate or articles of incorporation or organization, by-laws or limited liability company agreement (or equivalent governing documents), (ii) any law, rule or regulation applicable to it, (iii) any restrictions under any agreement, contract or instrument to which it is a party or by which it or any of its property is bound, or (iv) any order, writ, judgment, award, injunction or decree binding on or affecting it or its property, and do not result in the creation or imposition of any Adverse Claim on assets of such Seller Party or its Subsidiaries (except as created hereunder); and no transaction contemplated hereby requires compliance with any bulk sales act or similar law.",no-conflict
"No Conflict. The execution and delivery by the Transferor of this Assignment, the performance of the transactions contemplated by this Assignment and the fulfillment of the terms hereof applicable to the Transferor, will not conflict with or violate any Requirements of Law applicable to the Transferor or conflict with, result in any breach of any of the material terms and provisions of, or constitute (with or without notice or lapse of time or both) a material default under, any indenture, contract, agreement, mortgage, deed of trust or other instrument to which the Transferor is a party or by which it or its properties are bound;",no-conflict
"No Conflict. Assuming the making and obtaining of all filings, notifications, consents, approvals, authorizations and other actions referred to in Section 3.04, the execution, delivery and performance of this Agreement by the Company do not and will not (a) violate, conflict with or result in the breach of any provision of the certificate of incorporation or by-laws (or similar organizational documents) of the Company or any Company Subsidiary, (b) to the knowledge of the Company, conflict with or violate any Law or Governmental Order applicable to the Company, any Company Subsidiary or any of their respective assets, properties or businesses, (c) to the knowledge of the Company, violate, conflict with or result in the breach of any provision of any Company Permit, or (d) except as set forth in Section 3.03 of the Disclosure Schedule, conflict with, result in any breach of, constitute a default (or event which with the giving of notice or lapse of time, or both, would become a default) under, require any consent under, or give to others any rights of termination, amendment, acceleration, suspension, revocation or cancellation of, or result in the creation of any Encumbrance on any of the assets or properties of the Company or any Company Subsidiary pursuant to, any note, bond, mortgage or indenture, contract, agreement, lease, sublease, License, franchise or other instrument, obligation or arrangement to which the Company or any Company Subsidiary is a party or by which any of its assets or properties is bound or affected.",no-conflict
"No Conflict. Neither the execution and delivery of this Agreement or the other Loan Documents by any Loan Party nor the consummation of the transactions herein or therein contemplated or compliance with the terms and provisions hereof or thereof by any of them will conflict with, constitute a default under or result in any breach of (i) the terms and conditions of the certificate of incorporation, bylaws, certificate of limited partnership, partnership agreement, certificate of formation, limited liability company agreement or other organizational documents of any Loan Party or (ii) any Law or any material agreement or instrument or order, writ, judgment, injunction or decree to which any Loan Party or any of its Subsidiaries is a party or by which it or any of its Subsidiaries is bound or to which it is subject, or result in the creation or enforcement of any Lien, charge or encumbrance whatsoever upon any property (now or hereafter acquired) of any Loan Party or any of its Subsidiaries (other than Liens granted under the Loan Documents).",no-conflict
