clause_text,clause_type
"No Solicitation. From and after the Agreement Date until the Closing or termination of this Agreement pursuant to Article VIII, neither the Company nor any of its Subsidiaries nor any of the Company Shareholders will, nor will any of them authorize or permit any of their respective officers, directors, affiliates, shareholders or employees or any investment banker, attorney or other advisor or representative retained by any of them (all of the foregoing collectively being the “Company Representatives”) to, directly or indirectly, (i) solicit, initiate, seek, entertain, encourage, facilitate, support or induce the making, submission or announcement of any inquiry, expression of interest, proposal or offer that constitutes, or would reasonably be expected to lead to, an Acquisition Proposal, (ii) enter into, participate in, maintain or continue any communications (except solely to provide written notice as to the existence of these provisions) or negotiations regarding, or deliver or make available to any Person any non-public information with respect to, or take any other action regarding, any inquiry, expression of interest, proposal or offer that constitutes, or would reasonably be expected to lead to, an Acquisition Proposal, (iii) agree to, accept, approve, endorse or recommend (or publicly propose or announce any intention or desire to agree to, accept, approve, endorse or recommend) any Acquisition Proposal, (iv) enter into any letter of intent or any other Contract contemplating or otherwise relating to any Acquisition Proposal, or (v) submit any Acquisition Proposal to the vote of any shareholders of Company or any Subsidiary. Each of the Company and its Subsidiaries will immediately cease and cause to be terminated any and all existing activities, discussions or negotiations with any Persons conducted prior to or on the Agreement Date with respect to any Acquisition Proposal. If any Company Representative, whether in his or her capacity as such or in any other capacity, takes any action that the Company is obligated pursuant to this Section 6.1 to cause such Company Representative not to take, then the Company shall be deemed for all purposes of this Agreement to have breached this Section 6.1.",no-solicitation
"No Solicitation. (a) At all times during the period commencing with the execution and delivery of this Agreement and continuing until the earlier to occur of the termination of this Agreement pursuant to Section 7.1 hereof and the Acceptance Time, the Company shall not, and shall cause all of the Company Subsidiaries and the Company’s and such Company Subsidiaries’ directors, officers, employees, Affiliates, investment bankers, attorneys or other agents or representatives (collectively, “Representatives”) not to (and in any event the Company shall not authorize any of such Persons to), directly or indirectly (i) solicit, initiate, knowingly encourage, knowingly induce or knowingly facilitate the making, submission or announcement of an Acquisition Proposal or Acquisition Inquiry; (ii) furnish to any Person any non-public information relating to the Company in response to or in connection with an Acquisition Proposal or Acquisition Inquiry (for avoidance of doubt, it being understood that the foregoing shall not prohibit the Company from furnishing, in the Ordinary Course of Business, any non-public information to (A) any actual or potential customer, supplier, distributor, licensor, licensee, partner or other Person to the extent necessary to facilitate any business dealings between the Company and such actual or potential customer, supplier, distributor, licensor, licensee, partner or other Person that are unrelated to any Acquisition Proposal or any Acquisition Inquiry and are not prohibited by the terms of Section 5.1, or (B) a Governmental Entity); (iii) participate or engage in discussions or negotiations with any Person with respect to an Acquisition Proposal or Acquisition Inquiry (for avoidance of doubt, it being understood that the foregoing shall not prohibit the Company or any of its advisors or representatives from making such Person aware of the restrictions of this Section 5.2 in response to the receipt of an Acquisition Proposal, nor shall it prohibit the Company from engaging in discussions with its advisors or representatives to the extent reasonably necessary to assist the Company in determining how to properly respond to such Acquisition Proposal or Acquisition Inquiry); or (iv) except as permitted pursuant to Section 5.3, approve, endorse or recommend to the Company’s stockholders any Acquisition Proposal; provided, however, that notwithstanding anything to the contrary contained in this Agreement, at any time prior to the Acceptance Time, the Company m...",no-solicitation
"No Solicitation. (a) From the date of this Agreement until the Effective Time or, if earlier, the termination of this Agreement in accordance with its terms, the Company shall not, nor shall it permit any of the Company Subsidiaries to, nor shall it authorize or permit any officer, director or employee of the Company or of any of the Company Subsidiaries to, nor shall it authorize any financial advisor, attorney or other advisor or representative of the Company or any of the Company Subsidiaries to, directly or indirectly, (i) solicit, initiate, or knowingly take any action to facilitate or encourage the submission of, any Takeover Proposal (as hereinafter defined), (ii) approve or recommend any Takeover Proposal, enter into any agreement, agreement-in-principle or letter of intent with respect to or accept any Takeover Proposal (or resolve to or publicly propose to do any of the foregoing), (iii) participate or engage in any discussions or negotiations regarding, or furnish or afford access to any Person any information with respect to, or knowingly take any action to facilitate or encourage any inquiries or the making of any proposal that constitutes, or would reasonably be expected to lead to, any Takeover Proposal, (iv) amend or grant any waiver or release under any standstill or similar agreement with respect to any class of equity securities of the Company or any of the Company Subsidiaries or (v) fail to make, withdraw, amend, modify or materially qualify, in a manner adverse to Purchaser, the Company recommendations referred to in Section 2.3(b); provided, however, that prior to the Effective Time, in response to an unsolicited written Takeover Proposal from a third party (and not withdrawn) that the Company Board determines in good faith (after receiving the advice of its financial advisor and outside counsel) is, or would reasonably be expected to result in or lead to, a Superior Proposal and that the failure to take such action would create a material risk of a breach by the Company Board of its fiduciary duties to the Company’s stockholders under applicable Law, the Company and its representatives may (x) furnish information with respect to the Company and the Company Subsidiaries to the person making such Takeover Proposal and its representatives pursuant to a confidentiality agreement in customary form that is no less favorable to the Company than the Confidentiality Agreement (except that such confidentiality agreement shall contain additional provisions tha...",no-solicitation
"No Solicitation. The Stockholder (in the Stockholder’s capacity as such) shall not, and will not authorize or permit any of its officers, directors, controlled affiliates or employees, or any investment banker, attorney or other advisor or representative retained by the Stockholder (collectively, “Representatives”) to, directly or indirectly, (i) solicit, initiate, knowingly encourage, or induce the making, submission or announcement of, an Acquisition Proposal, (ii) furnish to any Person (other than Parent, Merger Sub or any designees of Parent or Merger Sub) any non-public information relating to the Company or any of its Subsidiaries, or afford access to the business, properties, assets, books or records of the Stockholder relating to the Company or any of the Company’s Subsidiaries to any Person that has made an Acquisition Proposal, or take any other action intended to assist or facilitate any inquiries or the making of any proposal that constitutes or may reasonably be expected to lead to an Acquisition Proposal, (iii) engage in discussions or negotiations with any Person with respect to an Acquisition Proposal, (iv) approve, endorse or recommend an Acquisition Proposal, or (v) enter into any letter of intent or similar contract contemplating or otherwise relating to an Acquisition Transaction; provided, however, that the Stockholder may engage in any of the foregoing activities if and solely to the extent that the Company is permitted to engage in such activities pursuant to Section 6.1 of the Merger Agreement. The Stockholder shall immediately cease any and all existing activities, discussions or negotiations with any Persons conducted heretofore with respect to any Acquisition Proposal. Without limiting the generality of the foregoing, the Stockholder acknowledges and hereby agrees that any violation of the restrictions set forth in this Section 14(a) by the Stockholder or any of its Representatives shall be deemed to be a breach of this Section 14(a) by the Stockholder. The Stockholder shall not enter into any letter of intent or similar document or any agreement contemplating or otherwise relating to an Acquisition Proposal unless and until this Agreement is terminated pursuant to its terms.",no-solicitation
"No Solicitation. (a) The Company shall, and shall direct and use reasonable best efforts to cause its officers, directors, employees, representatives and agents to, immediately cease any discussions or negotiations with any parties that may be ongoing with respect to a Takeover Proposal (as hereinafter defined). The Company shall not, nor shall it permit any of its subsidiaries to, nor shall it authorize or permit any of its officers, directors or employees or any investment banker, financial advisor, attorney, accountant or other representative retained by it or any of its subsidiaries to, directly or indirectly, (i) solicit, initiate or knowingly encourage (including by way of furnishing information), or take any other action designed or reasonably likely to facilitate, any inquiries or the making of any proposal which constitutes, or may reasonably be expected to lead to, any Takeover Proposal or (ii) participate in any discussions or negotiations regarding any Takeover Proposal; provided, however, that if, at any time prior to the acceptance for payment of Shares pursuant to the Offer, the Board of Directors of the Company determines in good faith, after consultation with outside counsel, that it is necessary to do so in order to comply with its fiduciary duties to the Company's stockholders under applicable law, the Company may, in response to a Takeover Proposal which was not solicited subsequent to the date hereof, and subject to compliance with Section 6.02(c), (x) furnish information with respect to the Company to any person pursuant to a customary confidentiality agreement (as determined by the Company after consultation with its outside counsel) and (y) participate in negotiations regarding such Takeover Proposal. For purposes of this Agreement, ""Takeover Proposal"" means any inquiry, proposal or offer from any person relating to any direct or indirect acquisition or purchase of 20% or more of the assets of the Company and its subsidiaries or 20% or more of any class of equity securities of the Company or any of its subsidiaries, any tender offer or exchange offer that if consummated would result in any person beneficially owning 20% or more of any class of equity securities of the Company or any of its subsidiaries, any merger, consolidation, business combination, recapitalization, liquidation, dissolution or similar transaction involving the Company or any of its subsidiaries, other than the transactions contemplated by this Agreement, or any other transaction ...",no-solicitation
"No Solicitation. (i) The Seller and its subsidiaries and their respective officers, directors, employees, representatives, agents or affiliates shall cease any discussion or negotiations with any parties that may be ongoing with respect to an Acquisition Proposal (as hereinafter defined). The Seller shall not, nor shall it permit any of its Subsidiaries to, and it shall use its best efforts to cause its officers, directors, employees, agents or affiliates not to, directly or indirectly, (A) solicit, initiate or knowingly encourage (including by way of furnishing information), or knowingly take any other action to facilitate, any inquiries or the making of any proposal which constitutes, or may reasonably be expected to lead to, any Acquisition Proposal (as defined in this Section 5(h)), or (B) participate in any discussions or negotiations regarding any Acquisition Proposal; provided, however, that if the board of directors of the Seller determines in good faith, after consultation with, and in part based on the advice of outside counsel, that it is required to do so in order to comply with its fiduciary duties to the Seller’s stockholders under applicable law, the Seller may, in response to an unsolicited Acquisition Proposal, and subject to compliance with Section 5(h)(iii), (X) furnish information with respect to the Seller to any Person making such unsolicited Acquisition Proposal pursuant to an executed confidentiality agreement with such Person, and (Y) participate in discussions or negotiations regarding such Acquisition Proposal. For purposes of this Agreement, “Acquisition Proposal” means any bona fide proposal or offer from any Person relating to any merger, consolidation, business combination, sale or a significant amount of assets outside of the Ordinary Course of Business, sale of shares of capital stock outside of the Ordinary Course of Business, tender or exchange offer or similar transaction involving the Division, the Division Subsidiaries or the Acquired Assets; provided however, for the avoidance of doubt, that “Acquisition Proposal” shall not include any joint venture agreement entered into by any of Seller, its",no-solicitation
"No Solicitation. From and after the related Closing Date, except as provided below, the Seller agrees that it will not take any action or permit or cause any action to be taken by any of its agents or Affiliates, or by any independent contractors on the Seller's behalf, in any manner to solicit the borrower or obligor under any Mortgage Loan to refinance the Mortgage Loan, in whole or in part, without the prior written consent of the Purchaser. It is understood and agreed that all rights and benefits relating to the solicitation of any Mortgagors to refinance any Mortgage Loans and the attendant rights, title and interest in and to the list of such Mortgagors and data relating to their Mortgages (including insurance renewal dates) shall be transferred to the Purchaser pursuant hereto on the related Closing Date and the Seller shall take no action to undermine these rights and benefits. Notwithstanding the foregoing, it is understood and agreed that the following promotions or solicitations undertaken by the Seller or any Affiliate of the Seller shall not be prohibited under this Section 11.16: (i) promotions or solicitations that are directed to the general public at large or segments thereof, provided that no segment shall consist primarily of the borrowers or obligors under the Mortgage Loans, including, without limitation, mass mailing based on commercially acquired mailing lists, newspaper, radio and television advertisements; (ii) responding to Mortgagor requests for pay-off information and regarding other bank or financial products or services; and (iii) promotions or solicitations to any Mortgagor for any other bank or financial products or services, unless such promotions or solicitations are for a prepayment of a Mortgage Loan.",no-solicitation
"No Solicitation. Seller shall not, and shall direct each of its subsidiaries and their respective officers, employees, representatives and agents not to, directly or indirectly, induce, solicit or initiate discussions or negotiations with, or provide any non-public information to, any corporation, partnership, person or other entity or group concerning any merger, sales of substantial assets, sales of shares of capital stock or similar transactions involving Seller or any subsidiary or division of Seller if such transaction involves the Business or any of the Assets (""Alternative Proposal"") or enter into any agreement with respect thereto; provided that, prior to the receipt of the Seller Shareholders' Approval and upon receipt of advice of Seller's legal counsel that such provision, discussion or negotiation is required pursuant to fiduciary obligations under applicable law, Seller may provide information (including non-public information, but only pursuant to a confidentiality agreement in customary form, including customary standstill provisions), and enter into (or induce) discussions or negotiations with, any person who has made a bona fide unsolicited Alternative Proposal in respect of such a transaction which the Board of Directors of Seller in good faith determines is a better offer than the transactions contemplated by this Agreement. Seller will promptly communicate to Purchaser the terms of any Alternative Proposal (including the maker thereof) which it may receive in respect of all such transactions prohibited by the foregoing and keep Purchaser informed of the status and material information with respect to such discussions or negotiations. Nothing in this Section 9(d) shall (x) permit Seller to terminate this Agreement (except as specifically provided in Section 17, (y) permit Seller to enter into any agreement with respect to an Alternative Proposal for so long as this Agreement remains in effect (it being agreed that for so long as this Agreement remains in effect, Seller shall not enter into any agreement with any person or group that provides for, or in any way facilitates, an Alternative Proposal (other than a confidentiality agreement under the circumstances described above)), or (z) affect any other obligation of Seller under this Agreement.",no-solicitation
"No Solicitation. The Stockholders and the Company and its officers, directors, employees, representatives and agents shall immediately cease any discussions or negotiations with any parties that may be ongoing with respect to a Third Party Acquisition Proposal (as defined below). Neither the Company nor any of the Stockholders shall, nor shall they permit any of their Affiliates to, nor shall they authorize or permit any of their officers, directors or employees or any investment banker, attorney or other advisor or representatives retained by them or any of their Affiliates to, (i) solicit, initiate or knowingly encourage the submission of, any Third Party Acquisition Proposal, or (ii) participate in any discussions or negotiations regarding, or furnish to any person any non-public information with respect to, or take any other action knowingly to facilitate any inquiries or the making of any proposal that constitutes, or may reasonably be expected to lead to, any Third Party Acquisition Proposal. For purposes of this Agreement, ""Third Party Acquisition Proposal"" means any inquiry, proposal or offer from any person relating to any direct or indirect acquisition or purchase of all or a portion or more of the assets of the Company or all or a portion of any class of equity securities of the Company or any offer to acquire or purchase that if consummated would result in any person beneficially owning all or a portion of any class of equity securities of the Company, or any merger, consolidation, business combination, sale of assets, recapitalization, liquidation, dissolution or similar transaction involving the Company, other than the transactions contemplated by this Agreement, or any other transaction the consummation of which could reasonably be expected to impede, interfere with, prevent or delay, or dilute materially the benefits to GRS of the transactions contemplated hereby.",no-solicitation
"No Solicitation. 5.5.1. Subject to Section 5.5.3 the Company shall not, and the Company shall cause its Affiliates and the respective officers, directors, employees, investment bankers, attorneys, accountants and other representatives and agents (collectively, ""Representatives"") of the Company and its Affiliates not to, directly or indirectly, initiate, solicit, encourage or participate in negotiations or discussions relating to, or provide any information to any person concerning, or take any action to facilitate the making of, any offer or proposal which constitutes or is reasonably likely to lead to any Transaction Proposal (as defined below), or any inquiry with respect thereto, or agree to approve or recommend any Transaction Proposal. The Company shall, and shall cause its Affiliates and the respective Representatives of the Company and its Affiliates to, immediately cease and cause to be terminated all existing activities, discussions and negotiations, if any, with any parties conducted heretofore with respect to any of the foregoing.",no-solicitation
