clause_text,clause_type
"No Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and their respective permitted successors and assigns, and is not for the benefit of, nor may any provision hereof be enforced by, any other person.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and their respective successors and permitted assigns and is not for the benefit of, nor may any provision hereof be enforced by, any other Person, except as otherwise set forth in Section 4.10.",no-third-party-beneficiaries
No Third Party Beneficiaries. This Agreement shall not confer any rights or remedies upon any Person other than the Parties and their respective successors and permitted assigns.,no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement will not be construed to create any obligation by either ICANN or Registry Operator to any non-­‐party to this Agreement, including any registrar or registered name holder.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is for the sole benefit of the parties hereto and their respective successors and permitted assigns and nothing herein, express or implied, is intended to or shall confer upon any other Person or entity any legal or equitable right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Deposit Agreement is for the exclusive benefit of the parties hereto and shall not be deemed to give any legal or equitable right, remedy or claim whatsoever to any other person.",no-third-party-beneficiaries
"No Third Party Beneficiaries. The Placement Agent shall be the third party beneficiary of the representations and warranties of the Company in Section 3.1 and the representations and warranties of the Purchasers in Section 3.2. This Agreement is intended for the benefit of the parties hereto and their respective successors and permitted assigns and is not for the benefit of, nor may any provision hereof be enforced by, any other Person, except as otherwise set forth in Section 4.8 and this Section 5.8.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Except as provided in Article VIII, this Agreement is for the sole benefit of the parties hereto and their respective successors and permitted assigns and nothing herein, express or implied, is intended to or shall confer upon any other Person or entity any legal or equitable right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement shall be binding upon and inure solely to the benefit of the parties hereto and their permitted assigns and successors and nothing herein, express or implied, is intended to or shall confer upon any other Person or entity, any legal or equitable right, benefit or remedy of any nature whatsoever under or by reason of this Agreement (other than pursuant to Section 10.02 hereof).",no-third-party-beneficiaries
"No Third Party Beneficiaries. The Deposit Agreement is for the exclusive benefit of the parties hereto (and their successors) and shall not be deemed to give any legal or equitable right, remedy or claim whatsoever to any other person, except to the extent specifically set forth in the Deposit Agreement. Nothing in the Deposit Agreement shall be deemed to give rise to a partnership or joint venture among the parties nor establish a fiduciary or similar relationship among the parties. The parties hereto acknowledge and agree that (i) the Depositary and its Affiliates may at any time have multiple banking relationships with the Company and its Affiliates, (ii) the Depositary and its Affiliates may be engaged at any time in transactions in which parties adverse to the Company or the Holders or Beneficial Owners may have interests and (iii) nothing contained in the Deposit Agreement shall (a) preclude the Depositary or any of its Affiliates from engaging in such transactions or establishing or maintaining such relationships, and (b) obligate the Depositary or any of its Affiliates to disclose such transactions or relationships or to account for any profit made or payment received in such transactions or relationships.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing in this Agreement, express or implied, is intended to or shall confer upon any Person other than the parties and their respective successors and permitted assigns any legal or equitable right, benefit or remedy of any nature under or by reason of this Agreement.",no-third-party-beneficiaries
No Third Party Beneficiaries. The parties do not intend the benefits of this Agreement to inure to any third party except as expressly set forth in Section 13.,no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is not intended to and does not create rights, remedies, or benefits of any character whatsoever in favor of any persons, corporations, associations, or entities other than the Parties, and the obligations herein assumed are solely for the use and benefit of the Parties, their successors in interest and where permitted, their assigns.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is for the sole benefit of the parties hereto and their permitted successors and assigns and nothing herein expressed or implied will give or be construed to give to any Person, other than the parties hereto, those referenced in Section 5 above, and such permitted successors and assigns, any legal or equitable rights hereunder.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is not intended to be for the benefit of, and shall not be enforceable by, any person or entity who or which is not a party hereto.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is made and entered into for the sole protection and benefit of the parties hereto and their respective permitted successors and assigns, and no other person or entity shall be a third party beneficiary of, or have any direct or indirect cause of action or claim in connection with, this Agreement or any other of the Loan Documents to which it is not a party.",no-third-party-beneficiaries
No Third Party Beneficiaries. This Agreement is not intended to confer upon any person other than the parties hereto any rights or remedies hereunder.,no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is for the sole benefit of the parties hereto and their permitted assigns and nothing herein expressed or implied shall give or be construed to give to any person or entity, other than the parties hereto and such assigns, any legal or equitable rights hereunder.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement, the other Loan Documents, and the agreement of the Lenders to make Loans and the Issuing Bank to issue, amend, renew or extend Letters of Credit hereunder are solely for the benefit of the Borrower, and no other Person (including, without limitation, any Subsidiary of the Borrower, any obligor, contractor, subcontractor, supplier or materialsman) shall have any rights, claims, remedies or privileges hereunder or under any other Loan Document against the Administrative Agent, any other Agent, the Issuing Bank or any Lender for any reason whatsoever. There are no third party beneficiaries.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Except as provided in Section 9, the parties hereby agree that their respective representations, warranties and covenants set forth herein are solely for the benefit of the other party hereto, in accordance with and subject to the terms of this Limited Guarantee, and this Limited Guarantee is not intended to, and does not, confer upon any person other than the parties hereto any rights or remedies hereunder, including, the right to rely upon the representations and warranties set forth herein.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Deposit Agreement is for the exclusive benefit of the Company, the Depositary, the Owners and the Holders and their respective successors and shall not be deemed to give any legal or equitable right, remedy or claim whatsoever to any other person.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and their respective successors and permitted assigns and is not for the benefit of, nor may any provision hereof be enforced by, any other Person, except that each Related Person is an intended third party beneficiary of Section 4.8 and each Indemnified Party is an intended third party beneficiary of Section 6.4 and (in each case) may enforce the provisions of such Sections directly against the parties with obligations thereunder.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and is not for the benefit of, nor may any provision hereof be enforced by, any other person, except that the Company acknowledges that the rights of the Investor may be enforced by its general partner.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement does not create, and shall not be construed as creating, any rights enforceable by any person not a party to this Agreement, except as provided in Section 7 hereof.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement shall be binding upon and inure solely to the benefit of the parties hereto and their respective successors and permitted assigns and nothing herein is intended to or shall confer upon any other Person any legal or equitable right, benefit or remedy of any nature whatsoever, including any rights of employment for any specified period, under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Except as provided in Section 6.11 (Indemnification; Directors’ and Officers’ Insurance) only, Parent and the Company hereby agree that their respective representations, warranties and covenants set forth herein are solely for the benefit of the other party hereto, in accordance with and subject to the terms of this Agreement, and this Agreement is not intended to, and does not, confer upon any Person other than the parties hereto any rights or remedies hereunder, including the right to rely upon the representations and warranties set forth herein. The parties hereto further agree that the rights of third party beneficiaries under Section 6.11 shall not arise unless and until the Effective Time occurs. The representations and warranties in this Agreement are the product of negotiations among the parties hereto and are for the sole benefit of the parties hereto. Any inaccuracies in such representations and warranties are subject to waiver by the parties hereto in accordance with Section 9.3 without notice or liability to any other Person. In some instances, the representations and warranties in this Agreement may represent an allocation among the parties hereto of risks associated with particular matters regardless of the knowledge of any of the parties hereto. Consequently, Persons other than the parties hereto may not rely upon the representations and warranties in this Agreement as characterizations of actual facts or circumstances as of the date of this Agreement or as of any other date.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing in this Agreement, express or implied, is intended to or shall confer upon any person not a party hereto any right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. City and Contractor are the only parties to this Agreement and are the only parties entitled to enforce its terms. Nothing in this Agreement gives, is intended to give, or shall be construed to give or provide any benefit or right, whether directly, indirectly or otherwise, to third persons unless such third persons are identified by name herein and expressly described as intended beneficiaries of the terms of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is not intended, and shall not be deemed, to confer any rights or remedies upon any person other than the parties hereto and their respective successors and permitted assigns, to create any agreement of employment with any person or to otherwise create any third-party beneficiary hereto.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Except as otherwise set forth in Section 8(b) or Section 14(b) hereof, nothing expressed or referred to in this Agreement will be construed to give any Person other than the Company, the other members of the Company Group, and Executive any legal or equitable right, remedy, or claim under or with respect to this Agreement or any provision of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is solely for the benefit of the parties to this Agreement and should not be deemed to confer upon third parties any remedy, claim, liability, reimbursement, claims or action or other right in excess of those existing without reference to this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing express or implied in this Agreement is intended to confer, nor shall anything herein confer, upon any person other than the Parties and the respective successors or assigns of the Parties, any rights, remedies, obligations, or liabilities whatsoever.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing express or implied in this Agreement is intended to confer, nor shall anything herein confer, upon any person other than Covered Entity, Business Associate and their respective successors or assigns, any rights, remedies, obligations or liabilities whatsoever.",no-third-party-beneficiaries
No Third Party Beneficiaries. There are no third-party beneficiaries to this Agreement.,no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing herein expressed or implied is intended or shall be construed to confer upon or give to any person or entity other than the parties hereto and their successors or permitted assigns, any rights or remedies under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and their respective permitted successors and assigns, and is not for the benefit of, nor may any provision hereof be enforced by, any other Person, other than the Persons referred to in Section 5 hereof.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing in this Agreement is intended or shall be construed to give any person, other than the parties hereto, any legal or equitable right, remedy or claim under or in respect of this Agreement or any provision contained herein.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Section 12 is an agreement solely among Secured Parties and Agent, and shall survive Full Payment of the Obligations. This Section 12 does not confer any rights or benefits upon Borrowers or any other Person. As between Borrowers and Agent, any action that Agent may take under any Loan Documents or with respect to any Obligations shall be conclusively presumed to have been authorized and directed by Secured Parties.",no-third-party-beneficiaries
No Third Party Beneficiaries. The parties expressly acknowledge that it is not their intent to create or confer any rights or obligations in or upon any third person or entity under this Agreement. None of the parties intend to directly or substantially benefit a third party by this Agreement. The parties agree that there are no third party beneficiaries to this Agreement and that no third party shall be entitled to assert a claim against any of the parties based upon this Agreement. Nothing herein shall be construed as consent by an agency or political subdivision of the State of Florida to be sued by third parties in any matter arising out of any contract.,no-third-party-beneficiaries
No Third Party Beneficiaries. SECTION 7.03,no-third-party-beneficiaries
"No Third Party Beneficiaries. Nothing in this Agreement shall confer any rights upon any person or entity other than the parties hereto and their respective heirs, successors and permitted assigns.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement shall not confer any rights or remedies upon any person other than the Parties and their respective successors and permitted assigns; provided, however, that (a) the provisions in Article I concerning issuance of the Merger Shares and Article VI concerning indemnification are intended for the benefit of the Company Stockholders and (b) the provisions in Section 4.9 concerning indemnification are intended for the benefit of the individuals specified therein and their successors and assigns.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Except as provided in Article IX with respect to TCCC Indemnified Parties and Buyer Indemnified Parties, this Agreement is for the sole benefit of the parties to this Agreement and their permitted successors and assigns, and nothing in this Agreement, whether express or implied, is intended to or shall confer upon any other Person or entity any legal or equitable right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Agreement does not create, and shall not be construed as creating, any rights enforceable by any person not a party to this Agreement.",no-third-party-beneficiaries
"No Third Party Beneficiaries. No provisions of the Loan Documents are intended, nor will be interpreted, to provide or create any third-party beneficiary rights or any other rights of any kind in any person other than Lender and Borrower unless specifically provided otherwise herein, and, except as otherwise so provided, all provisions of the Loan Documents will be personal and solely between the Lender and the Borrower.",no-third-party-beneficiaries
"No Third Party Beneficiaries. Unless expressly stated herein, this Agreement shall be solely for the benefit of the Parties and no other person or entity shall be a third-party beneficiary hereof.",no-third-party-beneficiaries
"No Third Party Beneficiaries. This Warrant is for the sole benefit of the Company and the Holder and their respective successors and, in the case of the Holder, permitted assigns and nothing herein, express or implied, is intended to or shall confer upon any other Person any legal or equitable right, benefit or remedy of any nature whatsoever, under or by reason of this Warrant.",no-third-party-beneficiaries
"No Third Party Beneficiaries. The terms and provisions of this Agreement are intended solely for the benefit of each party hereto and their respective successors or permitted assigns, and it is not intended to confer third-party beneficiary rights upon any other person.",no-third-party-beneficiaries
