clause_text,clause_type
"No Violation. The consummation of the transactions contemplated by this Agreement and the fulfillment of the terms hereof do not conflict with, result in any breach of any of the terms and provisions of, or constitute (with or without notice or lapse of time) a default under the certificate of incorporation or by-laws of the Depositor, or any material indenture, agreement or other instrument to which the Depositor is a party or by which it is bound; nor result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement or other instrument (other than pursuant to the Basic Documents); nor violate any law or, to the best of the Depositor’s knowledge, any order, rule or regulation applicable to the Depositor of any court or of any federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over the Depositor or its properties.",no-violation
"No Violation. The consummation of the transactions contemplated by this Agreement and the Basic Documents and the fulfillment of the terms of this Agreement and the Basic Documents shall not conflict with, result in any breach of any of the terms and provisions of or constitute (with or without notice, lapse of time or both) a default under the certificate of incorporation or by-laws of the Seller, or any indenture, agreement, mortgage, deed of trust or other instrument to which the Seller is a party or by which it is bound, or result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement, mortgage, deed of trust or other instrument, other than this Agreement, or violate any law, order, rule or regulation applicable to the Seller of any court or of any federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over the Seller or any of its properties.",no-violation
"No Violation. The execution, delivery and performance by the Servicer of this Agreement and the execution, delivery and performance by the Seller of this Agreement and the consummation of the transactions contemplated by this Agreement and the fulfillment of the terms of this Agreement shall not conflict with, result in any breach of any of the terms and provisions of, nor constitute (with or without notice or lapse of time) a default under, the articles of incorporation or bylaws of the Servicer, or conflict with or breach any of the material terms or provisions of, or constitute (with or without notice or lapse of time) a default under, any indenture, agreement or other instrument to which the Servicer is a party or by which it shall be bound; nor result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement or other instrument (other than this Agreement); nor violate any law or, to the Servicer’s knowledge, any order, rule or regulation applicable to the Servicer of any court or of any federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over the Servicer or its properties, which breach, default, conflict, Lien or violation would have a material adverse effect on the earnings, business affairs or business prospects of the Servicer.",no-violation
"No Violation. The execution, delivery and performance by the Seller of this Agreement and the consummation of the transactions contemplated by this Agreement and the fulfillment of the terms hereof shall not conflict with, result in any breach of any of the terms and provisions of, nor constitute (with or without notice or lapse of time) a default under, the articles of incorporation or bylaws of the Seller, or conflict with or breach any of the material terms or provisions of, or constitute (with or without notice or lapse of time) a default under, any indenture, agreement or other instrument to which the Seller is a party or by which it may be bound or any of its properties are subject; nor result in the creation or imposition of any lien upon any of its properties pursuant to the terms of any such indenture, agreement or other instrument (other than this Agreement); nor violate any law or, to the knowledge of the Seller, any order, rule or regulation applicable to it or its properties of any court or of any federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over the Seller or any of its properties.",no-violation
"No Violation. The consummation of the transactions contemplated by this Agreement and the other Basic Documents to which it is a party and the fulfillment of their respective terms shall not conflict with, result in any breach of any of the terms and provisions of, or constitute (with or without notice or lapse of time or both) a default under, the limited liability company agreement of the Servicer, or any indenture, agreement, mortgage, deed of trust or other instrument to which the Servicer is a party or by which it is bound; or result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement, mortgage, deed of trust or other instrument, other than this Agreement and the other Basic Documents, or violate any law, order, rule or regulation applicable to the Servicer of any court or federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over the Servicer or any of its properties.",no-violation
"No Violation. The execution, delivery and performance by Purchaser of this Agreement, the consummation of the transactions contemplated by this Agreement and the Related Documents and the fulfillment of the terms of this Agreement and the Related Documents do not and will not conflict with, result in any breach of any of the terms and provisions of, or constitute (with or without notice or lapse of time) a default under, the certificate of incorporation or bylaws of Purchaser, or conflict with or breach any of the terms or provisions of, or constitute (with or without notice or lapse of time) a default under, any indenture, agreement, mortgage, deed of trust or other instrument to which Purchaser is a party or by which Purchaser is bound or to which any of its properties are subject, or result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement, mortgage, deed of trust or other instrument (other than the Sale and Servicing Agreement), or violate any law, order, rule or regulation, applicable to Purchaser or its properties, of any federal or state regulatory body, any court, administrative agency, or other governmental instrumentality having jurisdiction over Purchaser or any of its properties.",no-violation
"No Violation. Neither the execution, delivery or performance by any Credit Party of the Credit Documents to which it is a party, nor compliance by it with the terms and provisions thereof, (i) will contravene any provision of any applicable law, statute, rule or regulation or any applicable order, writ, injunction or decree of any court or governmental instrumentality, (ii) will conflict with or result in any breach of any of the terms, covenants, conditions or provisions of, or constitute a default under, or result in the creation or imposition of (or the obligation to create or impose) any Lien (other than Permitted Liens) upon any of the material properties or assets of the Borrower or any of its Subsidiaries pursuant to the terms of any indenture, mortgage, deed of trust, credit agreement or loan agreement, or any other material agreement, contract or instrument, to which the Borrower or any of its Subsidiaries is a party or by which it or any of its property or assets is bound or to which it may be subject or (iii) will violate any provision of the Certificate or Articles of Incorporation or By-Laws (or equivalent organizational documents) of the Borrower or any of its Subsidiaries.",no-violation
"No Violation. Neither the execution, delivery or performance by any Credit Party of the Credit Documents to which it is a party nor compliance with the terms and provisions thereof nor the consummation of the Merger and the other transactions contemplated hereby or thereby will (a) contravene any applicable provision of any material law, statute, rule, regulation, order, writ, injunction or decree of any court or governmental instrumentality, (b) except as set forth in Schedule 8.3 to the Original Credit Agreement, result in any breach of any of the terms, covenants, conditions or provisions of, or constitute a default under, or result in the creation or imposition of (or the obligation to create or impose) any Lien upon any of the property or assets of such Credit Party or any of the Restricted Subsidiaries (other than Liens created under the Credit Documents) pursuant to, the terms of any material indenture, loan agreement, lease agreement, mortgage, deed of trust, agreement or other material instrument to which such Credit Party or any of the Restricted Subsidiaries is a party or by which it or any of its property or assets is bound (any such term, covenant, condition or provision, a “Contractual Requirement”) other than any such breach, default or Lien that could not reasonably be expected to result in a Material Adverse Effect or (c) violate any provision of the certificate of incorporation, by-laws or other organizational documents of such Credit Party or any of the Restricted Subsidiaries.",no-violation
"No Violation. The consummation of the transactions contemplated by this Agreement and the fulfillment of the terms hereof do not (i) conflict with, result in any breach of any of the terms and provisions of, or constitute (with or without notice or lapse of time) a default under, the limited liability company agreement of WOAR; (ii) breach, conflict with or violate any of the material terms or provisions of, or constitute (with or without notice or lapse of time) a default under, any indenture, agreement or other instrument to which WOAR is a party or by which it is bound; (iii) result in the creation or imposition of any Lien upon any of its properties pursuant to the terms of any such indenture, agreement or other instrument (other than the Sale and Servicing Agreement, the Indenture and the Trust Agreement); or (iv), to the best of WOAR’s knowledge, violate any order, rule or regulation applicable to WOAR of any court or of any federal or state regulatory body, administrative agency or other governmental instrumentality having jurisdiction over WOAR or its properties except, in the case of clauses (ii), (iii) and (iv), for such breaches, defaults, conflicts, liens or violations that would not have a material adverse effect on WOAR’s earnings, business affairs or business prospects.",no-violation
"No Violation. The execution and delivery of this Agreement by such Stockholder does not, and the performance by such Stockholder of its obligations under this Agreement will not, (i) contravene or conflict with the organizational or governing documents of such Stockholder, (ii) contravene or conflict with or constitute a violation by such Stockholder of any provision of any Legal Requirement binding upon or applicable to such Stockholder or any of its properties or assets, (iii) require any consent, approval, authorization or permit of, or filing with or notification to, any Governmental Entity on the part of such Stockholder, except for compliance with the applicable requirements of the Securities Act, the Exchange Act or any other United States or federal or state securities laws and the rules and regulations promulgated thereunder, or (iv) result in any violation of, or default (with or without notice or lapse of time, or both) under, or give rise to a right of termination, cancellation or acceleration of any material obligation or to the loss of a material benefit under any loan, guarantee of indebtedness or credit agreement, note, bond, mortgage, indenture, lease or agreement binding upon such Stockholder or any of its Subsidiaries or result in the creation of any Lien (other than Parent Permitted Encumbrances) upon any of the Voting Shares, except for any of the matters set forth in the foregoing clauses (ii) and (iv) as would not reasonably be expected to impair the ability of such Stockholder to perform its obligations hereunder or to consummate the transactions contemplated hereby on a timely basis.",no-violation
"No Violation. The consummation of the transactions contemplated by, and the fulfillment of the terms of, this Agreement by the Servicer (with or without notice or lapse of time) will not (i) conflict with, result in any breach of any of the terms or provisions of, or constitute a default under, the articles of incorporation or by-laws of the Servicer, or any Contractual Obligation to which the Servicer is a party or by which it or any of its property is bound, (ii) result in the creation or imposition of any Adverse Claim upon any of its properties pursuant to the terms of any such Contractual Obligation (other than this Agreement), or (iii) violate any Applicable Law.",no-violation
