clause_text,clause_type
"No Waiver. Neither a failure nor a delay on the part of either the Trustee or the Holders in exercising any right, power or privilege under this Article 10 shall operate as a waiver thereof, nor shall a single or partial exercise thereof preclude any other or further exercise of any right, power or privilege. The rights, remedies and benefits of the Trustee and the Holders herein expressly specified are cumulative and not exclusive of any other rights, remedies or benefits which either may have under this Article 10 at law, in equity, by statute or otherwise.",no-waiver
"No Waiver. The failure of any party hereto to exercise any right, power or remedy provided under this Agreement or otherwise available in respect hereof at law or in equity, or to insist upon compliance by any other party hereto with its obligations hereunder, and any custom or practice of the parties at variance with the terms hereof, shall not constitute a waiver by such party of its right to exercise any such or other right, power or remedy or to demand such compliance.",no-waiver
No Waiver. The failure of a party to insist upon strict adherence to any term of this Agreement on any occasion shall not be considered a waiver of such party’s rights or deprive such party of the right thereafter to insist upon strict adherence to that term or any other term of this Agreement.,no-waiver
"No Waiver. No failure by either party hereto at any time to give notice of any breach by the other party of, or to require compliance with, any condition or provision of this Agreement shall be deemed a waiver of similar or dissimilar provisions or conditions at the same or at any prior or subsequent time.",no-waiver
"No Waiver. If either party hereto at any time fails to require performance by the other of any provision of this Agreement, such failure in no way affects the right to require such performance at any time thereafter, nor shall the waiver by either party of a breach or default under any provision of this Agreement be construed to be a waiver of any subsequent breach or default under that provision or any other provision of this Agreement.",no-waiver
"No Waiver. No failure or delay on the part of any party hereto in exercising any right, power or remedy hereunder shall operate as a waiver thereof, nor shall any single or partial exercise of any such right, power or remedy preclude any other or further exercise thereof or the exercise of any other right, power or remedy. Any waiver granted hereunder must be in writing and shall be valid only in the specific instance in which given.",no-waiver
"No Waiver. No failure on the part of the Collateral Agent or any of its agents to exercise, and no course of dealing with respect to, and no delay in exercising, any right, power or remedy hereunder shall operate as a waiver thereof; nor shall any single or partial exercise by the Collateral Agent or any of its agents of any right, power or remedy hereunder preclude any other or further exercise thereof or the exercise of any other right, power or remedy. The remedies herein are cumulative and are not exclusive of any remedies provided by law.",no-waiver
"No Waiver. No failure by either party hereto to exercise, and no delay by such party in exercising, any right hereunder shall operate as a waiver thereof. The exercise by either party hereto of any right hereunder shall not preclude the exercise of any other right, and the remedies provided herein are cumulative and not exclusive of any remedies provided at law or in equity.",no-waiver
"No Waiver. No term or condition of this Agreement shall be deemed to have been waived, except by a statement in writing signed by the party against whom enforcement of the waiver is sought. Any written waiver shall not be deemed a continuing waiver unless specifically stated, shall operate only as to the specific term or condition waived and shall not constitute a waiver of such term or condition for the future or as to any act other than that specifically waived.",no-waiver
"No Waiver. No failure by Landlord or Tenant to insist upon the strict performance of any term hereof or to exercise any right, power or remedy consequent upon a breach thereof, and no acceptance of full or partial payment of Rent during the continuance of any such breach, shall constitute a waiver of any such breach or of any such term. To the maximum extent permitted by law, no waiver of any breach shall affect or alter this Agreement, which shall continue in full force and effect with respect to any other then existing or subsequent breach.",no-waiver
"No Waiver. No failure on the part of Lender to exercise, and no delay in exercising, any right, power or remedy hereunder shall operate as a waiver thereof, nor shall any single or partial exercise of any such right, power or remedy by Lender preclude any other or further exercise thereof or the exercise of any other right, power or remedy. All remedies are cumulative and are not exclusive of any other remedies provided by law.",no-waiver
"No Waiver. No failure or delay on the part of any party hereto in exercising any right, power or remedy hereunder or pursuant hereto shall operate as a waiver thereof; nor shall any single or partial exercise of any such right, power or remedy preclude any other or further exercise thereof or the exercise of any other right, power or remedy hereunder or pursuant thereto.",no-waiver
"No Waiver. No delay, failure or discontinuance of Bank in exercising any right, power or remedy under any of the Loan Documents shall affect or operate as a waiver of such right, power or remedy; nor shall any single or partial exercise of any such right, power or remedy preclude, waive or otherwise affect any other or further exercise thereof or the exercise of any other right, power or remedy. Any waiver, permit, consent or approval of any kind by Bank of any breach of or default under any of the Loan Documents must be in writing and shall be effective only to the extent set forth in such writing.",no-waiver
"No Waiver. The Executive’s or the Company’s failure to insist upon strict compliance with any provision of this Agreement or the failure to assert any right the Executive or the Company may have hereunder, including, without limitation, the right of the Executive to terminate employment for Good Reason pursuant to Section 3(c) hereof, shall not be deemed to be a waiver of such provision or right or any other provision or right of this Agreement.",no-waiver
"No Waiver. Any delay in enforcing a Party’s rights under this Agreement or any waiver as to a particular default or other matter shall not constitute a waiver of such Party’s rights to the future enforcement of its rights under this Agreement, except with respect to an express written and signed waiver relating to a particular matter for a particular period of time.",no-waiver
"No Waiver. No failure on the part of any party hereto to exercise and no delay in exercising, and no course of dealing with respect to, any right, power or privilege under this Agreement shall operate as a waiver thereof, nor shall any single or partial exercise of any right, power or privilege under this Agreement preclude any other or further exercise thereof or the exercise of any other right, power or privilege. The remedies provided herein are cumulative and not exclusive of any remedies provided by law.",no-waiver
"No Waiver. No failure on the part of any party hereto to exercise, and no delay by any party hereto in exercising, any of its respective rights, powers, remedies or privileges under this Agreement or provided at Law, in equity or otherwise shall impair, prejudice or constitute a waiver of any such right, power, remedy or privilege or be construed as a waiver of any breach hereof or default hereunder or as an acquiescence therein nor shall any single or partial exercise of any such right, power, remedy or privilege preclude any other or further exercise thereof by it or the exercise of any other right, power, remedy or privilege by it. No notice to or demand on any party hereto in any case shall, unless otherwise required under this Agreement, entitle such party to any other or further notice or demand in similar or other circumstances or constitute a waiver of the rights of any party hereto to any other or further action in any circumstances without notice or demand.",no-waiver
"No Waiver. The failure of any party to insist upon the performance of any of the terms and conditions in this Agreement, or the failure to prosecute any breach of any of the terms and conditions of this Agreement, shall not be construed thereafter as a waiver of any such terms or conditions. This entire Agreement shall remain in full force and effect as if no such forbearance or failure of performance had occurred.",no-waiver
"No Waiver. The execution of this Amendment and acceptance of any documents related hereto shall not be deemed to be a waiver of any Default or Event of Default under the Credit Agreement or breach, default or event of default under any Security Document or other document held by the Lender, whether or not known to the Lender and whether or not existing on the date of this Amendment.",no-waiver
"No Waiver. Agent’s or any Lender’s failure, at any time or times, to require strict performance by the Credit Parties of any provision of this Agreement or any other Loan Document shall not waive, affect or diminish any right of Agent or such Lender thereafter to demand strict compliance and performance herewith or therewith. Any suspension or waiver of an Event of Default shall not suspend, waive or affect any other Event of Default whether the same is prior or subsequent thereto and whether the same or of a different type. Subject to the provisions of Section 11.2, none of the undertakings, agreements, warranties, covenants and representations of any Credit Party contained in this Agreement or any of the other Loan Documents and no Default or Event of Default by any Credit Party shall be deemed to have been suspended or waived by Agent or any Lender, unless such waiver or suspension is by an instrument in writing signed by an officer of or other authorized employee of Agent and the applicable required Lenders, and directed to Borrowers specifying such suspension or waiver.",no-waiver
"No Waiver. The rights and remedies of the Administrative Agent and the Lenders expressly set forth in this Agreement and the other Credit Documents are cumulative and in addition to, and not exclusive of, all other rights and remedies available at law, in equity or otherwise. No failure or delay on the part of the Administrative Agent or any Lender in exercising any right, power or privilege shall operate as a waiver thereof, nor shall any single or partial exercise of any such right, power or privilege preclude other or further exercise thereof or the exercise of any other right, power or privilege or be construed to be a waiver of any Default or Event of Default. No course of dealing between any Credit Party, the Administrative Agent or the Lenders or their agents or employees shall be effective to amend, modify or discharge any provision of this Agreement or any other Credit Document or to constitute a waiver of any Default or Event of Default. No notice to or demand upon any Credit Party in any case shall entitle any Credit Party to any other or further notice or demand in similar or other circumstances or constitute a waiver of the right of the Administrative Agent or any Lender to exercise any right or remedy or take any other or further action in any circumstances without notice or demand.",no-waiver
"No Waiver. Each and every right granted to BNY hereunder or under any other document delivered hereunder or in connection herewith, or allowed it by law or equity, shall be cumulative and may be exercised from time to time. No failure on the part of BNY to exercise, and no delay in exercising, any right will operate as a waiver thereof, nor will any single or partial exercise by BNY of any right preclude any other or future exercise thereof or the exercise of any other right.",no-waiver
No Waiver. Any waiver by any party of a breach of any provision of this Agreement shall not operate as or be construed to be a waiver of any other breach of such provision or of any breach of any other provision of this Agreement. The failure of a party to insist upon strict adherence to any term of this Agreement on one or more occasions shall not be considered a waiver or deprive that party of the right thereafter to insist upon strict adherence to that term or any other term of this Agreement.,no-waiver
