clause_text,clause_type
"Non-Competition. Employee agrees that during the Term of this Agreement and, in the case of a termination ""Not For Cause"", for a period of one (1) year thereafter, (and in the case of a termination ""For Cause"", for a period of Two (2) years thereafter Employee will not, directly, indirectly, or as an agent on behalf of or in conjunction with any person, firm, partnership, corporation or other entity, own, manage, control, join, or participate in the ownership, management, operation, or control of, or be financially interested in or advise, lend money to, or be employed by or provide consulting services to, or be connected in any manner with any person engaged in Business within a 60 mile radius of any area within the United States of America which the Company is engaging in its Business or has immediate plans to engage in its Business.",non-competition
"Non-Competition. For purposes of this Section 8(c) the parties agree that the “business of the Company” shall be defined to include the development, manufacture, packaging, advertising, marketing, distribution and sale of turf or turf related products. The Executive covenants and agrees that during the Term, Executive shall not engage in any activity or render service in any capacity, directly or indirectly, (whether as principal, director, officer, investor, employee, consultant or otherwise) for or on behalf of any person or persons or entity in the United States or anywhere else in the world if such activity or service directly or indirectly involves or relates to any (1) business which is in competition with the business of the Company or (2) other business acquired or begun by the Company during the period of the Executive’s employment hereunder but in the latter event only if the Executive was directly involved in the operation of such other business. It is understood and agreed that nothing herein contained shall prevent the Executive from engaging in discussions concerning business arrangements to become effective upon the expiration of the term of this covenant not to compete.",non-competition
"Non-Competition. By and in consideration of the Company entering into this Agreement and the payments made and the benefits provided hereunder, and in further consideration of the Executive’s exposure to the Confidential Information of the Company and its affiliates, the Executive agrees that the Executive shall not, during the Executive’s employment with the Company and for eighteen (18) months thereafter (the “Restriction Period”), directly or indirectly, own, manage, operate, join, control, be employed by, or participate in the ownership, management, operation or control of, or be connected in any manner with, including, without limitation, holding any position as a stockholder, director, officer, consultant, independent contractor, employee, partner, or investor in, any Restricted Enterprise (as defined below); provided, that in no event shall ownership of one percent (1%) or less of the outstanding securities of any class of any issuer whose securities are registered under the Securities Exchange Act of 1934, as amended, standing alone, be prohibited by this Section 4.2, so long as the Executive does not have, or exercise, any rights to manage or operate the business of such issuer other than rights as a stockholder thereof. For purposes of this paragraph, “Restricted Enterprise” shall mean any Person that is actively engaged in any geographic area in any business which is either (i) in competition with the business of the Company or any of its subsidiaries or affiliates or (ii) proposed to be conducted by the Company or any of its subsidiaries or affiliates in their respective business plans as in effect at that time. During the Restriction Period, upon request of the Company, the Executive shall notify the Company of the Executive’s then-current employment status.",non-competition
"Non-Competition. Employee agrees that during the period of Employee's employment with the Company and for a period of 18 months from the last payment of compensation to Employee by the Company, Employee shall not engage in or participate in any business activity that competes, directly or indirectly, with the businesses of the Company, or its subsidiaries or affiliates, provided that Employee shall not be precluded from competing with the business of the Company in the event of a termination of Employee's employment as a result of a material breach by the Company of the provisions of this Agreement or in the event that Employee's employment is terminated by the Company other than for cause. For purposes of this Section 8, Employee shall be deemed to ""compete, directly or indirectly"" with the businesses of the Company, or its subsidiaries or affiliates if Employee is or becomes engaged, otherwise than at the request of the Company, as an officer, director or employee of, or is or becomes associated in a management or ownership, consultant or agent, capacity with, any corporation, partnership or other enterprise or venture the business of which includes wholesale, private label web hosting and email services in Canada or the United States, during the 18 month period immediately preceding Employee's termination. Employee shall not be deemed to ""compete, directly or indirectly"" with the businesses of the Company, or its subsidiaries or affiliates if he becomes associated in a management or ownership, consultant or agent, capacity with, any corporation, partnership or other enterprise or venture, the business of which is competitive to the Company, prior to the date that the businesses of the Company becomes competitive with the business of such corporation, partnership or other enterprise or venture. Notwithstanding anything to the contrary contained herein Employee may, without being deemed to compete, directly or indirectly, with the businesses of the Company or its subsidiaries or affiliates own not more than 5% of any class of the outstanding securities of any such corporation listed on a national securities exchange or traded in the over-the-counter market. It is the desire and the intent of the parties that the provisions of this Section 8 shall be enforceable to the fullest extent permissible under the laws and public policies applied in each jurisdiction in which enforcement is sought. Accordingly, if any particular portion of this Section 8 is adjudicated unenforceabl...",non-competition
Non-Competition a. Executive acknowledges and recognizes the highly competitive nature of the businesses of the Company and its affiliates and accordingly agrees as follows:,non-competition
"Non-Competition. The Executive covenants and agrees that during the Employment Term and for a period extending to the first anniversary of the Executive’s termination of employment for any reason (the “Restricted Period”), with respect to any State in which the Company is engaged in business at the time of such termination, the Executive shall not, directly or indirectly, individually or jointly, own any interest in, operate, join, control or participate as a partner, director, principal, officer, or agent of, enter into the employment of, act as a consultant to, or perform any services for (i) any entity which competes to a material extent with the business activities in which the Company is engaged at the time of such termination or in which business activities the Company has documented plans to become engaged in and as to which Executive has knowledge at the time of Executive’s termination of employment, or (ii) any entity in which any such relationship with the Executive would result in the inevitable use or disclosure of Confidential Information. Notwithstanding anything herein to the contrary, this Section 7(b) shall not prevent the Executive from acquiring as an investment securities representing not more than three percent (3%) of the outstanding voting securities of any publicly-held corporation.",non-competition
"Non-Competition. (a) During his employment by the Company and for a period of one year thereafter, the Employee will not, unless acting with the prior written consent of the Board, directly or indirectly, own, manage, operate, join, control, finance or participate in the ownership, management, operation, control or financing of, or be connected as an officer, director, employee, partner, principal, agent, representative, consultant or otherwise with or use or permit his name to be used in connection with, any business or enterprise engaged in a geographic area in which the Company or any of its affiliates is operating either during his employment by the Company or on the Termination Date, as applicable, presently on the East Coast of the United States or at any port in the Gulf of Mexico (whether or not such business is physically located within those areas) (the ""Geographic Area""), in any business that is a customer of, competitive to, a business from which the Company or any of its affiliates derive at least five percent of its respective gross revenues either during his employment by the Company or on the Termination Date, as applicable. It is recognized by the Employee that the business of the Company and its affiliates and the Employee's connection therewith is or will be involved in activity throughout the Geographic Area, and that more limited geographical limitations on this non-competition covenant are therefore not appropriate. The Employee also shall not, directly or indirectly, during such one-year period (a) solicit or divert business from, or attempt to convert any client, account or customer of the Company or any of its affiliates, whether existing at the date hereof or acquired during Employee's employment nor (b) following Employee's employment, solicit or attempt to hire any then employee of the Employer or of any of its affiliates.",non-competition
"Non-Competition. (a) Executive agrees that during his employment by the Company and during the two (2) year period following the termination of Executive’s employment hereunder (the “Non-Competitive Period”), Executive shall not, directly or indirectly, as owner, partner, joint venturer, stockholder, employee, broker, agent, principal, trustee, corporate officer, director, licensor, or in any capacity whatsoever, engage in, become financially interested in, be employed by, render any consultation or business advice with respect to, accept any competitive business on behalf of, or have any connection with any business which is competitive with products or services of the Company or any subsidiaries and affiliates, in any geographic area in which the Company or any of its subsidiaries or affiliates are then conducting or proposing to conduct business, including, without limitation, the United States of America and its possessions, Canada and Europe; provided, however, that Executive may own any securities of any corporation which is engaged in such business and is publicly owned and traded but in an amount not to exceed at any one time one percent (1%) of any class of stock or securities of such corporation. In addition, Executive shall not, during the Non-Competitive Period, directly or indirectly, request or cause any suppliers or customers with whom the Company or any of its subsidiaries and affiliates has a business relationship to cancel or terminate any such business relationship with the Company or any of its subsidiaries and affiliates or otherwise compromise the Company’s good will or solicit, hire, interfere with or entice from the Company any employee (or former employee) of the Company.",non-competition
"Non-Competition. (a) Upon any termination of Executive’s employment hereunder, other than a termination, (whether voluntary or involuntary) in connection with a Change in Control, as a result of which the Bank is paying Executive benefits under Section 6 of this Agreement, Executive agrees not to compete with the Bank and/or the Company for a period of one (1) year following such termination within twenty-five (25) miles of any existing branch of the Bank or any subsidiary of the Company or within twenty-five (25) miles of any office for which the Bank, the Company or a Bank subsidiary of the Company has filed an application for regulatory approval to establish an office, determined as of the effective date of such termination, except as agreed to pursuant to a resolution duly adopted by the Board. Executive agrees that during such period and within said area, cities, towns and counties, Executive shall not work for or advise, consult or otherwise serve with, directly or indirectly, any entity whose business materially competes with the depository, lending or other business activities of the Bank and/or the Company. The parties hereto, recognizing that irreparable injury will result to the Bank and/or the Company, its business and property in the event of Executive’s breach of this Subsection 11(a) agree that in the event of any such breach by Executive, the Bank and/or the Company will be entitled, in addition to any other remedies and damages available, to an injunction to restrain the violation hereof by Executive, Executive’s partners, agents, servants, employers, employees and all persons acting for or with Executive. Executive represents and admits that Executive’s experience and capabilities are such that Executive can obtain employment in a business engaged in other lines and/or of a different nature than the Bank and/or the Company, and that the enforcement of a remedy by way of injunction will not prevent Executive from earning a livelihood. Nothing herein will be construed as prohibiting the Bank and/or the Company from pursuing any other remedies available to the Bank and/or the Company for such breach or threatened breach, including the recovery of damages from Executive.",non-competition
"Non-Competition. During the Term and any Non-Compete Period (hereinafter defined), the Executive will not, directly or indirectly, either as a principal, agent, employee, employer, stockholder or partner engage in any “Competitive Business”; PROVIDED, HOWEVER, the foregoing shall not prohibit or limit the Executive’s right to pursue and maintain passive investments allowed pursuant to Section 1(c) hereof. For purposes of this Section 10(a), “Competitive Business” means acquiring, investing in or with respect to, owning, leasing, managing or developing hotel properties in the United States or in any international market in which the Company or any clients it advises conduct such business or originating or acquiring loans in respect of hotel properties in the United States or in any international market in which the Company or any clients it advises conduct such business, in each case, where the Executive had duties or performed services for the Company, which the parties stipulate is a reasonable geographic area because of the scope of the Company’s operations and the Executive’s employment with the Company. The Executive may not avoid the purpose and intent of this restriction by engaging in conduct within the geographically limited area from a remote location through means such as telecommunications, written correspondence, computer generated or assisted communications, or other similar methods. For purposes of this Section 10(a), the “Non-Compete Period” shall mean the period ending on the first anniversary of his Date of Termination. The Executive acknowledges that the services provided by the Executive are of a special, unique, and extraordinary nature. The Executive further acknowledges that his work and experience with the Company will enhance his value to a Competitive Business, and that the nature of the Confidential Information to which the Executive has immediate access and will continue to have access during the course of his employment makes it difficult, if not impossible, for him to engage in any Competitive Business without disclosing or utilizing the Confidential Information. The Executive further acknowledges that his work and experience with the Company places him in a position of trust with the Company.",non-competition
