clause_text,clause_type
"NON-DISCRIMINATION. 1. Nationals of a Contracting State shall not be subjected in the other Contracting State to any taxation or any requirement connected therewith, which is other or more burdensome than the taxation and connected requirements to which nationals of that other State in the same circumstances, in particular with respect to residence, are or may be subjected. This provision shall, notwithstanding the provisions of Article 1, also apply to persons who are not residents of one or both of the Contracting States.",non-discrimination
"NON-DISCRIMINATION. In the performance of this Contract, Contractor agrees that it will comply with the requirements of Section 1735 of the California Labor Code and not engage nor permit any subcontractors to engage in discrimination in employment of persons because of the race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, marital status, or sex of such persons. Contractor acknowledges that a violation of this provision shall subject Contractor to penalties pursuant to Section 1741 of the California Labor Code.",non-discrimination
NON-DISCRIMINATION. 1. The nationals of a Contracting State shall not be subjected in the other Contracting State to any taxation or any requirement connected therewith which is other or more burdensome than the taxation and connected requirements to which nationals of that other State in the same circumstances are or may be subjected.,non-discrimination
"NON-DISCRIMINATION. (a) For purposes of this Section, the following terms are defined as follows:",non-discrimination
"NON-DISCRIMINATION. The contractor, with regard to the work performed by it during the contract, will not discriminate on the grounds of race, color, or national origin in the selection and retention of subcontractors, including procurements of materials and leases of equipment. The contractor will not participate directly or indirectly in the discrimination prohibited by the Acts and the Regulations, including employment practices when the contract covers any activity, project, or program set forth in Appendix B of 49 CFR part 21.",non-discrimination
"NON-DISCRIMINATION. The Contractor will prohibit discrimination on the basis of age under the Age Discrimination Act of 1975, on the basis of handicap under section 504 of the Rehabilitation Act of 1973, on the basis of sex under Title IX of the Education Amendments of 1972, or on the basis of race, color or national origin under Title VI of the Civil Rights Act of 1964. No person shall on the grounds of sex (including, in the case of a woman, on the grounds that the woman is pregnant) or on the grounds of religion, be excluded from participation in, be denied the benefits of, or be subjected to discrimination, to include sexual harassment, under any program or activity supported by state and/or federal funds. The Contractor will also not refuse, withhold from or deny to any person the benefit of services, facilities, goods, privileges, advantages, or benefits of public accommodation on the basis of disability, race, creed, color, national origin, marital status, sex, sexual orientation or gender identity under Title 9 V.S.A. Chapter 139.",non-discrimination
"NON-DISCRIMINATION. Contractor complies with the federal Americans with Disabilities Act (42 U.S.C. 12101 et seq.), and California’s Fair Employment and Housing Act (California Government Code sections 12990 et seq.) and associated regulations (California Code of Regulations, title 2, sections 7285 et seq.). Contractor does not unlawfully discriminate against any employee or applicant for employment because of age (40 and over), ancestry, color, creed, disability (mental or physical) including HIV and AIDS, marital or domestic partner status, medical condition (including cancer and genetic characteristics), national origin, race, religion, request for family and medical care leave, sex (including gender and gender identity), and sexual orientation. Contractor will notify in writing each labor organization with which Contractor has a collective bargaining or other agreement of Contractor’s obligations of non-discrimination.",non-discrimination
"NON-DISCRIMINATION. Tenant promises, and it is a condition to the continuance of this Lease, that there will be no discrimination against, or segregation of, any person or group of persons on the basis of race, color, sex, creed, national origin or ancestry in the leasing, subleasing, transferring, occupancy, tenure or use of the Property or any portion thereof.",non-discrimination
"NON-DISCRIMINATION. A. Pursuant to I.C. 22-9-1-10, the Civil Rights Act of 1964, and the Americans with Disabilities Act, the CONSULTANT shall not discriminate against any employee or applicant for employment, to be employed in the performance of work under this Contract, with respect to hire, tenure, terms, conditions or privileges of employment or any matter directly or indirectly related to employment, because of race, color, religion, sex, disability, national origin, ancestry or status as a veteran. Breach of this covenant may be regarded as a material breach of this Contract. Acceptance of this Contract also signifies compliance with applicable federal laws, regulations, and executive orders prohibiting discrimination in the provision of services based on race, color, national origin, age, sex, disability or status as a veteran. B The CONSULTANT understands that the LPA is a recipient of federal funds. Pursuant to that understanding, the CONSULTANT agrees that if the CONSULTANT employs fifty (50) or more employees and does at least $50,000.00 worth of business with the State and is not exempt, the CONSULTANT will comply with the affirmative action reporting requirements of 41 CFR 60-",non-discrimination
"NON-DISCRIMINATION. Pursuant to Ohio Revised Code 125.111 Recipient agrees that Recipient and any person acting on behalf of Recipient shall not discriminate, by reason of race, color, religion, sex, sexual orientation, age, disability, military status, national origin, or ancestry against any citizen of this State in the employment of any person qualified and available to perform the work under this Agreement. Recipient further agrees that Recipient and any person acting on behalf of Recipient shall not, in any manner, discriminate against, intimidate, or retaliate against any employee hired for the performance of work under this Agreement on account of race, color, religion, sex, sexual orientation, age, disability, military status, national origin, or ancestry.",non-discrimination
"NON-DISCRIMINATION. 2.1 Under this Agreement, neither party will discriminate against employees on the basis of religion, age, sex, status as a breastfeeding mother, pregnancy, marital status, race, color, creed, national origin, political affiliation, military status, status as an honorably discharged veteran, a disabled veteran or Vietnam era veteran, sexual orientation, gender identity, gender expression, any real or perceived sensory, mental or physical disability, use of a trained guide or service animal by a person with a disability, genetic information, status as a victim of domestic violence, sexual assault, or stalking, or because of the participation or lack of participation in union activities. Bona fide occupational qualifications based on the above traits do not violate this Section.",non-discrimination
"NON-DISCRIMINATION. The parties shall not discriminate against any employee or participant in the performance of the duties, responsibilities and obligations under this agreement because of race, color, religion, gender, age, marital status, disability, political or religious beliefs, national or ethnic origin.",non-discrimination
