clause_text,clause_type
"Non-Disparagement. Executive agrees and covenants that he will not at any time, directly or indirectly, make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, shareholders, members or advisors, or any member of the Board. This Section 9 does not, in any way, restrict or impede Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order. Executive shall promptly provide written notice of any such order to the Board. The Company agrees and covenants that it shall cause its officers and directors to refrain from making any defamatory or disparaging remarks, comments, or statements concerning Executive to any third parties.",non-disparagement
"Non-Disparagement. Executive shall not, at any time during the Term and thereafter, make statements or representations, or otherwise communicate, directly or indirectly, in writing, orally, or otherwise, or take any action which may, directly or indirectly, disparage the Bank or the Company or any of its subsidiaries or affiliates or their respective officers, directors, employees, advisors, businesses or reputations. Notwithstanding the foregoing, nothing in this Agreement shall preclude Executive from making truthful statements that are required by applicable law, regulation or legal process.",non-disparagement
"Non-Disparagement. During his employment with the Company and at any time thereafter, Executive agrees not to disparage or encourage or induce others to disparage the Company, any of its respective employees that were employed during Executive’s employment with the Company or any of its respective past and present, officers, directors, products or services (the “Company Parties”). For purposes of this Section 8.7, the term “disparage” includes, without limitation, comments or statements to the press, to the Company’s employees or to any individual or entity with whom the Company has a business relationship (including, without limitation, any vendor, supplier, customer or distributor), or any public statement, that in each case is intended to, or can be reasonably expected to, materially damage any of the Company Parties. Notwithstanding the foregoing, nothing in this Section 8.7 shall prevent Executive from making any truthful statement to the extent, but only to the extent (A) necessary with respect to any litigation, arbitration or mediation involving this Agreement, including, but not limited to, the enforcement of this Agreement, in the forum in which such litigation, arbitration or mediation properly takes place or (B) required by law, legal process or by any court, arbitrator, mediator or administrative or legislative body (including any committee thereof) with apparent jurisdiction over Executive.",non-disparagement
"Non-Disparagement. Executive covenants and agrees that Executive shall not engage in any pattern of conduct that involves the making or publishing of written or oral statements or remarks (including, without limitation, the repetition or distribution of derogatory rumors, allegations, negative reports or comments) which are disparaging, deleterious or damaging to the integrity, reputation or good will of the Company, its management, or of management of corporations affiliated with the Company.",non-disparagement
"Non-Disparagement. Executive agrees that Executive shall not disparage, criticize or defame the Company, its affiliates and their respective affiliates, directors, officers, agents, partners, stockholders or employees, either publicly or privately. The Company agrees that it shall not, and it shall instruct its officers and members of its Board to not, disparage, criticize or defame Executive, either publicly or privately. Nothing in this Section 12(b) shall have application to any evidence or testimony required by any court, arbitrator or government agency.",non-disparagement
"Non-Disparagement. During the Term of Employment and at all times thereafter, the Executive shall not, directly or through any other Person make any public or private statements (whether orally, in writing, via electronic transmission, or otherwise) that disparage, denigrate or malign the Company, any of the Company’s Affiliates or any of their respective businesses, products, services, activities, operations, affairs, reputations or prospects; or any of their respective officers, employees, directors, partners (general and limited), agents, members or shareholders. For purposes of clarification, and not limitation, a statement shall be deemed to disparage, denigrate or malign a Person if such statement could be reasonably construed to adversely affect the opinion any other Person may have or form of such first Person. The foregoing limitations shall not be violated by truthful statements made by the Executive (i) to any governmental authority or (ii) which are in response to legal process, required governmental testimony or filings, or administrative or arbitral proceedings (including, without limitation, depositions in connection with such proceedings).",non-disparagement
"Non-Disparagement. Executive will not, during the Term or after the termination or expiration of this Agreement or Executive’s employment, make disparaging statements, in any form, about Employer’s officers, directors, agents, employees, products or services which Executive knows, or has reason to believe, are false or misleading.",non-disparagement
"Non-Disparagement. During the period commencing on the Effective Date and continuing until the third anniversary of the Executive’s termination of employment for any reason, neither Executive nor his agents, on the one hand, nor the Companies formally, or their respective senior executives or board of directors, on the other hand, shall directly or indirectly issue or communicate any public statement, or statement likely to become public, that maligns, denigrates or disparages the other (including, in the case of communications by Executive or his agents, any of the Companies’ officers, directors or employees). The foregoing shall not be violated by truthful responses to legal process or governmental inquiry or by private statements to any of the Companies’ officers, directors or employees; provided, that in the case of Executive, such statements are made in the course of carrying out his duties pursuant to this Agreement.",non-disparagement
"Non-Disparagement. You understand and agree that, as a condition for payment to you of the consideration herein described, you shall not make any false, disparaging or derogatory statements to any media outlet, industry group, financial institution or current or former employee, consultant, client or customer of the Company regarding the Company or any of its directors, officers, employees, agents or representatives or about the Company’s business affairs and financial condition; provided, however, that nothing herein shall prevent you from making truthful disclosures to any governmental entity or in any litigation or arbitration.",non-disparagement
"Non-Disparagement. Executive shall not, and shall not induce others to, Disparage the Company or its subsidiaries or affiliates or their past and present officers, directors, employees or products. ""Disparage"" shall mean making comments or statements to the press, the Company's or its subsidiaries' or affiliates' employees or any individual or entity with whom the Company or its subsidiaries or affiliates has a business relationship which would adversely affect in any manner (1) the business of the Company or its subsidiaries or affiliates (including any products or business plans or prospects), or (2) the business reputation of the Company or its subsidiaries or affiliates, or any of their products, or their past or present officers, directors or employees.",non-disparagement
"Non-Disparagement. The Employee and the Company agree to refrain from any defamation, libel or slander of the other and its respective officers, directors, employees, representatives, investors, shareholders, administrators, affiliates, divisions, subsidiaries, predecessor and successor corporations and assigns or tortious interference with the contracts and relationships of the other and its respective officers, directors, employees, representatives, investors, shareholders, administrators, affiliates, divisions, subsidiaries, predecessor and successor corporations and assigns.",non-disparagement
"Non-Disparagement. Each of the Executive and the Company (for purposes hereof, “the Company” shall mean only (i) the Company by press release or otherwise and (ii) the executive officers and directors thereof and not any other employees) agrees not to make any public statements that disparage the other party, or in the case of the Company, its respective affiliates, officers, directors, products or services. Notwithstanding the foregoing, statements made in the course of sworn testimony in administrative, judicial or arbitral proceedings (including, without limitation, depositions in connection with such proceedings) or otherwise as required by law shall not be subject to this Section 10(d).",non-disparagement
"Non-Disparagement. Each Party (which, in the case of the Company, shall mean its officers and the members of the Board) agrees, during the Term and following the Date of Termination, to refrain from Disparaging (as defined below) the other Party and its affiliates, including, in the case of the Company, any of its services, technologies or practices, or any of its directors, officers, agents, representatives or stockholders, either orally or in writing. Nothing in this paragraph shall preclude any Party from making truthful statements that are reasonably necessary to comply with applicable law, regulation or legal process, or to defend or enforce a Party’s rights under this Agreement. For purposes of this Agreement, “Disparaging” means remarks, comments or statements, whether written or oral, that impugn the character, integrity, reputation or abilities of the person or entity being disparaged.",non-disparagement
"Non-Disparagement. From and after the Effective Date and following termination of the Executive’s employment with the Company, the Executive agrees not to make any statement (other than statements made in connection with carrying out his responsibilities for the Company and its subsidiaries and affiliates) that is intended to become public, or that should reasonably be expected to become public, and that criticizes, ridicules, disparages or is otherwise derogatory of the Company or any of its subsidiaries, affiliates, employees, officers, directors or stockholders. The Company and its affiliates shall cause their officers and directors not to make any such statement regarding the Executive.",non-disparagement
"Non-Disparagement. I agree that during the Employment Period, and at all times thereafter, I will not make any disparaging or defamatory comments regarding any member of the Company Group or its respective current or former directors, officers, or employees in any respect or make any comments concerning any aspect of my relationship with any member of the Company Group or any conduct or events which precipitated any termination of my employment from any member of the Company Group. However, my obligations under this subparagraph (d) shall not apply to disclosures required by applicable law, regulation, or order of a court or governmental agency.",non-disparagement
"Non-Disparagement. The Executive acknowledges and agrees that the Executive will not defame or criticize the services, business, integrity, veracity, or personal or professional reputation of the Company or any of its directors, officers, employees, affiliates, or agents of any of the foregoing in either a professional or personal manner either during the term of the Executive’s employment or thereafter.",non-disparagement
"Non-Disparagement. The parties agree to treat each other respectfully and professionally and not disparage the other party, and the other party’s officers, directors, employees, shareholders and agents, in any manner likely to be harmful to them or their business, business reputation or personal reputation; provided that both the Executive and Employer will respond accurately and fully to any question, inquiry or request for information when required by the legal process.",non-disparagement
"Non-Disparagement. During the Employment Period and thereafter, (i) Executive agrees that he shall not make, or cause or assist any other person to make, any statement or other communication to any third party which impugns or attacks, or is otherwise critical of, in any material respect, the reputation, business or character of the Company, any of its Affiliates or any of their respective directors, officers or employees (collectively, “Company Persons”) and (ii) the Company agrees that it shall instruct its officers and directors not to make, or cause or assist any other person to make, any statement or other communication to any third party which impugns or attacks, or is otherwise critical of, in any material respect, the reputation, business or character of Executive; provided that neither party shall be required to make any untruthful statement or to violate any law; and provided, further, that either party may make any truthful statement or communication to any third party which clarifies or corrects any statement or other communication by or on behalf of the other party, or, in the case of the Company, any Company Person, which impugns or attacks, or is otherwise critical of, in any material respect, the reputation, business or character of either party or any Company Person.",non-disparagement
"Non-Disparagement. The Executive agrees that during the Employment Period or at any time thereafter, the Executive will not make any statements, comments or communications in any form, oral, written or electronic to any Media or any customer, client or supplier of the Company or any of its Affiliates, which would constitute libel, slander or disparagement of the Company or any of its Affiliates, including, without limitation, any such statements, comments or communications that criticize, ridicule or are derogatory to the Company or any of its Affiliates; provided, however, that the terms of this Section 6.1(b) shall not apply to communications between the Executive and, as applicable, the Executive’s attorneys or other persons with whom communications would be subject to a claim of privilege existing under common law, statute or rule of procedure. The Executive further agrees that the Executive will not in any way solicit any such statements, comments or communications from others.",non-disparagement
"Non-Disparagement. During Executive’s employment and thereafter, Executive agrees not to make any derogatory, negative or disparaging public statement about the Company, its officers, its employees, or members of its Board, or to make any public statement (or any statement likely to become public) that could reasonably be expected to adversely affect or disparage the reputation, or, to the extent applicable, business or goodwill of the Company, it being agreed and understood that nothing herein shall prohibit Executive (a) from disclosing that Executive is no longer employed by the Company, (b) from responding truthfully to any governmental investigation or inquiry related thereto, whether by the Securities and Exchange Commission or other governmental entity or any other law, subpoena, court order or other compulsory legal process or any disclosure requirement of the Securities and Exchange Commission, or (c) from making traditional competitive statements in the course of promoting a competing business, so long as any statements made by Executive described in this clause (c) are not based on confidential information obtained during the course of Executive’s employment with the Company. The Company agrees that it will not make any derogatory, negative or disparaging public statements about Executive that are untruthful in any authorized Company statement (whether written or oral), including, but not limited to, any press release or public announcement.",non-disparagement
"Non-Disparagement. (a) The Executive agrees not to disparage the Company, any of its products or practices, or any of its directors, officers, agents, representatives, members or Affiliates, either orally or in writing, at any time; provided that the Executive may confer in confidence with her legal representatives and make truthful statements as required by law.",non-disparagement
"Non-Disparagement. The Employee agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers and directors.",non-disparagement
"Non-Disparagement. You and the Company agree not to disparage each other, and the other’s attorneys, directors, managers, partners, employees, agents and affiliates, in any manner likely to be harmful to them or their business, business reputation or personal reputation; provided that you and the Company will respond accurately and fully to any question, inquiry or request for information when required by legal process. For purposes of this Section 8, the obligations of the Company shall apply only to the senior management team and the members of the Board of Directors. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.",non-disparagement
"Non-Disparagement. Executive agrees not to engage at any time in any form of conduct or make any statements or representations, or direct any other person or entity to engage in any conduct or make any statements or representations, that disparage, criticize or otherwise impair the reputation of the Company, its affiliates, parents and subsidiaries and their respective past and present officers, directors, stockholders, partners, members, agents and employees. Nothing contained in this Section 6.3 shall preclude Executive from providing truthful testimony or statements pursuant to subpoena or other legal process or in response to inquiries from any government agency or entity.",non-disparagement
