clause_text,clause_type
"Non-Solicitation. During Executive's employment by the Company hereunder and during a period of two (2) years following the date of termination of his employment with the Company, Executive will not, directly or indirectly, whether as an owner, partner, shareholder, consultant, agent, employee, co-venturer or otherwise, or through any other ""person"" (which, for purposes of this subsection, shall mean an individual, a corporation, a partnership, an association, a joint-stock company, a trust, any unincorporated organization, or a government or political subdivision thereof), (1) hire or attempt to hire any employee of the Company or any affiliate of the Company or any person who was an employee of the Company or any affiliate of the Company at any time during the twelve months immediately prior to the termination of Executive's employment with the Company, assist in such hiring by any other person, encourage any such employee to terminate his relationship with the Company or any affiliate of the Company; (2) directly or indirectly, request or cause customers, suppliers or other parties with whom the Company or any of its affiliates has a business relationship to cancel or terminate any such business relationship with the Company or any of its affiliates; and (3) solicit from a customer of the Company or its affiliates any business which is competing with or related to the business of the Company or its affiliates, or with the products or services of the Company or its affiliates.",non-solicitation
"Non-Solicitation. During the period commencing on the Effective Date and ending one year following the Termination Date, the Company shall not, without the Advisor’s prior written consent, directly or indirectly; (i) solicit or encourage any person to leave the employment or other service of the Advisor or its Affiliates; or (ii) hire, on behalf of the Company or any other person or entity, any person who has left the employment within the one year period following the termination of that person’s employment with the Advisor or its Affiliates. During the period commencing on the date hereof through and ending one year following the Termination Date, the Company will not, whether for its own account or for the account of any other Person, intentionally interfere with the relationship of the Advisor or its Affiliates with, or endeavor to entice away from the Advisor or its Affiliates, any person who during the term of the Agreement is, or during the preceding one-year period, was a tenant, co-investor, co-developer, joint venturer or other customer of the Advisor or its Affiliates.",non-solicitation
"Non-Solicitation. From and after the Closing Date, the Seller and any of its affiliates hereby agrees that it will not take any action or permit or cause any action to be taken by any of its agents or affiliates, or by any independent contractors on its behalf, to personally, by telephone or mail, solicit a Mortgagor under any Mortgage Loan for the purpose of refinancing a Mortgage Loan, in whole or in part, without the prior written consent of the Purchaser. It is understood and agreed that all rights and benefits relating to the solicitation of any Mortgagors and the attendant rights, title and interest in and to the list of such Mortgagors and data relating to their Mortgages (including insurance renewal dates) shall be transferred to the Purchaser pursuant hereto on the Closing Date and neither the Seller nor any of its respective affiliates shall take any action to undermine these rights and benefits. Notwithstanding the foregoing, it is understood and agreed that the Seller or any of its respective affiliates may advertise its availability for handling refinancings of mortgages in its portfolio, including the promotion of terms it has available for such refinancings, through the sending of letters or promotional material, so long as it does not specifically target Mortgagors and so long as such promotional material either is sent to the mortgagors for all of the mortgages in the A-quality servicing portfolio of the Seller and any of its affiliates (those it owns as well as those serviced for others) or sent to all of the mortgagors who have specific types of mortgages (such as FHA, VA, conventional fixed-rate or conventional adjustable-rate), or sent to those mortgagors whose mortgages fall within specific interest rate ranges. Promotions undertaken by the Seller or by any affiliate of the Seller which are directed to the general public at large (including, without limitation, mass mailing based on commercially acquired mailing lists, newspaper, radio and television advertisements), shall not constitute solicitation under this Section 30.",non-solicitation
"Non-Solicitation. During Executive’s employment by the Company and for a period equal to the greater of the Restriction Period or one year after the effective date of termination, Executive will not, except with the prior written consent of the Company, (i) directly or indirectly, solicit or hire, or encourage the solicitation or hiring of, any person who is, or was within a six month period prior to such solicitation or hiring, an executive or management employee of the Company or any of its affiliates for any position as an employee, independent contractor, consultant or otherwise or (ii) divert or attempt to divert any existing business of the Company or any of its affiliates.",non-solicitation
"Non-Solicitation. I agree that during the Non-Compete Period, I will not directly or indirectly (i) induce or attempt to induce any employee, contractor or agent of any of the Companies to terminate his/her relationship with any of the Companies, (ii) in any way materially interfere with the relationship between any of the Companies and any employee, contractor or agent of any of the Companies, (iii) hire or attempt to hire, directly or through any entity, any person who was an employee, contractor or agent of any of the Companies at any time during the Non-Compete Period, or (iv) induce or attempt to induce any partner, client, referral source, customer, supplier, licensee, or any other person with a business relationship with any of the Companies to cease or reduce their business with the Company or to do business with any other person, business or entity.",non-solicitation
"Non-Solicitation. The Executive further agrees that as long as the Agreement remains in effect and for a period of one (1) year from its termination, the Executive will not divert any business of the Company and/or its affiliates or any customers or suppliers of the Company and/or the Company’s and/or its affiliates’ business to any other person, entity or competitor, or induce or attempt to induce, directly or indirectly, any person to leave his or her employment with the Company.",non-solicitation
"Non-Solicitation. During the Directorship Term and for a period of three (3) years thereafter, the Director shall not interfere with the Company’s relationship with, or endeavor to entice away from the Company, any person who, on the date of the termination of the Directorship Term and/or at any time during the one year period prior to the termination of the Directorship Term, was an employee or customer of the Company or otherwise had a material business relationship with the Company.",non-solicitation
"Non-Solicitation. In addition to each Executive’s obligations under the Confidential Information Agreement, Executive shall not for a period of two (2) years following Executive’s termination of employment for any reason, either on Executive’s own account or jointly with or as a manager, agent, officer, employee, consultant, partner, joint venturer, owner or stockholder or otherwise on behalf of any other person, firm or corporation, directly or indirectly solicit or attempt to solicit away from the Company any of its officers or employees or offer employment to any person who is an officer or employee of the Company; provided, however, that a general advertisement to which an employee of the Company responds shall in no event be deemed to result in a breach of this Section 10(b). Executive also agrees not to harass or disparage the Company or its employees, clients, directors or agents or divert or attempt to divert any actual or potential business of the Company.",non-solicitation
"Non-Solicitation. In addition, Executive agrees that, during the applicable Restricted Period following Termination of Executive’s employment with the Company, Executive shall not, directly or indirectly, (i) solicit, interfere with, hire, offer to hire or induce any person, who is or was an employee of the Company or any of its affiliates at the time of such solicitation, interference, hiring, offering to hire or inducement, to discontinue his/her relationship with the Company or any of its affiliates or to accept employment by, or enter into a business relationship with, Executive or any other entity or person or (ii) solicit, interfere with or otherwise contact any customer or client of the Company or any of its affiliates.",non-solicitation
"Non-Solicitation. During the term of this Agreement and for one (1) year thereafter, the Fund shall not (with the exceptions noted in the immediately succeeding sentence) knowingly solicit or recruit for employment or hire any of BNY Mellon’s employees, and the Fund shall cause the Fund’s sponsor and any affiliates of the Fund to not (with the exceptions noted in the immediately succeeding sentence) knowingly solicit or recruit for employment or hire any of BNY Mellon’s employees. To “knowingly” solicit, recruit or hire within the meaning of this provision does not include, and therefore does not prohibit, solicitation, recruitment or hiring of a BNY Mellon employee by the Fund, the Fund’s sponsor or an affiliate of the Fund if the BNY Mellon employee was identified by such entity solely as a result of the BNY Mellon employee’s response to a general advertisement by such entity in a publication of trade or industry interest or other similar general solicitation by such entity.",non-solicitation
"Non-Solicitation. Neither the Master Servicer nor the Servicer shall take any action or permit or cause any action to be taken by any of the Master Servicer’s or the Servicer’s agents or affiliates, or by any independent contractors on the Master Servicer’s or the Servicer’s behalf, to personally, by telephone, mail, e-mail or other similar methods of communication, solicit any Mortgagor or obligor under any of the Mortgage Loans to refinance a Mortgage Loan, in whole or in part, without the prior written consent of the Seller, or any of its successors or assigns. It is understood and agreed that promotions undertaken by the Master Servicer or the Servicer which are directed to the general public at large, or designated segments thereof, including without limitation mass mailings based on commercially acquired mailing lists, newspaper, radio, telephone and television advertisements shall not constitute solicitation under this Section 3.22.",non-solicitation
"Non-Solicitation. You agree that during the term of your employment with the Company, and for a period of 24 months following the cessation of employment with the Company for any reason or no reason, you shall not directly or indirectly solicit, induce, recruit or encourage any of the Company’s employees or consultants to terminate their relationship with the Company, or attempt any of the foregoing, either for yourself or any other person or entity. For a period of 24 months following cessation of employment with the Company for any reason or no reason, you shall not attempt to negatively influence any of the Company’s clients or customers from purchasing Company products or services or to solicit or influence or attempt to influence any client, customer or other person either directly or indirectly, to direct his or its purchase of products and/or services to any person, firm, corporation, institution or other entity in competition with the business of the Company.",non-solicitation
"Non-Solicitation. Executive agrees that, so long as he is employed by the Company and for a period of one (1) year after termination of his employment for any reason except termination by the Company for Cause, he shall not (i) directly or indirectly solicit, induce or attempt to solicit or induce any Company employee to discontinue his or her employment with the Company, (ii) usurp any opportunity of the Company that Executive became aware of during his tenure at the Company or which is made available to him on the basis of the belief that Executive is still employed by the Company, or (iii) directly or indirectly solicit or induce or attempt to influence any person or business that is an account, customer or client of the Company to restrict or cancel the business of any such account, customer or client with the Company.",non-solicitation
"Non-Solicitation. During the period commencing on the date of this Agreement and continuing until the first anniversary of the date when the Executive’s Employment terminated for any reason, the Executive shall not directly or indirectly, personally or through others, solicit or attempt to solicit (on the Executive’s own behalf or on behalf of any other person or entity) the employment of any employee of the Company or any of the Company’s affiliates.",non-solicitation
"Non-Solicitation. During my employment with the Company or an affiliate and for the two (2) year period thereafter, I agree that I will not, directly or indirectly, individually or on behalf of any other person, firm, corporation or other entity, knowingly solicit, aid or induce (a) any employee of the Company or any affiliate to leave such employment in order to accept employment with or render services to or with any other person, firm, corporation or other entity unaffiliated with the Company or knowingly take any action to hire or to materially assist or aid any other person, firm, corporation or other entity in identifying or hiring any such employee, or (b) any customer of the Company or any affiliate to purchase goods or services then sold by the Company or any affiliate from another person, firm, corporation or other entity or assist or aid any other persons or entity in identifying or soliciting any such customer. I agree that the foregoing restrictions are reasonable, necessary, and enforceable in order to protect the Company’s trade secrets, confidential and proprietary information, goodwill, and loyalty.",non-solicitation
