clause_text,clause_type
"Notice of Default. The Administrative Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Event of Default unless the Administrative Agent has received notice from a Lender or the Borrower referring to this Agreement, describing such Default or Event of Default and stating that such notice is a “notice of default”. In the event that the Administrative Agent receives such a notice, the Administrative Agent shall give notice thereof to the Lenders. The Administrative Agent shall take such action with respect to such Default or Event of Default as shall be reasonably directed by the Required Lenders (or, if so specified by this Agreement, all Lenders); provided that unless and until the Administrative Agent shall have received such directions, the Administrative Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interests of the Lenders.",notice-of-default
"Notice of Default. If any Default or any Event of Default occurs and is continuing and if such Default or Event of Default is known to a Responsible Officer of the Trustee, the Trustee shall mail to each Securityholder in the manner and to the extent provided in Section 313(c) of the Trust Indenture Act notice of the Default or Event of Default within 45 days after it occurs, unless such Default or Event of Default has been cured; provided, however, that, except in the case of a default in the payment of the principal of (or premium, if any) or interest on any Security, the Trustee shall be protected in withholding such notice if and so long as the board of directors, the executive committee or a trust committee of directors and/or Responsible Officers of the Trustee in good faith determine that the withholding of such notice is in the interest of the Securityholders.",notice-of-default
"Notice of Default. The Administrative Agent shall not be deemed to have knowledge or notice of the occurrence of any Default, except with respect to defaults in the payment of principal, interest and fees required to be paid to the Administrative Agent for the account of the Lenders, unless the Administrative Agent shall have received written notice from a Lender or the Borrower referring to this Agreement, describing such Default and stating that such notice is a “notice of default.” The Administrative Agent will notify the Lenders of its receipt of any such notice. The Administrative Agent shall take such action with respect to any Event of Default as may be directed by the Required Lenders in accordance with Article VIII; provided that unless and until the Administrative Agent has received any such direction, the Administrative Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Event of Default as it shall deem advisable or in the best interest of the Lenders.",notice-of-default
"Notice of Default. The Administrative Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Event of Default hereunder unless the Administrative Agent has received written notice from a Lender or the Borrower referring to this Agreement, describing such Default or Event of Default and stating that such notice is a “notice of default”. In the event that the Administrative Agent receives such a notice, the Administrative Agent shall give prompt notice thereof to the Lenders. The Administrative Agent shall take such action with respect to such Default or Event of Default as shall be reasonably directed by the Required Lenders; provided, however, that unless and until the Administrative Agent shall have received such directions, the Administrative Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interests of the Lenders except to the extent that this Agreement expressly requires that such action be taken, or not taken, only with the consent or upon the authorization of the Required Lenders, or all of the Lenders, as the case may be.",notice-of-default
Notice of Default. The Administrative Agent shall give notice to the Borrower under Section 9.1(c) hereof promptly upon being requested to do so by any Lender and shall thereupon notify all the Lenders thereof.,notice-of-default
"Notice of Default. The Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Unmatured Default hereunder unless the Agent has received written notice from a Lender or the Borrower referring to this Agreement describing such Default or Unmatured Default and stating that such notice is a ""notice of default"". In the event that the Agent receives such a notice, the Agent shall give prompt notice thereof to the Lenders.",notice-of-default
"Notice of Default. The Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Event of Default hereunder unless the Agent has received notice from a Lender or the Borrower referring to this Agreement, describing such Default or Event of Default and stating that such notice is a ""notice of default"". In the event that the Agent receives such a notice, the Agent shall give notice thereof to the Lenders. The Agent shall take such action with respect to such Default or Event of Default as shall be reasonably directed by the Required Lenders; provided that unless and until the Agent shall have received such directions, the Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interests of the Lenders.",notice-of-default
"Notice of Default. Promptly upon any Responsible Officer of Borrower obtaining knowledge (i) of any condition or event that constitutes a Default or an Event of Default or that notice has been given to Borrower with respect thereto; (ii) that any Person has given any notice to Borrower or any of its Subsidiaries or taken any other action with respect to any event or condition set forth in Section 8.1(b); or (iii) of the occurrence of any event or change that has caused or evidences or could reasonably be expected to result in, either individually or in the aggregate, a Material Adverse Effect, a certificate of an Authorized Officer specifying the nature and period of existence of such condition, event or change, or specifying the notice given and action taken by any such Person and the nature of such claimed Event of Default, Default, default, event or condition, and what action Borrower has taken, is taking and proposes to take with respect thereto;",notice-of-default
"Notice of Default. The Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Event of Default, except with respect to defaults in the payment of principal, interest and fees required to be paid to the Agent for the account of the Banks, unless the Agent shall have received written notice from a Bank or the Company referring to this Agreement, describing such Default or Event of Default and stating that such notice is a ""notice of default"". The Agent will notify the Banks of its receipt of any such notice. The Agent shall take such action with respect to such Default or Event of Default as may be requested by the Majority Banks in accordance with Article VIII; provided, however, that unless and until the Agent has received any such request, the Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable or in the best interest of the Banks.",notice-of-default
"Notice of Default. The Administrative Agent shall not be deemed to have knowledge or notice of the occurrence of any Default or Event of Default hereunder unless the Administrative Agent has received notice from a Lender or a Credit Party referring to the Credit Document, describing such Default or Event of Default and stating that such notice is a ""notice of default."" In the event that the Administrative Agent receives such a notice, the Administrative Agent shall give prompt notice thereof to the Lenders. The Administrative Agent shall take such action with respect to such Default or Event of Default as shall be reasonably directed by the Required Lenders.",notice-of-default
