clause_text,clause_type
"Notice of Defaults. If a Default or Event of Default occurs and is continuing and if it is known to the Trustee, the Trustee shall mail to Holders of Notes a notice of the Default or Event of Default within 90 days after it occurs. Except in the case of a Default or Event of Default in payment of principal of, premium, if any, or interest on any Note, the Trustee may withhold the notice if and so long as a committee of its Responsible Officers in good faith determines that withholding the notice is in the interests of the Holders of the Notes.",notice-of-defaults
"Notice of Defaults. If a default occurs hereunder with respect to Securities of any series, the Trustee shall give the Holders of Securities of such series notice of such default as and to the extent provided by the Trust Indenture Act; provided, however, that in the case of any default of the character specified in Section 501(4) with respect to Securities of such series, no such notice to Holders shall be given until at least 30 days after the occurrence thereof. For the purpose of this Section, the term """,notice-of-defaults
"Notice of Defaults. If a Default occurs and is continuing and if it is known to a Responsible Officer of the Indenture Trustee, the Indenture Trustee shall mail to each Noteholder notice of the Default within 90 days after it occurs. Except in the case of a Default in payment of principal of or interest on any Note (including payments pursuant to the mandatory redemption provisions of such Note), the Indenture Trustee may withhold the notice if and so long as a committee of its Responsible Officers in good faith determines that withholding the notice is in the interests of Noteholders.",notice-of-defaults
"Notice of Defaults. If a Default or Event of Default occurs and is continuing with respect to the Securities of any Series and if it is known to a Responsible Officer of the Trustee, the Trustee shall mail to each Securityholder of the Securities of that Series and, if any Bearer Securities are outstanding, publish on one occasion in an Authorized Newspaper, notice of a Default or Event of Default within 90 days after it occurs or, if later, after a Responsible Officer of the Trustee has knowledge of such Default or Event of Default. Except in the case of a Default or Event of Default in payment of principal of or interest on any Security of any Series, the Trustee may withhold the notice if and so long as its corporate trust committee or a committee of its Responsible Officers in good faith determines that withholding the notice is in the interests of Securityholders of that Series.",notice-of-defaults
"Notice of Defaults. If a Default occurs and is continuing and if it is known to the Trustee, the Trustee shall mail to Holders of Notes a notice of the Default within 90 days after it occurs. Except in the case of a Default relating to the payment of principal, premium, if any, or interest on any Note, the Trustee may withhold from the Holders notice of any continuing Default if and so long as a committee of its Responsible Officers in good faith determines that withholding the notice is in the interests of the Holders of the Notes. The Trustee shall not be deemed to know of any Default unless a Responsible Officer of the Trustee has actual knowledge thereof or unless written notice of any event which is such a Default is received by the Trustee at the Corporate Trust Office of the Trustee.",notice-of-defaults
"Notice of Defaults. If a Default occurs and is continuing and if it is known to the Trustee, the Trustee shall mail to each Securityholder notice of the Default within 90 days after it occurs. Except in the case of a Default in payment of principal of or interest on any Security (including payments pursuant to the mandatory redemption provisions of such Security, if any), the Trustee may withhold the notice if and so long as a committee of its Trust Officers in good faith determines that withholding the notice is in the interests of Securityholders.",notice-of-defaults
"Notice of Defaults. Within ninety (90) days after the occurrence of any default actually known to the Trustee, the Trustee shall give the Holders notice of such default unless such default shall have been cured or waived; provided, that except in the case of a default in the payment of the principal of or any premium or interest on any Securities, the Trustee shall be fully protected in withholding the notice if and so long as the board of directors, the executive committee or a trust committee of directors and/or Responsible Officers of the Trustee in good faith determines that withholding the notice is in the interest of holders of Securities; and provided, further, that in the case of any default of the character specified in Section 5.1(c), no such notice to Holders shall be given until at least thirty (30) days after the occurrence thereof. For the purpose of this Section 6.3, the term “",notice-of-defaults
"Notice of Defaults. The Trustee shall, within 90 days after the actual knowledge by a Responsible Officer of the Trustee of the occurrence of a default with respect to the Debentures, mail to all Securityholders, as the names and addresses of such holders appear upon the Debenture Register, notice of all defaults with respect to the Debentures known to the Trustee, unless such defaults shall have been cured before the giving of such notice (the term “defaults” for the purpose of this Section 5.8 being hereby defined to be the events specified in clauses (a), (b), (c), (d), (e) and (f) of Section 5.1, not including periods of grace, if any, provided for therein); provided, however, that, except in the case of default in the payment of the principal of, premium, if any, or interest on any of the Debentures, the Trustee shall be protected in withholding such notice if and so long as a Responsible Officer of the Trustee in good faith determines that the withholding of such notice is in the interests of the Securityholders.",notice-of-defaults
"Notice of Defaults. Within 90 days after the occurrence of any default hereunder with respect to the Securities of any series, the Trustee shall transmit by mail to all Holders of Securities of such series, as their names and addresses appear in the Security Register, notice of such default hereunder actually known to a Responsible Officer of the Trustee, unless such default shall have been cured or waived; provided, however, that except in the case of a default in the payment of the principal of (or premium, if any) or interest, if any, on any Security of such series, in the payment of any sinking fund installment with respect to Securities of such series or in the payment of the Redemption Price of any Securities as to which notice of redemption has been given, the Trustee shall be protected in withholding such notice if and so long as the board of directors, the executive committee or a trust committee of directors or Responsible Officers of the Trustee in good faith determines that the withholding of such notice is in the interest of the Holders of Securities of such series; and provided, further, that in the case of any default of the character specified in Section 5.1(4) with respect to Securities of such series, no such notice to Holders shall be given until at least 60 days after the occurrence thereof. For the purpose of this Section, the term “",notice-of-defaults
"Notice of Defaults. Within 90 days after the occurrence of any default hereunder with respect to the Securities of any series, the Trustee shall transmit in the manner and to the extent provided in TIA Section 313(c), notice of such default hereunder actually known to a Responsible Officer of the Trustee, unless such default shall have been cured or waived; provided, however, that, except in the case of a default in the payment of the principal of (or premium or Make-Whole Amount, if any) or interest on or any Additional Amounts with respect to any Security of such series, or in the payment of any sinking fund installment with respect to the Securities of such series, the Trustee shall be protected in withholding such notice if and so long as Responsible Officers of the Trustee in good faith determine that the withholding of such notice is in the interests of the Holders of the Securities and coupons of such series; and provided further that in the case of any default or breach of the character specified in Section 501(4) with respect to the Securities and coupons of such series, no such notice to Holders shall be given until at least 60 days after the occurrence thereof. For the purpose of this Section, the term “",notice-of-defaults
