clause_text,clause_type
"Notice of Redemption. Notice of redemption shall be given by first-class mail, postage prepaid, mailed not less than 30 nor more than 60 days prior to the Redemption Date, to each Holder of Securities to be redeemed, at his address appearing in the Security Register. All notices of redemption shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption shall be given in the manner provided in Section 106, not less than 30 days nor more than 60 days prior to the Redemption Date, unless a shorter period is specified by the terms of such series established pursuant to Section 301, to each Holder of Securities to be redeemed, but failure to give such notice in the manner herein provided to the Holder of any Security designated for redemption as a whole or in part, or any defect in the notice to any such Holder, shall not affect the validity of the proceedings for the redemption of any other such Security or portion thereof. Any notice that is mailed to the Holders of Registered Securities in the manner herein provided shall be conclusively presumed to have been duly given, whether or not the Holder receives the notice. All notices of redemption shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed at least 30 days but not more than 60 days before the redemption date to each Holder whose Notes are to be redeemed at its registered address. Notes in denominations larger than $1,000 may be redeemed in part but only in whole multiples of $1,000, unless all of the Notes held by a Holder are to be redeemed. On and after the redemption date interest ceases to accrue on Notes or portions thereof called for redemption.",notice-of-redemption
"Notice of Redemption. Subject to the provisions of Section 3.09 hereof, at least 30 days but not more than 60 days before a redemption date, the Company will mail or cause to be mailed, by first class mail, a notice of redemption to each Holder whose Notes are to be redeemed at its registered address, except that redemption notices may be mailed more than 60 days prior to a redemption date if the notice is issued in connection with a defeasance of the Notes or a satisfaction and discharge of this Indenture pursuant to Articles 8 or 11 hereof. The notice will identify the Notes to be redeemed and will state:",notice-of-redemption
"Notice of Redemption. (a) In case the Company shall desire to exercise such right to redeem all or, as the case may be, a portion of the Securities of any series in accordance with any right the Company reserved for itself to do so pursuant to Section 2.01 hereof, the Company shall, or shall cause the Trustee to, give notice of such redemption to holders of the Securities of such series to be redeemed by mailing, first class postage prepaid, a notice of such redemption not less than 30 days and not more than 90 days before the date fixed for redemption of that series to such holders at their last addresses as they shall appear upon the Security Register, unless a shorter period is specified in the Securities to be redeemed. Any notice that is mailed in the manner herein provided shall be conclusively presumed to have been duly given, whether or not the registered holder receives the notice. In any case, failure duly to give such notice to the holder of any Security of any series designated for redemption in whole or in part, or any defect in the notice, shall not affect the validity of the proceedings for the redemption of any other Securities of such series or any other series. In the case of any redemption of Securities prior to the expiration of any restriction on such redemption provided in the terms of such Securities or elsewhere in this Indenture, the Company shall furnish the Trustee with an Officer’s Certificate evidencing compliance with any such restriction. Each such notice of redemption shall specify the date fixed for redemption and the redemption price at which Securities of that series are to be redeemed, and shall state that payment of the redemption price of such Securities to be redeemed will be made at the office or agency of the Company, upon presentation and surrender of such Securities, that interest accrued to the date fixed for redemption will be paid as specified in said notice, that from and after said date interest will cease to accrue and that the redemption is from a sinking fund, if such is the case. If less than all the Securities of a series are to be redeemed, the notice to the holders of Securities of that series to be redeemed in part shall specify the particular Securities to be so redeemed. In case any Security is to be redeemed in part only, the notice that relates to such Security shall state the portion of the principal amount thereof to be redeemed, and shall state that on and after the redemption date, upon surrender of such Security, ...",notice-of-redemption
"Notice of Redemption. Subject to the provisions of Section 3.09 hereof, at least 30 days but not more than 60 days before a redemption date, the Company shall mail or cause to be mailed, by first class mail, a notice of redemption to each Holder whose Notes are to be redeemed at its registered address. The notice shall identify the Notes to be redeemed and shall state:",notice-of-redemption
Notice of Redemption. Notice of redemption shall be given in the manner provided in Section 106 to the Holders of Securities to be redeemed not less than 30 nor more than 60 days prior to the Redemption Date. All notices of redemption shall state:,notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed at least 30 days but not more than 60 days before the redemption date to each Holder of Securities to be redeemed at his registered address. Securities in denominations larger than $1,000 may be redeemed in part but only in whole multiples of $1,000. If money sufficient to pay the redemption price of and accrued interest on all Securities (or portions thereof) to be redeemed on the redemption date is deposited with the Paying Agent on or before the redemption date and certain other conditions are satisfied, on and after such date interest ceases to accrue on such Securities (or such portions thereof) called for redemption.",notice-of-redemption
"Notice of Redemption. Notice of redemption shall be given by first-class mail, postage prepaid, mailed not less than 30 nor more than 60 days prior to the Redemption Date, to each Holder of Securities to be redeemed, at the address of such Holder appearing in the register of Securities maintained by the Registrar. All notices of redemption shall identify the Securities to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. At least 30 days but not more than 60 days before a date for redemption of Securities, the Company shall mail a notice of redemption by first-class mail to each Holder of Securities to be redeemed. The notice shall identify the Securities to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Subject to Section 3.03 of the Indenture, notice of redemption will be mailed by first-class mail at least 30 days but not more than 60 days before the Redemption Date (except that redemption notices may be mailed more than 60 days prior to a Redemption Date if the notice is issued in connection with Article 8 or Article 12 of the Indenture) to each Holder whose Notes are to be redeemed at its registered address or otherwise in accordance with the procedures of DTC. Notes in denominations larger than $2,000 may be redeemed in part but only in whole multiples of $1,000 in excess thereof, unless all of the Notes held by a Holder are to be redeemed. On and after the Redemption Date interest ceases to accrue on Notes or portions thereof called for redemption.",notice-of-redemption
"Notice of Redemption. Unless otherwise indicated for a particular Series by Board Resolution, a supplemental indenture hereto or an Officers' Certificate, at least 30 days but not more than 60 days before a redemption date, the Company shall mail a notice of redemption by first-class mail to each Holder whose Securities are to be redeemed and if any Bearer Securities are outstanding, publish on one occasion a notice in an Authorized Newspaper. The notice shall identify the Securities of the Series to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. The Issuer shall mail or cause to be mailed by first-class mail notices of redemption at least 30 days but not more than 60 days before the Redemption Date to each Holder of Notes to be redeemed at such Holder’s registered address or otherwise in accordance with the procedures of DTC, except that redemption notices may be mailed more than 60 days prior to a Redemption Date if the notice is issued in connection with Article 8 or Article 11 hereof. Except as set forth in Section 3.07(c) hereof, notices of redemption may not be conditional. The notice shall identify the Notes to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed at least 30 days but not more than 60 days before the redemption date to each Holder whose Notes are to be redeemed at its registered address, except that redemption notices may be mailed more than 60 days prior to a redemption date if the notice is issued in connection with a defeasance of the Notes or a satisfaction or discharge of the Indenture. Notes in denominations larger than $1,000 may be redeemed in part but only in whole multiples of $1,000, unless all of the Notes held by a Holder are to be redeemed.",notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed at least 30 days but not more than 60 days before the Redemption Date to each Holder of Notes to be redeemed at such Holder's registered address. Notes in denominations larger than $1,000 may be redeemed in part. Except as set forth in the Indenture, if monies for the redemption of the Notes called for redemption shall have been deposited with the Paying Agent for redemption on such Redemption Date, then, unless the Company defaults in the payment of such Redemption Price plus accrued interest, if any, the Notes called for redemption will cease to bear interest from and after such Redemption Date and the only right of the Holders of such Notes will be to receive payment of the Redemption Price plus accrued interest, if any.",notice-of-redemption
"Notice of Redemption. At least 15 days but not more than 60 days before a redemption date, the Company will mail or cause to be mailed, by first class mail, a notice of redemption to each Holder whose Notes are to be redeemed at its registered address, except that redemption notices may be mailed more than 60 days prior to a redemption date if the notice is issued in connection with a defeasance of the Notes or a satisfaction and discharge of the Indenture pursuant to Articles 8 or 11 thereof. Notes and portions of Notes selected will be in minimum amounts of $2,000 or whole multiples of $1,000 in excess thereof; except that if all of the Notes of a Holder are to be redeemed or purchased, the entire outstanding amount of Notes held by such Holder shall be redeemed or purchased",notice-of-redemption
"Notice of Redemption. At least 30 days but not more than 60 days before a Redemption Date, the Company shall mail or cause to be mailed a notice of redemption by first-class mail to each Holder whose Notes are to be redeemed at its registered address, with a copy to the Trustee. At the Company's request, the Trustee shall give the notice of redemption in the Company's name and at the Company's expense. Each notice for redemption shall identify the Notes to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. (a) The Company shall send, or cause to be sent (or, in the case of Notes held in book-entry form, by electronic transmission) notices of redemption of Notes at least 30 days but not more than 60 days before the redemption date to each Holder whose Notes are to be redeemed pursuant to this Article at such Holder’s registered address or otherwise in accordance with the procedures of the Depositary, except that redemption notices may be sent more than 60 days prior to a redemption date if the notice is issued in connection with Article 8. Except as set forth in Section 3.07(c), notices of redemption may not be conditional.",notice-of-redemption
"Notice of Redemption. Notice of redemption shall be given in the manner provided in Section 106 not less than 30 days nor more than 60 days prior to the Redemption Date (or within such period as otherwise specified as contemplated by Section 301 for the relevant Securities), to each Holder of Securities to be redeemed, at his address appearing in the Security Register. All notices of redemption shall identify the Securities to be redeemed (including CUSIP numbers, if any) and shall state:",notice-of-redemption
"Notice of Redemption. Unless otherwise specified as contemplated by Section 3.1, notice of redemption shall be given in the manner provided in Section 1.6 not less than 30 days nor more than 60 days prior to the Redemption Date to the Holders of the Securities to be redeemed. All notices of redemption shall state:",notice-of-redemption
"Notice of Redemption. (a) Notice of redemption shall be given not later than the thirtieth (30th) day, and not earlier than the sixtieth (60th) day, prior to the Redemption Date to each Holder of Securities to be redeemed, in whole or in part (unless a shorter notice shall be satisfactory to the Property Trustee under the related Trust Agreement).",notice-of-redemption
"Notice of Redemption. (a) At least 30 days but not more than 60 days before any redemption date, the Company shall mail by first class mail a notice of redemption to each Holder of Notes or portions thereof that are to be redeemed. With respect to any redemption of Notes, the notice shall identify the Notes or portions thereof to be redeemed and shall state: (1) the redemption date; (2) the redemption price for the Notes and the amount of unpaid and accrued interest on such Notes as of the date of redemption; (3) the paragraph of the Notes pursuant to which the Notes called for redemption are being redeemed; (4) if any Note is being redeemed in part, the portion of the principal amount of such Note to be redeemed and that, after the redemption date, upon surrender of such Note, a new Note or Notes in principal amount equal to the unredeemed portion will be issued; (5) the name and address of the Paying Agent; (6) that Notes called for redemption must be surrendered to the Paying Agent to collect the redemption price for, and any accrued and unpaid interest on, such Notes; (7) that, unless the Company defaults in making such redemption payment, interest on Notes called for redemption ceases to accrue on and after the redemption date; and (8) that no representation is made as to the correctness or accuracy of the CUSIP number listed in such notice and printed on the Notes.",notice-of-redemption
"Notice of Redemption. (a) At least 30 days but not more than 60 days before a redemption date, the Company shall mail a notice of redemption by first-class mail to each Holder of Notes to be redeemed at such Holder’s registered address. The notice shall identify the Notes to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. With respect to any redemption of Notes pursuant to Section 3.01, at least 30 days but not more than 60 days before a Redemption Date, the Company shall mail a notice of redemption by first-class mail to each Holder whose Notes are to be redeemed. The notice shall identify the Notes to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption shall be given in the manner provided for in Section 11.2 not less than 30 nor more than 60 days prior to the Redemption Date, to each Holder of Notes to be redeemed. At the Company’s request, the Trustee shall give notice of redemption in the Company’s name and at the Company’s expense; provided, however, that the Company shall deliver to the Trustee, at least 15 days prior to the date on which notice is to be given to the Holders (or such shorter period of time as shall be satisfactory to the Trustee), an Officers’ Certificate requesting that the Trustee give such notice at the Company’s expense and setting forth the information to be stated in such notice as provided in the following items. Any such notice may be cancelled at any time prior to notice of such redemption being mailed to any Holder and shall thereby be void and of no effect. All notices of redemption shall state:",notice-of-redemption
"Notice of Redemption. Notices of redemption pursuant to paragraph 5 shall be mailed by first class mail at least 30 but not more than 60 days before the Redemption Date to each Holder of Notes to be redeemed at its registered address. If any Note is to be redeemed in part only, the notice of redemption that relates to such Note shall state the portion of the principal amount thereof to be redeemed.",notice-of-redemption
"Notice of Redemption. Unless otherwise indicated for a particular Series by Board Resolution, a supplemental indenture hereto or an Officers’ Certificate, at least 30 days, and no more than 60 days, before a Redemption Date, the Company shall mail, or cause to be mailed, a notice of redemption by first-class mail to each Holder of Securities to be redeemed at his or her last address as the same appears on the registry books maintained by the Registrar. The notice shall identify the Securities to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. At least 20 days but not more than 60 days before a Redemption Date, the Company shall mail or cause to be mailed a notice of redemption to each Holder of Securities to be redeemed at such Holder's address as it appears on the Primary Registrar's books. The notice shall identify the Securities (including CUSIP numbers) to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption will be sent at least 15 days but not more than 60 days before the redemption date to each Holder whose Notes are to be redeemed, except that redemption notices may be sent or mailed more than 60 days prior to a redemption date if the notice is issued in connection with a defeasance of the Notes or a satisfaction and discharge of the Indenture. Notes in denominations larger than $2,000 may be redeemed in part but only in whole multiples of $1,000, unless all of the Notes held by a Holder are to be redeemed. In connection with any redemption of Notes, any such notice of redemption may, at the Issuer’s discretion, state that such redemption is subject to one or more conditions precedent, including, but not limited to, completion of an equity offering, other offering, issuance of Indebtedness or other corporate transaction or event. In addition, if such notice of redemption is subject to satisfaction of one or more conditions precedent, such notice may state that, in the Issuer’s discretion, the redemption date may be delayed until such time as any or all such conditions shall be satisfied (or waived by the Issuer in its sole discretion), or such redemption may not occur and such notice may be rescinded in the event that any or all such conditions shall not have been satisfied (or waived by the Issuer in its sole discretion) by the redemption date (whether the original redemption date or the redemption date so delayed). Exhibit A-10",notice-of-redemption
"Notice of Redemption. Notice of redemption shall be sent at least 30 days but not more than 60 days before the redemption date to each Holder of Securities to be redeemed at its registered address, except that redemption notices may be sent more than 60 days prior to the redemption date if the notice is issued in connection with a defeasance of the Securities or a satisfaction and discharge of the Indenture. Any inadvertent defect in the notice of redemption, including an inadvertent failure to give notice, to any Holder selected for redemption shall not impair or affect the validity of the redemption of any other Security redeemed in accordance with the provisions of the Indenture. Securities in denominations larger than $2,000 principal amount may be redeemed in part but only in whole multiples of $1,000. If money sufficient to pay the redemption price of and accrued interest on all Securities (or portions thereof) to be redeemed on the redemption date is deposited with the Paying Agent on or before the redemption date and certain other conditions are satisfied, on and after such date interest ceases to accrue on such Securities (or such portions thereof) called for redemption.",notice-of-redemption
"Notice of Redemption. At least 30 days but not more than 60 days before a Redemption Date, the Company shall mail or cause the mailing of a notice of redemption by first-class mail, postage prepaid, to each Holder of Notes to be redeemed at such Holder’s address as it appears on the Notes register maintained by the Registrar with a copy to the Trustee and any Paying Agent. The notice shall identify the Notes to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Notice of every redemption of shares of Designated Preferred Stock shall be given by first class mail, postage prepaid, addressed to the holders of record of the shares to be redeemed at their respective last addresses appearing on the books of the Issuer. Such mailing shall be at least 30 days and not more than 60 days before the date fixed for redemption. Any notice mailed as provided in this Subsection shall be conclusively presumed to have been duly given, whether or not the holder receives such notice, but failure duly to give such notice by mail, or any defect in such notice or in the mailing thereof, to any holder of shares of Designated Preferred Stock designated for redemption shall not affect the validity of the proceedings for the redemption of any other shares of Designated Preferred Stock. Notwithstanding the foregoing, if shares of Designated Preferred Stock are issued in book-entry form through The Depository Trust Company or any other similar facility, notice of redemption may be given to the holders of Designated Preferred Stock at such time and in any manner permitted by such facility. Each notice of redemption given to a holder shall state: (1) the redemption date; (2) the number of shares of Designated Preferred Stock to be redeemed and, if less than all the shares held by such holder are to be redeemed, the number of such shares to be redeemed from such holder; (3) the redemption price; and (4) the place or places where certificates for such shares are to be surrendered for payment of the redemption price.",notice-of-redemption
"Notice of Redemption. At least 30 days but not more than 60 days before a Redemption Date, the Issuer shall mail a notice of redemption by first class mail, postage prepaid, to each Holder whose Notes are to be redeemed at its registered address (except that a notice issued in connection with a redemption referred to in Section 8.01 may be more than 60 days before such Redemption Date). At the Issuer’s request, the Trustee shall forward the notice of redemption in the Issuer’s name and at the Issuer’s expense. Each notice for redemption shall identify the Notes (including the CUSIP or ISIN number) to be redeemed and shall state:",notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed by first-class mail at least 20 days but not more than 60 days before the Redemption Date to each Holder of Securities to be redeemed at its registered address. Securities in denominations larger than $1,000 may be redeemed in part, but only in whole multiples of $1,000. On and after the Redemption Date, subject to the deposit with the Paying Agent of funds sufficient to pay the Redemption Price plus accrued interest, if any, accrued to, but excluding, the Redemption Date, interest shall cease to accrue on Securities or portions of them called for redemption.",notice-of-redemption
"Notice of Redemption. Notice of redemption will be mailed at least 30 days but not more than 60 days before the Redemption Date to each Holder of the Securities to be redeemed at his address of record. The Securities in denominations larger than $50 may be redeemed in part but only in integral multiples of $50. In the event of a redemption of less than all of the Securities, the Securities will be chosen for redemption by the Trustee in accordance with the Indenture. On and after the Redemption Date, interest ceases to accrue on the Securities or portions of them called for redemption. If this Security is redeemed subsequent to a Regular Record Date with respect to any Interest Payment Date specified above and on or prior to such Interest Payment Date, then any accrued interest will be paid to the person in whose name this Security is registered at the close of business on such record date.",notice-of-redemption
"Notice of Redemption. Subject to Section 3.3 of the Indenture, notice of redemption will be mailed by first class mail (or, delivered electronically if held by DTC) at least fifteen (15) days but not more than sixty (60) days before the redemption date to each Holder whose Notes are to be redeemed at its registered address and for the Notes registered to DTC, in accordance with DTC’s applicable procedures. If any Note is to be redeemed in part only, the notice of redemption that relates to that Note will state the portion of the principal amount thereof to be redeemed. No Notes of $2,000 principal amount or less will be redeemed in part.",notice-of-redemption
