clause_text,clause_type
"Notice of Termination. Any termination by the Company for Cause, or by the Executive for Good Reason, shall be communicated by Notice of Termination to the other party hereto given in accordance with Section 12(b) of this Agreement. For purposes of this Agreement, a ""Notice of Termination"" means a written notice which (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive's employment under the provision so indicated and (iii) if the Date of Termination (as defined below) is other than the date of receipt of such notice, specifies the termination date (which date shall be not more than thirty days after the giving of such notice). The failure by the Executive or the Company to set forth in the Notice of Termination any fact or circumstance which contributes to a showing of Good Reason or Cause shall not waive any right of the Executive or the Company, respectively, hereunder or preclude the Executive or the Company, respectively, from asserting such fact or circumstance in enforcing the Executive's or the Company's rights hereunder.",notice-of-termination
"Notice of Termination. Any purported termination of employment by the Company or by Executive (other than due to Executive’s death) shall be communicated by written Notice of Termination to the other party hereto in accordance with Section 11(h) hereof. For purposes of this Agreement, a “Notice of Termination” shall mean a notice which shall indicate the specific termination provision in this Agreement relied upon and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of employment under the provision so indicated.",notice-of-termination
"Notice of Termination. Except for termination as specified in Section 3(a), any termination of the Executive’s employment by the Company or any such termination by the Executive shall be communicated by written Notice of Termination to the other party hereto. For purposes of this Agreement, a “Notice of Termination” shall mean a notice which shall indicate the specific termination provision in this Agreement relied upon.",notice-of-termination
"Notice of Termination. After a Change in Control and during the Term, any purported termination of the Executive's employment (other than by reason of death) shall be communicated by written Notice of Termination from one party hereto to the other party hereto in accordance with Section 10 hereof. For purposes of this Agreement, a ""Notice of Termination"" shall mean a notice which shall indicate the specific termination provision in this Agreement relied upon and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive's employment under the provision so indicated. Further, a Notice of Termination for Cause is required to include a copy of a resolution duly adopted by the affirmative vote of not less than three-quarters (3/4) of the entire membership of the Board at a meeting of the Board which was called and held for the purpose of considering such termination (after reasonable notice to the Executive and an opportunity for the Executive, together with the Executive's counsel, to be heard before the Board) finding that, in the good faith opinion of the Board, the Executive was guilty of conduct set forth in clause (i) or (ii) of the definition of Cause herein, and specifying the particulars thereof in detail.",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or by the Employee as a result of a voluntary resignation or an Involuntary Termination shall be communicated by a notice of termination to the other party hereto given in accordance with this Section. Such notice shall indicate the specific termination provision in this Agreement relied upon, shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination under the provision so indicated, and shall specify the Termination Date (which shall be not more than 30 days after the giving of such notice). The failure by the Employee to include in the notice any fact or circumstance which contributes to a showing of Involuntary Termination shall not waive any right of the Employee hereunder or preclude the Employee from asserting such fact or circumstance in enforcing his rights hereunder.",notice-of-termination
"Notice of Termination. Any termination of the Employee’s employment by the Company or by the Employee during the Employment Term (other than termination pursuant to Section 5.1) will be communicated by written Notice of Termination to the other party hereto in accordance with Section 8.7. For purposes of this Agreement, a “Notice of Termination” means a written notice that (a) indicates the specific termination provision in this Agreement relied upon, (b) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Employee’s employment under the provision so indicated, and (c) if the Termination Date (as defined herein) is other than the date of receipt of such notice, specifies the Termination Date (which Termination Date will be not more than thirty (30) days after the giving of such notice).",notice-of-termination
"Notice of Termination. Any termination of Executive’s employment by the Company or by Executive under this Section 3 (other than termination pursuant to Section 3(a)(i)) shall be communicated by a written notice to the other Party hereto (i) indicating the specific termination provision in this Agreement relied upon, (ii) setting forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive’s employment under the provision so indicated, if applicable, and (iii) specifying a Date of Termination which, if submitted by Executive, shall be at least thirty (30) days following the date of such notice (a “Notice of Termination”); provided, however, that in the event that Executive delivers a Notice of Termination to the Company, the Company may, in its sole discretion, change the Date of Termination to any date that occurs following the date of the Company’s receipt of such Notice of Termination and is prior to the date specified in such Notice of Termination, but the termination will still be considered a resignation by Executive. A Notice of Termination submitted by the Company may provide for a Date of Termination on the date Executive receives the Notice of Termination, or any date thereafter elected by the Company. The failure by either Party to set forth in the Notice of Termination any fact or circumstance which contributes to a showing of Cause or Good Reason shall not waive any right of the Party hereunder or preclude the Party from asserting such fact or circumstance in enforcing the Party’s rights hereunder.",notice-of-termination
"Notice of Termination. Any purported termination of the Executive’s employment by the Bank for any reason, including without limitation for Cause, Disability or Retirement, or by the Executive for any reason, including without limitation for Good Reason, shall be communicated by a written “Notice of Termination” to the other party hereto. For purposes of this Agreement, a “Notice of Termination” shall mean a dated notice which (i) indicates the specific termination provision in this Agreement relied upon, (ii) sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive’s employment under the provision so indicated, (iii) specifies a Date of Termination, which shall be effective immediately if the Bank terminates the Executive’s employment for Cause, and (iv) is given in the manner specified in Section 10 hereof.",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or without Cause, or by Executive for Good Reason or without Good Reason, shall be communicated by Notice of Termination to the other party hereto given in accordance with Section 9(g). For purposes of this Agreement, a “Notice of Termination” means a written notice that (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive’s employment under the provision so indicated and (iii) if the “Date of Termination” (as defined below) is other than the date of receipt of such notice, specifies the termination date. The failure by Executive or the Company to set forth in the Notice of Termination any fact or circumstance that contributes to a showing of Good Reason or Cause shall not waive any right of Executive or the Company hereunder or preclude Executive or the Company from asserting such fact or circumstance in enforcing Executive’s or the Company’s rights hereunder.",notice-of-termination
"Notice of Termination. Any termination of the Executive’s employment by the Company or by the Executive under this Section 5 (other than in the case of death) shall be communicated by a written notice (the “Notice of Termination”) to the other party hereto, indicating the specific termination provision in this Agreement relied upon, setting forth as appropriate in reasonable detail any facts and circumstances claimed to provide a basis for termination of the Executive’s employment under the provision so indicated, and specifying a Date of Termination which notice shall be delivered within the time periods set forth in the various subsections of this Section 5, as applicable (the “Notice Period”); provided, however, that the Company may pay to the Executive all base salary, benefits and other rights due to the Executive during the Notice Period instead of employing the Executive during such Notice Period.",notice-of-termination
Notice of Termination. Any termination of the Executive’s employment under this Agreement shall be communicated by written notice of termination from the terminating party to the other party. The notice of termination shall indicate the specific provision(s) of this Agreement relied upon in effecting the termination.,notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or by Executive for Good Reason will be communicated by a notice of termination to the other party hereto given in accordance with Section 8(a) of this Agreement. Such notice will indicate the specific termination provision in this Agreement relied upon, will set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination under the provision so indicated, and will specify the termination date (which will be not more than ninety (90) days after the giving of such notice).",notice-of-termination
"Notice of Termination. Any termination by the Corporation for Cause or by Employee for Good Reason shall be communicated by Notice of Termination to the other party hereto. For purposes of this Agreement, a ""Notice of Termination"" shall mean a written notice which shall indicate the specific termination provision in this Agreement relied upon and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Employee's employment under the provision so indicated.",notice-of-termination
"Notice of Termination. Any termination of Executive’s employment by the Company or by Executive during the Employment Period (other than termination pursuant to Section 6(a)) will be communicated by written Notice of Termination to the other party hereto in accordance with Section 14. For purposes of this Agreement, a “Notice of Termination” means a notice which shall indicate the specific termination provision in this Agreement relied upon and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive’s employment under the provision so indicated if the termination is based on Sections 6(b), (c) or (d).",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or by Executive for Good Reason will be communicated by a notice of termination to the other party hereto given in accordance with Section 8(a) of this Agreement. Such notice will indicate the specific termination provision in this Agreement relied upon, will set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination under the provision so indicated, and will specify the termination date (which will be not more than thirty (30) days after the giving of such notice). The failure by Executive to include in the notice any fact or circumstance which contributes to a showing of Good Reason will not waive any right of Executive hereunder or preclude Executive from asserting such fact or circumstance in enforcing his rights hereunder.",notice-of-termination
"Notice of Termination. Any termination of the Executive’s employment by the Company for Cause or by the Executive for Good Reason shall be communicated by Notice of Termination to the other party. For purposes of this Agreement, a “Notice of Termination” shall mean a written notice which shall indicate the specific termination provision in this Agreement relied upon, and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive’s employment under the provision so indicated. The Notice of Termination shall be effective on the date specified in Section 9.8 of this Agreement.",notice-of-termination
"Notice of Termination. (a) Any purported termination by the Bank or by Executive shall be communicated by Notice of Termination to the other party hereto. For purposes of this Agreement, a “",notice-of-termination
"Notice of Termination. If Company or Executive desires to terminate Executive's employment hereunder at any time prior to expiration of the term of employment as provided in paragraph 2.1, it or he shall do so by giving written notice to the other party that it or he has elected to terminate Executive's employment hereunder and stating the effective date and reason for such termination, provided that no such action shall alter or amend any other provisions hereof or rights arising hereunder.",notice-of-termination
Notice of Termination. Any termination of the Executive’s employment by the Company or by the Executive during the Employment Period (other than a termination on account of the death of Executive) shall be communicated by written “Notice of Termination” to the other party hereto in accordance with Section 11(a).,notice-of-termination
"Notice of Termination. Any termination by the Company pursuant to Section 3(b), 3(c) or 3(d) shall be communicated by a Notice of Termination. For purposes of this Agreement, a ""Notice of Termination"" shall mean a written notice which shall indicate those specific termination provisions in this Agreement relied upon and which sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive's employment under the provision so indicated. For purposes of this Agreement, no such purported termination by the Company shall be effective without such Notice of Termination.",notice-of-termination
"Notice of Termination. Any termination of Executive's employment by the Company or any such termination by Executive (other than on account of death) shall be communicated by written Notice of Termination to the other party hereto. For purposes of this Agreement, a ""Notice of Termination"" shall mean a notice which shall indicate the specific termination provision in this Agreement relied upon and shall set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive's employment under the provision so indicated. In the event of the termination of Executive's employment on account of death, written Notice of Termination shall be deemed to have been provided on the date of death.",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or by the Executive for Good Reason shall be communicated by Notice of Termination to the other party hereto given in accordance with Section 13(e). For purposes of this Agreement, a ""Notice of Termination"" means a written notice given, in the case of a termination for Cause, within 10 business days of the Company's having actual knowledge of the events giving rise to such termination, and in the case of a termination for Good Reason, within 90 days of the Executive's having actual knowledge of the events giving rise to such termination, and which (i) indicates the specific termination provision in this Agreement relied upon, (ii) sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive's employment under the provision so indicated, and (iii) if the termination date is other than the date of receipt of such notice, specifies the termination date of this Agreement (which date shall be not more than 15 days after the giving of such notice). The failure by the Executive to set forth in the Notice of Termination any fact or circumstance which contributes to a showing of Good Reason shall not waive any right of the Executive hereunder or preclude the Executive from asserting such fact or circumstance in enforcing his rights hereunder.",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause, or by Executive for Good Reason, shall be communicated by Notice of Termination to the other party hereto given in accordance with this Agreement. A “Notice of Termination” means a written notice which (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive’s employment under the provision so indicated and (iii) specifies the termination date (which date shall be not less than sixty (60) days after the giving of such notice). If a dispute exists concerning the provisions of this Agreement that apply to Executive’s termination of employment, the parties shall pursue the resolution of such dispute with reasonable diligence. Subject to any applicable six-month delay by reason of the Executive being a Specified Employee (as defined in Section 15 herein) at the time of Executive’s separation from service, as described below in Section 6(a), (b) or (d), within five (5) days of such a resolution, any party owing any payments pursuant to the provisions of this Agreement shall make all such payments together with interest accrued thereon at the rate provided in Section 1274(b)(2)(B) of the Internal Revenue Code of 1986, as amended (the “Code”). The failure by either party to set forth in the Notice of Termination any fact or circumstance which contributes to a showing of Good Reason or Cause shall not waive any right of such party hereunder or preclude such party from asserting such fact or circumstance in enforcing such party’s rights hereunder.",notice-of-termination
"Notice of Termination. Any termination by the Company or by the Executive, other than a termination by reason of the Executive’s death, shall be communicated by a Notice of Termination to the other party hereto given in accordance with Section 7(c). “Notice of Termination” means a written notice that (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive’s employment under the provision so indicated, and (iii) if the date of termination is other than the date of receipt of such notice, specifies the date of termination.",notice-of-termination
"Notice of Termination. Any purported termination by the Company or by Executive shall be communicated by written Notice of Termination to the other party hereto. For purposes of this Agreement, a “Notice of Termination” shall mean a notice that indicates a termination date, the specific termination provision in this Agreement relied upon and sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of Executive’s employment under the provision so indicated. For purposes of this Agreement, no such purported termination of Executive’s employment hereunder shall be effective without such Notice of Termination (unless waived by the party entitled to receive such notice).",notice-of-termination
"Notice of Termination. Any Termination of Employment shall be communicated by a Notice of Termination to the other party hereto given in accordance with Section 14 hereof. For purposes of this Agreement, a “Notice of Termination” means a written notice which (a) indicates the specific reasons for the termination, (b) briefly summarizes the facts and circumstances deemed to provide a basis for termination of Employee’s employment, and (c) if the Termination Date is other than the date of receipt of such notice, specifies the Termination Date (which date shall not be more than 15 days after the giving of such notice).",notice-of-termination
"Notice of Termination. Any termination by the Company for Cause or by the Employee without any reason during the Window Period or for Good Reason shall be communicated by Notice of Termination to the other party hereto given in accordance with Section 17(b). For purposes of this Agreement, a ""Notice of Termination"" means a written notice which (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Employment Period under the provision so indicated and (iii) if the Date of Termination (as defined below) is other than the date of receipt of such notice, specifies the termination date (which date shall be not more than 15 days after the giving of such notice). The failure by the Employee or the Company to set forth in the Notice of Termination any fact or circumstance which contributes to a showing of Good Reason or Cause shall not waive any right of the Employee or the Company hereunder or preclude the Employee or the Company from asserting such fact or circumstance in enforcing the Employee's or the Company's rights hereunder.",notice-of-termination
"Notice of Termination. Any termination by the Company or by the Executive shall be communicated by providing Notice of Termination to the other party hereto given in accordance with Section 12(b). For purposes of this Agreement, a “Notice of Termination” means a written notice which (i) indicates the specific termination provision in this Agreement relied upon, (ii) to the extent applicable, sets forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive’s employment under the provision so indicated, and (iii) the contemplated date of termination.",notice-of-termination
"Notice of Termination. If you elect to terminate this Agreement as provided in this Section, the Company shall be notified promptly by you by telephone, confirmed by letter.",notice-of-termination
"Notice of Termination. Any termination of Executive’s employment shall be communicated by a written notice of termination to the other party hereto given in accordance with Section 11. The notice of termination shall (i) indicate the specific termination provision in this Agreement relied upon, (ii) briefly summarize the facts and circumstances deemed to provide a basis for a termination of employment and the applicable provision hereof, and (iii) specify the termination date in accordance with the requirements of this Agreement.",notice-of-termination
