clause_text,clause_type
"Notice. Any notice required or permitted to be given by either party to the other shall be deemed sufficient if sent by registered or certified mail, postage prepaid, addressed by the party giving notice to the other party at the last address furnished by the other party to the party giving notice: if to the Issuer, at 82 Devonshire Street, Boston, Massachusetts, and if to Distributors, at 82 Devonshire Street, Boston, Massachusetts.",notice
"Notice. If a Termination Event occurs, an Affected Party will, promptly upon becoming aware of it, notify the other party, specifying the nature of that Termination Event and each Affected Transaction and will also give such other information about that Termination Event as the other party may reasonably require.",notice
Notice. The signature to this assignment must correspond with the name as written upon the face of this Certificate in every particular without alteration or enlargement or any change whatever. The signature must be guaranteed by a commercial bank or trust company or by a member firm of the New York Stock Exchange or another national securities exchange. Notarized or witnessed signatures are not acceptable.,notice
"Notice. All notices, requests, demands and other communications under this Agreement shall be in writing and shall be deemed duly given (i) if delivered by hand and receipted for by the party addressee, on the date of such receipt, or (ii) if mailed by domestic certified or registered mail with postage prepaid, on the third business day after the date postmarked. Addresses for notice to either party are as shown on the signature page of this Agreement, or as subsequently modified by written notice.",notice
"Notice. Notices and all other communications contemplated by this Agreement shall be in writing and shall be deemed to have been duly given when personally delivered or when mailed by U.S. registered or certified mail, return receipt requested and postage prepaid or deposited with Federal Express Corporation, with shipping charges prepaid. In the case of the Executive, mailed notices shall be addressed to him or her at the home address which he or she most recently communicated to the Company in writing. In the case of the Company, mailed notices shall be addressed to its corporate headquarters, and all notices shall be directed to the attention of its Secretary.",notice
Notice. The undersigned beneficial owner (the “Selling Stockholder”) of Registrable Securities hereby elects to include the Registrable Securities owned by it in the Registration Statement. The undersigned hereby provides the following information to the Company and represents and warrants that such information is accurate:,notice
"Notice. For the purposes of this Agreement, notices and all other communications provided for in this Agreement shall be in writing and shall be deemed to have been duly given when delivered or mailed by United States registered mail, return receipt requested, postage prepaid, addressed to the respective addresses set forth on the first page of this Agreement, provided that all other notices to the Company should be directed to the attention to the Corporate Secretary of the Company, or to such address as either party may have furnished to the other in writing in accordance herewith, except that notices of change of address shall be effective only upon receipt.",notice
"Notice. It shall be sufficient notice to a Trustee to send notice by mail at least forty-eight hours or by telegram at least twenty-four hours before the meeting addressed to the Trustee at his or her usual or last known business or residence address or to give notice to him or her in person or by telephone at least twenty-four hours before the meeting. Notice of a meeting need not be given to any Trustee if a written waiver of notice, executed by him or her before or after the meeting, is filed with the records of the meeting, or to any Trustee who attends the meeting without protesting prior thereto or at its commencement the lack of notice to him or her. Neither notice of a meeting nor a waiver of a notice need specify the purposes of the meeting.",notice
"Notice. Any notice that is required to be given by the parties to each other under the terms of this Agreement shall be in writing, delivered, or mailed postpaid to the other parties, or transmitted by facsimile with acknowledgment of receipt, to the parties at the following addresses or facsimile numbers, which may from time to time be changed by the parties by notice to the other party:",notice
"Notice. Any notice under this Agreement shall be in writing, addressed and delivered or mailed, postage prepaid, to the other party at such address as such other party may designate for the receipt of such notices.",notice
