clause_text,clause_type
"Notices, Etc. All statements, requests, notices and agreements hereunder shall be in writing, and:",notices-etc
"Notices, Etc. All notices and other communications from the Company to the Holder of this Warrant shall be mailed by first class registered or certified mail, postage prepaid, at such address as may have been furnished to the Company in writing by such Holder or, until any such Holder furnishes to the Company an address, then to, and at the address of, the last Holder of this Warrant who has so furnished an address to the Company.",notices-etc
"Notices, Etc. All demands, notices and communications hereunder shall be in writing and shall be delivered or mailed by registered or certified first-class United States mail, postage prepaid, hand delivery, prepaid courier service, or by facsimile or by electronic transmission, and addressed in each case as specified on Schedule I to the Sale and Servicing Agreement or at such other address as shall be designated by any of the specified addressees in a written notice to the other parties hereto. Any notice required or permitted to be mailed to a Noteholder shall be given by first class mail, postage prepaid, at the address of such Noteholder as shown in the Note Register. Delivery shall occur only upon receipt or reported tender of such communication by an officer of the recipient entitled to receive such notices located at the address of such recipient for notices hereunder; provided, however, that any notice to a Noteholder mailed within the time and manner prescribed in this Agreement shall be conclusively presumed to have been duly given, whether or not the Noteholder shall receive such notice.",notices-etc
"Notices, Etc. (a) All notices and other communications provided for hereunder shall be either (x) in writing (including telecopier or telegraphic communication) and mailed, telecopied, telegraphed or delivered or (y) as and to the extent set forth in Section 8.02(b) and in the proviso to this Section 8.02(a), if to the Borrower, at its address at 55 Glenlake Parkway, N.E., Atlanta, Georgia 30328, Attention: Financial Resources Department (telecopier number (404) 828-6562); if to any Initial Lender, at its Domestic Lending Office specified opposite its name on Schedule I hereto; if to any other Lender, at its Domestic Lending Office specified in the Assignment and Acceptance pursuant to which it became a Lender; if to the Agent, at its address at Two Penns Way, Suite 200, New Castle, Delaware 19720, Attention: Bank Loan Officer (telecopier number (212) 994-0961); if to the Sub-Agent, at its address at 4 Harbour Exchange Square, London, United Kingdom, E14 9GE, Attention: Ian Hayton (telecopier number 44-208-638-3824) or, as to the Borrower or the Agent, at such other address as shall be designated by such party in a written notice to the other parties and, as to each other party, at such other address as shall be designated by such party in a written notice to the Borrower and the Agent, provided that materials required to be delivered pursuant to Section 5.01(g)(i), (ii) or (iii) may be delivered to the Agent as specified in Section 8.02(b) or as otherwise specified to the Borrower by the Agent. All such notices and communications shall, when mailed, telecopied, telegraphed or e-mailed, be effective when deposited in the mails, telecopied, delivered to the telegraph company or confirmed by e-mail, respectively, except that notices and communications to the Agent pursuant to Article II, III or VII shall not be effective until received by the Agent. Delivery by telecopier of an executed counterpart of any amendment or waiver of any provision of this Agreement or any Notes or of any Exhibit hereto to be executed and delivered hereunder shall be effective as delivery of a manually executed counterpart thereof.",notices-etc
"Notices, Etc. The Borrower shall notify the Administrative Agent by telephone (confirmed by telecopy) of any optional prepayment hereunder (i) in the case of prepayment of a Eurodollar Borrowing, not later than 10:00 a.m., New York City time, three Business Days before the date of prepayment or (ii) in the case of prepayment of an ABR Borrowing, not later than 10:00 a.m., New York City time, one Business Day before the date of prepayment. Each such notice shall be irrevocable and shall specify the prepayment date, the principal amount of each Borrowing or portion thereof to be prepaid and, in the case of a mandatory prepayment, a reasonably detailed calculation of the amount of such prepayment; provided that, if a notice of prepayment is given in connection with a conditional notice of termination of the Revolving Commitments as contemplated by Section 2.07, then such notice of prepayment may be revoked if such notice of termination is revoked in accordance with Section 2.07. Promptly following receipt of any such notice relating to a Borrowing, the Administrative Agent shall advise the relevant Lenders of the contents thereof. Each partial prepayment of any Borrowing shall be in an amount that would be permitted in the case of a Borrowing of the same Type as provided in Section 2.02, except as necessary to apply fully the required amount of a mandatory prepayment. Each prepayment of a Borrowing shall be applied ratably to the Loans included in the prepaid Borrowing. Prepayments shall be accompanied by accrued interest to the extent required by Section 2.11 and shall be made in the manner specified in Section 2.08(c).",notices-etc
"Notices, Etc. All notices, reports and other communications provided for hereunder shall, unless otherwise stated herein, be in writing (including telex communication and communication by facsimile copy) and mailed, telexed, transmitted or delivered, as to each party hereto, at its address set forth under its name on the signature pages hereof or at such other address as shall be designated by such party in a written notice to the other parties hereto. All such notices and communications shall be effective, upon receipt, or in the case of (a) notice by mail, five days after being deposited in the United States mail, first class postage prepaid or (b) notice by facsimile copy, when communication of receipt is obtained.",notices-etc
"Notices, Etc. All notices and other communications provided for hereunder shall, unless otherwise stated herein, be in writing (including facsimile communication) and shall be personally delivered or sent by express mail or courier or by certified mail, postage prepaid, or by facsimile, to the intended party at the address or facsimile number of such party set forth on Schedule 14.2 or at such other address or facsimile number as shall be designated by such party in a written notice to the other parties hereto. All such notices and communications shall be effective, (a) if personally delivered or sent by express mail or courier or if sent by certified mail, when received, and (b) if transmitted by facsimile, when sent, receipt confirmed by telephone or electronic means.",notices-etc
"Notices, Etc. All notices and other communications hereunder shall, unless otherwise stated herein, be in writing (which shall include facsimile communication) and be faxed or delivered, to each party hereto, at its address set forth under its name on the signature pages hereof or at such other address as shall be designated by such party in a written notice to the other parties hereto. Notices and communications by facsimile shall be effective when sent (and shall be followed by hard copy sent by regular mail), and notices and communications sent by other means shall be effective when received.",notices-etc
"Notices, Etc. Except as otherwise expressly provided in this Credit Agreement, all notices and other communications made or required to be given pursuant to this Credit Agreement or the Notes or any Letter of Credit Applications shall be in writing and shall be delivered in hand, mailed by United States registered or certified first class mail, postage prepaid, sent by overnight courier, or sent by telegraph, telecopy, facsimile or telex and confirmed by delivery via courier or postal service, addressed as follows:",notices-etc
"Notices, Etc. (a) Except as otherwise provided herein, all notices and other communications provided for hereunder shall be in writing (including telegraphic, telex or telecopy communication) and mailed, telegraphed, telexed, telecopied or delivered, if to Caterpillar, at its address at 100 N.E. Adams Street, Peoria, Illinois 61629-5370, Attention: Manager - Corporate Finance Services; if to CFSC, CIF, or CFC, at 2120 West End Avenue, Nashville, Tennessee 37203-0001, Attention: Treasurer; if to any Bank, at its Domestic Lending Office specified beneath its name on its respective signature page hereto; and if to the Agent, at its address at Bank Loan Syndications, Two Penns Way, Suite 200, New Castle, Delaware 19720, Attention: Bank Loan Syndications, Telecopier No. 302-894-6120, with a copy to Citicorp North America, Inc., 233 South Wacker Drive, Chicago, Illinois 60606, Attention: Marianne O’Donnell; or, as to each party, at such other address as shall be designated by such party in a written notice to the other parties. All such notices and communications shall be deemed to have been given three (3) Business Days after deposit in the United States mail (registered or certified, with postage prepaid and properly addressed), when delivered to the telegraph company, upon receipt of a telex or telecopy or when delivered in person or by courier service, except that notices and communications to the Agent pursuant to Article II or VII shall not be effective until received by the Agent.",notices-etc
"Notices, Etc. All notices and other communications required or permitted hereunder shall be in writing and shall be mailed by registered or certified mail, postage prepaid, or otherwise delivered by hand or by messenger, addressed (a) if to a Holder, at such address as such Holder shall have furnished the Company in writing, or, until any such holder so furnishes an address to the Company, then to and at the address of the last Holder who has so furnished an address to the Company, or (b) if to the Company, one copy should be sent to its address set forth on the cover page of this Agreement and addressed to the attention of the President, or at such other address as the Company shall have furnished to the Holders. Each such notice or other communication shall for all purposes of this Agreement be treated as effective or having been given when delivered if delivered personally, or, if sent by mail, at the earlier of its receipt or 72 hours after the same has been deposited in a regularly maintained receptacle for the deposit of the United States mail, addressed and mailed as aforesaid.",notices-etc
"Notices, Etc. All notices required or permitted hereunder shall be in writing and shall be deemed effectively given: (a) upon personal delivery to the party to be notified, (b) when sent by confirmed telex or facsimile if sent during normal business hours of the recipient, if not, then on the next business day, (c) five days after having been sent by registered or certified mail, return receipt requested, postage prepaid, or (d) one day after deposit with a nationally recognized overnight courier, specifying next day delivery, with written verification of receipt. All communications shall be sent to the Company at the address listed on the signature page hereto and to Holder at the applicable address set forth on the applicable signature page to the Purchase Agreement or at such other address as the Company or Holder may designate by 10 days advance written notice to the other parties hereto.",notices-etc
