clause_text,clause_type
"Notices. All notices, requests, demands and other communications under this Agreement shall be in writing and shall be deemed to have been duly given (i) if delivered by hand and receipted for by the party to whom said notice or other communication shall have been directed, or (ii) mailed by certified or registered mail with postage prepaid, on the third (3rd) business day after the date on which it is so mailed:",notices
"Notices. Any and all notices or other communications or deliveries required or permitted to be provided hereunder shall be in writing and shall be deemed given and effective on the earliest of: (a) the date of transmission, if such notice or communication is delivered via facsimile at the facsimile number set forth on the signature pages attached hereto at or prior to 5:30 p.m. (New York City time) on a Trading Day, (b) the next Trading Day after the date of transmission, if such notice or communication is delivered via facsimile at the facsimile number set forth on the signature pages attached hereto on a day that is not a Trading Day or later than 5:30 p.m. (New York City time) on any Trading Day, (c) the second (2nd) Trading Day following the date of mailing, if sent by U.S. nationally recognized overnight courier service or (d) upon actual receipt by the party to whom such notice is required to be given. The address for such notices and communications shall be as set forth on the signature pages attached hereto.",notices
"Notices. (a) Except in the case of notices and other communications expressly permitted to be given by telephone (and subject to paragraph (b) below), all notices and other communications provided for herein shall be in writing and shall be delivered by hand or overnight courier service, mailed by certified or registered mail or sent by telecopy, as follows:",notices
"Notices. All notices and other communications hereunder shall be in writing and shall be deemed given if delivered personally, telecopied (with confirmation), mailed by registered or certified mail (return receipt requested) or delivered by an express courier (with confirmation) to the parties at the following addresses (or at such other address for a party as shall be specified by like notice):",notices
"Notices. All notices provided for in this Guarantee shall be in writing, duly signed by the party giving such notice, and shall be delivered, telecopied or mailed by first class mail, as follows:",notices
"Notices. Except in the case of notices and other communications expressly permitted to be given by telephone, all notices and other communications provided for herein shall be in writing and shall be delivered by hand or overnight courier service, mailed by certified or registered mail or sent by telecopy, as follows:",notices
Notices. (a) The Trustee shall use its best efforts to promptly provide notice to each Rating Agency with respect to each of the following of which it has actual knowledge:,notices
"Notices. All notices required hereunder shall be given by (i) telephone (confirmed promptly in writing) or shall be in writing and personally delivered, (ii) sent by facsimile transmission (during business hours) if the sender on the same day sends a confirming copy of such notice by reputable overnight delivery service (charges prepaid), (iii) reputable overnight delivery service (charges prepaid) or (iv) certified United States mail, postage prepaid return receipt requested, and addressed to the respective parties at their addresses set forth on Exhibit B hereto, or at such other address as any party shall hereafter inform the other party by written notice given as aforesaid. All written notices so given shall be deemed effective upon receipt.",notices
"Notices. All notices and other communications provided for or permitted hereunder shall be made in writing by hand-delivery, first-class mail (registered or certified, return receipt requested), telex, telecopier, or air courier guaranteeing overnight delivery:",notices
Notices. Any and all notices or other communications or deliveries required or permitted to be provided hereunder shall be delivered as set forth in the Purchase Agreement.,notices
"Notices. All notices and other communications hereunder shall be in writing and shall be deemed duly given (a) on the date of delivery if delivered personally, or by telecopy or telefacsimile, upon confirmation of receipt, (b) on the first Business Day following the date of dispatch if delivered by a recognized next-day courier service, or (c) on the tenth Business Day following the date of mailing if delivered by registered or certified mail, return receipt requested, postage prepaid. All notices hereunder shall be delivered as set forth below, or pursuant to such other instructions as may be designated in writing by the party to receive such notice:",notices
"Notices. All notices and other communications provided for or permitted hereunder shall be made in writing by hand delivery, first-class mail, facsimile transmission, or air courier which guarantees overnight delivery:",notices
