clause_text,clause_type
"Notification. After the filing of a Registration Statement, the Company shall promptly, and in no event more than two (2) business days after such filing, notify the holders of Registrable Securities included in such Registration Statement of such filing, and shall further notify such holders promptly and confirm such advice in writing in all events within two (2) business days of the occurrence of any of the following: (i) when such Registration Statement becomes effective; (ii) when any post-effective amendment to such Registration Statement becomes effective; (iii) the issuance or threatened issuance by the Commission of any stop order (and the Company shall take all actions required to prevent the entry of such stop order or to remove it if entered); and (iv) any request by the Commission for any amendment or supplement to such Registration Statement or any prospectus relating thereto or for additional information or of the occurrence of an event requiring the preparation of a supplement or amendment to such prospectus so that, as thereafter delivered to the purchasers of the securities covered by such Registration Statement, such prospectus will not contain an untrue statement of a material fact or omit to state any material fact required to be stated therein or necessary to make the statements therein not misleading, and promptly make available to the holders of Registrable Securities included in such Registration Statement any such supplement or amendment; except that before filing with the Commission a Registration Statement or prospectus or any amendment or supplement thereto, including documents incorporated by reference, the Company shall furnish to the holders of Registrable Securities included in such Registration Statement and to the legal counsel for any such holders, copies of all such documents proposed to be filed sufficiently in advance of filing to provide such holders and legal counsel with a reasonable opportunity to review such documents and comment thereon, and the Company shall not file any Registration Statement or prospectus or amendment or supplement thereto, including documents incorporated by reference, to which such holders or their legal counsel shall object.",notification
"Notification. Between the date of this Agreement and the Closing Date, each Seller will promptly notify Buyer in writing if such Seller or any Acquired Company becomes aware of any fact or condition that causes or constitutes a Breach of any of Sellers' representations and warranties as of the date of this Agreement, or if such Seller or any Acquired Company becomes aware of the occurrence after the date of this Agreement of any fact or condition that would (except as expressly contemplated by this Agreement) cause or constitute a Breach of any such representation or warranty had such representation or warranty been made as of the time of occurrence or discovery of such fact or condition. Should any such fact or condition require any change in the Disclosure Letter if the Disclosure Letter were dated the date of the occurrence or discovery of any such fact or condition, Sellers will promptly deliver to Buyer a supplement to the Disclosure Letter specifying such change. During the same period, each Seller will promptly notify Buyer of the occurrence of any Breach of any covenant of Sellers in this Section 5 or of the occurrence of any event that may make the satisfaction of the conditions in Section 7 impossible or unlikely.",notification
"Notification. Where a difference arises between the Parties relating to the interpretation, application, or administration of this Agreement, including any questions as to whether a matter is arbitrable or where an allegation is made that a term or condition of this Agreement has been violated, either of the Parties may, after exhausting the grievance procedure in Article 9, notify the other Party within thirty (30) days of the receipt of the reply at the third step, of its desire to submit the difference or allegations to arbitration.",notification
"Notification. Notify each Holder of Registrable Securities covered by such registration statement at any time when a prospectus relating thereto is required to be delivered under the Securities Act of (i) the issuance of any stop order by the SEC in respect of such registration statement, or (ii) the happening of any event as a result of which the prospectus included in such registration statement, as then in effect, includes an untrue statement of a material fact or omits to state a material fact required to be stated therein or necessary to make the statements therein not misleading in the light of the circumstances then existing.",notification
"Notification. Between the date of this Agreement and the Closing Date, each of the parties to this Agreement will promptly notify the other parties in writing if it becomes aware of any fact or condition that causes or constitutes a material breach of any of its representations and warranties as of the date of this Agreement, if it becomes aware of the occurrence after the date of this Agreement of any fact or condition that would cause or constitute a material breach of any such representation or warranty had such representation or warranty been made as of the time of occurrence or discovery of such fact or condition. Should any such fact or condition require any change in the Schedules relating to such party, such party will promptly deliver to the other parties a supplement to the Schedules specifying such change. During the same period, each party will promptly notify the other parties of the occurrence of any material breach of any of its covenants in this Agreement or of the occurrence of any event that may make the satisfaction of such conditions impossible or unlikely.",notification
"Notification. Between the date of this Agreement and the Closing Date, Buyer will promptly notify Seller in writing if Buyer becomes aware of any fact or condition that causes or constitutes a breach of any of Buyer's representations and warranties as of the date of this Agreement, or if Buyer becomes aware of the occurrence after the date of this Agreement of any fact or condition that would (except as expressly contemplated by this Agreement) cause or constitute a breach of any such representation or warranty had such representation or warranty been made as of the time of occurrence or discovery of such fact or condition. During the same period, Buyer will promptly notify Seller of the occurrence of any breach of any covenant of Buyer in this Section 6 or of the occurrence of any event that may make the satisfaction of the conditions in Section 8 impossible or unlikely.",notification
"Notification. Each party entitled to indemnification under this Article IV (the “Indemnified Party”) shall give notice to the party required to provide indemnification (the “Indemnifying Party”) promptly after such Indemnified Party has actual knowledge of any claim as to which indemnity may be sought, and shall permit the Indemnifying Party to assume the defense of any such claim or any litigation resulting therefrom, provided, however, that counsel for the Indemnifying Party, who shall conduct the defense of such claim or litigation, shall be approved by the Indemnified Party (whose approval shall not unreasonably be withheld or delayed), and the Indemnified Party may participate in such defense at such party’s expense; provided, further, however, that an Indemnified Party (together with all other Indemnified Parties) shall have the right to retain one (1) separate counsel, with the reasonable fees and expenses to be paid by the Indemnifying Party, if representation of such Indemnified Party by the counsel retained by the Indemnifying Party would be inappropriate due to conflicting interests between such Indemnified Party and any other party represented by such counsel in such proceeding. The failure of any Indemnified Party to give notice as provided herein shall relieve the Indemnifying Party of its obligations under this Article IV, only to the extent that, the failure to give such notice is materially prejudicial or harmful to an Indemnifying Party’s ability to defend such action. No Indemnifying Party, in the defense of any such claim or litigation, shall, except with the prior written consent of each Indemnified Party (which consent shall not be unreasonably withheld or delayed), consent to entry of any judgment or enter into any settlement which does not include as an unconditional term thereof the giving by the claimant or plaintiff to such Indemnified Party of a release from all liability in respect to such claim or litigation. The indemnity agreements contained in this Article IV shall not apply to amounts paid in settlement of any loss, claim, damage, liability or action if such settlement is effected without the prior written consent of the Indemnifying Party, which consent shall not be unreasonably withheld or delayed. The indemnification set forth in this Article IV shall be in addition to any other indemnification rights or agreements that an Indemnified Party may have.",notification
"Notification. The Contractor will promptly notify the Department or Customer upon becoming aware of any circumstances that may reasonably be expected to jeopardize the timely and successful completion (or delivery) of any commodity or contractual service. The Contractor will use commercially reasonable efforts to avoid or minimize any delays in performance and will inform the Department or the Customer of the steps the Contractor is taking or will take to do so, and the projected actual completion (or delivery) time. If the Contractor believes a delay in performance by the Department or the Customer has caused or will cause the Contractor to be unable to perform its obligations on time, the Contractor will promptly so notify the Department and use commercially reasonable efforts to perform its obligations on time notwithstanding the Department’s delay.",notification
"Notification. On receiving such a notice, the Agent shall notify the Borrower and the Security Trustee; and, until the Agent receives such a notice, it shall be entitled to assume that a Lender is acting through the lending office of which the Agent last had notice.",notification
"Notification. Whenever any invention, improvement, or discovery (whether or not patentable) is made or conceived for the first time or actually or constructively reduced to practice by the Contractor, including its employees and subContractors, in the performance of the Work Authorization, the Contractor will immediately give the State’s Authorized Representative written notice thereof, and must promptly furnish the Authorized Representative with complete information and/or disclosure thereon.",notification
"Notification. Upon any termination of, or appointment of a successor to, the Servicer pursuant to this Article VIII, the Issuer shall give prompt written notice thereof to Certificateholder, and the Indenture Trustee shall give prompt written notice thereof to Noteholders and the Administrator, and the Administrator shall provide such notice to the Rating Agencies.",notification
"Notification. The Sub-Adviser will notify the Investment Manager within a reasonable time of any change in the ------------ personnel of the Sub-Adviser with responsibility for making investment decisions in relation to the Portfolio (the ""Portfolio Manager(s)"") or who have been authorized to give instructions to the Custodian. The Sub-Adviser shall be responsible for reasonable out-of-pocket costs and expenses incurred by the Investment Manager, the Portfolio or the Trust to amend or supplement the Trust's Prospectus to reflect a change in Portfolio Manager(s) or otherwise to comply with the ICA, the Securities Act of 1933, as amended (the ""1933 Act"") or any other applicable statute, law, rule or regulation, as a result of such change; provided, however, that the Sub-Adviser shall not be responsible for such costs and expenses where the change in Portfolio Manager(s) reflects the termination of employment of the Portfolio Manager(s) with the Sub-Adviser and its affiliates or is the result of a request by the Investment Manager or is due to other circumstances beyond the Sub-Adviser's control. Any notice, instruction or other communication required or contemplated by this Agreement shall be in writing. All such communications shall be addressed to the recipient at the address set forth below, provided that either party may, by notice, designate a different recipient and/or address for such party. Investment Manager: American Skandia Investment Services, Incorporated One Corporate Drive Shelton, Connecticut 06484 Attention: John Birch Senior Vice President & Chief Operating Officer Sub-Adviser: Deutsche Asset Management, Inc. 280 Park Avenue Mail Stop NYC030610 New York, New York 10017 Attention: Brian Bader Trust: American Skandia Trust One Corporate Drive Shelton, Connecticut 06484 Attention: Edward P. Macdonald, Esq.",notification
Notification. The Train Operator shall notify Network Rail promptly on becoming aware of the occurrence of a Train Operator Event of Default.,notification
"Notification. In order that the indemnification provisions contained in this Article 23 shall apply, upon the assertion of a claim for which either party may be required to indemnify the other, the party seeking indemnification shall promptly notify the other party of such assertion, and shall keep the other party advised with respect to all developments concerning such claim. The party who may be required to indemnify shall have the option to participate with the party seeking indemnification in the defense of such claim. The party seeking indemnification shall in no case confess any claim or make any compromise in any case in which the other party may be required to indemnify it except with the other party's prior written consent.",notification
"Notification. Each of Parent, Merger Sub and the Company will notify the other promptly upon the receipt of: (i) any comments from any officials of any Governmental Entity in connection with any filings made pursuant hereto and (ii) any request by any officials of any Governmental Entity for amendments or supplements to any filings made pursuant to, or information provided to comply in all material respects with, any Legal Requirements. Whenever any event occurs that is required to be set forth in an amendment or supplement to any filing made pursuant to Section 5.6(a), Parent, Merger Sub or the Company, as the case may be, will promptly inform the other of such occurrence and cooperate in filing with the applicable Governmental Entity such amendment or supplement.",notification
"Notification. All notices under this Contract shall be sent to a party at the respective address indicated below. Dana L. Collins, CTPM, CTCM Director, Enterprise Contract Management Department of Information Resources 300 W. 15th St., Suite 1300 Austin, Texas 78701 Phone: (512) 936-2233 Facsimile: (512) 475-4759 Email: dana.collins@dir.texas.gov Jim Neubauer Source Incorporated of Missouri dba Source, Inc. 6840 Silverheel Shawnee, KS 66226 Phone: (210)316-7912 Facsimile: (913)661-2600 Email: jneubauer@sourceinc.com",notification
"Notification. We will attempt to present all of your electronic bills promptly. In addition to notification within the Service, we may send an e-mail notification to the e-mail address listed for your account. It is your sole responsibility to ensure that this information is accurate. In the event you do not receive notification, it is your responsibility to periodically logon to the Service and check on the delivery of new electronic bills. The time for notification may vary from Biller to Biller. You are responsible for ensuring timely payment of all bills.",notification
"Notification. The Sub-Adviser agrees that it will provide prompt notice to the Manager and Fund about material changes in the employment status of key investment management personnel involved in the management of the Fund, material changes in the investment process used to manage the Fund and any changes in senior management, operations or ownership of the Sub-Adviser’s Firm.",notification
"Notification. Customer shall notify the Transfer Agent as soon as possible in advance of any stock split, stock dividend or any similar event which may affect the Shares and any bankruptcy, insolvency, moratorium or other proceeding regarding Customer affecting the enforcement of creditors’ rights. Notwithstanding any other provision of the Agreement to the contrary, the Transfer Agent will have no obligation to perform any Services under the Agreement subsequent to the commencement of any bankruptcy, insolvency, moratorium or other proceeding regarding Customer affecting the enforcement of creditors’ rights unless the Transfer Agent receives assurance satisfactory to it that it will receive full payment for such services. Further, Customer may not assume the Agreement after the filing of a bankruptcy petition without the Transfer Agent’s written consent.",notification
Notification. Network Rail shall notify the Train Operator promptly on becoming aware of the occurrence of a Network Rail Event of Default.,notification
