clause_text,clause_type
Officer’s Certificate. Any certificate signed by any duly authorized officer of the Company and delivered to you or to Representative Counsel shall be deemed a representation and warranty by the Company to the Underwriters as to the matters covered thereby.,officers-certificate
"Officer’s Certificate. A certificate, dated such Date of Delivery, of the President or a Vice President of the Company and of the chief financial or chief accounting officer of the Company confirming that the certificate delivered at the Closing Time pursuant to Section 5(d) hereof remains true and correct as of such Date of Delivery.",officers-certificate
"Officer’s Certificate. At each of the Closing Date and the Option Closing Date, if any, the Representative shall have received a certificate of the Company signed by the Chairman of the Board or the Chief Executive Officer and the Secretary or Assistant Secretary of the Company (in their capacities as such), dated the Closing Date or the Option Closing Date, as the case may be, respectively, to the effect that the Company has performed all covenants and complied with all conditions required by this Agreement to be performed or complied with by the Company prior to and as of the Closing Date, or the Option Closing Date, as the case may be, and that the conditions set forth in Section 4 hereof have been satisfied as of such date and that, as of Closing Date and the Option Closing Date, as the case may be, the representations and warranties of the Company set forth in Section 2 hereof are true and correct. In addition, the Representative will have received such other and further certificates of officers of the Company (in their capacities as such) as the Representative may reasonably request.",officers-certificate
"Officer’s Certificate. The Representatives shall have received on and as of the Closing Date or the Additional Closing Date, as the case may be, a certificate of the chief financial officer or chief accounting officer of the Company and one additional senior executive officer of the Company who is satisfactory to the Representatives (i) confirming that such officers have carefully reviewed the Registration Statement, the Pricing Disclosure Package and the Prospectus and, to the knowledge of such officers, the representations set forth in Sections 3(b) and 3(c) hereof are true and correct, (ii) confirming that the other representations and warranties of the Company in this Agreement are true and correct and that the Company has complied with all agreements and satisfied all conditions on its part to be performed or satisfied hereunder at or prior to the Closing Date or the Additional Closing Date, as the case may be, and (iii) to the effect set forth in paragraphs (a) and (c) above.",officers-certificate
"Officer’s Certificate. At Closing Time, there shall not have been, since the date hereof or since the respective dates as of which information is given in the Prospectus, any material adverse change in the condition, financial or otherwise, or in the earnings, business affairs or business prospects of the Company and its subsidiaries considered as one enterprise, whether or not arising in the ordinary course of business, and the Representatives shall have received a certificate of the President or a Vice President of the Company and of the chief financial or chief accounting officer of the Company, dated as of Closing Time, to the effect that (i) there has been no such material adverse change, (ii) the representations and warranties in Section 1(a) hereof are true and correct with the same force and effect as though expressly made at and as of Closing Time, (iii) the Company has complied with all agreements and satisfied all conditions on its part to be performed or satisfied at or prior to Closing Time, and (iv) no stop order suspending the effectiveness of the Registration Statement has been issued and no proceedings for that purpose have been instituted or are pending or are contemplated by the Commission.",officers-certificate
"Officer’s Certificate. On each of the First Closing Date and each Option Closing Date, the Representatives shall have received a certificate executed by the Chief Executive Officer or President of the Company and the Chief Financial Officer of the Company, dated as of such date, to the effect set forth in Section 6(b)(ii) and further to the effect that:",officers-certificate
"Officer’s Certificate. The Company shall have furnished to the Representative a certificate, dated the Closing Date and any Option Closing Date (if such date is other than the Closing Date), of its Chief Executive Officer, its President and its Chief Financial Officer stating that (i) such officers have carefully examined the Registration Statement, the Pricing Disclosure Package, any Issuer Free Writing Prospectus and the Prospectus and, in their opinion, the Registration Statement and each amendment thereto, as of the Applicable Time and as of the Closing Date (or any Option Closing Date if such date is other than the Closing Date) did not include any untrue statement of a material fact and did not omit to state a material fact required to be stated therein or necessary to make the statements therein not misleading, and the Pricing Disclosure Package, as of the Applicable Time and as of the Closing Date (or any Option Closing Date if such date is other than the Closing Date), any Issuer Free Writing Prospectus as of its date and as of the Closing Date (or any Option Closing Date if such date is other than the Closing Date), the Prospectus and each amendment or supplement thereto, as of the respective date thereof and as of the Closing Date, did not include any untrue statement of a material fact and did not omit to state a material fact necessary in order to make the statements therein, in the light of the circumstances in which they were made, not misleading, (ii) since the effective date of the Registration Statement, no event has occurred which should have been set forth in a supplement or amendment to the Registration Statement, the Pricing Disclosure Package or the Prospectus, (iii) to the best of their knowledge after reasonable investigation, as of the Closing Date (or any Option Closing Date if such date is other than the Closing Date), the representations and warranties of the Company in this Agreement are true and correct and the Company has complied with all agreements and satisfied all conditions on its part to be performed or satisfied hereunder at or prior to the Closing Date (or any Option Closing Date if such date is other than the Closing Date), and (iv) there has not been, subsequent to the date of the most recent audited financial statements included or incorporated by reference in the Pricing Disclosure Package, any material adverse change in the financial position or results of operations of the Company, or any change or development that, singularly or in ...",officers-certificate
"Officer’s Certificate. At the Closing Time, there shall not have been, since the date hereof or since the respective dates as of which information is given in the Registration Statement, the General Disclosure Package or the Prospectus, any material adverse change in the condition, financial or otherwise, or in the earnings, business affairs or business prospects of the Company and its subsidiaries considered as one enterprise, whether or not arising in the ordinary course of business, and the Representatives shall have received a certificate of the Chief Executive Officer or the President of the Company and of the chief financial or chief accounting officer of the Company, dated the Closing Time, to the effect that (i) there has been no such material adverse change, (ii) the representations and warranties of the Company in this Agreement are true and correct with the same force and effect as though expressly made at and as of the Closing Time, (iii) the Company has complied with all agreements and satisfied all conditions on its part to be performed or satisfied at or prior to the Closing Time, and (iv) no stop order suspending the effectiveness of the Registration Statement under the 1933 Act has been issued, no order preventing or suspending the use of any preliminary prospectus or the Prospectus has been issued and no proceedings for any of those purposes have been instituted or are pending or, to their knowledge, contemplated.",officers-certificate
"Officer’s Certificate. The Representatives shall have received on and as of the Closing Date a certificate of an executive officer of the Company who has specific knowledge of the Company’s financial matters and is satisfactory to the Representatives (i) confirming that such officer has carefully reviewed the Registration Statement, the Time of Sale Information and the Prospectus and, to the best knowledge of such officer, the representations set forth in Sections 3(b) and 3(d) hereof are true and correct, (ii) confirming that the other representations and warranties of the Company in this Agreement are true and correct and that the Company has complied with all agreements and satisfied all conditions on its part to be performed or satisfied hereunder at or prior to the Closing Date and (iii) to the effect set forth in paragraphs (a), (c) and (d) above.",officers-certificate
"Officer’s Certificate. The Company shall have delivered to such Purchaser an Officer’s Certificate, dated the date of the Closing, certifying that the conditions specified in Sections 4.1, 4.2 and 4.9 have been fulfilled.",officers-certificate
