clause_text,clause_type
"Officers. The officers of the Company immediately prior to the Effective Time shall be the officers of the Surviving Corporation, until the earlier of their resignation or removal or until their respective successors are duly elected and qualified, as the case may be.",officers
"Officers. The Member may, from time to time as it deems advisable, select natural persons who are employees or agents of the Company and designate them as officers of the Company (the “Officers”) and assign titles (including, without limitation, President, Vice President, Secretary, and Treasurer) to any such person. Unless the Member decides otherwise, if the title is one commonly used for officers of a business corporation formed under the Delaware General Corporation Law, the assignment of such title shall constitute the delegation to such person of the authorities and duties that are normally associated with that office. Any delegation pursuant to this Section 15 may be revoked at any time by the Member. An Officer may be removed with or without cause by the Member.",officers
"Officers. The officers of the Company at the Effective Time shall, from and after the Effective Time, be the officers of the Surviving Corporation until their successors have been duly elected or appointed and qualified or until their earlier death, resignation or removal in accordance with the Charter and the By-Laws.",officers
"Officers. The initial Officers of the Company shall be designated by the Member. The additional or successor Officers of the Company shall be chosen by the Board and shall consist of at least a President, a Secretary and a Treasurer. The Board of Directors may also choose one or more Vice Presidents, Assistant Secretaries and Assistant Treasurers. Any number of offices may be held by the same person. The Board may appoint such other Officers and agents as it shall deem necessary or advisable who shall hold their offices for such terms and shall exercise such powers and perform such duties as shall be determined from time to time by the Board. The salaries of all Officers and agents of the Company shall be fixed by or in the manner prescribed by the Board. The Officers of the Company shall hold office until their successors are chosen and qualified. Any Officer may be removed at any time, with or without cause, by the affirmative vote of a majority of the Board. Any vacancy occurring in any office of the Company shall be filled by the Board. The initial Officers of the Company designated by the Member are listed on Schedule E hereto.",officers
"Officers. The Trustees shall elect a President, a Secretary and a Treasurer and may elect a Chairman who shall serve at the pleasure of the Trustees or until their successors are elected. The Trustees may elect or appoint or may authorize the Chairman, if any, or President to appoint such other officers or agents with such powers as the Trustees may deem to be advisable. A Chairman shall, and the President, Secretary and Treasurer may, but need not, be a Trustee.",officers
"Officers. The Company shall have such officers as may be necessary or desirable for the business of the Company. The officers may include a Chairman of the Board, a President, a Treasurer and a Secretary, and such other additional officers, including one or more Vice Presidents, Assistant Secretaries and Assistant Treasurers as the Manager, the Board, the Chairman of the Board, or the President may from time to time elect. Any two or more offices may be held by the same individual. The initial officers are set forth on Exhibit A.",officers
"Officers. The Officers of the Company shall be a president, a secretary and a chief financial officer/treasurer, which officers shall be elected by, and hold office at the pleasure of, the Board. The Company may also have, at the discretion of the Board, a Chairman of the Board, one or more vice presidents, one or more assistant secretaries, one or more assistant treasurers and such other officers as may be appointed in accordance with the provisions of this Agreement.",officers
"Officers. The Member may, from time to time, designate one or more individuals to be officers of the Company, with such titles as the Member may assign to such individuals. The initial officers of the Company will be a President, a Secretary and two Vice Presidents as more specifically provided below. Officers so designated will have such authority and perform such duties as the Member may from time to time delegate to them. Any number of officer positions may be held by the same individual. Any officer may resign as such at any time by providing written notice to the Company. Any officer may be removed as such, either with or without cause, by the Member, in its sole discretion. Any vacancy occurring in any officer position of the Company may be filled by the Member. The officers of the Company, if and when designated by the Member, will have the authority, acting individually, to bind the Company.",officers
"Officers. The officers of Merger Sub immediately prior to the Effective Time shall be the initial officers of the Surviving Corporation and shall hold office until their respective successors are duly elected and qualified, or their earlier death, resignation or removal.",officers
"Officers. The officers of the Company at the Effective Time shall be the initial officers of the Surviving Corporation, each to hold office in accordance with the Certificate of Incorporation and Bylaws of the Surviving Corporation until such officer's successor is duly elected or appointed and qualified.",officers
