clause_text,clause_type
"Renewal Option. This Contract may be renewed under the same terms and conditions, subject to the approval of the Commissioner of the Department of Administration and the State Budget Director in compliance with IC § 5-22-17-4. The term of the renewed contract may not be longer than the term of the original Contract.",optional_renewal
"Renewal Option. Tenant (but not any assignee or subtenant of Tenant, even if Landlord's consent is obtained as required in the Lease), is granted the option to extend the term of this Lease for two extended terms of sixty (60) months each, provided (a) Tenant is not in default at the time of exercise of the option, and (b) Tenant gives written notice of its exercise of the option at least two hundred ten (210) days prior to the expiration of the original term, or the first extended term, of the Lease, as applicable. Landlord shall, within fifteen (15) days of its receipt of Tenant's notice, notify Tenant in writing of its opinion concerning the proposed renewal rate, which shall be the fair market rental value described in the immediately succeeding paragraph, and the Tenant shall, within thirty (30) days of its receipt of Landlord's notice of the renewal rate, during which time Landlord and Tenant shall confer and attempt to reach an agreement regarding the reasonableness of the proposed renewal rate, notify Landlord in writing of its acceptance or rejection of the proposed rental rate. If Landlord and Tenant are unable to mutually agree on the renewal rate within such thirty (30) day period, then the renewal options described in this paragraph shall automatically terminate without further notice.",optional_renewal
"Renewal Option. Tenant shall have the right and option (“Renewal Option”) to renew the Term of this Lease for two (2) successive periods of fourteen (14) years each (each, a “Renewal Term”). Tenant shall give notice to Landlord of Tenant’s exercising of such option (each a “Renewal Notice”) not later than twelve (12) months prior to the then effective Expiration Date, TIME BEING OF THE ESSENCE with respect to giving of the Renewal Notice by Tenant to Landlord; provided, however, that the Renewal Notice shall be validly and effectively given only if, on the date that Tenant shall exercise its Renewal Option (the “Exercise Date”) this Lease shall not have been previously terminated or cancelled and there shall be no uncured Event of Default. If Tenant shall validly exercise its Renewal Option in accordance with the provisions of this Section 2.02, this Lease shall be deemed to be extended pursuant to the Renewal Notice, subject to the provisions of this Lease. Notwithstanding anything to the contrary contained in this Section 2.02, if on the commencement of a Renewal Term there shall be an uncured Event of Default, then Landlord, in Landlord’s sole and absolute discretion, may elect, by written notice to Tenant, to void Tenant’s exercise of the Renewal Option, in which case Tenant’s exercise of the Renewal Option shall be of no force or effect, and the Term shall end on the Expiration Date of this Lease, unless sooner cancelled or terminated pursuant to the provisions of this Lease or by law. The applicable Renewal Term shall commence on the day following the then effective Expiration Date and shall end at midnight on the date that is fourteen (14) Lease Years thereafter. All of the terms, covenants and conditions of this Lease shall continue in full force and effect during the applicable Renewal Term, except that during the first Renewal Term, Tenant shall have an option to extend the Term of this Lease for one (1) Renewal Term pursuant to this Article, and during the last Renewal Term, Tenant shall have no further right to extend the Term of this Lease.",optional_renewal
"Renewal Option. Landlord hereby grants to Tenant, and Tenant shall have, the right and option to extend the Term of this Lease for one (1) period of five (5) years (the “Renewal Term”). The Renewal Term shall commence upon the day next following the last day of the initial Term. Tenant shall notify Landlord in writing of its election to extend this Lease for the Renewal Term not less than six (6) months prior to the expiration of the initial Term, time being of the essence with respect to such notification. Notice thereof shall be deemed sufficient if given in the manner hereinafter provided. If Landlord does not receive such written notice as and when required herein, the Renewal Term shall terminate and be of no further force or effect, and this Lease shall expire as of the then-scheduled expiration date. The Renewal Term shall be upon all of the terms, covenants and conditions of this Lease, except that the Fixed Rent shall be increased by adding the CPI Adjustment Amount (defined below) to the then-current Fixed Rent. The “CPI Adjustment Amount” is calculated by multiplying the Fixed Rent payable for the last year of the initial Term by a ratio, the numerator of which is the Consumer Price Index for All Urban Consumers, Cleveland-Akron, All Items (1982-1984=100) published by the Bureau of Labor Statistics of the United States Department of Labor (the “Index”) on the date nearest the commencement date of the Renewal Term, and the denominator of which is the Index as of the first day of the third Lease Year. If, during the Lease Term the Bureau of Labor Statistics ceases to maintain the Index, then such other index or standard as will most nearly accomplish the aim or purpose of the Index shall be used in determining the amount of any such adjustment. Notwithstanding the foregoing, Tenant shall have no right to renew this Lease if, either at the time Tenant notifies Landlord of its election to extend this Lease or upon the commencement date of the Renewal Term, Tenant is in default hereunder beyond any applicable grace or cure period.",optional_renewal
"Renewal Option. Tenant acknowledges and agrees that Tenant has no further rights of renewal or similar rights in or to the Premises or the Building, except as follows: Subject to the conditions herein, provided that (a) Tenant has not assigned the Lease or sublet any portion of the Premises other than to an entity controlling, controlled by or under common control with Tenant, or to any successor of Tenant resulting from a merger or consolidation of Tenant, and (b) Tenant is not in default under the Lease beyond any applicable notice, grace or cure period, Tenant shall have the right, at Tenant’s option, to elect to extend the Term of the Lease for one (1) period of five (5) years (the “Renewal Term”). The Renewal Term, if properly exercised in accordance herewith, shall commence on December 1, 2022, or on the first day following any subsequent extension of the Term under Section 13 of this Amendment. The Renewal Term shall be exercised by Tenant giving written notice of the exercise thereof (the “Renewal Notice”) to Landlord on or before the day that is nine (9) months, but not more than twelve (12) months, prior to the then applicable Expiration Date of this Lease. Tenant shall have no right to extend the Term of the Lease, and the Renewal Notice shall not be effective, if (i) In the event Tenant properly exercises the Renewal Term, within ten (10) days of receipt of such Renewal Notice, Landlord shall provide the annual Base Rent at which Landlord is willing to lease the Premises to Tenant for the Renewal Term (the “Renewal Rent”), which Renewal Rent shall be based on the “then current fair market rent rate” for buildings of comparable size, type and class located in the same area of Coral Gables, Florida, under leases and renewal amendments being negotiated and entered into at or about the time the Renewal Rent is being determined, giving appropriate consideration to tenant creditworthiness, tenant concessions, length of the term, landlord or building services provided to a tenant, brokerage commissions, tenant improvement allowances and similar factors. If Tenant in its reasonable judgment determines that Landlord’s proposed Renewal Rent does not accurately reflect the then current fair market rent rate, Tenant shall provide Landlord written notice of its objection to Landlord’s determination of the Renewal Rent within ten (10) days after Tenant’s receipt of Landlord’s determination of Renewal Rent. If Tenant timely delivers notice of its objection to Landlord’s dete...",optional_renewal
"Renewal Option. Tenant shall, provided the Lease is in full force and effect and there exists no Event of Default under any of the other terms and conditions of the Lease at the time of notification or commencement, have one (1) option to renew the Term of this Lease for two (2) consecutive terms of five (5) years each, for the portion of the Premises being leased by Tenant as of the date the renewal term is to commence, on the same terms and conditions set forth in the Lease, except as modified by the terms, covenants and conditions as set forth below:",optional_renewal
"Renewal Option. (a) Tenant shall have two successive options to renew this Lease (each a “Renewal Option”) with respect to the entirety of the Premises for the term of five (5) years each (each a “Renewal Term”), commencing upon expiration of the initial Term, or if the first Renewal Option is exercised, upon the expiration of the first Renewal Term. Each Renewal Option must be exercised, if at all, by written notice given by Tenant to Landlord not earlier than twelve (12) months nor later than nine (9) months prior to expiration of the initial Term (or the first Renewal Term, as applicable). If Tenant properly exercises a Renewal Option, then references in the Lease to the Term shall be deemed to include the Renewal Term. The Renewal Option shall be null and void and Tenant shall have no right to renew this Lease if on the date Tenant exercises the Renewal Option or on the date immediately preceding the commencement date of the Renewal Term (i) a Default beyond the applicable cure period shall have occurred and be continuing hereunder, or (ii) Tenant (A) is then subletting more than fifty percent (50%) of the rentable square footage of the Premises other than in connection with a Permitted Transfer (as defined in Section 10.1(e) below) or (B) has assigned this Lease other than in connection with a Permitted Transfer.",optional_renewal
"Renewal Option a. Provided that there then exists no Event of Default by Tenant under the Lease nor any event that with the giving of notice and/or the passage of time would constitute an Event of Default, and that Tenant or any Transferee pursuant to a Permitted Transfer is the sole occupant of the Premises, Tenant shall have the option to renew this Lease for one (1) additional term of five (5) years (the “Renewal Term”). The Renewal Term shall be subject to all of the terms and conditions of the Lease except (i) the Base Rent payable during the first year of the Renewal Term shall be equal to the Fair Market Rent (as such term is hereinafter defined), (ii) the Base Rent payable during each subsequent year of the Renewal Term shall be equal to one hundred three percent (103%) of the Base Rent payable during the immediately preceding year, (iii) the Base Years shall adjust to the calendar year 2027, (iv) Landlord shall have no obligations with respect to improvements to the Premises with respect to the Renewal Term and (v) Tenant shall have no further option to extend the Term. If Tenant chooses to exercise such option, it shall give written notice to Landlord of its exercise of the option at least nine (9) months, but no more than twelve (12) months, prior to the expiration of the then-current Term.",optional_renewal
"Renewal Option. Provided that on the date of the Renewal Notice (as herein defined) or as of the last day of the then current Lease Term, no monetary or material non-monetary default by Tenant has occurred under the Lease and is continuing after any applicable notice is given and any applicable cure period has expired, Tenant shall have the option of further extending the Lease Term (the ""Option to Renew"") for up to two (2) additional consecutive renewal terms (each, a ""Renewal Term"") of sixty (60) months each, subject to and in accordance with the following terms and conditions: (i) Tenant shall exercise each Option to Renew by giving Landlord written notice (the ""Renewal Notice"") of Tenant’s exercise of the Option to Renew no earlier than eighteen (18) months and no later than nine (9) months prior to the expiration of the then current Lease Term; (ii) the applicable Renewal Term, if any, shall commence on the day immediately following the last day of the then current Lease Term; (iii) the Base Rent rate applicable to the Renewal Term shall be equal to 95% of the then Fair Market Rate (as herein defined) for the then Premises as determined pursuant hereto; and (iv) if Tenant does not timely exercise the Option to Renew for a Renewal Term, then all of Tenant’s rights to renew or extend the Lease Term shall automatically terminate and be null and void and of no further force or effect. As used herein, the term ""Fair Market Rate"" means the amount per rentable square foot of the then Premises that a willing, comparable renewal tenant would pay and a willing, comparable landlord would accept in an arm's length transaction, for delivery on or about the expiration of the then current Lease Term for comparable renewal, non-expansion space in the Building and in other comparable buildings located in the Dallas North Tollway submarket of Dallas, Texas, similarly improved, and taking into account the location, size, quality and age of the respective buildings, any allowances to be provided (such as construction allowances, moving allowances, tenant finish allowances, rent credits, etc. – it being understood that the parties have agreed that Tenant shall be entitled to an actual tenant improvement allowance determined as a component of Fair Market Rent, as opposed to simply taking into consideration the value of such an allowance and also that Landlord and Tenant have agreed that any tenant improvements in the Premises which were paid for and installed by Tenant shall not be includ...",optional_renewal
"Renewal Option. A. Tenant shall have the right to extend the Lease Term (the ""Renewal Option"") for one additional period of five (5) years commencing on the day following the Termination Date of the initial Lease Term and ending on the fifth (5th) anniversary of the Termination Date (the ""Renewal Term""), if:",optional_renewal
