clause_text,clause_type
"Organization and Good Standing. The Depositor has been duly formed and is validly existing as an entity in good standing under the laws of the State of Delaware, with power and authority to own its properties and to conduct its business as such properties are presently owned and such business is presently conducted;",organization-and-good-standing
"Organization and Good Standing. The Depositor has been duly formed and is validly existing as an entity in good standing under the laws of the State of Delaware, with power and authority to own its properties and to conduct its business as such properties are presently owned and such business is presently conducted, and had at all relevant times, and now has, power, authority and legal right to acquire and own the Receivables;",organization-and-good-standing
"Organization and Good Standing. The Seller is a corporation duly organized, validly existing and in good standing under the laws of the State of California, and has power and authority to own its properties and to conduct its business as such properties are currently owned and such business is presently conducted, and had at all relevant times, and shall have, power, authority and legal right to acquire, own and sell the Receivables.",organization-and-good-standing
"Organization and Good Standing. The Seller has been duly organized and is validly existing as a corporation in good standing under the laws of the State of Nevada, with power and authority to own its properties and to conduct its business as such properties are currently owned and such business is currently conducted, and had at all relevant times, and now has, power, authority and legal right to acquire, own and sell the Receivables and the Other Conveyed Property transferred to the Trust.",organization-and-good-standing
"Organization and Good Standing. The Depositor is a limited liability company validly existing and in good standing under the laws of the State of Delaware and has full power, authority and legal right to own its properties and conduct its business as such properties are presently owned and such business is presently conducted, and to execute, deliver and perform its obligations under this Trust Agreement.",organization-and-good-standing
"Organization and Good Standing. The Servicer is duly organized and validly existing as a corporation in good standing under the laws of the state of its incorporation, with the corporate power and authority to own its properties and to conduct its business as such properties are currently owned and such business is presently conducted, and had at all relevant times, and has, the corporate power, authority and legal right to acquire, own, sell and service the Receivables and to hold the Receivable Files as custodian.",organization-and-good-standing
"Organization and Good Standing. Seller is a corporation duly organized, validly existing and in good standing under the laws of the jurisdiction of its organization and has the corporate power to own its assets and to transact the business in which it is currently engaged. Seller is duly qualified to do business as a foreign corporation and is in good standing in each jurisdiction in which the character of the business transacted by it or properties owned or leased by it requires such qualification and in which the failure so to qualify would have a material adverse effect on the business, properties, assets, or condition (financial or otherwise) of Seller or Trust Depositor. Seller is properly licensed in each jurisdiction to the extent required by the laws of such jurisdiction to service the Contracts in accordance with the terms of the Sale and Servicing Agreement.",organization-and-good-standing
"Organization and Good Standing. Buyer is a corporation duly organized, validly existing, and in good standing under the laws of the State of Delaware.",organization-and-good-standing
"Organization and Good Standing. The Seller shall have been duly organized and shall be validly existing as a limited liability company in good standing under the laws of the State of Delaware, with power and authority to own its properties and to conduct its business as such properties shall be currently owned and such business is presently conducted, and had at all relevant times, and shall now have, power, authority and legal right to acquire, own and sell the Receivables.",organization-and-good-standing
"Organization and Good Standing. The Company and each of its subsidiaries have been duly organized and are validly existing and in good standing under the laws of their respective jurisdictions of organization, are duly qualified to do business and are in good standing in each jurisdiction in which their respective ownership or lease of property or the conduct of their respective businesses requires such qualification, and have all power and authority necessary to own or hold their respective properties and to conduct the businesses in which they are engaged, except where the failure to be so qualified or in good standing or have such power or authority would not, individually or in the aggregate, have a material adverse effect on the business, properties, management, financial position, stockholders’ equity, results of operations or prospects of the Company and its subsidiaries taken as a whole or on the performance by the Company of its obligations under this Agreement (a “Material Adverse Effect”). The Company does not own or control, directly or indirectly, any corporation, association or other entity other than the subsidiaries listed in Exhibit 21 to the Registration Statement.",organization-and-good-standing
"Organization and Good Standing. The Company and each of its subsidiaries listed in Schedule 2 to this Agreement (each, a “Significant Subsidiary”) have been duly organized and are validly existing and in good standing under the laws of their respective jurisdictions of organization, are duly qualified to do business and are in good standing in each jurisdiction in which their respective ownership or lease of property or the conduct of their respective businesses requires such qualification, and have all power and authority necessary to own or hold their respective properties and to conduct the businesses in which they are engaged, except where the failure to be so qualified, in good standing or have such power or authority would not, individually or in the aggregate, have a material adverse effect on the business, properties, management, financial position, results of operations or prospects of the Company and its subsidiaries taken as a whole or on the performance by the Company of its obligations under the Securities (a “Material Adverse Effect”).",organization-and-good-standing
