clause_text,clause_type
"Organization and Qualification. The Company and each of the Subsidiaries is an entity duly incorporated or otherwise organized, validly existing and in good standing under the laws of the jurisdiction of its incorporation or organization, with the requisite power and authority to own and use its properties and assets and to carry on its business as currently conducted. Neither the Company nor any Subsidiary is in violation nor default of any of the provisions of its respective certificate or articles of incorporation, bylaws or other organizational or charter documents. Each of the Company and the Subsidiaries is duly qualified to conduct business and is in good standing as a foreign corporation or other entity in each jurisdiction in which the nature of the business conducted or property owned by it makes such qualification necessary, except where the failure to be so qualified or in good standing, as the case may be, could not have or reasonably be expected to result in: (i) a material adverse effect on the legality, validity or enforceability of any Transaction Document, (ii) a material adverse effect on the results of operations, assets, business, prospects or condition (financial or otherwise) of the Company and the Subsidiaries, taken as a whole, or (iii) a material adverse effect on the Company’s ability to perform in any material respect on a timely basis its obligations under any Transaction Document (any of (i), (ii) or (iii), a “Material Adverse Effect”) and no Proceeding has been instituted in any such jurisdiction revoking, limiting or curtailing or seeking to revoke, limit or curtail such power and authority or qualification.",organization-and-qualification
"Organization and Qualification. The Company and each of its Subsidiaries (as defined below), if any, is a corporation duly organized, validly existing and in good standing under the laws of the jurisdiction in which it is incorporated, with full power and authority (corporate and other) to own, lease, use and operate its properties and to carry on its business as and where now owned, leased, used, operated and conducted. Schedule 3(a) sets forth a list of all of the Subsidiaries of the Company and the jurisdiction in which each is incorporated. The Company and each of its Subsidiaries is duly qualified as a foreign corporation to do business and is in good standing in every jurisdiction in which its ownership or use of property or the nature of the business conducted by it makes such qualification necessary except where the failure to be so qualified or in good standing would not have a Material Adverse Effect. “Material Adverse Effect” means any material adverse effect on the business, operations, assets, financial condition or prospects of the Company or its Subsidiaries, if any, taken as a whole, or on the transactions contemplated hereby or by the agreements or instruments to be entered into in connection herewith. “Subsidiaries” means any corporation or other organization, whether incorporated or unincorporated, in which the Company owns, directly or indirectly, any equity or other ownership interest.",organization-and-qualification
"Organization and Qualification. The Asset Representations Reviewer is duly organized and validly existing as a limited liability company in good standing under the laws of the State of Delaware. The Asset Representations Reviewer is qualified as a foreign limited liability company in good standing and has obtained all necessary licenses and approvals in all jurisdictions in which the ownership or lease of its properties or the conduct of its activities requires the qualification, license or approval, unless the failure to obtain the qualifications, licenses or approvals would not reasonably be expected to have a material adverse effect on the Asset Representations Reviewer’s ability to perform its obligations under this Agreement.",organization-and-qualification
"Organization and Qualification. The Company and each of the Subsidiaries is an entity duly incorporated or otherwise organized, validly existing and in good standing under the laws of the jurisdiction of its incorporation or organization, with the requisite power and authority to own and use its properties and assets and to carry on its business as currently conducted. Neither the Company nor any Subsidiary is in violation nor default of any of the provisions of its respective certificate or articles of incorporation, bylaws or other organizational or charter documents. Each of the Company and the Subsidiaries is duly qualified to conduct business and is in good standing as a foreign corporation or other entity in each jurisdiction in which the nature of the business conducted or property owned by it makes such qualification necessary, except where the failure to be so qualified or in good standing, as the case may be, could not have or reasonably be expected to result in a Material Adverse Effect and no Proceeding has been instituted in any such jurisdiction revoking, limiting or curtailing or seeking to revoke, limit or curtail such power and authority or qualification.",organization-and-qualification
"Organization and Qualification. The Company and its subsidiaries are corporations duly organized and validly existing in good standing under the laws of the jurisdiction in which they are incorporated, and have the requisite corporate power to own their properties and to carry on their business as now being conducted. Each of the Company and its subsidiaries is duly qualified as a foreign corporation to do business and is in good standing in every jurisdiction in which the nature of the business conducted by it makes such qualification necessary, except to the extent that the failure to be so qualified or be in good standing would not have a material adverse effect on the Company and its subsidiaries taken as a whole.",organization-and-qualification
"Organization and Qualification. The Company is a corporation duly incorporated, validly existing and in good standing under the laws of the State of Delaware and has the requisite corporate power to own its properties and assets and to carry on its business as now being conducted.",organization-and-qualification
"Organization and Qualification. The Company is an exempted company with limited liability duly incorporated, organized, validly existing and in good standing under the Laws of the Cayman Islands, and has the requisite corporate power and authorization to own, lease and operate its properties and to carry on its business as now being conducted. Each Subsidiary of the Company has been duly organized, is validly existing and in good standing (with respect to jurisdictions that recognize the concept of good standing) under the Laws of its jurisdiction of organization, and has the requisite corporate power and authorization to own, lease and operate its properties and to carry on its business as now being conducted. Each of the Company and its Subsidiaries is duly qualified or licensed to do business in each jurisdiction in which the property owned, leased or operated by it or the nature of the business conducted by it makes such qualification or licensing necessary, except where the failure to be so qualified or licensed would not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.",organization-and-qualification
"Organization and Qualification. The Company and each of its subsidiaries, if any, is a corporation duly organized, validly existing and in good standing under the laws of the jurisdiction in which it is incorporated, with full power and authority (corporate and other) to own, lease, use and operate its properties and to carry on its business as and where now owned, leased, used, operated and conducted.",organization-and-qualification
"Organization and Qualification. Each of Parent and Merger Sub (i) is a corporation duly organized, validly existing and in good standing under the laws of the jurisdiction of its incorporation, (ii) has all requisite corporate power and authority to own, lease and operate its properties and to carry on its business as now being conducted and (iii) is duly qualified or licensed and is in good standing to do business in each jurisdiction in which the properties owned, leased or operated by it or the nature of its activities makes such qualification necessary, except in such jurisdictions where the failure to be so duly qualified or licensed and in good standing has not had and is not reasonably likely to have, individually or in the aggregate, a Material Adverse Effect on Parent and its Subsidiaries taken as a whole.",organization-and-qualification
"Organization and Qualification. The Company and each of its subsidiaries is a corporation or other business entity duly organized and validly existing in good standing under the laws of the jurisdiction of its formation, and has the requisite corporate power to own its properties and to carry on its business as now being conducted. The Company and each of its subsidiaries is duly qualified as a foreign corporation to do business and is in good standing in every jurisdiction in which the nature of the business conducted by it makes such qualification necessary, except to the extent that the failure to be so qualified or be in good standing would not have a material adverse effect on the assets, business, condition (financial or otherwise), results of operations or future prospects of the Company and its subsidiaries taken as a whole (a “Material Adverse Effect”). Each subsidiary of the Company is identified on Schedule 4a attached hereto.",organization-and-qualification
