clause_text,clause_type
"Organization. Buyer is a corporation duly organized, validly existing and in good standing under the laws of the State of Delaware.",organization
"Organization. Buyer is a corporation duly organized, validly existing and in good standing under the laws of the State of Delaware and has all requisite corporate power and authority to own its property and to carry on its business as it is now being conducted.",organization
"Organization. The Company and each of its Subsidiaries are duly organized, validly existing as a corporation and in good standing under the laws of their respective jurisdictions of organization. The Company and each of its Subsidiaries are duly licensed or qualified as a foreign corporation for transaction of business and in good standing under the laws of each other jurisdiction in which their respective ownership or lease of property or the conduct of their respective businesses requires such license or qualification, and have all corporate power and authority necessary to own or hold their respective properties and to conduct their respective businesses as described in the Registration Statement and the Prospectus, except where the failure to be so qualified or in good standing or have such power or authority would not, individually or in the aggregate, have a material adverse effect or would reasonably be expected to have a material adverse effect on or affecting the assets, business, operations, earnings, properties, condition (financial or otherwise), prospects, stockholders’ equity or results of operations of the Company and the Subsidiaries taken as a whole, or prevent or materially interfere with consummation of the transactions contemplated hereby (a “Material Adverse Effect”).",organization
"Organization. The Company is a corporation duly organized, validly existing and in good standing under the Laws of the State of Nevada. The Company and each of its Affiliates is duly qualified or licensed to conduct business and is in good standing under the Laws of each jurisdiction where the character of the properties owned, leased or operated by it or the nature of its activities makes such qualification necessary, a list of which is set forth on SCHEDULE 3.1, except where the failure to so qualify would not have a material adverse effect on the business or assets of the Company. The Company has full corporate power and authority necessary to own or lease its assets and property, and to carry on the Business and to own and use the properties owned and used by it. The Company has delivered to Merge copies of the Organizational Documents of the Company, each as amended to date, and each such document is in full force and effect. The Company is not in violation of its Organizational Documents. SCHEDULE 3.1 lists all Affiliates of the Company, indicating the jurisdiction of incorporation or organization of each Affiliate. The Company does not control, directly or indirectly, or have any direct or indirect ownership or equity interest in any Person.",organization
"Organization. ZiaSun is a corporation duly organized, validly existing and in good standing under the laws of the State of Nevada, has all necessary corporate powers to own its properties and to carry on its business as now owned and operated by it, and is duly qualified to do business and is in good standing in each of the states where its business requires qualification.",organization
"Organization. Buyer is a corporation duly organized, validly existing and in good standing under the laws of the Republic the Marshall Islands and has all requisite corporate power and authority to own, lease and operate its properties and to carry on its business as now conducted.",organization
"Organization. Seller Parent is a corporation duly organized, validly existing and in good standing under the Laws of the State of Delaware. Each Share Seller and Asset Seller is a corporation, partnership or other legal entity duly organized, validly existing and, where applicable, in good standing under the Laws of the jurisdiction of its organization and duly qualified to do business in each jurisdiction where the nature of its business or properties makes such qualification necessary, except where the failure to be so organized, existing, in good standing or qualified has not had and would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect. Seller Parent has made available to Purchaser copies of the organizational documents of Sellers as in effect as of the date hereof.",organization
"Organization. The Company is a corporation duly organized, validly existing and in good standing under the laws of the State of Florida and has all requisite power and authority to acquire, develop, own, lease, operate and dispose of its properties and assets and to carry on its business as it is now being conducted.",organization
"Organization. Each of Parent and Merger Sub is duly organized, validly existing and in good standing under the laws of the State of Delaware and has the requisite corporate power and authority to conduct its business as it is presently being conducted and to own, lease or operate its respective properties and assets. Each of Parent and Merger Sub is duly qualified to do business and is in good standing in each jurisdiction where the character of its properties owned or leased or the nature of its activities make such qualification necessary, except where the failure to be so qualified or in good standing would not, individually or in the aggregate, have a Parent Material Adverse Effect. Parent has delivered or made available to the Company complete and correct copies of the certificates of incorporation and bylaws or other constituent documents, as amended to date, of Parent and Merger Sub.",organization
Organization. The Assignor has been duly organized and is validly existing as a corporation in good standing under the laws of the State of Delaware with full power and authority (corporate and other) to enter into and perform its obligations under the Servicing Agreement and this Assignment Agreement.,organization
