clause_text,clause_type
"Other Agreements. If there is a default in any agreement to which Borrower is a party with a third party or parties resulting in a right by such third party or parties, whether or not exercised, to accelerate the maturity of any Indebtedness in an amount in excess of One Hundred Thousand Dollars ($100,000) or that could have a Material Adverse Effect;",other-agreements
"Other Agreements. There is, under any agreement to which Borrower is a party with a third party or parties, (a) any default resulting in a right by such third party or parties, whether or not exercised, to accelerate the maturity of any Indebtedness in an amount individually or in the aggregate in excess of One Hundred Thousand Dollars ($100,000.00); or (b) any breach or default by Borrower, the result of which could have a material adverse effect on Borrower’s business;",other-agreements
"Other Agreements. Employee hereby represents that he is not bound by the terms of any agreement with any previous employer or other party to refrain from using or disclosing any trade secret or confidential or proprietary information in the course of his employment with the Company or to refrain from competing, directly or indirectly, with the business of such previous employer or any other party. Employee further represents that his performance of all the terms of this Agreement and as an employee of the Company does not and will not breach any agreement to keep in confidence proprietary information, knowledge or data acquired by him in confidence or in trust prior to his employment with the Company.",other-agreements
Other Agreements. The Company shall not enter into any agreement in which the terms of such agreement would restrict or impair the right or ability to perform of the Company or any Subsidiary under any Transaction Document.,other-agreements
"Other Agreements. If there is a default in any agreement between Borrower and a third party that gives the third party the right to accelerate any Indebtedness exceeding $100,000 or that could cause a Material Adverse Change;",other-agreements
"Other Agreements. Neither the Borrower nor any Subsidiary is in default under the terms of any covenant, indenture or agreement of or affecting such Person or any of its Property, which default if uncured could reasonably be expected to have a Material Adverse Effect.",other-agreements
"Other Agreements. Each of the Lenders agrees that it shall not, without the express consent of Agent, and that it shall, to the extent it is lawfully entitled to do so, upon the request of Agent, set off against the Obligations, any amounts owing by such Lender to any Borrower or any deposit accounts of any Borrower now or hereafter maintained with such Lender. Anything in this Agreement to the contrary notwithstanding, each of the Lenders further agrees that it shall not, unless specifically requested to do so by Agent, take any action to protect or enforce its rights arising out of this Agreement or the Other Documents, it being the intent of Lenders that any such action to protect or enforce rights under this Agreement and the Other Documents shall be taken in concert and at the direction or with the consent of Agent or Required Lenders.",other-agreements
"Other Agreements. If there is a default or other failure to perform in any agreement to which Borrower is a party with a third party or parties resulting in a right by such third party or parties, whether or not exercised, to accelerate the maturity of any Indebtedness in an amount in excess of $250,000 or that would reasonably be expected to have a Material Adverse Effect;",other-agreements
"Other Agreements. There is a default in any agreement to which Borrower or any of its Subsidiaries is a party with a third party or parties resulting in a right by such third party or parties, whether or not exercised, to accelerate the maturity of any Indebtedness in an amount in excess of Two Hundred Fifty Thousand Dollars ($250,000.00) or that could reasonably be expected to have a Material Adverse Change; provided, however, that the Event of Default under this Section 8.6 caused by the occurrence of a breach or default under such other agreement shall be cured or waived for purposes of this Agreement upon Collateral Agent receiving written notice from the party asserting such breach or default of such cure or waiver of the breach or default under such other agreement, if at the time of such cure or waiver under such other agreement (x) Collateral Agent or any Lender has not declared an Event of Default under this Agreement and/or exercised any rights with respect thereto; (y) any such cure or waiver does not result in an Event of Default under any other provision of this Agreement or any Loan Document; and (z) in connection with any such cure or waiver under such other agreement, the terms of any agreement with such third party are not modified or amended in any manner which could in the good faith business judgment of Collateral Agent be materially less advantageous to Borrower;",other-agreements
Other Agreements. Enter into any agreement containing any provision which would be violated or breached by the performance of its obligations hereunder or under any instrument or document delivered or to be delivered by it hereunder or in connection herewith.,other-agreements
