clause_text,clause_type
"Other Benefits. During the Term, the Executive shall be eligible to participate in or receive benefits under the Company’s employee benefit plans in effect from time to time, subject to the terms of such plans.",other-benefits
"Other Benefits. During the Term and subject to any contribution therefor required of executives of the Company generally, the Executive shall be entitled to participate in all employee benefit plans, including without limitation any 401(k) plan, from time to time adopted by the Board and in effect for executives of the Company generally (except to the extent such plans are in a category of benefit otherwise provided the Executive hereunder). Such participation shall be subject to (i) the terms of the applicable plan documents and (ii) generally applicable policies of the Company. The Company may alter, modify, add to or delete any aspects of its employee benefit plans at any time as the Board, in its sole judgment, determines to be appropriate.",other-benefits
"Other Benefits. During the Period of Employment, Executive shall be entitled to continue to participate in or receive benefits under all of the Company's Employee Benefit Plans in effect on the date hereof, or under plans or arrangements that provide Executive with at least substantially equivalent benefits to those provided under such Employee Benefit Plans. As used herein, ""Employee Benefit Plans"" include, without limitation, each pension and retirement plan; supplemental pension, retirement and deferred compensation plan; savings and profit-sharing plan; stock ownership plan; stock purchase plan; stock option plan; life insurance plan; medical insurance plan; disability plan; and health and accident plan or arrangement established and maintained by the Company on the date hereof for employees of the same status within the hierarchy of the Company. To the extent that the scope or nature of benefits described in this section are determined under the policies of the Company based in whole or in part on the seniority or tenure of an employee's service, Executive shall be deemed to have a tenure with the Company equal to the actual time of Executive's service with Company. During the Period of Employment, Executive shall be entitled to participate in or receive benefits under any employee benefit plan or arrangement which may, in the future, be made available by the Company to its executives and key management employees, subject to and on a basis consistent with the terms, conditions and overall administration of such plan or arrangement. Any payments or benefits payable to Executive under a plan or arrangement referred to in this Subparagraph 3(c) in respect of any calendar year during which Executive is employed by the Company for less than the whole of such year shall, unless otherwise provided in the applicable plan or arrangement, be prorated in accordance with the number of days in such calendar year during which he is so employed. Should any such payments or benefits accrue on a fiscal (rather than calendar) year, then the proration in the preceding sentence shall be on the basis of a fiscal year rather than calendar year.",other-benefits
"Other Benefits. This Agreement governs the rights and obligations of Executive and Company with respect to Executive’s base salary and certain perquisites of employment. Except as expressly provided herein, Executive’s rights and obligations both during the term of his employment and thereafter with respect to stock options, restricted stock, incentive and deferred compensation, life insurance policies insuring the life of Executive, and other benefits under the plans and programs maintained by Company shall be governed by the separate agreements, plans and other documents and instruments governing such matters.",other-benefits
"Other Benefits. The Executive shall be entitled to three weeks of vacation each calendar year during the Term of Employment, to be taken at such times as the Executive and the Company shall mutually determine and provided that no vacation time shall interfere with the duties required to be rendered by the Executive hereunder. Any vacation time not taken by Executive during any calendar year may not be carried forward into any succeeding calendar year. The Executive shall receive such additional benefits, if any, as the Board of the Company shall from time to time determine.",other-benefits
"Other Benefits. The Company shall not make any changes in any employee benefit plans or other arrangements in effect on the date hereof or subsequently in effect in which Executive currently or in the future participates (including, without limitation, each pension and retirement plan, supplemental pension and retirement plan, savings and profit sharing plan, stock or unit ownership plan, stock or unit purchase plan, stock or unit option plan, life insurance plan, medical insurance plan, disability plan, dental plan, health-and-accident plan, or any other similar plan or arrangement) that would adversely affect Executive's rights or benefits thereunder, unless such change occurs pursuant to a program applicable to all executives of the Company and does not result in a proportionately greater reduction in the rights of or benefits to Executive as compared with any other executive of the Company. Executive shall be entitled to participate in or receive benefits under any employee benefit plan or other arrangement made available by the Company now or in the future to its senior executive officers and key management employees, subject to and on a basis consistent with the terms, conditions, and overall administration of such plan or arrangement. Nothing paid to Executive under any plan or arrangement presently in effect or made available in the future shall be deemed to be in lieu of the Base Salary payable to Executive pursuant to paragraph (a) of this Section 3.",other-benefits
"Other Benefits. (a) During the Term of Employment, Executive shall be entitled to such vacations and to participate in and receive any other benefits customarily provided by the Company to its management (including any profit sharing, pension, 401(k), short and long-term disability insurance, medical and dental insurance and group life insurance plans in accordance with and subject to the terms of such plans, including, without limitation, any eligibility requirements contained therein), all as determined from time to time by the Compensation Committee of the Board of Directors in its discretion.",other-benefits
"Other Benefits. The Executive also shall be entitled to vacations and sick days, in accordance with the practices and procedures of the Company, as such existed immediately prior to the Change in Control. During the Contract Period, the Executive also shall be entitled to hospital, health, medical and life insurance, and any other benefits enjoyed, from time to time, by senior officers of the Company, all upon terms as favorable as those enjoyed by other senior officers of the Company. Notwithstanding anything in this paragraph 5(d) to the contrary, if the Company adopts any change in the benefits provided for senior officers of the Company, and such policy is uniformly applied to all officers of the Company (and any successor or acquirer of the Company, if any), including the chief executive officer of such entities, then no such change shall be deemed to be contrary to this paragraph.",other-benefits
"Other Benefits. (a) During the term of this Agreement, the Executive shall be eligible to participate in incentive, savings, retirement (401(k)), and welfare benefit plans, including, without limitation, health, medical, dental, vision, life (including accidental death and dismemberment) and disability insurance plans (collectively, “Benefit Plans”), in substantially the same manner, including but not limited to responsibility for the cost thereof, and at substantially the same levels, as the Company makes such opportunities available to all of the Company’s managerial or salaried executive employees.",other-benefits
"Other Benefits. Executive’s rights following a Termination with respect to any benefits, incentives or awards provided to Executive pursuant to the terms and conditions of any plan, program or arrangement sponsored or maintained by the Employer, whether tax-qualified or not, which are not specifically addressed herein, shall be subject to the terms and conditions of such plan, program or arrangement and this Agreement shall have no effect upon such terms and conditions except as specifically provided herein.",other-benefits
"Other Benefits. The Company shall not make any changes in any employee benefit plans or arrangements in effect on the date hereof in which the Employee participates which would adversely affect the Employee's rights or benefits thereunder, unless such change occurs pursuant to a program applicable to all Employees of the Company and does not result in a proportionately greater reduction in the rights of or benefits to the Employee as compared with any other Employee of the Company. The Employee shall be entitled to participate in or receive benefits under any employee benefit plan or arrangement made available by the Company in the future to its Employees and key management employees, subject to and on a basis consistent with the terms, conditions and overall administration of such plan or arrangement. Nothing paid to the Employee under any plan or arrangement presently in effect or made available in the future shall be deemed to be in lieu of the salary payable to the Employee pursuant to paragraph (a) of this Section 3.",other-benefits
"Other Benefits. The Executive shall be entitled to all rights and benefits for which he shall be eligible under any benefit or other plans (including, without limitation, dental, medical, medical reimbursement and hospital plans, pension plans, employee stock purchase plans, profit sharing plans, bonus plans and other so-called “fringe” benefits) as the Company shall make available to its senior executives from time to time.",other-benefits
"Other Benefits. The Executive shall be reimbursed by the Company for all reasonable and customary travel and other business expenses incurred by the Executive in the performance of the Executive's duties hereunder in accordance with the Company's standard policy regarding expense verification practices. The Executive shall be entitled to that number of weeks paid vacation per year that is available to other executive officers of the Company in accordance with the Company's standard policy regarding vacations and such other fringe benefits as may be set forth on Exhibit A and shall be eligible to participate in such pension, life insurance, health insurance, disability insurance, and other executive benefits plans, if any, which the Company may from time to time make available to its executive officers generally.",other-benefits
