clause_text,clause_type
"Other Remedies. If an Event of Default occurs and is continuing, the Trustee may pursue any available remedy to collect the payment of principal, premium, if any, and interest on the Notes or to enforce the performance of any provision of the Notes or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Notes or does not produce any of them in the proceeding. A delay or omission by the Trustee or any Holder of a Note in exercising any right or remedy accruing upon an Event of Default shall not impair the right or remedy or constitute a waiver of or acquiescence in the Event of Default. All remedies are cumulative to the extent permitted by law.",other-remedies
"Other Remedies. Except as otherwise provided herein, any and all remedies herein expressly conferred upon a party will be deemed cumulative with and not exclusive of any other remedy conferred hereby, or by law or equity upon such party, and the exercise by a party of any one remedy will not preclude the exercise of any other remedy.",other-remedies
"Other Remedies. If any Default or Event of Default has occurred and is continuing, and irrespective of whether any Notes have become or have been declared immediately due and payable under Section 12.1, the holder of any Note at the time outstanding may proceed to protect and enforce the rights of such holder by an action at law, suit in equity or other appropriate proceeding, whether for the specific performance of any agreement contained herein or in any Note, or for an injunction against a violation of any of the terms hereof or thereof, or in aid of the exercise of any power granted hereby or thereby or by law or otherwise.",other-remedies
"Other Remedies. If an Event of Default occurs and is continuing, the Trustee may pursue any available remedy to collect the payment of principal of or interest on the Securities or to enforce the performance of any provision of the Securities or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Securities or does not produce any of them in the proceeding. A delay or omission by the Trustee or any Securityholder in exercising any right or remedy accruing upon an Event of Default shall not impair the right or remedy or constitute a waiver of or acquiescence in the Event of Default. No remedy is exclusive of any other remedy. All available remedies are cumulative.",other-remedies
"Other Remedies. If an Event of Default occurs and is continuing, the Trustee may pursue any available remedy at law or in equity to collect the payment of principal of or interest on the Notes or to enforce the performance of any provision of the Notes or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Notes or does not produce any of them in the proceeding. A delay or omission by the Trustee or any holder in exercising any right or remedy accruing upon an Event of Default shall not impair the right or remedy or constitute a waiver of or acquiescence in the Event of Default. No remedy is exclusive of any other remedy. To the extent required by law, all available remedies are cumulative.",other-remedies
"Other Remedies. If an Event of Default with respect to Securities of any series occurs and is continuing, the Trustee may pursue any available remedy to collect the payment of principal or interest on the Securities of that series or to enforce the performance of any provision of the Securities of that series or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Securities or does not produce any of them in the proceeding. A delay or omission by the Trustee or any Securityholder in exercising any right or remedy accruing upon an Event of Default shall not impair the right or remedy or constitute a waiver of or acquiescence in the Event of Default. All remedies are cumulative to the extent permitted by law.",other-remedies
"Other Remedies. If an Event of Default occurs and is continuing, the Trustee may, but shall not be obligated to, pursue any available remedy by proceeding at law or in equity to collect the payment of the principal of or interest on the Securities or to enforce the performance of any provision of the Securities or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Securities or does not produce any of them in the proceeding. A delay or omission by the Trustee or any Securityholder in exercising any right or remedy accruing upon an Event of Default shall not impair the right or remedy or constitute a waiver of or acquiescence in the Event of Default. No remedy is exclusive of any other remedy. All available remedies are cumulative to the extent permitted by law.",other-remedies
"Other Remedies. (a) If an Event of Default occurs and is continuing, the Trustee may pursue any available remedy to collect the payment of principal of and interest on the Notes or to enforce the performance of any provision of the Notes or this Indenture.",other-remedies
"Other Remedies. If an Event of Default occurs and is continuing, the Trustee may pursue any available remedy by proceeding at law or in equity to collect the payment of principal of, premium, if any, or interest on the Notes or to enforce the performance of any provision of the Notes or this Indenture. The Trustee may maintain a proceeding even if it does not possess any of the Notes or does not produce any of them in the proceeding.",other-remedies
"Other Remedies. If any Event of Default or Default shall occur and be continuing, the holder of any Note may proceed to protect and enforce its rights under this Agreement and such Note by exercising such remedies as are available to such holder in respect thereof under applicable law, either by suit in equity or by action at law, or both, whether for specific performance of any covenant or other agreement contained in this Agreement or in aid of the exercise of any power granted in this Agreement. No remedy conferred in this Agreement upon the holder of any Note is intended to be exclusive of any other remedy, and each and every such remedy shall be cumulative and shall be in addition to every other remedy conferred herein or now or hereafter existing at law or in equity or by statute or otherwise.",other-remedies
