clause_text,clause_type
Other. (Please supply a brief description of the entity and a cross-reference to the paragraph and subparagraph under subsection (a)(1) of Rule 144A pursuant to which it qualifies. Note that registered investment companies should complete Annex 2 rather than this Annex 1.),other
"Other. (Describe) The undersigned acknowledges that the above Mortgage File will be held by the undersigned in accordance with the provisions of the Trust Agreement and will be returned to you within ten (10) days of our receipt of the Mortgage File, except if the Mortgage Loan has been paid in full, or repurchased or substituted for a Qualifying Substitute Mortgage Loan (in which case the Mortgage File will be retained by us permanently) and except if the Mortgage Loan is being foreclosed (in which case the Mortgage File will be returned when no longer required by us for such purpose). Capitalized terms used herein shall have the meanings ascribed to them in the Trust Agreement. _____________________________________ [Name of Servicer] By:__________________________________ Name: Title: Servicing Officer STATE OF ) ) ss.: COUNTY OF ) [NAME OF OFFICER], _________________ being first duly sworn, deposes and says:",other
"Other. (Describe) _____________________________________________________________________________________________ ________________________________________________________________________________________________________________ The undersigned acknowledges that the above Mortgage File (or requested portion thereof) will be held by the undersigned in accordance with the provisions of the Pooling and Servicing Agreement and will be returned to you or your designee within ten days of our receipt thereof, unless the Mortgage Loan has been paid in full, in which case the Mortgage File (or such portion thereof) will be retained by us permanently. Capitalized terms used but not defined herein shall have the meanings ascribed to them in the Pooling and Servicing Agreement. [__________________________], as the [General] [NCB] Master Servicer By: Name: Title: Wells Fargo Bank, National Association 1055 10th Avenue SE Minneapolis, Minnesota 55414 Attention: WFRBS 2014-C22 Re: WFRBS Commercial Mortgage Trust 2014-C22, Commercial Mortgage Pass-Through Certificates, Series 2014-C22 In connection with the administration of the Mortgage Files held by or on behalf of you as custodian under a certain Pooling and Servicing Agreement, dated as of September 1, 2014 (the “Pooling and Servicing Agreement”), among Wells Fargo Commercial Mortgage Securities, Inc., as depositor, Wells Fargo Bank, National Association, as general master servicer, Wells Fargo Bank, National Association, as certificate administrator, as tax administrator and as custodian (in such capacity, the “Custodian”), NCB, FSB, as NCB master servicer, NCB, FSB, as NCB special servicer (in such capacity, the “NCB Special Servicer”), CWCapital Asset Management LLC, as general special servicer (in such capacity, the “General Special Servicer”), Pentalpha Surveillance LLC, as trust advisor and Wilmington Trust, National Association, as trustee, the undersigned as the [General] [NCB] Special Servicer with respect to the following described Mortgage Loan hereby requests a release of the Mortgage File (or the portion thereof specified below) held by or on behalf of you as Custodian with respect to such Mortgage Loan for the reason indicated below. Property Name: Address: Loan No.: If only particular documents in the Mortgage File are requested, please specify which: Reason for requesting Mortgage File (or portion thereof):",other
"Other. All corporate and other proceedings, and all documents, instruments and other legal matters in connection with the Transactions shall be satisfactory in form and substance to Agent and its counsel.",other
"Other. The Servicer will furnish to the Borrower, any Managing Agent and the Administrative Agent such other information, documents records or reports respecting the Transferred Loans or the condition or operations, financial or otherwise of the Servicer as the Borrower, such Managing Agent or the Administrative Agent may from time to time reasonably request in order to protect the respective interests of the Borrower, such Managing Agent, the Administrative Agent or the Secured Parties under or as contemplated by this Agreement.",other
"Other. Take, or agree in writing or otherwise to take, any of the actions described in Sections 4.1(a) through (c) above, or any action which would make any of its representations or warranties contained in this Agreement untrue or incorrect or prevent it from performing or cause it not to perform its covenants hereunder.",other
Other. (Please supply a brief description of the entity and a cross-reference to the paragraph and subparagraph under subsection (a)(1) of Rule 144A pursuant to which it qualifies. Note that registered investment companies should complete Annex 2 rather than this Annex 1.) _______________________________________________________ ______________________________________________________________________ ______________________________________________________________________ ______________________________________________________________________,other
"Other. In no event shall any Lender or the Administrative Agent be obligated or required to return any materials furnished to it or any Financial Affiliate by the Borrowers or any of their Subsidiaries. The obligations of each Lender under this §16.4 shall supersede and replace the obligations of such Lender under any confidentiality letter in respect of this financing signed and delivered by such Lender to any Borrower prior to the date hereof and shall be binding upon any assignee of, or purchaser of any participation in, any interest in any of the Loans or Reimbursement Obligations from any Lender.",other
"Other. On each Condition Satisfaction Date, the Investor shall have received the certificate executed by an officer of the Company in the form of Exhibit A attached hereto.",other
"Other. Receipt by the Lenders of such other documents, instruments, agreements or information as reasonably requested by any Lender, including, but not limited to, information regarding litigation, tax, accounting, labor, insurance, pension liabilities (actual or contingent), real estate leases, material contracts, debt agreements, property ownership and contingent liabilities of the Consolidated Parties.",other
Other. The application of the United Nations Convention of Contracts for the International Sale of Goods is expressly excluded.,other
"Other. On each Condition Satisfaction Date, the Investor shall have received and been reasonably satisfied with such other certificates and documents as shall have been reasonably requested by the Investor in order for the Investor to confirm the Company's satisfaction of the conditions set forth in this Section 7.2, including, without limitation, a certificate executed by an executive officer of the Company and to the effect that all the conditions to such Closing shall have been satisfied as at the date of each such certificate substantially in the form annexed hereto on Exhibit A.",other
"Other. The Agent shall have reviewed such other documents, instruments, certificates, opinions, assurances, consents and approvals as the Agent or the Agent’s Special Counsel may reasonably have requested.",other
