clause_text,clause_type
"Ownership. Ownership of the Deposits during the effective term of the Registry Agreement shall remain with Registry Operator at all times. Thereafter, Registry Operator shall assign any such ownership rights (including intellectual property rights, as the case may be) in such Deposits to ICANN. In the event that during the term of the Registry Agreement any Deposit is released from escrow to ICANN, any intellectual property rights held by Registry Operator in the Deposits will automatically be licensed to ICANN or to a party designated in writing by ICANN on a non-­‐exclusive, perpetual, irrevocable, royalty-­‐free, paid-­‐up basis, for any use related to the operation, maintenance or transition of the TLD.",ownership
"Ownership. Subject to Lessor’s right to require removal or elect ownership as hereinafter provided, all Alterations and Utility Installations made by Lessee shall be the property of Lessee, but considered a part of the Premises. Lessor may, at any time, elect in writing to be the owner of all or any specified part of the Lessee Owned Alterations and Utility Installations. Unless otherwise instructed per paragraph 7.4(b) hereof, all Lessee Owned Alterations and Utility Installations shall, at the expiration or termination of this Lease, become the property of Lessor and be surrendered by Lessee with the Premises.",ownership
"Ownership. The Seller is the sole owner of record and holder of the Mortgage Loan and the indebtedness evidenced by each Mortgage Note and upon the sale of the Mortgage Loans to the Purchaser, the Seller will retain the Mortgage Files or any part thereof with respect thereto not delivered to the Custodian, the Purchaser or the Purchaser's designee, in trust only for the purpose of servicing and supervising the servicing of each Mortgage Loan. The Mortgage Loan is not assigned or pledged, and the Seller has good, indefeasible and marketable title thereto, and has full right to transfer and sell the Mortgage Loan to the Purchaser free and clear of any encumbrance, equity, participation interest, lien, pledge, charge, claim or security interest, and has full right and authority subject to no interest or participation of, or agreement with, any other party, to sell and assign each Mortgage Loan pursuant to this Agreement and following the sale of each Mortgage Loan, the Purchaser will own such Mortgage Loan free and clear of any encumbrance, equity, participation interest, lien, pledge, charge, claim or security interest. The Seller intends to relinquish all rights to possess, control and monitor the Mortgage Loan. After the related Closing Date, the Seller will have no right to modify or alter the terms of the sale of the Mortgage Loan and the Seller will have no obligation or right to repurchase the Mortgage Loan or substitute another Mortgage Loan, except as provided in this Agreement;",ownership
"Ownership. Licensor and its licensors own all Software, Materials, and Documentation and all derivatives thereof (collectively ""Protected Materials""), which are protected by applicable U.S. and international patent, copyright, trademark and trade secret laws. Customer must duplicate unaltered copies of all proprietary notices incorporated in or affixed to any Protected Materials. Except as stated in the Agreement, Customer receives no other rights to use any of Licensor's Marks.",ownership
"Ownership. All records required to be maintained and preserved by the Trust pursuant to the provisions or rules or regulations of the Securities and Exchange Commission under Section 31(a) of the Act and maintained and preserved by the Adviser on behalf of the Trust are the property of the Trust and shall be surrendered by the Adviser promptly on request by the Trust; provided, that the Adviser may at its own expense make and retain copies of any such records.",ownership
"Ownership. Seller will take all necessary action to (i) vest legal and equitable title to the Receivables, the Related Security and the Collections purchased under the Receivables Sale Agreement irrevocably in Seller, free and clear of any Adverse Claims other than Adverse Claims in favor of Agent and the Purchasers (including, without limitation, the filing of all financing statements or other similar instruments or documents necessary under the UCC (or any comparable law) of all appropriate jurisdictions to perfect Seller’s interest in such Receivables, Related Security and Collections and such other action to perfect, protect or more fully evidence the interest of Seller therein as Agent may reasonably request), and (ii) establish and maintain, in favor of Agent, for the benefit of the Purchasers, a valid and perfected ownership interest (and/or a valid and perfected first priority security interest) in all Receivables, Related Security and Collections to the full extent contemplated herein, free and clear of any Adverse Claims other than Adverse Claims in favor of Agent for the benefit of the Purchasers (including, without limitation, the filing of all financing statements or other similar instruments or documents necessary under the UCC (or any comparable law) of all appropriate jurisdictions to perfect Agent’s (for the benefit of the Purchasers) interest in such Receivables, Related Security and Collections and such other action to perfect, protect or more fully evidence the interest of Agent for the benefit of the Purchasers as Agent may reasonably request).",ownership
"Ownership. The Company is the sole owner of record and holder of the Mortgage Loan. The Mortgage Loan is not assigned or pledged, and the Company has good and marketable title thereto, and has full right to transfer and sell the Mortgage Loan therein to the Purchaser free and clear of any encumbrance, equity, participation interest, lien, pledge, charge, claim or security interest, and has full right and authority subject to no interest or participation of, or agreement with, any other party, to sell and assign each Mortgage Loan pursuant to this Agreement;",ownership
"Ownership. Each Subsidiary of each Credit Party as of the Closing Date is listed on Schedule 7.2. As of the Closing Date, the capitalization of each Credit Party and its Subsidiaries consists of the number of shares, authorized, issued and outstanding, of such classes and series, with or without par value, described on Schedule 7.2. All outstanding shares have been duly authorized and validly issued and are fully paid and nonassessable and not subject to any preemptive or similar rights, except as described in Schedule 7.2. As of the Closing Date, there are no outstanding stock purchase warrants, subscriptions, options, securities, instruments or other rights of any type or nature whatsoever, which are convertible into, exchangeable for or otherwise provide for or require the issuance of Equity Interests of any Credit Party or any Subsidiary thereof, except as described on Schedule 7.2.",ownership
"Ownership. Unless specifically addressed otherwise in the Contract, the State of Florida shall be the owner of all intellectual property rights to all property created or developed in connection with the Contract.",ownership
"Ownership. The Company is the sole owner of record and holder of the Mortgage Loan and the related Mortgage Note and the Mortgage are not assigned or pledged, and the Company has good and marketable title thereto and has full right and authority to transfer and sell the Mortgage Loan to the Purchaser. The Company is transferring the Mortgage Loan free and clear of any and all encumbrances, liens, pledges, equities, participation interests, claims, charges or security interests of any nature encumbering such Mortgage Loan;",ownership
