clause_text,clause_type
"Parking. All parking spaces are provided to Tenant under this Lease as a part of the common area of the Building and there is no rent is due from Tenant to Landlord for the use of parking spaces. Exhibit J contains a parking plan for purposes of this Lease. Landlord shall designate ten (10) reserved and eleven (11) visitor parking spaces for exclusive use by Tenant in the front of the Building shown as 21 spaces on Exhibit J. In addition, the parking field adjacent to the Building showing 270 spaces on Exhibit J shall be available for Tenant’s exclusive use for parking. Landlord and Tenant shall agree upon marking and signage designating the 291 spaces as exclusive to Tenant’s use. In the event that Tenant determines that its employees, customers or other invitees are having difficulty with parking in the open parking fields, it shall notify Landlord and Landlord shall promptly take such steps as are required to remedy the problem including without limitation, providing a security guard, erecting barriers limiting access points to the parking area or engaging the services of a qualified traffic and parking field engineer to make recommendations for alleviating any parking issues. Landlord agrees that it will review the recommendation of said engineer with Tenant and Landlord shall immediately take appropriate action to alleviate the parking issues for Tenant’s employees, customers or other invitees and comply with its obligations under this Section 40 to provide the parking spaces as set forth on Exhibit J for Tenant’s exclusive use. Landlord shall provide an additional 100 exclusive use parking spaces for Tenant upon the first take-down of additional Premises and 109 exclusive use parking spaces upon Tenant’s second take-down of additional Premises in a location contiguous with the spaces described above and which is depicted on Exhibit J. Landlord agrees that the width of each parking space it is obligated to provide hereunder (measured from the center of the line) shall be at least 9 feet 4 inches in width and 18 feet in length. After the Term Commencement Date, Landlord shall not undertake any construction at the Riverwalk complex which causes Tenant to lose or need to relocate any parking spaces as specifically provided on Exhibit J without the mutual agreement of the parties hereto acting reasonably; provided that the parking spaces designated in green on the parking plan may not be relocated or otherwise impacted in any manner without Tenant’s written consen...",parking
"Parking. Tenant shall be entitled to the non-exclusive use of the parking spaces designated for the Building by Landlord. Tenant agrees not to overburden the parking facilities and agrees to cooperate with Landlord and other tenants in the use of the parking facilities. Landlord reserves the right in its absolute discretion to determine whether parking facilities are becoming crowded and, in such event, to allocate parking spaces between Tenant and other tenants. There will be no assigned parking unless Landlord, in its sole discretion, deems such assigned parking advisable. No vehicle may be repaired or serviced in the parking area and any vehicle brought into the parking area by Tenant, or any of Tenant's employees, contractors or invitees, and deemed abandoned by Landlord will be towed and all costs thereof shall be borne by the Tenant. All driveways, ingress and egress, and all parking spaces are for the joint use of all tenants. There shall be no parking permitted on any of the streets or roadways located within the Park. In addition, Tenant agrees that its employees will not park in the spaces designated visitor parking.",parking
"Parking. During the Lease Term, Tenant shall have the right to use, at no additional cost to Tenant, the number of unreserved parking spaces set forth in Section 5 of the Summary, in the Project parking facility. Notwithstanding anything set forth in this Article 22 to the contrary, Tenant shall be responsible for the full amount of any taxes imposed by any governmental authority in connection with the use of the parking facility by Tenant. Tenant’s continued right to use the parking passes is conditioned upon Tenant abiding by all rules and regulations which are prescribed from time to time for the orderly operation and use of the parking facility, including any sticker or other identification system established by Landlord, Tenant’s cooperation in seeing that Tenant’s employees and visitors also comply with such rules and regulations. Tenant’s use of the Project parking facility shall be at Tenant’s sole risk and Tenant acknowledges and agrees that Landlord shall have no liability whatsoever for damage to the vehicles of Tenant, its employees and/or visitors, or for other personal injury or property damage or theft relating to or connected with the parking rights granted herein or any of Tenant’s, its employees’ and/or visitors’ use of the parking facilities. Tenant shall not use, and shall ensure that its employees, invitees and visitors shall not use, the Project parking facility for the storage (including overnight parking) and/or repair of any automobiles. Landlord specifically reserves the right to change the size, configuration, design, layout and all other aspects of the Project parking facility at any time, provided that Landlord shall not permanently reduce the number of unreserved parking spaces provided for Tenant in Section 5 of the Summary unless required by Applicable Law or governmental authority, and Tenant acknowledges and agrees that Landlord may, without incurring any liability to Tenant and without any abatement of Rent under this Lease, from time to time, close-off or restrict access to the Project parking facility, but not on a permanent basis, for purposes of permitting or facilitating any such construction, alteration or improvements. Landlord may delegate its responsibilities hereunder to a parking operator in which case such parking operator shall have all the rights of control attributed hereby to the Landlord. The parking spaces provided to Tenant pursuant to this Article 22 are provided to Tenant solely for use by Tenant’s own personn...",parking
"Parking. The use by Tenant, its employees and invitees, of the parking facilities of the Project shall be on the terms and conditions set forth in EXHIBIT E attached hereto and by this reference incorporated herein and shall be subject to such other agreement between Landlord and Tenant as may hereinafter be established. Tenant, its employees and invitees shall use no more than four (4) non-exclusive parking spaces per one thousand (1,000) square feet of leased space. Tenant's use of the parking spaces shall be confined to the Project. If, in Landlord's reasonable business judgment, it becomes necessary, Landlord shall exercise due diligence to cause the creation of cross-parking easements and such other agreements as are necessary to permit Tenant, its employees and invitees to use parking spaces on the properties and buildings of Bernal Corporate Park, which are separate legal parcels from the Project. Tenant acknowledges that other tenants of the Project and the tenants of the other buildings, their employees and invitees, may be given the right to park at the Project. Tenant will be provided two (2) reserved parking spaces proximate to the entrance of the building. All parking shall be provided to Tenant at no charge during the term of this Lease; provided, however, that if the City of Pleasanton or any other governmental entity with jurisdiction imposes any fees or charges related to parking, such fees or charges may be included in Direct Expenses and billed to Tenant as provided in Article 4.",parking
"Parking. (a) Landlord hereby grants to Tenant the right, in common with others authorized by Landlord, to use the parking facilities owned by Landlord and to use no more than the number of parking spaces made available to Tenant as set forth in Article 1(R) unless another tenant has a higher ratio of parking spaces to rentable square feet, in which event Tenant’s number of spaces shall be increased accordingly, at Tenant’s option, notwithstanding the number of Tenant’s employees, customers or invitees. However, until the Building is fully leased, Tenant shall have the right to rent additional spaces on a pro rata basis with other Tenants. Landlord, at its sole election, may designate the types, sizes, configuration, and locations of parking spaces within the parking facilities which Tenant shall be allowed to use. Landlord shall have the right, at Landlord’s sole election, to change said types, sizes, configuration, and locations (but never the number of Tenant’s spaces) from time to time; provided, however, such designation shall be uniformly applied and shall not unfairly favor any tenant in the Building. Tenant’s right to use the parking spaces is appurtenant to the Premises and Tenant may not assign, sublet or otherwise transfer any right to use any parking spaces except in connection with an assignment of this Lease or sublease of all or a portion of the Premises approved by Landlord or as permitted by this Lease without requiring Landlord’s approval.",parking
"Parking. Subject to all matters of record, Force Majeure, a Taking (as defined in Section 19 below) and the exercise by Landlord of its rights hereunder, Tenant shall have the right, in common with other tenants of the Project pro rata in accordance with the rentable area of the Premises and the rentable areas of the Project occupied by such other tenants, to park in those areas designated for non-reserved parking, subject in each case to Landlord’s rules and regulations, at no additional cost to Tenant. Landlord may allocate parking spaces among Tenant and other tenants in the Project pro rata as described above if Landlord determines that such parking facilities are becoming crowded. Landlord shall not be responsible for enforcing Tenant’s parking rights against any third parties, including other tenants of the Project. Tenant acknowledge that there is a Preliminary Transportation Demand Management Plan, as may be amended (“TDM”) setting forth certain requirements relating to parking and transportation demand management which are binding on tenants in the Project and agrees to comply with the requirements of the TDM. Tenant acknowledges that Operating Expenses shall include expenses and assessments related to the TDM.",parking
"Parking. At no additional cost to Tenant, Tenant may use Tenant’s Share of the undesignated vehicle parking spaces, on an unreserved and unassigned basis, on those portions of the Common Areas designated by Landlord for such parking. Landlord shall exercise reasonable efforts to ensure that such spaces are available to Tenant for its use, but Landlord shall not be required to enforce Tenant’s right to use the same. Tenant shall not use more parking spaces than such number. Such parking spaces shall be used only for parking by vehicles no larger than full sized passenger automobiles or pick-up trucks and in no event shall Tenant or any of Tenant’s Entities park or permit any parking of vehicles overnight. Tenant shall not permit or allow any vehicles that belong to or are controlled by Tenant or Tenant’s employees, suppliers, shippers, customers or invitees to be loaded, unloaded or parked in areas other than those designated by Landlord for such activities. If Tenant permits or allows any of the prohibited activities described herein, then Landlord shall have the right, without notice, in addition to such other rights and remedies that it may have, to remove or tow away the vehicle involved and charge the cost to Tenant, which cost shall be immediately payable as additional rent upon demand by Landlord. Landlord may change the number of parking spaces and configuration of the parking areas at any time, and may assign reserved parking spaces to any tenant, in Landlord’s sole discretion; provided, Landlord shall not reduce Tenant’s Share of undesignated vehicle parking spaces.",parking
"Parking. Owner grants to Resident a non-exclusive, undivided limited permit to use any one marked parking spot at any given time in the Property’s parking lot (subject to handicap and reserved parking restrictions) for the sole purpose of parking one personal, non-commercial vehicle, and for ordinary access to and from such parking lot over marked driveways. The parked vehicle must be properly registered and licensed and may not create a safety hazard. Vehicles improperly parked or appearing abandoned may be towed at the vehicle owner’s expense. This paragraph creates a limited use license and not a bailment. Resident assumes all risk and responsibility for damage to the vehicle and any personal property contained in it, and the vehicles or other personal property of others, in connection with any use of parking areas. Owner is not responsible for any damage to vehicles or property contained in vehicles. Owner reserves the right to revoke or restrict parking rights in the event Resident violates this paragraph or the Housing Agreement.",parking
Parking. The Landlord: (check one) ☐ - Shall provide [#] parking space(s) to the Tenant for a fee of $[PARKING FEE] to be paid ☐ at the execution of this Agreement ☐ on a monthly basis in addition to the rent. The parking space(s) are described as: [DESCRIBE PARKING SPACES] ☐ - Shall NOT provide parking.,parking
Parking. The Landlord: (check one),parking
