clause_text,clause_type
"Partial Invalidity. If, at any time, any provision of the Finance Documents is or becomes illegal, invalid or unenforceable in any respect under any law of any jurisdiction, neither the legality, validity or enforceability of the remaining provisions nor the legality, validity or enforceability of such provision under the law of any other jurisdiction will in any way be affected or impaired.",partial-invalidity
"Partial Invalidity. If any provision of this Agreement shall be held or made invalid by a court decision, statute, rule or otherwise, the remainder of this Agreement shall not be affected thereby.",partial-invalidity
"Partial Invalidity. If any provision in this Agreement is held by a court of competent jurisdiction to be invalid, void, or unenforceable, the remaining provisions shall nevertheless continue in full force without being impaired or invalidated in any way.",partial-invalidity
"Partial Invalidity. If any portion of any term or provision of this Agreement, or the application thereof to any person or circumstance shall be invalid or unenforceable, at any time or to any extent, the remainder of this Agreement, or the application of such term or provision to persons or circumstances other than those as to which it is held invalid or unenforceable, shall not be affected thereby, and each term and provision of this Agreement shall be valid and be enforced to the fullest extent permitted by law.",partial-invalidity
"Partial Invalidity. Wherever possible, each provision hereof shall be interpreted in such manner as to be effective and valid under applicable law, but in case any one or more of the provisions contained herein shall, for any reason, be held to be invalid, illegal or unenforceable in any respect, such provision shall be ineffective to the extent, but only to the extent, of such invalidity, illegality or unenforceability without invalidating the remainder of such invalid, illegal or unenforceable provision or provisions or any other provisions hereof, unless such a construction would be unreasonable.",partial-invalidity
"Partial Invalidity. If any provision of this Agreement is held to be invalid or unenforceable, such invalidity or unenforceability shall not invalidate this Agreement as a whole, but this Agreement shall be construed as though it did not contain the particular provision held to be invalid or unenforceable and the rights and obligations of the parties shall be construed and enforced only to such extent as shall be permitted by applicable law.",partial-invalidity
"Partial Invalidity. If any term, covenant, condition, or provision of this Agreement or the application thereof to any person or circumstance shall to any extent be invalid or unenforceable, the remainder of this Agreement or application of such term or provision to persons or circumstances other than those as to which it is held to be invalid or unenforceable shall not be affected thereby and each term, covenant, condition, or provision of this Agreement shall be valid and shall be enforceable to the fullest extent permitted by law.",partial-invalidity
"Partial Invalidity. If any term, provision or condition contained in this Lease shall, to any extent, be invalid or unenforceable, the remainder of this Lease, or the application of such term, provision or condition to persons or circumstances other than those with respect to which it is invalid or unenforceable, shall not be affected thereby, and each and every other term, provision and condition of this Lease shall be valid and enforceable to the fullest extent possible permitted by law.",partial-invalidity
"Partial Invalidity. If any provision of this Lease or the application thereof to any person or circumstance shall to any extent be invalid, the remainder of this Lease or the application of such provision to persons or circumstances other than those as to which it is held invalid shall not be affected thereby and each provision of this Lease shall be valid and enforced to the fullest extent permitted by law.",partial-invalidity
"Partial Invalidity. If any terms, provision, covenant, or condition of this Agreement is determined by an arbitrator or a court, as the case may be, to be invalid, void, or unenforceable, such determination shall not render any other term, provision, covenant or condition invalid, void or unenforceable, and the Agreement shall remain in full force and effect notwithstanding such partial invalidity.",partial-invalidity
