clause_text,clause_type
"Participations. Any Lender may at any time, without the consent of, or notice to, the Borrower or the Administrative Agent, sell participations to any Person (other than a natural person or the Borrower or any of the Borrower’s Affiliates or Subsidiaries) (each, a “Participant”) in all or a portion of such Lender’s rights and/or obligations under this Agreement (including all or a portion of its Commitment and/or the Loans (including such Lender’s participations in L/C Obligations and/or Swing Line Loans) owing to it); provided that (i) such Lender’s obligations under this Agreement shall remain unchanged, (ii) such Lender shall remain solely responsible to the other parties hereto for the performance of such obligations and (iii) the Borrower, the Administrative Agent, the Lenders and the L/C Issuer shall continue to deal solely and directly with such Lender in connection with such Lender’s rights and obligations under this Agreement. Any agreement or instrument pursuant to which a Lender sells such a participation shall provide that such Lender shall retain the sole right to enforce this Agreement and to approve any amendment, modification or waiver of any provision of this Agreement; provided that such agreement or instrument may provide that such Lender will not, without the consent of the Participant, agree to any amendment, waiver or other modification described in the first proviso to Section 10.01 that affects such Participant. Subject to subsection (e) of this Section, the Borrower agrees that each Participant shall be entitled to the benefits of Sections 3.01, 3.04 and 3.05 to the same extent as if it were a Lender and had acquired its interest by assignment pursuant to subsection (b) of this Section. To the extent permitted by law, each Participant also shall be entitled to the benefits of Section 10.08 as though it were a Lender, provided such Participant agrees to be subject to Section 2.13 as though it were a Lender.",participations
"Participations. By the issuance of a Letter of Credit (or an amendment to a Letter of Credit increasing the amount thereof) and without any further action on the part of the Issuing Bank or the Revolving Lenders, the Issuing Bank hereby grants to each Revolving Lender, and each Revolving Lender hereby acquires from the Issuing Bank, a participation in such Letter of Credit equal to such Lender’s Applicable Percentage of the aggregate amount available to be drawn under such Letter of Credit. In consideration and in furtherance of the foregoing, each Revolving Lender hereby absolutely and unconditionally agrees to pay to the Administrative Agent, for the account of the Issuing Bank, such Lender’s Applicable Percentage of each LC Disbursement made by the Issuing Bank and not reimbursed by the Borrower on the date due as provided in paragraph (e) of this Section, or of any reimbursement payment required to be refunded to the Borrower for any reason. Each Revolving Lender acknowledges and agrees that its obligation to acquire participations pursuant to this paragraph in respect of Letters of Credit is absolute and unconditional and shall not be affected by any circumstance whatsoever, including any amendment, renewal or extension of any Letter of Credit or the occurrence and continuance of a Default or reduction or termination of the Commitments, and that each such payment shall be made without any offset, abatement, withholding or reduction whatsoever.",participations
"Participations. By the issuance of a Letter of Credit (or an amendment to a Letter of Credit increasing the amount thereof) and without any further action on the part of the Issuing Bank or the Lenders, the Issuing Bank hereby grants to each Lender, and each Lender hereby acquires from the Issuing Bank, a participation in such Letter of Credit equal to such Lender’s Applicable Percentage of the aggregate amount available to be drawn under such Letter of Credit. In consideration and in furtherance of the foregoing, each Lender hereby absolutely and unconditionally agrees to pay to the Administrative Agent, for the account of the Issuing Bank, such Lender’s Applicable Percentage of each LC Disbursement made by the Issuing Bank and not reimbursed by the Borrower on the date due as provided in paragraph (e) of this Section, or of any reimbursement payment required to be refunded to the Borrower for any reason. Each Lender acknowledges and agrees that its obligation to acquire participations pursuant to this paragraph in respect of Letters of Credit is absolute and unconditional and shall not be affected by any circumstance whatsoever, including any amendment, renewal or extension of any Letter of Credit or the occurrence and continuance of a Default or reduction or termination of the Commitments, and that each such payment shall be made without any offset, abatement, withholding or reduction whatsoever.",participations
"Participations. Any Lender may at any time, without the consent of, or notice to, the Borrower or the Administrative Agent, sell participations to any Person (other than a natural Person, a Defaulting Lender or the Borrower or any of the Borrower’s Affiliates or Subsidiaries) (each, a “Participant”) in all or a portion of such Lender’s rights and/or obligations under this Agreement (including all or a portion of its Commitment and/or the Loans (including such Lender’s participations in L/C Obligations and/or Swing Line Loans) owing to it); provided that (i) such Lender’s obligations under this Agreement shall remain unchanged, (ii) such Lender shall remain solely responsible to the other parties hereto for the performance of such obligations and (iii) the Borrower, the Administrative Agent, the Lenders and the L/C Issuer shall continue to deal solely and directly with such Lender in connection with such Lender’s rights and obligations under this Agreement. For the avoidance of doubt, each Lender shall be responsible for the indemnity under Section 11.04(c) without regard to the existence of any participation. Any agreement or instrument pursuant to which a Lender sells such a participation shall provide that such Lender shall retain the sole right to enforce this Agreement and to approve any amendment, modification or waiver of any provision of this Agreement; provided that such agreement or instrument may provide that such Lender will not, without the consent of the Participant, agree to any amendment, waiver or other modification described in the first proviso to Section 11.01 that affects such Participant. The Borrower agrees that each Participant shall be entitled to the benefits of Sections 3.01, 3.04 and 3.05 to the same extent as if it were a Lender and had acquired its interest by assignment pursuant to subsection (b) of this Section (it being understood that the documentation required under Section 3.01(e) shall be delivered to the Lender who sells the participation) to the same extent as if it were a Lender and had acquired its interest by assignment pursuant to paragraph (b) of this Section; provided that such Participant (A) agrees to be subject to the provisions of Sections 3.06 and 11.13 as if it were an assignee under paragraph (b) of this Section and (B) shall not be entitled to receive any greater payment under Sections 3.01 or 3.04, with respect to any participation, than the Lender from whom it acquired the applicable participation would have been entit...",participations
"Participations. By the issuance of a Letter of Credit (or an amendment to a Letter of Credit increasing the amount thereof) and without any further action on the part of the applicable Issuing Bank or the Lenders, such Issuing Bank hereby grants to each Lender, and each Lender hereby acquires from such Issuing Bank, a participation in such Letter of Credit equal to such Lender’s Pro Rata Share of the aggregate amount available to be drawn under such Letter of Credit. In consideration and in furtherance of the foregoing, each Lender hereby absolutely and unconditionally agrees to pay to the Agent, for the account of such Issuing Bank, such Lender’s Pro Rata Share of each LC Disbursement made by such Issuing Bank and not reimbursed by the applicable Borrower on the date due as provided in paragraph (e) of this Section, or of any reimbursement payment required to be refunded to the applicable Borrower for any reason. Each Lender acknowledges and agrees that its obligation to acquire participations pursuant to this paragraph in respect of Letters of Credit is absolute and unconditional and shall not be affected by any circumstance whatsoever, including any amendment, renewal or extension of any Letter of Credit or the occurrence and continuance of a Default or reduction or termination of the Commitments, and that each such payment shall be made without any offset, abatement, withholding or reduction whatsoever.",participations
"Participations. Any Lender may at any time, without the consent of, or notice to, the Borrower or the Administrative Agent, sell participations to any Person (other than a natural Person, or a holding company, investment vehicle or trust for, or owned and operated for the primary benefit of a natural Person, a Defaulting Lender or the Borrower or any of the Borrower’s Affiliates or Subsidiaries) (each, a “Participant”) in all or a portion of such Lender’s rights and/or obligations under this Agreement (including all or a portion of its Commitment and/or the Loans (including such Lender’s participations in L/C Obligations and/or Swingline Loans) owing to it); provided that (i) such Lender’s obligations under this Agreement shall remain unchanged, (ii) such Lender shall remain solely responsible to the other parties hereto for the performance of such obligations and (iii) the Borrower, the Administrative Agent, the Lenders and the L/C Issuer shall continue to deal solely and directly with such Lender in connection with such Lender’s rights and obligations under this Agreement. For the avoidance of doubt, each Lender shall be responsible for the indemnity under Section 11.04(c) without regard to the existence of any participations. Any agreement or instrument pursuant to which a Lender sells such a participation shall provide that such Lender shall retain the sole right to enforce this Agreement and to approve any amendment, modification or waiver of any provision of this Agreement; provided that such agreement or instrument may provide that such Lender will not, without the consent of the Participant, agree to any amendment, waiver or other modification described in the first proviso to Section 11.01 that affects such Participant. The Borrower agrees that each Participant shall be entitled to the benefits of Sections 3.01, 3.04 and 3.05 (subject to the requirements and limitations therein, including the requirements under Section 3.01(e) (it being understood that the documentation required under Section 3.01(e) shall be delivered to the Lender who sells the participation)) to the same extent as if it were a Lender and had acquired its interest by assignment pursuant to paragraph (b) of this Section; provided that such Participant (A) agrees to be subject to the provisions of Sections 3.06 and 11.13 as if it were an assignee under paragraph (b) of this Section and (B) shall not be entitled to receive any greater payment under Sections 3.01 or 3.04, with respect to any partic...",participations
"Participations. By the issuance of a Letter of Credit (or an amendment to a Letter of Credit increasing the amount thereof) and without any further action on the part of the Issuing Bank or the Revolving Lenders, the Issuing Bank hereby grants to each Revolving Lender, and each Revolving Lender hereby acquires from the Issuing Bank, a participation in such Letter of Credit equal to such Revolving Lender’s Revolving Commitment Percentage of the aggregate amount available to be drawn under such Letter of Credit. In consideration and in furtherance of the foregoing, each Revolving Lender hereby absolutely and unconditionally agrees to pay to the Administrative Agent, for the account of the Issuing Bank, such Revolving Lender’s Revolving Commitment Percentage of each LC Disbursement made by the Issuing Bank and not reimbursed by the Borrower on the date due as provided in paragraph (e) of this Section, or of any reimbursement payment required to be refunded to the Borrower for any reason. Such payment by the Lenders shall be made (i) if the currency of the applicable LC Disbursement or reimbursement payment shall be Dollars, then in the currency of such LC Disbursement and (ii) subject to clause (l) of this Section, if the currency of the applicable LC Disbursement or reimbursement payment shall be an Alternative Currency, in Dollars in an amount equal to the Dollar Amount of such LC Disbursement or reimbursement payment, calculated by the Administrative Agent using the Exchange Rate on the applicable LC Participation Calculation Date. Each Revolving Lender acknowledges and agrees that its obligation to acquire participations pursuant to this paragraph in respect of Letters of Credit is absolute and unconditional and shall not be affected by any circumstance whatsoever, including any amendment, renewal or extension of any Letter of Credit or the occurrence and continuance of a Default or reduction or termination of the Revolving Commitments, and that each such payment shall be made without any offset, abatement, withholding or reduction whatsoever.",participations
"Participations. Upon the issuance or Modification by the LC Issuer of a Facility LC in accordance with this Section 2.19, the LC Issuer shall be deemed, without further action by any party hereto, to have unconditionally and irrevocably sold to each Lender, and each Lender shall be deemed, without further action by any party hereto, to have unconditionally and irrevocably purchased from the LC Issuer, a participation in such Facility LC (and each Modification thereof) and the related LC Obligations in proportion to its Pro Rata Share.",participations
"Participations. The Swingline Lender may at any time in its discretion by written notice given to the Administrative Agent (provided such notice requirement shall not apply if the Swingline Lender and the Administrative Agent are the same entity) not later than 11:00 a.m., New York City time, on the next succeeding Business Day following such notice require the Revolving Lenders to acquire participations on such Business Day in all or a portion of the Swingline Loans then outstanding. Such notice shall specify the aggregate amount of Swingline Loans in which Revolving Lenders will participate. Promptly upon receipt of such notice, the Administrative Agent will give notice thereof to each Revolving Lender, specifying in such notice such Lender’s Pro Rata Percentage of such Swingline Loan or Loans. Each Revolving Lender hereby absolutely and unconditionally agrees, upon receipt of notice as provided above, to pay to the Administrative Agent, for the account of the Swingline Lender, such Lender’s Pro Rata Percentage of such Swingline Loan or Loans. Each Revolving Lender acknowledges and agrees that its obligation to acquire participations in Swingline Loans pursuant to this paragraph is absolute and unconditional and shall not be affected by any circumstance whatsoever, including the occurrence and continuance of a Default or reduction or termination of the Commitments, and that each such payment shall be made without any offset, abatement, withholding or reduction whatsoever (so long as such payment shall not cause such Lender’s Revolving Exposure to exceed such Lender’s Revolving Commitment). Each Revolving Lender shall comply with its obligation under this paragraph by wire transfer of immediately available funds, in the same manner as provided in Section 2.02(c) with respect to Loans made by such Lender (and Section 2.02 shall apply, mutatis mutandis, to the payment obligations of the Revolving Lenders), and the Administrative Agent shall promptly pay to the Swingline Lender the amounts so received by it from the Revolving Lenders. The Administrative Agent shall notify Borrower of any participations in any Swingline Loan acquired by the Revolving Lenders pursuant to this paragraph, and thereafter payments in respect of such Swingline Loan shall be made to the Administrative Agent and not to the Swingline Lender. Any amounts received by the Swingline Lender from Borrower (or other party on behalf of Borrower) in respect of a Swingline Loan after receipt by the Swingline L...",participations
"Participations. (i) Any Lender may at any time, without the consent of, or notice to, the Borrower, the Administrative Agent, or the Issuing Bank, sell participations to any person (other than a natural person or the Borrower or any of its Affiliates or any Disqualified Institutions) (each, a “Participant”) in all or a portion of such Lender’s rights and/or obligations under this Agreement (including all or a portion of its Commitment and/or the Loans owing to it); provided that (A) such Lender’s obligations under this Agreement shall remain unchanged, (B) such Lender shall remain solely responsible to the other parties hereto for the performance of such obligations, and (C) the Borrower, the Administrative Agent and the Lenders and Issuing Bank shall continue to deal solely and directly with such Lender in connection with such Lender’s rights and obligations under this Agreement.",participations
