clause_text,clause_type
"Parties in Interest. This Agreement shall be binding upon and inure solely to the benefit of each party hereto, and nothing in this Agreement, express or implied, is intended to or shall confer upon any other person any right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",parties-in-interest
"Parties in Interest. This Agreement shall be binding upon and inure solely to the benefit of each party hereto and their respective successors and assigns, and nothing in this Agreement, express or implied, is intended to or shall confer upon any other Person any right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",parties-in-interest
"Parties in Interest. Nothing in this Agreement, whether express or implied, is intended to confer any rights or remedies under or by reason of this Agreement on any persons other than the parties to it and their respective successors and assigns, nor is anything in this Agreement intended to relieve or discharge the obligation or liability of any third persons to any party to this Agreement, nor shall any provision give any third persons any right of subrogation or action over against any party to this Agreement.",parties-in-interest
"Parties in Interest. This Agreement shall be binding upon and inure solely to the benefit of each party hereto, and nothing in this Agreement, express or implied, is intended to or shall confer upon any other person any right, benefit or remedy of any nature whatsoever under or by reason of this Agreement, other than Section 7.06 (which is intended to be for the benefit of the persons covered thereby and may be enforced by such persons).",parties-in-interest
"Parties in Interest. All the terms and provisions of this Exchange and Registration Rights Agreement shall be binding upon, shall inure to the benefit of and shall be enforceable by the parties hereto and the holders from time to time of the Registrable Securities and the respective successors and assigns of the parties hereto and such holders. In the event that any transferee of any holder of Registrable Securities shall acquire Registrable Securities, in any manner, whether by gift, bequest, purchase, operation of law or otherwise, such transferee shall, without any further writing or action of any kind, be deemed a beneficiary hereof for all purposes and such Registrable Securities shall be held subject to all of the terms of this Exchange and Registration Rights Agreement, and by taking and holding such Registrable Securities such transferee shall be entitled to receive the benefits of, and be conclusively deemed to have agreed to be bound by all of the applicable terms and provisions of this Exchange and Registration Rights Agreement. If the Company shall so request, any such successor, assign or transferee shall agree in writing to acquire and hold the Registrable Securities subject to all of the applicable terms hereof.",parties-in-interest
"Parties in Interest. This Agreement shall be binding upon and inure solely to the benefit of each party hereto and its successors and permitted assigns, and except as provided in Sections 4.9 and 4.11, nothing in this Agreement, express or implied, is intended to or shall confer upon any other person any rights, benefits or remedies of any nature whatsoever under or by reason of this Agreement.",parties-in-interest
Parties in Interest. All of the terms and provisions of this Amendment shall bind and inure to the benefit of the parties hereto and their respective successors and assigns.,parties-in-interest
"Parties in Interest. This Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and assigns, as well as the other Secured Parties, all of whom are intended to be bound by, and to be third party beneficiaries of, this Agreement.",parties-in-interest
"Parties in Interest. Except for the provisions of Section 9, none of the provisions of this Agreement is intended to provide any rights or remedies to any Person other than the parties hereto and their respective successors and assigns (if any).",parties-in-interest
"Parties in Interest. The Agreement herein set forth has been and is made solely for the benefit of the Distributor, the Fund and the Agent and to the extent provided in Section 4 of this Agreement, the controlling persons, trustees, directors and officers referred to in such section, and their respective successors, assigns, heirs, personal representatives and executors and administrators. No other person, partnership, association or corporation (including a purchaser, as such purchaser, from the Distributor) shall acquire or have any right under or by virtue of this Agreement.",parties-in-interest
"Parties in Interest. This Agreement shall be binding upon and inure solely to the benefit of each party hereto, and, except for rights of Indemnified Parties as set forth in Section 7.5, nothing in this Agreement, express or implied, is intended to confer upon any other person any rights or remedies of any nature whatsoever under or by reason of this Agreement.",parties-in-interest
"Parties in Interest. This Agreement shall inure to the benefit of and be binding upon the parties hereto and their respective successors and permitted assigns. Nothing in this Agreement, express or implied, is intended to confer upon any Person other than the parties hereto, or their respective successors or permitted assigns, any rights or remedies under or by reason of this Agreement.",parties-in-interest
"Parties in Interest. This Agreement will inure to the benefit of and be binding upon the parties hereto and the respective successors and assigns. Nothing in this Agreement is intended to confer, expressly or by implication, upon any other person any rights or remedies under or by reason of this Agreement.",parties-in-interest
