clause_text,clause_type
"Payment of Expenses. The Borrower agrees to pay or reimburse the Administrative Agent for all of its reasonable out-of-pocket costs and expenses incurred in connection with this Amendment, any other documents prepared in connection herewith and the transactions contemplated hereby, including, without limitation, the reasonable fees and disbursements of counsel to the Administrative Agent.",payment-of-expenses
"Payment of Expenses. (a) Whether or not the transactions contemplated by this Agreement are consummated or this Agreement is terminated, the Company will pay or cause to be paid all costs and expenses incident to the performance of its obligations hereunder, including without limitation, (i) the costs incident to the authorization, issuance, sale, preparation and delivery of the Securities and any taxes payable in that connection; (ii) the costs incident to the preparation, printing and filing under the Securities Act of the Registration Statement, the Preliminary Prospectus, any Issuer Free Writing Prospectus, any Time of Sale Information and the Prospectus (including all exhibits, amendments and supplements thereto) and the distribution thereof; (iii) the costs of reproducing and distributing each of the Transaction Documents; (iv) the fees and expenses of the Company’s counsel and independent accountants; (v) the fees and expenses incurred in connection with the registration or qualification and determination of eligibility for investment of the Securities under the laws of such jurisdictions as the Representatives may designate and the preparation, printing and distribution of a Blue Sky Memorandum (including the related fees and expenses of counsel for the Underwriters); (vi) any fees charged by rating agencies for rating the Securities; (vii) the fees and expenses of the Trustee and any paying agent (including related fees and expenses of any counsel to such parties); (viii) all expenses and application fees incurred in connection with any filing with, and clearance of the offering by, the Financial Industry Regulatory Authority, Inc.; and (ix) all expenses incurred by the Company in connection with any “road show” presentation to potential investors.",payment-of-expenses
"Payment of Expenses. The Company agrees to pay all costs, fees and expenses incurred in connection with the performance of its obligations hereunder and in connection with the transactions contemplated hereby, including without limitation (i) all expenses incident to the issuance and delivery of the Offered Shares (including all printing and engraving costs), (ii) all fees and expenses of the registrar and transfer agent of the Common Stock, (iii) all necessary issue, transfer and other stamp taxes in connection with the issuance and sale of the Offered Shares to the Underwriters, (iv) all fees and expenses of the Company’s counsel, independent public or certified public accountants and other advisors, (v) all costs and expenses incurred in connection with the preparation, printing, filing, shipping and distribution of the Registration Statement (including financial statements, exhibits, schedules, consents and certificates of experts), the Time of Sale Prospectus, the Prospectus, each free writing prospectus prepared by or on behalf of, used by, or referred to by the Company, and each preliminary prospectus, and all amendments and supplements thereto, and this Agreement, (vi) all filing fees, attorneys’ fees and expenses incurred by the Company or the Underwriters in connection with qualifying or registering (or obtaining exemptions from the qualification or registration of) all or any part of the Offered Shares for offer and sale under the state securities or blue sky laws or the provincial securities laws of Canada, and, if requested by the Representatives, preparing and printing a “Blue Sky Survey” or memorandum and a “Canadian wrapper,” and any supplements thereto, advising the Underwriters of such qualifications, registrations and exemptions, provided such fees and expenses shall not exceed $10,000, (vii) the costs and expenses incurred by the Underwriters in connection with determining their compliance with the rules and regulations of FINRA related to the Underwriters’ participation in the offering and distribution of the Offered Shares, including any related filing fees and the legal fees of, and disbursements by, counsel to the Underwriters, provided such fees and expenses shall not exceed $10,000, (viii) the costs and expenses of the Company relating to investor presentations on any “road show” undertaken in connection with the marketing of the offering of the Offered Shares, including, without limitation, expenses associated with the preparation or dissemination of...",payment-of-expenses
"Payment of Expenses. The Company agrees to pay all costs, fees and expenses incurred in connection with the performance of its obligations hereunder and in connection with the transactions contemplated hereby, including without limitation (i) all expenses incident to the issuance and delivery of the Common Shares (including all printing and engraving costs), (ii) all fees and expenses of the registrar and transfer agent of the Common Stock, (iii) all necessary issue, transfer and other stamp taxes in connection with the issuance and sale of the Shares to the Underwriters, (iv) all fees and expenses of the Company's counsel, independent public or certified public accountants and other advisors, (v) all costs and expenses incurred in connection with the preparation, printing, filing, shipping and distribution of the Registration Statement (including financial statements, exhibits, schedules, consents and certificates of experts), each preliminary prospectus and the Prospectus, and all amendments and supplements thereto, and this Agreement, (vi) all filing fees, attorneys' fees and expenses incurred by the Company or the Underwriters in connection with qualifying or registering (or obtaining exemptions from the qualification or registration of) all or any part of the Shares for offer and sale under the state securities or blue sky laws or the provincial securities laws of Canada or any other country, and, if requested by the Representatives, preparing and printing a ""Blue Sky Survey"", an ""International Blue Sky Survey"" or other memorandum, and any supplements thereto, advising the Underwriters of such qualifications, registrations and exemptions, (vii) the filing fees incident to, and the reasonable fees and expenses of counsel for the Underwriters in connection with, the National Association of Securities Dealers, LLC review and approval of the Underwriters' participation in the offering and distribution of the Common Shares, (viii) the fees and expenses associated with including the Common Shares on the Nasdaq National Market, (ix) all costs and expenses incident to the preparation and undertaking of ""road show"" preparations to be made to prospective investors, and (x) all other fees, costs and expenses referred to in Item 13 of Part II of the Registration Statement. Except as provided in this Section 5, Section 6, and Section 7 hereof, the Underwriters shall pay their own expenses, including the fees and disbursements of their counsel.",payment-of-expenses
"Payment of Expenses. (a) Whether or not the transactions contemplated by this Agreement are consummated or this Agreement is terminated, the Company will pay or cause to be paid all costs and expenses incident to the performance of its obligations hereunder, including without limitation, (i) the costs incident to the authorization, issuance, sale, preparation and delivery of the Shares and any taxes payable in that connection; (ii) the costs incident to the preparation, printing and filing under the Securities Act of the Registration Statement, the Preliminary Prospectus, any Issuer Free Writing Prospectus, any Pricing Disclosure Package and the Prospectus (including all exhibits, amendments and supplements thereto) and the distribution thereof; (iii) the fees and expenses of the Company’s counsel and independent accountants; (iv) the fees and expenses incurred in connection with the registration or qualification of the Shares under the state or foreign securities or blue sky laws of such jurisdictions as the Representatives may designate and the preparation, printing and distribution of a Blue Sky Memorandum (including the related fees and expenses of counsel for the Underwriters); (v) the cost of preparing stock certificates; (vi) the costs and charges of any transfer agent and any registrar; (vii) all expenses and application fees incurred in connection with any filing with, and clearance of the offering by, FINRA; (viii) all expenses incurred by the Company in connection with any “road show” presentation to potential investors; and (ix) all expenses and application fees related to the listing of the Shares on the New York Stock Exchange.",payment-of-expenses
"Payment of Expenses. The Company will pay all expenses incident to the performance of its obligations under this Agreement, including (i) the preparation, filing, including any fees required by the Commission, and printing of the Registration Statement (including financial statements and exhibits) as originally filed and of each amendment and supplement thereto and each Free Writing Prospectus, in such number as the Agent shall deem reasonably necessary, (ii) the printing and delivery to the Agent of this Agreement and such other documents as may be required in connection with the offering, purchase, sale, issuance or delivery of the Placement Shares, (iii) the preparation, issuance and delivery of the certificates, if any, for the Placement Shares to the Agent, including any stock or other transfer taxes and any capital duties, stamp duties or other duties or taxes payable upon the sale, issuance or delivery of the Placement Shares to the Agent, (iv) the fees and disbursements of the counsel, accountants and other advisors to the Company, (v) the reasonable and documented out-of-pocket fees and disbursements of counsel to the Agent up to $35,000; (vi) the fees and expenses of the transfer agent and registrar for the Common Stock, (vii) the filing fees incident to any review by FINRA of the terms of the sale of the Placement Shares, and (viii) the fees and expenses incurred in connection with the listing of the Placement Shares on the Exchange.",payment-of-expenses
"Payment of Expenses. The Company and Guarantor agree to pay all costs, fees and expenses incurred in connection with the performance of their obligations hereunder and in connection with the transactions contemplated hereby, including, without limitation, (i) all expenses incident to the issuance and delivery of the Securities (including all printing costs), (ii) all necessary issue, transfer and other stamp taxes in connection with the issuance and sale of the Securities to the Underwriters, (iii) all fees and expenses of the Company’s counsel, independent public or certified public accountants and other advisors, (iv) all costs and expenses incurred in connection with the preparation, printing, filing, shipping and distribution (including any form of electronic distribution) of the Disclosure Package and the Prospectus (including financial statements and exhibits), and all amendments and supplements thereto, the Transaction Documents, (v) all filing fees, attorneys’ fees and expenses incurred by the Company or the Underwriters in connection with qualifying or registering (or obtaining exemptions from the qualification or registration of) all or any part of the Securities for offer and sale under the securities laws of the several states of the United States, the provinces of Canada or other jurisdictions reasonably designated by the Underwriters (including the cost of preparing, printing and mailing preliminary and final blue sky or legal investment memoranda and any related supplements to the Disclosure Package or the Prospectus; provided that any such fees payable to Cahill Gordon & Reindel LLP shall not exceed $15,000, (vi) the fees and expenses of the Trustee, including the fees and disbursements of counsel for the Trustee in connection with the Indenture and the Securities, (vii) any fees payable in connection with the rating of the Securities with the ratings agencies, (viii) any filing fees incident to, and any reasonable fees and disbursements of counsel to the Underwriters in connection with the review by the Financial Industry Regulatory Authority (“FINRA”), if any, of the terms of the sale of the Securities, (ix) all fees and expenses (including reasonable fees and expenses of counsel) of the Company in connection with approval of the Securities by DTC for “book-entry” transfer, and the performance by the Company of its other obligations under this Agreement and (x) all expenses incident to the “road show” for the offering of the Securities, including the cost of ...",payment-of-expenses
"Payment of Expenses. The Company will pay all expenses incident to the performance of its obligations under this Agreement, including (i) the printing and filing of the Registration Statement as originally filed and of each amendment thereto, and the Time of Sale Information, the Pre-Pricing Prospectus and the Prospectus and any amendments or supplements thereto and any “Canadian” wrappers, (ii) the fees and expenses of the Trustee, including the fees and disbursements of counsel for the Trustee in connection with the Indenture and the Securities, (iii) any fees payable in connection with the rating of the Securities, (iv) the preparation, issuance and delivery of the certificates for the Securities to you, (v) the fees and disbursements of the Company’s counsel and accountants, (vi) the qualification of the Securities under securities laws in accordance with the provisions of Section 3(h) hereof, including filing fees and the reasonable fee and disbursements of counsel for the Underwriters in connection therewith and in connection with the preparation of a Blue Sky Survey, (vii) the printing and delivery to the Underwriters in quantities as hereinabove stated of copies of the Registration Statement as originally filed and of each amendment thereto, the Pre-Pricing Prospectus, any Issuer Free Writing Prospectus and of the Prospectus and any amendments or supplements thereto, (viii) the printing and delivery to you of copies of the Blue Sky Survey, and (ix) any fees or expenses of a depositary in connection with holding the securities in book-entry form. If this Agreement is cancelled or terminated by the Representatives in accordance with the provisions of Section 5 or Section 9(a)(i) hereof, the Company shall reimburse you for all of your out-of-pocket expenses, including the reasonable fees and disbursements of counsel for the Underwriters.",payment-of-expenses
"Payment of Expenses. The Company will pay all expenses incident to the performance of its obligations under this Agreement, including (i) the preparation and filing of the Registration Statement, including any fees required by the Commission, and the printing or electronic delivery of the Prospectus as originally filed and of each amendment and supplement thereto, in such number as the Agent shall deem necessary, (ii) the printing and delivery to the Agent of this Agreement and such other documents as may be required in connection with the offering, purchase, sale, issuance or delivery of the Placement Shares, (iii) the preparation, issuance and delivery of the certificates, if any, for the Placement Shares to the Agent, including any stock or other transfer taxes and any capital duties, stamp duties or other duties or taxes payable upon the sale, issuance or delivery of the Placement Shares to the Agent, (iv) the fees and disbursements of the counsel, accountants and other advisors to the Company, (v) the fees and disbursements of the counsel to the Agent, payable upon the execution of this Agreement, in an amount not to exceed $50,000; (vi) the qualification or exemption of the Placement Shares under state securities laws in accordance with the provisions of Section 7(r) hereof, including filing fees, but excluding fees of the Agent’s counsel, (vii) the printing and delivery to the Agent of copies of any Permitted Issuer Free Writing Prospectus and the Prospectus and any amendments or supplements thereto in such number as the Agent shall deem necessary, (viii) the preparation, printing and delivery to the Agent of copies of the blue sky survey, (ix) the fees and expenses of the transfer agent and registrar for the Common Stock, (x) the filing and other fees incident to any review by FINRA of the terms of the sale of the Placement Shares including the fees of the Agent’s counsel (subject to the cap, set forth in clause (v) above), and (xi) the fees and expenses incurred in connection with the listing of the Placement Shares on the Exchange.",payment-of-expenses
"Payment of Expenses. (a) Whether or not the transactions contemplated by this Agreement are consummated or this Agreement is terminated, the Company will pay or cause to be paid all costs and expenses incident to the performance of its obligations hereunder, including without limitation, (i) the costs incident to the authorization, issuance, sale, preparation and delivery of the Units and any taxes payable in that connection; (ii) the costs incident to the preparation, printing and filing under the Securities Act of the Registration Statement, the Preliminary Prospectus, any Pricing Disclosure Package and the Prospectus (including all exhibits, amendments and supplements thereto) and the distribution thereof; (iii) the costs of reproducing and distributing each of the Transaction Documents; (iv) the fees and expenses of the Company’s counsel and independent accountants; (v) the fees and expenses incurred in connection with the registration or qualification and determination of eligibility for investment of the Units under the laws of such jurisdictions as the Representatives may designate and the preparation, printing and distribution of a Blue Sky Memorandum (including the related fees and expenses of counsel for the Underwriters); (vi) the cost of preparing stock certificates; (vii) the costs and charges of any transfer agent, trustee, warrant agent and registrar; (viii) all expenses and application fees incurred in connection with any filing with, and clearance of the offering by, FINRA (including the reasonable and documented fees and expenses of counsel for the Underwriters relating to such filings up to $25,000); (ix) all expenses incurred by the Company in connection with any “road show” presentation to potential investors; and (x) all expenses and application fees related to the listing of the Units on the NYSE.",payment-of-expenses
"Payment of Expenses. Whether or not the transactions contemplated by this Agreement are consummated or this Agreement is terminated, each of the Antero Entities jointly and severally agree to pay or cause to be paid all costs and expenses incident to the performance of their respective obligations hereunder, including without limitation, (i) the costs incident to the authorization, issuance, sale, preparation and delivery of the Securities and any taxes payable in that connection; (ii) the costs incident to the preparation and printing of the Preliminary Offering Memorandum, any other Time of Sale Information, any Issuer Written Communication and the Offering Memorandum (including any amendment or supplement thereto) and the distribution thereof; (iii) the costs of reproducing and distributing each of the Transaction Documents; (iv) the fees and expenses of the Company’s and the Guarantors’ counsel, independent accountants and independent reserve engineers; (v) the fees and expenses incurred in connection with the registration or qualification and determination of eligibility for investment of the Securities under the laws of such jurisdictions as the Representative may designate and the preparation, printing and distribution of a Blue Sky Memorandum (including the related fees and expenses of counsel for the Initial Purchasers); (vi) any fees charged by rating agencies for rating the Securities; (vii) the fees and expenses of the Trustee and any paying agent (including related fees and expenses of any counsel to such parties); (viii) all expenses and application fees incurred in connection with the approval of the Securities for book-entry transfer by DTC; and (ix) all expenses incurred by the Company in connection with any “road show” presentation to potential investors.",payment-of-expenses
"Payment of Expenses. The Company agrees to pay the costs and expenses relating to the following matters: (i) the preparation, printing or reproduction and filing with the Commission of the Registration Statement (including financial statements and exhibits thereto), each Preliminary Prospectus, the Prospectus, and each amendment or supplement to any of them; (ii) the printing (or reproduction) and delivery (including postage, air freight charges and charges for counting and packaging) of such copies of the Registration Statement, each Preliminary Prospectus, the Prospectus and all amendments or supplements to any of them, as may, in each case, be reasonably requested for use in connection with the offering and sale of the Securities; (iii) the preparation, printing, authentication, issuance and delivery of certificates, if any, for the Securities, including any stamp or transfer taxes in connection with the original issuance and sale of the Securities; (iv) the printing (or reproduction) and delivery of this Agreement, and all other agreements or documents printed (or reproduced) and delivered in connection with the Offering; (v) the registration of the Securities under the Exchange Act and the listing of the Securities on the New York Stock Exchange; (vi) the printing and delivery of a preliminary blue sky memorandum, any registration or qualification of the Securities for offer and sale under the securities or blue sky laws of the several U.S. States (including filing fees and the reasonable and documented fees and expenses of counsel for the Underwriters relating to such registration and qualification); (vii) any filings required to be made with FINRA (including filing fees and up to $20,000 for the reasonable and documented fees and expenses of counsel for the Underwriters relating to such filings); (viii) the transportation and other expenses incurred by the Company and its executive officers (and not the Underwriters) in connection with presentations to prospective purchasers of the Securities; (ix) the fees and expenses of the Company’s accountants and the fees and expenses of counsel (including local and special counsel) for the Company; and (x) all other costs and expenses incident to the performance by the Company of its obligations hereunder.",payment-of-expenses
"Payment of Expenses. (a) The Company agrees to pay all costs and expenses incident to the performance of its obligations under this Agreement, whether or not the transactions contemplated hereunder are consummated or this Agreement is terminated, including expenses, fees and taxes in connection with: (i) the preparation and filing of the Registration Statement, each preliminary prospectus, any Issuer Free Writing Prospectus, the Prospectus, and any amendments or supplements thereto, and the printing and furnishing of copies of each thereof to the Underwriters and to dealers (including costs of mailing and shipment); (ii) the preparation, issuance and delivery of the certificates for the Shares to the Underwriters, including any stock or other transfer taxes or duties payable upon the sale of the Shares to the Underwriters; (iii) the printing of this Agreement and any dealer agreements and furnishing of copies of each to the Underwriters and to dealers (including costs of mailing and shipment); (iv) the qualification of the Shares for offering and sale under state laws that the Company and the Representatives have mutually agreed are appropriate and the determination of their eligibility for investment under state law as aforesaid, and the printing and furnishing of copies of any blue sky surveys or legal investment surveys to the Underwriters and to dealers; (v) filing for review of the public offering of the Shares by FINRA; (vi) the fees and expenses of any transfer agent or registrar for the Shares and miscellaneous expenses referred to in the Registration Statement; (vii) the fees and expenses incurred in connection with the inclusion of the Shares in the New York Stock Exchange; (viii) costs and expenses of any internet road show; and (ix) the performance of the Company’s and the Operating Partnership’s other obligations hereunder. Upon the request of the Representatives, the Company will provide funds in advance for filing fees.",payment-of-expenses
"Payment of Expenses. The Investment Manager will pay all of the expenses of each class of each Fund, other than interest, taxes, brokerage commissions, extraordinary expenses, the fees and expenses of the Independent Directors (including counsel fees), and expenses incurred in connection with the provision of shareholder services and distribution services under a plan adopted pursuant to Rule 12b-1 under the Investment Company Act. The Investment Manager will provide the Company with all physical facilities and personnel required to carry on the business of each class of each Fund that it shall manage, including but not limited to office space, office furniture, fixtures and equipment, office supplies, computer hardware and software and salaried and hourly paid personnel. The Investment Manager may at its expense employ others to provide all or any part of such facilities and personnel.",payment-of-expenses
"Payment of Expenses. (a) Whether or not the transactions contemplated by this Agreement are consummated or this Agreement is terminated, the Company will pay or cause to be paid all costs and expenses incident to the performance of its obligations hereunder, including without limitation, (i) the costs incident to the authorization, issuance, sale, preparation and delivery of the Shares and any taxes payable in that connection; (ii) the costs incident to the preparation, printing and filing under the Securities Act of the Registration Statement, the Preliminary Prospectus, any Issuer Free Writing Prospectus, any Pricing Disclosure Package and the Prospectus (including all exhibits, amendments and supplements thereto) and the distribution thereof; (iii) the fees and expenses of the Company’s counsel and independent accountants; (iv) the fees and expenses incurred in connection with the registration or qualification of the Shares under the state or foreign securities or blue sky laws of such jurisdictions as the Representatives may designate and the preparation, printing and distribution of a Blue Sky Memorandum (including the related fees and expenses of counsel for the Underwriters in an amount not to exceed $10,000); (v) the cost of preparing stock certificates; (vi) the costs and charges of any transfer agent and any registrar; (vii) all expenses incurred by the Company in connection with any “road show” presentation to potential investors, it being understood and agreed that except as provided in this Section 11 or Section 7 hereof, the Underwriters will pay all of the travel, lodging and other expenses of the Underwriters or any of their employees incurred by them in connection with the “road show” (provided that the Underwriters and the Company shall each pay 50% of the cost of any aircraft or other transportation chartered in connection with the “road show”); and (viii) all expenses and application fees related to the listing of the Shares on the Nasdaq Market.",payment-of-expenses
"Payment of Expenses. In connection with the offering, sale and issuance of the Debentures to the Institutional Trustee and in connection with the sale of the Trust Securities by the Trust, the Company, in its capacity as borrower with respect to the Debentures, shall:",payment-of-expenses
"Payment of Expenses. The Company hereby agrees to bear all of the expenses in connection with the Offering, including, but not limited to the following: filing fees, printing and duplicating costs, advertisements, postage and mailing expenses with respect to the transmission of Offering Materials, registrar and transfer agent fees, escrow agent fees and expenses, fees of the Company's counsel and accountants, issue and transfer taxes, if any.",payment-of-expenses
"Payment of Expenses. The Company agrees to pay, or reimburse if paid by any Underwriter, whether or not the transactions contemplated hereby are consummated or this Agreement is terminated: (a) the costs incident to the authorization, issuance, sale, preparation and delivery of the Stock and any taxes payable in that connection; (b) the costs incident to the registration of the Stock under the Securities Act; (c) the costs incident to the preparation, printing and distribution of the Registration Statement, the Base Prospectus, any Preliminary Prospectus, any Issuer Free Writing Prospectus, the General Disclosure Package, the Prospectus, any amendments, supplements and exhibits thereto or any document incorporated by reference therein; (d) the fees and expenses (including related fees and expenses of counsel for the Underwriters) incurred in connection with securing any required review by FINRA of the terms of the sale of the Stock and any filings made with FINRA (not to exceed $5,000 in the aggregate); (e) any applicable listing or other fees; (f) the fees and expenses (including related fees and expenses of counsel to the Underwriters) of qualifying the Stock under the securities laws of the several jurisdictions as provided in Section 4(i)) and of preparing, printing and distributing wrappers, Blue Sky Memoranda and Legal Investment Surveys (not to exceed $2,000 in the aggregate); (g) the cost of preparing and printing stock certificates; (h) all fees and expenses of the registrar and transfer agent of the Stock; (i) the costs and expenses (including, without limitation, any damages or other amounts payable in connection with the legal or contractual liability) associated with the reforming of any contracts for sale of the Stock made by the Underwriters caused by a breach of the representation contained in Section 2(c); (j) the costs and expenses of the Company relating to investor presentations on any “road show” undertaken in connection with the marketing of the offering of the Stock, including, without limitation, expenses associated with the preparation or dissemination of any electronic road show, expenses associated with the production of road show slides and graphics, fees and expenses of any consultants engaged in connection with the road show presentations with the prior approval of the Company, travel and lodging expenses of the officers of the Company and such consultants, including the cost of any aircraft chartered in connection with the road show; and (k) all ...",payment-of-expenses
"Payment of Expenses. (a) The Trust shall pay or cause to be paid all costs and expenses incurred in connection with the operation of the Trust, including fees and disbursements of its counsel and auditors, in connection with the preparation and filing of any required registration statements under the Investment Company Act, and all amendments and supplements thereto, and preparing and mailing annual and interim reports and proxy materials to shareholders (including but not limited to the expense of setting in type any such registration statements, or interim reports or proxy materials).",payment-of-expenses
"Payment of Expenses. The Company agrees to pay, or reimburse if paid by the Underwriters, upon consummation of the transactions contemplated hereby: (a) the costs incident to the authorization, issuance, sale, preparation and delivery of the Shares to the Underwriters and any taxes payable in that connection; (b) the costs incident to the registration of the Shares under the Securities Act; (c) the costs incident to the preparation, printing and distribution of the Registration Statement, the Base Prospectus, any Preliminary Prospectus, any Issuer Free Writing Prospectus, the General Disclosure Package, the Prospectus, any amendments, supplements and exhibits thereto or any document incorporated by reference therein and the costs of printing, reproducing and distributing any transaction document by mail or other means of communications; (d) the fees and expenses (including reasonable related fees and expenses of counsel for the Underwriters) incurred in connection with securing any required review by FINRA of the terms of the sale of the Shares and any filings made with FINRA; (e) any applicable listing, quotation or other fees; (f) the fees and expenses (including reasonable related fees and expenses of counsel to the Underwriters) of qualifying the Shares under the securities laws of the several jurisdictions as provided in Section 4(i) and of preparing, printing and distributing wrappers, “Blue Sky Memoranda” and “Legal Investment Surveys”, if any; (g) the cost of preparing and printing stock certificates, if any; (h) all fees and expenses of the registrar and transfer agent of the Shares; and (i) all other costs and expenses incident to the Offering or the performance of the obligations of the Company under this Agreement (including, without limitation, the fees and expenses of the Company’s counsel and the Company’s independent accountants and the travel and other expenses incurred by the Company’s and Underwriters’ personnel in connection with any “road show” including, without limitation, any expenses advanced by the Underwriters on the Company’s behalf (which will be promptly reimbursed)); provided, however, the Company shall not be obligated to pay any fees, disbursements and expenses of counsel to the Underwriters pursuant to clauses (d) and (f) of this Section 5 in excess of $10,000 in the aggregate.",payment-of-expenses
"Payment of Expenses. The Company will pay all expenses incident to the performance of its obligations under this Agreement, including but not limited to any filing fees and other expenses (including fees and disbursements of counsel to the Underwriters) incurred in connection with qualification of the Offered Securities for sale, costs and expenses related to the review by the Financial Industry Regulatory Authority of the Offered Securities (including filing fees and the fees and expenses of counsel for the Underwriters relating to such review), costs and expenses relating to investor presentations or any “road show” in connection with the offering and sale of the Offered Securities including, without limitation, any travel expenses of the Company’s officers and employees and any other expenses of the Company including the chartering of airplanes, fees and expenses incident to listing the Offered Securities on the New York Stock Exchange, NYSE Euronext, the NASDAQ Stock Market LLC and other national and foreign exchanges, fees and expenses in connection with the registration of the Offered Securities under the Exchange Act, and expenses incurred in distributing preliminary prospectuses and the Final Prospectus (including any amendments and supplements thereto) to the Underwriters and for expenses incurred for preparing, printing and distributing any Issuer Free Writing Prospectuses to investors or prospective investors.",payment-of-expenses
