clause_text,clause_type
"Payment of Obligations. The Borrower will, and will cause each of its Subsidiaries to, pay its obligations, including Tax liabilities, that, if not paid, could result in a Material Adverse Effect before the same shall become delinquent or in default, except where (a) the validity or amount thereof is being contested in good faith by appropriate proceedings, (b) the Borrower or such Subsidiary has set aside on its books adequate reserves with respect thereto in accordance with GAAP and (c) the failure to make payment pending such contest could not reasonably be expected to result in a Material Adverse Effect.",payment-of-obligations
"Payment of Obligations. Pay and discharge as the same shall become due and payable, all its obligations and liabilities, including (a) all tax liabilities, assessments and governmental charges or levies upon it or its properties or assets, unless the same are being contested in good faith by appropriate proceedings diligently conducted and adequate reserves in accordance with GAAP are being maintained by the Borrower or such Subsidiary; (b) all lawful claims which, if unpaid, would by law become a Lien upon its property; and (c) all Indebtedness, as and when due and payable, but subject to any subordination provisions contained in any instrument or agreement evidencing such Indebtedness.",payment-of-obligations
"Payment of Obligations. Pay, discharge or otherwise satisfy at or before maturity or before they become delinquent, as the case may be, all its material obligations of whatever nature, except where the amount or validity thereof is currently being contested in good faith by appropriate proceedings and reserves in conformity with GAAP with respect thereto have been provided on the books of the Borrower or its Subsidiaries, as the case may be.",payment-of-obligations
"Payment of Obligations. Such Grantor will pay and discharge or otherwise satisfy at or before maturity or before they become delinquent, as the case may be, all taxes, assessments and governmental charges or levies imposed upon the Collateral or in respect of income or profits therefrom, as well as all claims of any kind (including, without limitation, claims for labor, materials and supplies) against or with respect to the Collateral, except that no such charge need be paid if the amount or validity thereof is currently being contested in good faith by appropriate proceedings, reserves in conformity with GAAP with respect thereto have been provided on the books of such Grantor and such proceedings could not reasonably be expected to result in the sale, forfeiture or loss of any material portion of the Collateral or any interest therein.",payment-of-obligations
"Payment of Obligations. Pay, discharge or otherwise satisfy at or before maturity or before they become delinquent, as the case may be, all its obligations of whatever nature, except where failure to do so could not reasonably be expected to have a Material Adverse Effect or where the amount or validity thereof is currently being contested in good faith by appropriate proceedings and reserves in conformity with GAAP with respect thereto have been provided on the books of Holdings, the Borrower or its Subsidiaries, as the case may be.",payment-of-obligations
"Payment of Obligations. Pay and discharge as the same shall become due and payable, all its obligations and liabilities, including (a) all material tax liabilities, assessments and governmental charges or levies upon it or its properties or assets, unless the same are being contested in good faith by appropriate proceedings diligently conducted and adequate reserves in accordance with GAAP are being maintained by the Borrower or such Subsidiary; (b) all lawful claims which, if unpaid, would by law become a Lien upon its property, and (c) all Indebtedness, as and when due and payable, but subject to any subordination provisions contained in any instrument or agreement evidencing such Indebtedness, except in the case of clauses (b) and (c), to the extent any failure to pay or discharge such claim or Indebtedness could not reasonably be expected to have a Material Adverse Effect.",payment-of-obligations
"Payment of Obligations. The Borrower will, and will cause each Subsidiary to, pay its obligations, including Tax liabilities of the Borrower and all of its Subsidiaries before the same shall become delinquent or in default, except where (a) the validity or amount thereof is being contested in good faith by appropriate proceedings, (b) the Borrower or such Subsidiary has set aside on its books adequate reserves with respect thereto in accordance with GAAP and (c) the failure to make payment pending such contest could not reasonably be expected to result in a Material Adverse Effect or result in the seizure or levy of any Property of the Borrower or any Subsidiary.",payment-of-obligations
"Payment of Obligations. The Borrower will, and will cause each of its Subsidiaries to, pay and discharge at or before maturity, all of its obligations and liabilities (including without limitation all tax liabilities and claims that could result in a statutory Lien) before the same shall become delinquent or in default, except where (a) the validity or amount thereof is being contested in good faith by appropriate proceedings, (b) the Borrower or such Subsidiary has set aside on its books adequate reserves with respect thereto in accordance with GAAP and (c) the failure to make payment pending such contest could not reasonably be expected to result in a Material Adverse Effect.",payment-of-obligations
"Payment of Obligations. The Borrower will, and will cause each other Loan Party to, pay its Indebtedness and other obligations, including liabilities for Taxes, before the same shall become delinquent or in default, except where (a) the validity or amount thereof is being contested in good faith by appropriate proceedings, (b) the Borrower or such other Loan Party has set aside on its books adequate reserves with respect thereto in accordance with GAAP, (c) such contest effectively suspends collection of the contested obligation and the enforcement of any Lien securing such obligation and (d) the failure to make payment pending such contest would not reasonably be expected to result in a Material Adverse Effect.",payment-of-obligations
"Payment of Obligations. Each Loan Party will, and will cause each Subsidiary to, pay or discharge all Material Indebtedness and all other material liabilities and obligations, including Taxes, before the same shall become delinquent or in default, except where (a) the validity or amount thereof is being contested in good faith by appropriate proceedings, (b) such Loan Party or such Subsidiary has set aside on its books adequate reserves with respect thereto in accordance with GAAP and (c) the failure to make payment pending such contest could not reasonably be expected to result in a Material Adverse Effect.",payment-of-obligations
