clause_text,clause_type
"Payment Terms. The Mortgage Loans have an original term to maturity of not more than 30 years, with interest payable in arrears on the first day of each month. As to each Mortgage Loan on each applicable Adjustment Date, the Mortgage Interest Rate will be adjusted to equal the sum of the Index plus the applicable Gross Margin, rounded up or down to the nearest multiple of 0.125% indicated by the Mortgage Note; provided that the Mortgage Interest Rate will not increase or decrease by more than the Periodic Interest Rate Cap on any Adjustment Date, and will in no event exceed the maximum Mortgage Interest Rate or be lower than the minimum Mortgage Interest Rate listed on the Mortgage Loan Schedule for such Mortgage Loan. Each Mortgage Note requires a monthly payment which is sufficient, during the period prior to the first adjustment to the Mortgage Interest Rate, to fully amortize the outstanding principal balance as of the first day of such period over the then remaining term of such Mortgage Note and to pay interest at the related Mortgage Interest Rate. As to each Mortgage Loan, if the related Mortgage Interest Rate changes on an Adjustment Date, the then outstanding principal balance will be reamortized over the remaining life of such Mortgage Loan. No Mortgage Loan contains terms or provisions which would result in negative amortization;",payment-terms
"Payment Terms. Invoices are to be submitted in monthly arrears, after services have been completed, to the address specified below. Payment will be net thirty (30) days after receipt of an invoice in a format acceptable to the COUNTY, as applicable. Invoices shall be verified and approved by COUNTY and subject to routine processing requirements. The responsibility for providing an acceptable invoice to COUNTY for payment rests with A-E. Incomplete or incorrect invoices are not acceptable and will be returned to the A-E for correction. Billing shall cover services and/or goods not previously invoiced. The A-E shall reimburse the COUNTY for any monies paid to the A-E for goods or services not provided or when goods or services do not meet the CONTRACT requirements. Payments made by COUNTY shall not preclude the right of COUNTY from thereafter disputing any items or services involved or billed under this CONTRACT and shall not be construed as acceptance of any part of the goods or services.",payment-terms
"Payment Terms. (a) Except as expressly provided to the contrary in this Agreement or in any Ancillary Agreement, any amount to be paid or reimbursed by a Party (and/or a member of such Party’s Group), on the one hand, to the other Party (and/or a member of such Party’s Group), on the other hand, under this Agreement shall be paid or reimbursed hereunder within sixty (60) days after presentation of an invoice or a written demand therefor and setting forth, or accompanied by, reasonable documentation or other reasonable explanation supporting such amount.",payment-terms
"Payment Terms. An invoice for services/activities shall be submitted to the address specified below upon the completion of the services/activities and approval of the County Project Manager. Subrecipient shall reference Contract number on invoice. Payment will be net 30 days after receipt of an invoice, contingent upon availability of funds, in a format acceptable to the County of Orange, verified and approved by OC Community Resources and subject to routine processing requirements of the County. The responsibility for providing an acceptable invoice rests with the Subrecipient. Billing shall cover services not previously invoiced. The Subrecipient shall reimburse the County of Orange for any monies paid to the Subrecipient for services not provided or when services do not meet the Contract requirements. Payments made by the County shall not preclude the right of the County from thereafter disputing any items or services involved or billed under this Contract and shall not be construed as acceptance of any part of the services. Invoice(s) are to be sent to: OC Community Resources Accounting 1770 North Broadway, 4th Floor Santa Ana, CA 92706",payment-terms
"Payment Terms. [If cost-share is applicable, insert - It is understood and agreed that NYSERDA and the Contractor are sharing the costs for the Work to be performed.] In consideration for this Agreement and as NYSERDA’s full payment for the costs of the performance of all Work, and in respect of all other direct and indirect costs, charges or expenses incurred in connection therewith, NYSERDA shall pay to the Contractor amounts not to exceed the maximum amount set forth in Item 5, Page One of this Agreement for the cost elements identified in the Budget to be funded with NYSERDA funds, subject to the provisions and restrictions contained herein, including, without limitation, the Prompt Payment Policy Statement attached hereto as Exhibit D. NYSERDA’s payments shall be on a reimbursement basis, and shall be paid only to the extent that Cash-based Expenses are incurred by the Contractor in performance of the Work in accordance with the provisions of this Agreement, and the following:",payment-terms
Payment Terms. Royalties shown to have accrued by each royalty report provided for under Section 5 above shall be due on the date such royalty report is due. Payment of royalties in whole or in part may be made in advance of such due date.,payment-terms
"Payment Terms. DSI shall not be required to perform any service unless the payment for such service and any outstanding balances owed to DSI are paid in full. All other fees are due upon receipt of invoice. If invoiced fees are not paid, DSI may terminate this Agreement in accordance with Section 5.2. Late fees on past due amounts shall accrue at the rate of one and one-half percent per month (18% per annum) from the date of the invoice.",payment-terms
"Payment Terms. The Mortgage Note is payable on the first day of each month in equal monthly installments of principal and interest (or interest, in the case of any Mortgage Loan for which monthly payments consist of only interest for a period of time specified on the Mortgage Loan Schedule), (provided that, the installments of interest are subject to change due to the adjustments to the Mortgage Interest Rate on each Interest Rate Adjustment Date with respect to an Adjustable Rate Mortgage, and interest is calculated and payable in arrears) providing for full amortization by maturity over a scheduled term of no more than 30 years. No Mortgage Loan converts, pursuant to the terms of the related Mortgage Note, from having interest accrue on the principal amount thereof based on an adjustable rate to having interest accrue based on a fixed rate, and no Mortgage Loan has a shared appreciation or other contingent interest feature, or permits negative amortization. The Mortgage Interest Rate, Lifetime Rate Cap, each applicable Periodic Rate Cap and each applicable Interest Adjustment Date for each Mortgage Loan are as set forth for such Mortgage Loan in the Mortgage Loan Schedule;",payment-terms
"Payment Terms. Unless otherwise noted in the solicitation document, the Department has 30 days to pay invoices, as allowed by 17-8-242, MCA. Contractor shall provide banking information at the time of contract execution in order to facilitate the Department’s electronic funds transfer payments.",payment-terms
"Payment Terms. Payments on the Mortgage Loan commenced no more than sixty (60) days after the funds were disbursed in connection with the Mortgage Loan. The Mortgage Note is payable on the first day of each month in equal monthly installments of principal and interest (if not an interest only loan), with interest calculated and payable in arrears, sufficient to amortize the Mortgage Loan fully by the stated maturity date, over an original term of not more than thirty years from commencement of amortization.",payment-terms
