clause_text,clause_type
"Payment. Subject to the provisions of the Warrant and this Agreement, a Warrant may be exercised by the Registered Holder thereof by delivering to the Warrant Agent at its corporate trust department (i) the Definitive Warrant Certificate evidencing the Warrants to be exercised, or, in the case of a Warrant represented by a book-entry, the Warrants to be exercised (the “Book-Entry Warrants”) on the records of the Depositary to an account of the Warrant Agent at the Depositary designated for such purposes in writing by the Warrant Agent to the Depositary from time to time, (ii) an election to purchase (“Election to Purchase”) any Ordinary Shares pursuant to the exercise of a Warrant, properly completed and executed by the Registered Holder on the reverse of the Definitive Warrant Certificate or, in the case of a Book-Entry Warrant, properly delivered by the Participant in accordance with the Depositary’s procedures, and (iii) the payment in full of the Warrant Price for each Ordinary Share as to which the Warrant is exercised and any and all applicable taxes due in connection with the exercise of the Warrant, the exchange of the Warrant for the Ordinary Shares and the issuance of such Ordinary Shares, as follows:",payment
"Payment. Subject to the provisions of the Warrant and this Agreement, a Warrant, when countersigned by the Warrant Agent, may be exercised by the registered holder thereof by surrendering it, at the office of the Warrant Agent, or at the office of its successor as Warrant Agent, in the Borough of Manhattan, City and State of New York, with the subscription form, as set forth in the Warrant, duly executed, and by paying in full the Warrant Price for each share of Common Stock as to which the Warrant is exercised and any and all applicable taxes due in connection with the exercise of the Warrant, as follows:",payment
"Payment. The Company will not directly or indirectly pay or cause to be paid any remuneration, whether by way of supplemental or additional interest, fee or otherwise, or grant any security, to any holder of Notes as consideration for or as an inducement to the entering into by any holder of Notes of any waiver or amendment of any of the terms and provisions hereof unless such remuneration is concurrently paid, or security is concurrently granted, on the same terms, ratably to each holder of Notes then outstanding even if such holder did not consent to such waiver or amendment.",payment
"Payment. The Company will not directly or indirectly pay or cause to be paid any remuneration, whether by way of supplemental or additional interest, fee or otherwise, or grant any security or provide other credit support, to any holder of a Note as consideration for or as an inducement to the entering into by such holder of any waiver or amendment of any of the terms and provisions hereof or of any Subsidiary Guaranty or any Note unless such remuneration is concurrently paid, or security is concurrently granted or other credit support concurrently provided, on the same terms, ratably to each holder of a Note even if such holder did not consent to such waiver or amendment.",payment
"Payment. Payment of the purchase price for, and delivery of, the Securities shall be made at the offices of Freshfields Bruckhaus Deringer US LLP, 601 Lexington Avenue, New York, NY 10022 or at such other place as shall be agreed upon by the Representatives and the Company, at 9:00 A.M. (Eastern time) on the fifth business day after the date hereof (unless postponed in accordance with the provisions of Section 10), or such other time not later than ten business days after such date as shall be agreed upon by the Representatives and the Company (such time and date of payment and delivery being herein called “Closing Time”). Payment shall be made to the Company by wire transfer of immediately available funds to a bank account designated by the Company, against delivery to the Representatives through the facilities of DTC for the respective accounts of the Underwriters of Securities to be purchased by them. It is understood that each Underwriter has authorized the Representatives, for its account, to accept delivery of, receipt for, and make payment of the purchase price for, the Securities, which it has agreed to purchase. The Representatives, individually and not as representatives of the Underwriters, may (but shall not be obligated to) make payment of the purchase price for the Securities to be purchased by any Underwriter whose funds have not been received by the Closing Time, but such payment shall not relieve such Underwriter from its obligations hereunder.",payment
"Payment. Payment of the Purchase Price shall be made, at the option of the Company or its assignee(s), in cash (by check), by cancellation of all or a portion of any outstanding indebtedness of the Holder to the Company (or, in the case of repurchase by an assignee, to the assignee), or by any combination thereof within thirty (30) days after receipt of the Notice or in the manner and at the times set forth in the Notice.",payment
"Payment. Lessee shall cause payment of Rent to be received by Lessor in lawful money of the United States, without offset or deduction (except as specifically permitted in this Lease), on or before the day on which it is due. All monetary amounts shall be rounded to the nearest whole dollar. In the event that any invoice prepared by Lessor is inaccurate such inaccuracy shall not constitute a waiver and Lessee shall be obligated to pay the amount set forth in this Lease. Rent for any period during the term hereof which is for less than one full calendar month shall be prorated based upon the actual number of days of said month. Payment of Rent shall be made to Lessor at its address stated herein or to such other persons or place as Lessor may from time to time designate in writing. Acceptance of a payment which is less than the amount then due shall not be a waiver of Lessor’s rights to the balance of such Rent, regardless of Lessor’s endorsement of any check so stating. In the event that any check, draft, or other instrument of payment given by Lessee to Lessor is dishonored for any reason, Lessee agrees to pay to Lessor the sum of $25 in addition to any Late Charge and Lessor, at its option, may require all future Rent be paid by cashier’s check. Payments will be applied first to accrued late charges and attorney’s fees, second to accrued interest, then to Base Rent and Common Area Operating Expenses, and any remaining amount to any other outstanding charges or costs.",payment
"Payment. Payment of the purchase price for, and delivery of certificates for, the Initial Securities shall be made at the offices of Pietrantoni Mendez & Alvarez LLP, counsel to the Underwriters, Suite 1901, Popular Center Building, San Juan, Puerto Rico 00918, or at such other place as shall be agreed upon by the Representatives and the Company, at 9:00 A.M. (Eastern time) on the third (fourth, if the pricing occurs after 4:30 P.M. (Eastern time) on any given date) business day after the date hereof (unless postponed in accordance with the provisions of Section 10), or such other time not later than ten business days after such date as shall be agreed upon by the Representatives and the Company (such time and date of payment and delivery being herein called ""Closing Time""). The Initial Securities to be purchased by each Underwriter hereunder will be represented by one or more definitive certificates registered in the name of Cede & Co., which will be deposited by or on behalf of the Company with the Depository Trust Company (""DTC"") or its designated custodian. In addition, in the event that any or all of the Option Securities are purchased by the Underwriters, payment of the purchase price for, and delivery of certificates for, such Option Securities shall be made at the above-mentioned offices, or at such other place as shall be agreed upon by the Representatives and the Company, on each Date of Delivery as specified in the notice from the Representatives to the Company. Payment shall be made to the Company by wire transfer of immediately available funds to a bank account designated by the Company against delivery to the Representatives for the respective accounts of the Underwriters of certificates for the Securities to be purchased by them, duly endorsed for transfer or by causing DTC to credit the Securities to the account of each Underwriter in the case of the Initial Securities. It is understood that each Underwriter has authorized the Representatives, for its account, to accept delivery of, receipt for, and make payment of the purchase price for the Initial Securities and the Option Securities, if any, which it has agreed to purchase. The Representatives, individually and not as representatives of the Underwriters, may (but shall not be obligated to) make payment of the purchase price for the Initial Securities and the Option Securities, if any, to be purchased by any Underwriter whose funds have not been received by the Closing Time or the relevant Date of...",payment
"Payment. Lessee shall cause payment of Rent to be received by Lessor in lawful money of the United States, without offset or deduction (except as specifically permitted in this Lease), on or before the day on which it is due. Rent for any period during the term hereof which is for less than one (1) full calendar month shall be prorated based upon the actual number of days of said month. Payment of Rent shall be made to Lessor at its address stated herein or to such other persons or place as Lessor may from time to time designate in writing. Acceptance of a payment which is less than the amount then due shall not be a waiver of Lessor's rights to the balance of such Rent, regardless of Lessor's endorsement of any check so stating.",payment
"Payment. Except as provided to the contrary in Section 2.10 or Section 2.12(a), interest, Letter of Credit fees, and all other fees payable hereunder shall be due and payable, in arrears, on the first day of each month at any time that Obligations or Commitments are outstanding. Borrower hereby authorizes Agent, from time to time without prior notice to Borrower, to charge all interest and fees (when due and payable), all Lender Group Expenses (as and when incurred), all charges, commissions, fees, and costs provided for in Section 2.11(e) (as and when accrued or incurred), all fees and costs provided for in Section 2.10 (as and when accrued or incurred), and all other payments as and when due and payable under any Loan Document (including any amounts due and payable to the Bank Product Providers in respect of Bank Products) to the Loan Account, which amounts thereafter shall constitute Advances hereunder and shall accrue interest at the rate then applicable to Advances that are Base Rate Loans. Any interest not paid when due shall be compounded by being charged to the Loan Account and shall thereafter constitute Advances hereunder and shall accrue interest at the rate then applicable to Advances that are Base Rate Loans.",payment
