clause_text,clause_type
"Payments. From and after the Effective Date, the Administrative Agent shall make all payments in respect of the Assigned Interest (including payments of principal, interest, fees and other amounts) to the Assignor for amounts which have accrued to but excluding the Effective Date and to the Assignee for amounts which have accrued from and after the Effective Date.",payments
Payments. All amounts due under this Section shall be payable not later than ten Business Days after demand therefor.,payments
"Payments. From and after the Effective Date, the Administrative Agent shall make all payments in respect of [the][each] Assigned Interest (including payments of principal, interest, fees and other amounts) to [the][the relevant] Assignor for amounts which have accrued to but excluding the Effective Date and to [the][the relevant] Assignee for amounts which have accrued from and after the Effective Date.",payments
"Payments. The TIPS Member will make payments directly to the Vendor, the Vendor Assigned Dealer or as agreed by the Vendor and the TIPS Member after receiving invoice and in compliance with applicable payment statute(s), whichever is the greater time or as otherwise provided by an agreement of the parties. Price increases will be honored according to the terms of the solicitation. All pricing submitted to TIPS shall include the participation fee, as provided in the solicitation, to be remitted to TIPS by the Vendor. Vendor will not show adding the fee to the invoice presented to TIPS Member customer. The Participation Fee that was published as part of the Solicitation and the fee published is the legally effective fee, along with any fee conditions stated in the Solicitation. Collection of the fees by TIPS is required under Texas Government Code §791.011 Et seq. Fees are due on all TIPS purchases reported by either Vendor or Member. Fees are due to TIPS upon payment by the Member to the Vendor, Reseller or Vendor Assigned Dealer. Vendor, Reseller or Vendor Assigned Dealer agrees that the participation fee is due to TIPS for all Agreement sales immediately upon receipt of payment including partial payment, from the Member Entity and must be paid to TIPS at least on a monthly basis, specifically within 31 calendar days of receipt of payment, if not more frequently, or as otherwise agreed by TIPS in writing and signed by an authorized signatory of TIPS. Thus, when an awarded Vendor, Reseller or Vendor Assigned Dealer receives any amount of payment, even partial payment, for a TIPS sale, the legally effective fee for that amount is immediately due to TIPS from the Vendor and fees due to TIPS should be paid at least on a monthly basis, specifically within 31 calendar days of receipt of payment, if not more frequently.",payments
"Payments. From and after the Effective Date, the Administrative Agent shall make all payments in respect of the Assigned Interest (including payments of principal, interest, fees and other amounts) to the Assignee whether such amounts have accrued prior to or on or after the Effective Date. The Assignor and the Assignee shall make all appropriate adjustments in payments by the Administrative Agent for periods prior to the Effective Date or with respect to the making of this assignment directly between themselves.",payments
Payments. All amounts due under this Section shall be payable promptly after demand therefor.,payments
"Payments. The TIPS Member will make payments directly to the Vendor or vendor assigned dealer after receiving invoice or in compliance with applicable statute, whichever is the greater time or as otherwise provided by an agreement of the parties. Price increases will be honored according to the terms of the solicitation. All pricing submitted to TIPS shall include the participation fee, as provided in the solicitation, to be remitted to TIPS by the Vendor. Vendor will not show adding the fee to the invoice presented to TIPS Member customer. Failure to render the participation fee to TIPS shall constitute a breach of this agreement and shall be grounds for termination of this agreement and any other agreement held with TIPS.",payments
"Payments. Notwithstanding the other provisions of this Indenture, unless otherwise specified as contemplated by Section 2.2, payment of the principal of and interest, if any, on any Global Security shall be made to the Holder thereof.",payments
"Payments. The Receiver agrees to cause to be paid to the Assuming Institution, or the Assuming Institution agrees to pay to the Receiver, as the case may be, on the Settlement Date, a payment in an amount which reflects net adjustments (including any costs, expenses and fees associated with determinations of value as provided in this Agreement) made pursuant to Section 8.1 or Section 8.2, plus interest as provided in Section 8.4. The Receiver and the Assuming Institution agree to effect on the Settlement Date any further transfer of assets to or assumption of liabilities or claims by the Assuming Institution as may be necessary in accordance with Section 8.1 or Section 8.2.",payments
"Payments. The Borrower shall (a) default in the payment when due of any principal of the Loans or (b) default, and such default shall continue for five or more days, in the payment when due of any interest on the Loans or any Fees or any Unpaid Drawings or of any other amounts owing hereunder or under any other Credit Document; or",payments
