clause_text,clause_type
"Performance. The Company shall have performed and complied with all agreements, obligations and conditions contained in this Agreement that are required to be performed or complied with by it on or before such Closing Date.",performance
"Performance. The Company shall have performed, satisfied and complied in all material respects with all covenants, agreements and conditions required by the Transaction Documents to be performed, satisfied or complied with by it at or prior to the Closing.",performance
"Performance. The Company shall have performed and complied in all material respects with all agreements, obligations and conditions contained in this Agreement that are required to be performed or complied with by it on or before the Closing.",performance
"Performance. The Investor shall have performed and complied with all agreements, obligations and conditions contained in this Agreement that are required to be performed or complied with by it on or before the Closing.",performance
"Performance. All covenants, agreements and conditions contained in this Agreement to be performed by the Purchasers on or prior to the Closing shall have been performed or complied with in all material respects.",performance
"Performance. Shareholders shall have performed, satisfied, and complied with all covenants, agreements, and conditions required by this Agreement to be performed or complied with by it, on or before the Closing Date.",performance
"Performance. The Company shall have performed and complied with all agreements, obligations and conditions contained in this Agreement that are required to be performed or complied with by it on or before the Closing and shall have obtained all approvals, consents and qualifications necessary to complete the purchase and sale described herein.",performance
"Performance. Purchaser shall have performed and complied with, in all material respects, the agreements, covenants and obligations required by this Agreement to be so performed or complied with by Purchaser at or before the Closing.",performance
"Performance. Contractor shall perform all work under this Contract, taking necessary steps and precautions to perform the work to County’s satisfaction. Contractor shall be responsible for the professional quality, technical assurance, timely completion and coordination of all documentation and other goods/services furnished by the Contractor under this Contract. Contractor shall perform all work diligently, carefully, and in a good and workman-like manner; shall furnish all labor, supervision, machinery, equipment, materials, and supplies necessary therefore; shall at its sole expense obtain and maintain all permits and licenses required by public authorities, including those of County required in its governmental capacity, in connection with performance of the work; and, if permitted to subcontract, shall be fully responsible for all work performed by subcontractors.",performance
Performance. Buyer shall have performed and complied in all material respects with all agreements and covenants required by this Agreement to be so performed or complied with by Buyer at or prior to the Closing.,performance
"Performance. Purchaser shall have performed and observed, in all material respects, all covenants and agreements to be performed or observed by it under this Agreement prior to or on the Closing Date;",performance
"Performance. The Purchasers shall have performed and complied with all covenants, agreements, obligations and conditions contained in this Agreement that are required to be performed or complied with by them on or before such Closing.",performance
