clause_text,clause_type
"Permits. The Company has all franchises, permits, licenses, and any similar authority necessary for the conduct of its business as now being conducted by it, the lack of which could materially and adversely affect the business, properties, prospects, or financial condition of the Company, and the Company believes it can obtain, without undue burden or expense, any similar authority for the conduct of its business as planned to be conducted. The Company is not in default in any material respect under any of such franchises, permits, licenses, or other similar authority.",permits
"Permits. Each of the Partnership Entities has such permits, consents, licenses, franchises, certificates and authorizations of governmental or regulatory authorities (“permits”) as are necessary to own or lease its properties and to conduct its business in the manner described in the Pricing Disclosure Package and the Prospectus, subject to such qualifications as may be set forth in the Pricing Disclosure Package and the Prospectus and except for such permits that, if not obtained, would not have, individually or in the aggregate, a Material Adverse Effect; each of the Partnership Entities has fulfilled and performed all its material obligations with respect to such permits in the manner described, and subject to the limitations contained in the Pricing Disclosure Package and the Prospectus, and no event has occurred that would prevent the permits from being renewed or reissued or that allows, or after notice or lapse of time would allow, revocation or termination thereof or results or would result in any impairment of the rights of the holder of any such permit, except for such non-renewals, non-issues, revocations, terminations and impairments that would not, individually or in the aggregate, have a Material Adverse Effect. None of the Partnership Entities has received notification of any revocation or modification of any such permit or has any reason to believe that any such permit will not be renewed in the ordinary course.",permits
"Permits. The Company has all franchises, permits, licenses and any similar authority necessary for the conduct of its business, the lack of which could reasonably be expected to have a Material Adverse Effect. The Company is not in default in any material respect under any of such franchises, permits, licenses or other similar authority.",permits
"Permits. NYISO, Connecting Transmission Owner and the Developer shall cooperate with each other in good faith in obtaining all permits, licenses and authorizations that are necessary to accomplish the interconnection in compliance with Applicable Laws and Regulations. With respect to this paragraph, Connecting Transmission Owner shall provide permitting assistance to the Developer comparable to that provided to the Connecting Transmission Owner’s own, or an Affiliate’s generation, if any.",permits
"Permits. It is the responsibility of the Contractor to acquire and maintain, at its own cost, any and all permits, licenses, easements, waivers and permissions of every nature necessary to perform the work.",permits
"Permits. The Company currently holds all environmental approvals, permits, licenses, clearances and consents (the ""Environmental Permits"") necessary for the conduct of the Company's Hazardous Material Activities and other businesses of the Company as such activities and businesses are currently being conducted.",permits
"Permits. Each of the Company and its Significant Subsidiaries validly holds, has in effect and has complied with the terms of all approvals, authorizations, certificates, franchises, licenses, permits and consents of Governmental Entities, including those required pursuant to Environmental Laws, necessary for it to conduct its business as presently conducted (collectively, “Permits”), and all such Permits are in full force and effect, except for such Permits the absence of or non-compliance with which, or the failure of which to be in full force and effect, individually or in the aggregate, have not had and would not be reasonably likely to have a Company Material Adverse Effect. During the past two years, none of the Company or any of its Significant Subsidiaries has received any written notice of any Action relating to the revocation or modification of any Permits the loss of which, individually or in the aggregate, have not had and would not be reasonably likely to have a Company Material Adverse Effect.",permits
"Permits. The Company and each of its subsidiaries (as defined in Section 1-02(x) of Regulation S-X to the Securities Act) (the “Subsidiaries”) have all requisite power and authority, and all necessary authorizations, approvals, orders, licenses, certificates and permits of and from regulatory or governmental officials, bodies and tribunals, to own or lease their respective properties and to conduct their respective businesses as now being conducted, except such authorizations, approvals, orders, licenses, certificates and permits which, if not obtained and maintained, would not, singly or in the aggregate, have a Material Adverse Effect, and neither the Company nor any of its Subsidiaries has received any notice of proceedings relating to the revocation or modification of any such authorizations, approvals, orders, licenses, certificates or permits which, singly or in the aggregate, if the failure to be so licensed or approved is the subject of an unfavorable decision, ruling or finding, would, singly or in the aggregate, have a Material Adverse Effect; and the Company and its Subsidiaries are in compliance with all applicable laws, rules, regulations and orders and consents, the violation of which would, singly or in the aggregate, have a Material Adverse Effect.",permits
"Permits. The Company and each of its Subsidiaries have all permits, licenses and franchises from Governmental Entities required to conduct their businesses as now being conducted, except for such permits, licenses and franchises the absence of which, individually or in the aggregate, is not reasonably likely to have a Company Material Adverse Effect (the “Company Permits”). The Company and each of its Subsidiaries are in compliance with the terms of the Company Permits, except for such failures to comply that, individually or in the aggregate, are not reasonably likely to have a Company Material Adverse Effect.",permits
"Permits. Section 2.17 of the Company Disclosure Letter sets forth a true, correct and complete list of all material permits, licenses, registrations, certificates, orders or approvals from any Governmental Entity (including those issued or required under applicable export laws or regulations) (“Permits”) issued to or held by the Company and its subsidiaries. Such listed Permits are the only Permits that are required for the Company and its subsidiaries to conduct their business as presently conducted. Each such Permit is in full force and effect and to the Knowledge of the Company, no suspension or cancellation of such Permit is threatened and there is no basis for believing that such Permit will not be renewable upon expiration. Each such Permit will continue in full force and effect following the Closing.",permits
"Permits. The Company and each of its subsidiaries holds, and is in compliance with, all franchises, grants, authorizations, licenses, permits, easements, consents, certificates and orders (“Permits”) of any governmental or self-regulatory agency, authority or body required for the conduct of its business, and all such Permits are in full force and effect, in each case except where the failure to hold, or comply with, any of them is not reasonably likely to result in a Material Adverse Effect or adversely affect the consummation of the transactions contemplated by this Agreement.",permits
"Permits. The Company and its Subsidiaries have, and are in compliance with the terms of, all material permits, licenses, authorizations, consents, approvals and franchises from Governmental Authorities required to conduct their businesses as currently conducted (“Permits”), and no suspension or cancellation of any such Permits is pending or, to the Knowledge of the Company, threatened, except for such noncompliance, suspension or cancellation that would not have, individually or in the aggregate, a Material Adverse Effect on the Company.",permits
"Permits. The Fund and each of its Subsidiaries have all permits, licenses and franchises from Governmental Entities required to conduct their businesses as now being conducted or as presently contemplated to be conducted, except for such permits, licenses and franchises the absence of which have not resulted in and could not, individually or in the aggregate, reasonably be expected to result in a Fund Material Adverse Effect (the “Fund Permits”). The Fund and its Subsidiaries are in compliance with the terms of the Fund Permits, except where the failure to so comply, individually or in the aggregate, is not reasonably likely to have a Fund Material Adverse Effect. To the Fund’s Knowledge, there is no pending threat of modification or cancellation of any Fund Permit that, individually or in the aggregate, could reasonably be expected to have a Fund Material Adverse Effect. To the Fund’s Knowledge and except to the extent caused by the lack of one or more approvals, notifications, reports or other filings set forth in Section 4.3(c) of this Agreement, no Fund Permit will cease to be effective as a result of the consummation of transactions contemplated by this Agreement except in those cases where the lack of Fund Permits does not have, and could not reasonably be expected to have, individually or in the aggregate, a Fund Material Adverse Effect.",permits
"Permits. Section 3.24 of the Parent Disclosure Schedule sets forth a list of all permits, licenses, registrations, certificates, orders or approvals from any Governmental Entity (including without limitation those issued or required under Environmental Laws and those relating to the occupancy or use of owned or leased real property) (“Parent Permits”) issued to or held by the Parent or any Parent Subsidiary. Such listed Permits are the only Parent Permits that are required for the Parent and the Parent Subsidiaries to conduct their respective businesses as presently conducted except for those the absence of which, individually or in the aggregate, have not had and would not reasonably be expected to have a Parent Material Adverse Effect. Each such Parent Permit is in full force and effect and, to the knowledge of the Parent, no suspension or cancellation of such Parent Permit is threatened and there is no basis for believing that such Parent Permit will not be renewable upon expiration. Each such Parent Permit will continue in full force and effect immediately following the Closing.",permits
"Permits. The Company and each of its subsidiaries is in possession of all franchises, grants, authorizations, licenses, permits, easements, variances, exemptions, consents, certificates, approvals and orders necessary to own, lease and operate its properties and to carry on its business as it is now being conducted (collectively, the ""Company Permits""), and there is no action pending or, to the knowledge of the Company, threatened regarding suspension or cancellation of any of the Company Permits except for such Company Permits the failure of which to possess, or the cancellation or suspension of which, would not, individually or in the aggregate, have a Material Adverse Effect. To the best of its knowledge neither the Company nor any of its subsidiaries is in material conflict with, or in material default or material violation of, any of the Company Permits.",permits
"Permits. The Company possesses all Permits necessary to conduct its business, and the Company has not received any notice of, or is otherwise involved in any Proceedings relating to, the revocation or modification of any such Permits. All such Permits are valid and in full force and effect and the Company is in full compliance with the respective requirements of all such Permits.",permits
"Permits. (a) Each of the Company and its Subsidiaries has all material Permits; (b) all such Permits are in full force and effect, and each of the Company and its Subsidiaries has fulfilled and performed all material obligations with respect to such Permits; (c) no event has occurred which allows, or after notice of lapse of time would allow, revocation or termination by the issuer thereof or which results in any other material impairment of the rights of the holder of any such Permit; and (d) the Company has no reason to believe that any governmental body or agency is considering limiting, suspending or revoking any such Permit.",permits
