clause_text,clause_type
"Person. Any individual, corporation, partnership, joint venture, association, limited liability company, joint-stock company, trust, unincorporated organization or government, or any agency or political subdivision thereof.",person
"Person. An individual, partnership, corporation, trust or unincorporated organization, or a government or agency or political subdivision thereof. Prospectus: The prospectus included in a Registration Statement, as amended or supplemented by any prospectus supplement and by all other amendments thereto, including post-effective amendments, and all material incorporated by reference into such Prospectus.",person
"Person. Any individual, corporation, partnership, limited liability company, joint venture, association, joint-stock company, trust, unincorporated organization, government or any agency or political subdivision thereof. PMI Policy: A policy of primary mortgage guaranty insurance issued by a Qualified Insurer, as required by this Agreement with respect to certain Mortgage Loans.",person
"Person. “Person” shall mean any individual, Entity or Governmental Body.",person
"Person. Any legal person, including any individual, corporation, partnership, joint venture, association, joint stock company, trust, unincorporated organization or government or any agency or political subdivision thereof.",person
"Person. Person"" means an individual, a partnership, a corporation, a limited liability company, an association, a joint stock company, a trust, a joint venture, an unincorporated organization and a governmental entity or any department, agency or political subdivision thereof.",person
"Person. Any individual, corporation, partnership, trust, unincorporated association, business, or other legal entity, and any government or any governmental agency or political subdivision thereof.",person
"Person. An individual, trustee, corporation, partnership, limited liability company, joint stock company, trust, unincorporated association, union, business association, firm, government or agency or political subdivision thereof, or other legal entity. Private Exchange: See Section 2(f). Private Exchange Notes: See Section 2(f). Prospectus: The prospectus included in any Registration Statement (including, without limitation, a prospectus that discloses information previously omitted from a prospectus filed as part of an effective registration statement in reliance upon Rule 430A promulgated under the Securities Act), as amended or supplemented by any prospectus supplement, with respect to the terms of the offering of any portion of the Registrable Notes covered by such Registration Statement, and all other amendments and supplements to the Prospectus, including post-effective amendments, and all material incorporated by reference or deemed to be incorporated by reference in such Prospectus. Purchase Agreement: See the introductory paragraph to this Agreement.",person
Person. The term “,person
"Person. An individual, trustee, corporation, partnership, limited liability company, joint stock company, trust, unincorporated association, union, business association, firm or other legal entity.",person
"Person. The term """,person
"Person. An individual, corporation, partnership, estate, trust (including a trust qualified under Section 401(a) or 501(c) (17) of the Code), a portion of a trust permanently set aside for or to be used exclusively for the purposes described in Section 642(c) of the Code, association, private foundation within the meaning of Section 509(a) of the Code, joint stock company or other entity, or any government or any agency or political subdivision thereof, and also includes a group as that term is used for purposes of Section 13(d)(3) of the Securities Exchange Act of 1934, as amended.",person
"Person. The term “Person” shall mean any individual, corporation, partnership, limited liability company, trust, joint stock company, business trust, unincorporated association, joint venture, governmental authority or other entity of any nature whatsoever.",person
"Person. Any individual, corporation, limited liability company, partnership, joint venture, association, joint-stock company, trust, unincorporated organization or government or any agency or political subdivision thereof. Pledged Amount: With respect to any Pledged Asset Loan, the amount of money remitted to Combined Collateral LLC, at the direction of or for the benefit of the related Mortgagor. Pledged Asset Loan: Any Mortgage Loan supported by Pledged Assets or such other collateral, other than the related Mortgaged Property, set forth in the Series Supplement.",person
"Person. Any individual, corporation, partnership, joint venture, association, joint-stock company, trust, unincorporated organization or government or any agency or political subdivision thereof. Plan: As defined in Section 5.02(c). PO Fraction: With respect to any Discount Mortgage Loan, the difference between 1.0 and the Non-PO Fraction for such Mortgage Loan; with respect to any other Mortgage Loan, zero. Pool Balance (Non-PO Portion): As of any Distribution Date, the sum of the amounts for each Mortgage Loan that is an Outstanding Mortgage Loan of the product of (i) the Non-PO Fraction for such Mortgage Loan and (ii) the Scheduled Principal Balance of such Mortgage Loan. Pool Balance (PO Portion): As of any Distribution Date, the sum of the amounts for each Mortgage Loan that is an Outstanding Mortgage Loan of the product of (i) the PO Fraction for such Mortgage Loan and (ii) the Scheduled Principal Balance of such Mortgage Loan. Pool Distribution Amount: As of any Distribution Date, the funds eligible for distribution to the Holders of the Certificates on such Distribution Date, which shall be the sum of (i) all previously undistributed payments or other receipts on account of principal and interest on or in respect of the Mortgage Loans (including, without limitation, the proceeds of any repurchase of a Mortgage Loan by the Seller and any Substitution Principal Amount) received by the Master Servicer with respect to the applicable Remittance Date in the month of such Distribution Date and any Unscheduled Principal Receipts received by the Master Servicer on or prior to the Business Day preceding such Distribution Date, (ii) all Periodic Advances made by a Servicer pursuant to the related Servicing Agreement or Periodic Advances made by the Master Servicer or the Trustee pursuant to Section 3.03 and (iii) all other amounts required to be placed in the Certificate Account by the Servicer on or before the applicable Remittance Date or by the Master Servicer or the Trustee on or prior to the Distribution Date, but excluding the following:",person
"Person. An individual, corporation, partnership, trust, joint venture, limited liability company or other entity.",person
"Person. Any individual, corporation, partnership, limited liability company, joint venture, association, joint-stock company, trust, unincorporated organization, government or any agency or political subdivision thereof. PMI Policy: A policy of primary mortgage guaranty insurance issued by an insurer acceptable under the Underwriting Guidelines and qualified to do business in the jurisdiction where the Mortgaged Property is located.",person
"Person. The term “Person” shall mean any individual, firm, partnership, corporation or other entity, including any successor (by merger or otherwise) of such entity, or a group of any of the foregoing acting in concert.",person
"Person. Any individual, corporation, partnership, joint venture, association, joint-stock company, limited liability company, trust, unincorporated organization or government or any agency or political subdivision thereof. Plan: An employee benefit plan or other retirement arrangement which is subject to Section 406 of ERISA and/or Section 4975 of the Code or any entity whose underlying assets include such plan’s or arrangement’s assets by reason of their investment in the entity.",person
"Person. An individual, corporation, business trust, estate, trust, partnership, limited liability company or other legal entity.",person
"Person. Any individual, corporation, partnership, joint venture, association, joint-stock company, trust, unincorporated organization or government or any agency or political subdivision thereof. Plan: As defined in Section 5.02(c).",person
"Person. Any individual, corporation, partnership, limited liability company, joint venture, association, joint-stock company, trust, unincorporated organization, government or any agency or political subdivision thereof. PMI Insurer: Any Qualified Insurer issuing a PMI Policy with respect to the Mortgage Loans. PMI Policy: A policy of primary mortgage guaranty insurance including all endorsements thereto issued by a Qualified Insurer, as required by this Agreement or the Trust Agreement with respect to certain Mortgage Loans whether acquired by the Mortgagor, the lender or the Seller on behalf of the Trust Fund.",person
"Person. Any legal person, including any individual, corporation, partnership, joint venture, association, joint stock company, trust, unincorporated organization or government or any agency or political subdivision thereof. Principal Distribution Amount: With respect to a particular calendar month, an amount equal to the sum of (i) the Cash Flow Distribution Amount for such calendar month and (ii) the Aggregate Accrual Amount for such calendar month, if any. Prospectus: The Prospectus dated September 18, 1998 relating to the Fannie Mae Guaranteed REMIC Pass Through Certificates. Prospectus Supplement: The Prospectus Supplement dated May 9, 2000 relating to the Guaranteed REMIC Pass Through Certificates, Fannie Mae REMIC Trust 2000-19. Rating Agency: Either Standard & Poor’s Ratings Services or Moody’s Investors Service, Inc. and their respective successors in interest.",person
"Person. Any individual, corporation, limited liability company, partnership, joint venture, association, joint stock company, trust, unincorporated organization, government or any agency or political subdivision thereof or any other entity. Prospectus: The prospectus included in a Registration Statement, as amended or supplemented by any prospectus supplement and by all other amendments thereto, including post-effective amendments, and all material incorporated by reference into such Prospectus.",person
"Person. An individual, partnership, corporation, limited liability company, unincorporated association, trust or joint venture, or a governmental agency or political subdivision thereof. Prospectus: The prospectus included in any Registration Statement (including, without limitation, any prospectus subject to completion and a prospectus that includes any information previously omitted from a prospectus filed as part of an effective registration statement in reliance upon Rule 430A promulgated under the Securities Act), as amended or supplemented by any prospectus supplement, and all other amendments and supplements to the Prospectus, including post-effective amendments, and all material incorporated by reference or deemed to be incorporated by reference in such Prospectus.",person
