clause_text,clause_type
"Position and Duties. (i) During the Employment Period, (A) the Executive's position (including status, offices, titles and reporting requirements), authority, duties and responsibilities shall be at least commensurate in all material respects with the most significant of those held, exercised and assigned at any time during the 120-day period immediately preceding the Effective Date and (B) the Executive's services shall be performed at the location where the Executive was employed immediately preceding the Effective Date or any office or location less than 35 miles from such location.",position-and-duties
"Position and Duties. During the Period of Employment, Executive shall serve as an Executive Vice President of the Company, shall have supervision and control over and responsibility for the day-to-day business and affairs of those functions and operations of the Company and shall have such other powers and duties as may from time to time be prescribed by the Chairman of the Board of the Company (the ""Chairman"") or the Chief Executive Officer of the Company (the ""CEO"") or other executive authorized by the Chairman or CEO, provided that such duties are consistent with Executive's position or other positions that he may hold from time to time. Executive shall devote his full working time and efforts to the business and affairs of the Company. Notwithstanding the foregoing, Executive may serve on other boards of directors, with the approval of the Chairman or CEO, or engage in religious, charitable or other community activities as long as such services and activities are disclosed to the Chairman or CEO and do not materially interfere with Executive's performance of his duties to the Company as provided in this Agreement.",position-and-duties
"Position and Duties. The Executive shall serve as the Chief Financial Officer of the Company and shall have such powers and duties as may from time to time be prescribed by the Chief Executive Officer (the “CEO”) or other duly authorized executive. The Executive shall devote the Executive’s full working time and efforts to the business and affairs of the Company. Notwithstanding the foregoing, the Executive may serve on other boards of directors, with the approval of the Board of Directors of the Company (the “Board”), or engage in religious, charitable or other community activities as long as such services and activities do not interfere with the Executive’s performance of the Executive’s duties to the Company.",position-and-duties
"Position and Duties. The Executive shall serve as a Co-Founder and Managing Director of the Company with such customary responsibilities, duties and authority as the Chief Executive Officer may from time to time assign to the Executive. Except as the Company otherwise approves in writing, the Executive shall devote his full business time and efforts to the business and affairs of the Company (which may include service to the Company’s affiliates) and, during the Employment Period, shall not undertake any additional activities without the advance approval of the Company; provided it is understood that (i) the Executive may manage the Executive’s personal investments, (ii) the Executive may continue to serve as a member of any board of directors or in any similar position of any charitable organization subject to the prior approval of the Company (which shall not be unreasonably withheld); provided in each case, and in the aggregate, that such activities do not conflict or materially interfere with the performance of Executive’s duties hereunder or conflict with Section 3 of this Agreement. The Executive agrees to observe and comply with the rules and policies of the Company as adopted by the Company from time to time.",position-and-duties
"Position and Duties. During the Employment Period, Executive shall serve as CEO and shall report directly to the Board of Directors of the Company (the “Board”). Executive shall have those powers and duties normally associated with the position of CEO of entities comparable to the Employer and such other powers and duties as may be prescribed by the Board; provided that, such other powers and duties are consistent with Executive’s position as CEO and do not violate any applicable laws or regulations. Executive shall perform his duties to the best of his abilities and shall devote all of his working time, attention and energies to the performance of his duties for the Employer. During the Employment Period, it is anticipated that Executive shall also serve as a member of the Board for no additional compensation, subject to his continued election to serve on the Board by the Company’s shareholders. If requested by the Board, Executive shall also serve as an officer and/or director of other subsidiaries or affiliates of the Employer for no additional compensation.",position-and-duties
"Position and Duties. During the Employment Period, the Executive's status, offices, titles, and reporting requirements with the Company or its Affiliated Companies or both, as the case may be, shall be commensurate with those in effect during the 90-day period immediately preceding the Effective Date. The duties and responsibilities assigned to the Executive may be increased, decreased or otherwise changed during the Employment Period, provided that the duties and responsibilities assigned to the Executive at any given time are not materially inconsistent with the Executive's status, offices, titles, and reporting requirements as in effect during the 90-day period immediately preceding the Effective Date. The Executive's services shall be performed at the location where the Executive was employed immediately preceding the Effective Date or any location less than 20 miles from such location, although the Executive understands and agrees that he may be required to travel from time to time for business purposes. During the Employment Period, and excluding any periods of vacation and sick leave to which the Executive is entitled, the Executive agrees to devote substantially all of his time and attention during normal business hours to the business and affairs of the Company and its Affiliated Companies and to use his reasonable best efforts to perform faithfully and efficiently the duties and responsibilities assigned to him hereunder. During the Employment Period it shall not be a violation of this Agreement for the Executive to serve on corporate, civic or charitable boards or committees, deliver lectures, fulfill speaking engagements or teach at educational institutions and devote reasonable amounts of time to the management of his and his family's personal investments and affairs, so long as such activities do not significantly interfere with the performance of the Executive's responsibilities as an employee of the Company or its Affiliated Companies in accordance with this Agreement. It is expressly understood and agreed that to the extent that any such activities have been conducted by the Executive prior to the Effective Date, the reinstatement or continued conduct of such activities (or the reinstatement or conduct of activities similar in nature and scope thereto) subsequent to the Effective Date shall not thereafter be deemed to interfere with the performance of the Executive's responsibilities to the Company and its Affiliated Companies.",position-and-duties
"Position and Duties. During the Employment Period, the Executive shall continue to be employed as the President and Chief Executive Officer of the Company, and the Company shall cause the Executive to be elected as a member of the Board. During the Employment Period, the Executive shall have authority to make operating decisions, plan the strategic direction of the Company, and hire, promote, and terminate the employment of personnel, subject to the direction of the Board. During the Employment Period, the Executive shall have such reasonable and customary powers as are generally associated with the positions of President and Chief Executive Officer. During the Employment Period, the Executive shall devote his principal attention and time to the business and affairs of the Company and use his reasonable efforts to carry out such responsibilities faithfully and efficiently. It shall not be considered a violation of the foregoing for the Executive to serve on corporate, civic or charitable boards of directors or committees thereof (excluding those which would create a conflict of interest) and manage his personal investments, so long as such activities do not materially interfere with the performance of the Executive's responsibilities as an employee of the Company in accordance with this Agreement.",position-and-duties
"Position and Duties. (i) During the Employment Period, the Executive shall serve as Chairman and President of the Company and shall perform such employment duties as are usual and customary for such positions. At the Company's request, the Executive shall serve the Company and/or its subsidiaries and affiliates in other offices and capacities in addition to the foregoing. In the event that the Executive, during the Employment Period, serves in any one or more of such additional capacities, the Executive's compensation shall not be increased beyond that specified in Section 2(b) of this Agreement. In addition, in the event the Executive's service in one or more of such additional capacities is terminated, the Executive's compensation, as specified in Section 2(b) of this Agreement, shall not be diminished or reduced in any manner as a result of such termination for so long as the Executive otherwise remains employed under the terms of this Agreement.",position-and-duties
"Position and Duties. During the Term, the Company shall employ the Executive as the Executive Vice President and General Counsel of the Company, or in such other positions as the parties mutually agree. The Executive shall have such powers and duties and responsibilities as are customary to such position and as are assigned to the Executive by the Board of Directors or the Chief Executive Officer and President of the Company in connection with the Executive’s service as chief legal officer of the Company. The Executive’s employment shall also be subject to the policies maintained and established by the Company that are of general applicability to the Company’s employees, as such policies may be amended from time to time.",position-and-duties
"Position and Duties. Executive shall assume the responsibilities and perform the duties of President and Chief Operating Officer of the Company. The Executive shall also serve in such similar capacities as may be assigned to him in good faith from time to time by the Board of Directors of the Company (the ""Board""). Executive agrees to devote substantially all of his business time, attention, skill and best efforts to the diligent performance of his duties hereunder and shall be loyal to the Company and its affiliates and subsidiaries, and use his best efforts to further their interests. The Executive shall be responsible for the day to day nationwide general management, administration and operation of all present and future business of the Company, including, without limitation, those operations set forth in the By-laws of the Company. The actions of the Executive shall be subject to review only by the Board. In the event that the Executive shall deem it necessary to consult the entire Board regarding the performance of his duties, the Executive shall report directly to the Board and shall not be required to seek the approval of any other officer or individual director to do so. In the performance of his duties, Executive agrees to abide by and comply with all policies, practices, handbooks, procedures and guidelines which are now in effect or which the Company may adopt, modify, supplement or change from time to time.",position-and-duties
