clause_text,clause_type
"Power and Authority. The Servicer has the corporate power and authority to execute and deliver this Agreement and to carry out its terms; and the execution, delivery and performance of this Agreement have been duly authorized by the Servicer by all necessary corporate action.",power-and-authority
"Power and Authority. The Depositor has the corporate power and authority to execute and deliver this Agreement and to carry out its terms; the Depositor has full power and authority to sell and assign the property to be sold and assigned to and deposited with the Trust and the Depositor has duly authorized such sale and assignment and deposit to the Trust by all necessary action; and the execution, delivery and performance of this Agreement has been duly authorized by the Depositor by all necessary action.",power-and-authority
"Power and Authority. It has the power to enter into, perform and deliver, and has taken all necessary action to authorise its entry into, performance and delivery of, the Finance Documents to which it is a party and the transactions contemplated by those Finance Documents.",power-and-authority
"Power and Authority. Seller has the power and authority to execute and deliver this Agreement and its Related Documents and to carry out its terms and their terms, respectively; Seller has full power and authority to sell and assign the Receivables and the Other Conveyed Property to be sold and assigned to and deposited with Purchaser hereunder and has duly authorized such sale and assignment to Purchaser by all necessary corporate action; and the execution, delivery and performance of this Agreement and Seller’s Related Documents have been duly authorized by Seller by all necessary corporate action.",power-and-authority
"Power and Authority. The Depositor has the power and authority to execute and deliver the Basic Documents to which it is a party and to carry out their terms, the Depositor had at all relevant times, and now has, power, authority and legal right to acquire and own the Receivables and has full power and authority to sell and assign the property to be sold and assigned to and deposited with the Issuing Entity as part of the Owner Trust Estate and has duly authorized such sale and assignment to the Issuing Entity by all necessary limited liability company action; and the execution, delivery and performance of the Basic Documents to which it is a party have been duly authorized by the Depositor by all necessary limited liability company action;",power-and-authority
"Power and Authority. The Seller has the power and authority to execute and deliver this Agreement and the other Basic Documents to which it is a party and to carry out their respective terms; the Seller had at all relevant times, and has, full power, authority and legal right to sell, transfer and assign the property sold, transferred and assigned to the Depositor hereby and has duly authorized such sale, transfer and assignment to the Depositor by all necessary corporate action; and the execution, delivery and performance of this Agreement and the other Basic Documents to which the Seller is a party have been duly authorized by the Seller by all necessary corporate action.",power-and-authority
"Power and Authority. The Servicer has the power and authority to execute, deliver and perform its obligations under this Agreement and the other Transaction Documents to which it is a party, and the execution, delivery and performance of this Agreement and the other Transaction Documents to which the Servicer is a party have been duly authorized by the Servicer by all necessary action.",power-and-authority
"Power and Authority. The Lender has the power and authority to execute and deliver this Agreement, and all other Program Documents to which it is a party, and to carry out their respective terms; and the execution, delivery and performance of this Agreement and all other Program Documents to which it is a party have been or will be duly authorized by the Lender by all necessary action.",power-and-authority
"Power and Authority. Purchaser has the power, authority and legal right to execute and deliver this Agreement and to carry out the terms hereof and to acquire the Receivables and the Other Conveyed Property hereunder; and the execution, delivery and performance of this Agreement and all of the documents required pursuant hereto have been duly authorized by Purchaser by all necessary corporate action.",power-and-authority
"Power and Authority. Each Loan Party has full power to enter into, execute, deliver and carry out this Agreement and the other Loan Documents to which it is a party, to incur the Indebtedness contemplated by the Loan Documents and to perform its Obligations under the Loan Documents to which it is a party, and all such actions have been duly authorized by all necessary proceedings on its part.",power-and-authority
"Power and Authority. Each Obligor is duly authorized to execute, deliver and perform its Loan Documents. The execution, delivery and performance of the Loan Documents have been duly authorized by all necessary action, and do not (a) require any consent or approval of any holders of Equity Interests of any Obligor, other than those already obtained; (b) contravene the Organic Documents of any Obligor; (c) violate or cause a default under any Applicable Law or Material Contract; or (d) result in or require the imposition of any Lien (other than Permitted Liens) on any Property of any Obligor.",power-and-authority
"Power and Authority. Each Credit Party thereof has the corporate, partnership, limited liability company or unlimited liability company power and authority, as the case may be, to execute, deliver and perform the terms and provisions of each of the Credit Documents to which it is party and has taken all necessary corporate, partnership, limited liability company or unlimited liability company action, as the case may be, to authorize the execution, delivery and performance by it of each of such Credit Documents. Each Credit Party thereof has duly executed and delivered each of the Credit Documents to which it is party, and each of such Credit Documents constitutes its legal, valid and binding obligation enforceable in accordance with its terms, except to the extent that the enforceability thereof may be limited by applicable bankruptcy, insolvency, reorganization, moratorium or other similar laws generally affecting creditors’ rights and by equitable principles (regardless of whether enforcement is sought in equity or at law).",power-and-authority
"Power and Authority. The Purchaser shall have the power and authority to execute and deliver this Agreement and to carry out its terms; the Purchaser shall have full power and authority to purchase the property to be purchased and shall have duly authorized such purchase; and the execution, delivery and performance of this Agreement shall have been duly authorized by the Purchaser by all necessary action.",power-and-authority
"Power and Authority. To facilitate the Advisor's performance of these undertakings, but subject to the restrictions contained herein, the Company hereby delegates to the Advisor, and the Advisor hereby accepts, the power and authority to act on behalf of the Company to effectuate investment decisions for the Company, including the execution and delivery of all documents relating to the Company's investments and the placing of orders for other purchase or sale transactions on behalf of the Company. In the event that the Company determines to acquire debt financing or another form of borrowing, the Advisor shall use commercially reasonable efforts to arrange or assist in arranging for such financing or borrowing on the Company's behalf, subject to the oversight and approval of the Board of Trustees. In the event that the Company determines that it is necessary to make investments on behalf of the Company through a subsidiary (each, a ""Subsidiary""), the Advisor shall have the authority to (i) create, or arrange for the creation of, such Subsidiary, (ii) manage the Subsidiary and its investments, and, to the extent necessary, enter into a separate investment advisory agreement with such Subsidiary, (iii) create, or arrange for the creation, of special purpose vehicles through which the Subsidiary may invest and (iv) take any other actions with respect the Subsidiary that the Advisor deems, in its sole discretion, appropriate. If it is necessary for the Advisor to make investments on behalf of the Company through a special purpose vehicle, either directly or through a Subsidiary, the Advisor shall have authority to create, or arrange for the creation of, such special purpose vehicle and to make investments through such special purpose vehicle in accordance with applicable law. The Company also grants to the Advisor power and authority to engage in all activities and transactions (and anything incidental thereto) that the Advisor deems, in its sole discretion, appropriate, reasonably necessary or advisable to carry out its duties pursuant to this Agreement.",power-and-authority
"Power and Authority. The Servicer has the power and authority to execute and deliver this Agreement and to carry out its terms; and the execution, delivery and performance of this Agreement have been duly authorized by the Servicer by all necessary action. No registration with or approval of any governmental agency is required for the due execution and delivery by, and enforceability against, the Servicer of this Agreement.",power-and-authority
"Power and Authority. The Borrower has the partnership power and authority to execute, deliver and carry out the terms and provisions of each of the Loan Documents to which it is a party and has taken all necessary partnership action, if any, to authorize the execution and delivery on behalf of the Borrower and the performance by the Borrower of such Loan Documents. The Borrower and EOPT each have duly executed and delivered each Loan Document to which it is a party in accordance with the terms of this Agreement, and each such Loan Document constitutes the legal, valid and binding obligation of the Borrower and EOPT, enforceable in accordance with its terms, except as enforceability may be limited by applicable insolvency, bankruptcy or other laws affecting creditors rights generally, or general principles of equity, whether such enforceability is considered in a proceeding in equity or at law. EOPT has the power and authority to execute, deliver and carry out the terms and provisions of each of the Loan Documents to which it is a party and has taken all necessary action to authorize the execution, delivery and performance of such Loan Documents. EOPT has the power and authority to execute, deliver and carry out the terms and provisions of each of the Loan Documents on behalf of the Borrower to which the Borrower is a party and has taken all necessary action to authorize the execution and delivery on behalf of the Borrower and the performance by the Borrower of such Loan Documents.",power-and-authority
"Power and Authority. Purchaser has full power, authority and legal right to execute, deliver and perform this Agreement and has taken all necessary action to authorize the execution, delivery and performance by it of this Agreement.",power-and-authority
"Power and Authority. All acts required to be taken by the Shareholder to enter into this Agreement and to carry out the Transactions have been properly taken. This Agreement constitutes a legal, valid and binding obligation of the Shareholder, enforceable against such Shareholder in accordance with the terms hereof.",power-and-authority
"Power and Authority. Ally Auto has the power and authority to execute and deliver this Agreement and the First Step Receivables Assignment and to carry out its terms; Ally Auto had at all relevant times, and now has, power, authority and legal right to acquire and own the Receivables and the execution, delivery and performance of this Agreement and the First Step Receivables Assignment have been duly authorized by Ally Auto by all necessary limited liability company action;",power-and-authority
"Power and Authority. It has the power to enter into, perform and deliver, and has taken all necessary action to authorise its entry into, performance and delivery of, this Agreement and the transactions contemplated by this Agreement.",power-and-authority
"Power and Authority. Each of the Seller and the Depositor have all necessary corporate power and authority to conduct its business as currently conducted and, as described in the Offering Document, to execute, deliver and perform its obligations under the Transaction Documents and to consummate the Transaction.",power-and-authority
"Power and Authority. It has all requisite power and authority to enter into this Agreement, to perform its obligations hereunder and to consummate the transactions contemplated hereby. Such Seller is authorized to do business in, and is in good standing under, the state in which the Property such Seller owns or leases pursuant to Schedule A attached hereto is located. The execution, delivery and performance of this Agreement and the consummation of the transactions provided for in this Agreement have been duly authorized by all necessary action on its part. This Agreement has been duly executed and delivered by it and constitutes its legal, valid and binding obligation, enforceable against it in accordance with its terms, except as such enforceability may be limited by bankruptcy, insolvency, reorganization, moratorium or other laws affecting creditors’ rights and by general principles of equity (whether applied in a proceeding at law or in equity).",power-and-authority
"Power and Authority. Each of the Company and Crown has the requisite power and authority, and has taken all required action necessary, to execute, deliver and perform this Agreement and the Company Stockholders Agreement. None of the execution, delivery and performance of this Agreement or the Company Stockholders Agreement by the Company nor the consummation by the Company or Crown of any transaction related hereto or thereto, nor the issuance or delivery of the Common Stock will (i) violate any provision of the By-laws, Certificate of Incorporation or other organizational document of the Company or Crown or any of Crown's Subsidiaries, (ii) result in the breach of or constitute a default under any contract, lease, license, franchise, permit, indenture, mortgage, deed of trust, note, agreement or other instrument to which the Company or Crown, or any of Crown's Subsidiaries is a party or by which any of them is bound, (iii) result in the creation or imposition of any material, claim or Encumbrance on any asset of Crown or any of its Subsidiaries, (iv) to the knowledge of the Company or Crown, give any Person rights to terminate any contracts or agreements of Crown or any of its Subsidiaries or otherwise to exercise rights against Crown or any of its Subsidiaries or (v) violate any Law or Order applicable to or bearing upon the Company or Crown or any of Crown's Subsidiaries or any of their assets or businesses except, in the case of each of clauses (ii), (iii), (iv) or (v) for such violations, breaches, defaults, rights and impairments that could not reasonably be expected to have a Material Adverse Effect on Crown.",power-and-authority
"Power and Authority. The Guarantor has full power and authority to execute and deliver this Agreement and the other Financing Documents to which it is a party and to incur and perform the Obligations whether under this Agreement, the other Financing Documents or otherwise, all of which have been duly authorized by all proper and necessary action. No consent or approval of shareholders, members, or any creditors of the Guarantor, and no consent, approval, filing or registration with or notice to any Governmental Authority on the part of the Guarantor, is required as a condition to the execution, delivery, validity or enforceability of this Agreement or the other Financing Documents or the performance by the Guarantor of the Obligations.",power-and-authority
"Power and Authority. The Buyer has the power and authority to execute, deliver, and perform this Agreement and the other agreements and instruments to be executed and delivered by it in connection with the transactions contemplated hereby, and the Buyer has taken all necessary action to authorize the execution and delivery of this Agreement and such other agreements and instruments and the consummation of the transactions contemplated hereby. This Agreement is, and, when such other agreements and instruments are executed and delivered, the other agreements and instruments to be executed and delivered by the Buyer in connection with the transactions contemplated hereby shall be, the valid and legally binding obligations of the Buyer, enforceable in accordance with their respective terms.",power-and-authority
"Power and Authority. CNHICA has the power and authority to execute and deliver this Agreement and to carry out its terms; CNHICA has full power and authority to sell and assign the property to be sold and assigned to CNHCR hereby and has duly authorized such sale and assignment to CNHCR by all necessary limited liability company action; and the execution, delivery and performance of this Agreement have been duly authorized by CNHICA by all necessary limited liability company action.",power-and-authority
"Power and Authority. The Seller shall have (i) the power and authority to execute and deliver this Agreement and to carry out its terms, (ii) full power and authority to sell and assign the property to be sold and assigned to and deposited as part of the Trust Estate (other than the funds and investment property on deposit from time to time in the Reserve Account), (iii) duly authorized such sale and assignment to the Issuer, the Owner Trustee or the Indenture Trustee, as the case may be, and (iv) duly authorized by all necessary action the execution, delivery and performance of this Agreement.",power-and-authority
"Power and Authority. Buyer has all requisite power and authority to execute, deliver, and perform this Agreement and each other agreement, instrument, or document executed or to be executed by Buyer in connection with the transactions contemplated hereby to which it is a party and to consummate the transactions contemplated hereby and thereby. The execution, delivery, and performance by Buyer of this Agreement and each other agreement, instrument, or document executed or to be executed by Buyer in connection with the transactions contemplated hereby to which it is a party, and the consummation by it of the transactions contemplated hereby and thereby, have been duly authorized by all necessary action of Buyer.",power-and-authority
"Power and Authority. The Seller has the requisite corporate or other power and authority to execute and deliver this Agreement and to carry out its terms; and the execution, delivery and performance of this Agreement have been duly authorized by all necessary action on the part of the Seller under its organizational or governing documents and laws.",power-and-authority
"Power and Authority. Purchaser has the requisite power and authority to enter into, execute and deliver this Agreement and to perform its obligations hereunder and has taken all necessary action required for the due authorization, execution, delivery and performance by it of this Agreement.",power-and-authority
"Power and Authority. Seller has the requisite corporate power and authority to execute and deliver this Agreement and all other agreements contemplated by this Agreement (including, without limitation, the Note and the Registration Rights Agreement) and to perform its obligations hereunder and thereunder. The execution, delivery and performance of this Agreement and all other agreements contemplated by this Agreement have been duly authorized by all necessary corporate action on the part of Seller. This Agreement has been duly executed and delivered by Seller and is the valid and binding obligation of Seller, enforceable against Seller in accordance with its terms, except as such enforceability may be limited by applicable bankruptcy, moratorium, insolvency, reorganization or other similar laws now or hereafter in effect generally affecting the enforcement of creditors' rights, specific performance, injunctive or other equitable remedies. When executed and delivered by Seller at the Closing, each of the Note and the Registration Rights Agreement will be the valid and binding obligation of Seller, enforceable against Seller in accordance with its terms, except as such enforceability may be limited by bankruptcy, moratorium, insolvency, reorganization or other similar laws now or hereafter in effect generally affecting the enforcement of creditors' rights, specific performance, injunctive or other equitable remedies.",power-and-authority
"Power and Authority. The Fund has full power and authority to enter into this Agreement and the Fund Agreements; the execution and delivery of, and the performance by the Fund of its obligations under this Agreement and the Fund Agreements have been duly and validly authorized by the Fund; and this Agreement and the Fund Agreements have been duly executed and delivered by the Fund and constitute the valid and legally binding agreements of the Fund, enforceable against the Fund in accordance with their terms, except as rights to indemnity and contribution may be limited by federal or state securities laws and subject to the qualification that the enforceability of the Fund’s obligations hereunder and thereunder may be limited by bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance and other laws relating to or affecting creditors’ rights generally and by general equitable principles.",power-and-authority
