clause_text,clause_type
"Power of Attorney. Borrower hereby irrevocably appoints Bank as its lawful attorney-in-fact, exercisable upon the occurrence and during the continuance of an Event of Default, to: (a) endorse Borrower’s name on any checks or other forms of payment or security; (b) sign Borrower’s name on any invoice or bill of lading for any Account or drafts against Account Debtors; (c) settle and adjust disputes and claims about the Accounts directly with Account Debtors, for amounts and on terms Bank determines reasonable; (d) make, settle, and adjust all claims under Borrower’s insurance policies; (e) pay, contest or settle any Lien, charge, encumbrance, security interest, and adverse claim in or to the Collateral, or any judgment based thereon, or otherwise take any action to terminate or discharge the same; and (f) transfer the Collateral into the name of Bank or a third party as the Code permits. Borrower hereby appoints Bank as its lawful attorney-in-fact to sign Borrower’s name on any documents necessary to perfect or continue the perfection of Bank’s security interest in the Collateral regardless of whether an Event of Default has occurred until all Obligations have been satisfied in full and Bank is under no further obligation to make Credit Extensions hereunder. Bank’s foregoing appointment as Borrower’s attorney in fact, and all of Bank’s rights and powers, coupled with an interest, are irrevocable until all Obligations have been fully repaid and performed and Bank’s obligation to provide Credit Extensions terminates.",power-of-attorney
"Power of Attorney. (a) Each Limited Partner and each Assignee hereby constitutes and appoints the General Partner and, if a Liquidator shall have been selected pursuant to Section 12.3, the Liquidator (and any successor to the Liquidator by merger, transfer, assignment, election or otherwise) and each of their authorized officers and attorneys-in-fact, as the case may be, with full power of substitution, as his true and lawful agent and attorney-in-fact, with full power and authority in his name, place and stead, to:",power-of-attorney
"Power of Attorney. A. Each Limited Partner and each Assignee constitutes and appoints the General Partner, any Liquidator, and authorized officers and attorneys-in-fact of each, and each of those acting singly, in each case with full power of substitution, as its true and lawful agent and attorney-in-fact, with full power and authority in its name, place and stead to:",power-of-attorney
"Power of Attorney. In addition to other powers of attorney contained herein, each Obligor hereby designates and appoints the Administrative Agent, on behalf of the holders of the Secured Obligations, and each of its designees or agents, as attorney-in-fact of such Obligor, irrevocably and with power of substitution, with authority to take any or all of the following actions upon the occurrence and during the continuance of an Event of Default:",power-of-attorney
"Power of Attorney. Effective only upon the occurrence and during the continuance of an Event of Default, Borrower hereby irrevocably appoints Bank (and any of Bank’s designated officers, or employees) as Borrower’s true and lawful attorney to: (a) send requests for verification of Accounts or notify account debtors of Bank’s security interest in the Accounts; (b) endorse Borrower’s name on any checks or other forms of payment or security that may come into Bank’s possession; (c) sign Borrower’s name on any invoice or bill of lading relating to any Account, drafts against account debtors, schedules and assignments of Accounts, verifications of Accounts, and notices to account debtors; (d) dispose of any Collateral; (e) make, settle, and adjust all claims under and decisions with respect to Borrower’s policies of insurance; (f) settle and adjust disputes and claims respecting the accounts directly with account debtors, for amounts and upon terms which Bank determines to be reasonable; and (g) file, in its sole discretion, one or more financing or continuation statements and amendments thereto, relative to any of the Collateral; provided Bank may exercise such power of attorney to sign the name of Borrower on any of the documents described in clause (g) above, regardless of whether an Event of Default has occurred. The appointment of Bank as Borrower’s attorney in fact, and each and every one of Bank’s rights and powers, being coupled with an interest, is irrevocable until all of the Obligations have been fully repaid and performed and Bank’s obligation to provide advances hereunder is terminated.",power-of-attorney
"Power of Attorney. Each Partner does hereby constitute and appoint the General Partner as its true and lawful representative and attorney-in-fact, in its name, place and stead, to make, execute, sign, deliver and file (a) any amendment to the Certificate of Limited Partnership required because of an amendment to this Agreement or in order to effectuate any change in the partners of the Partnership, (b) all such other instruments, documents and certificates which may from time to time be required by the laws of the United States of America, the State of Delaware or any other jurisdiction, or any political subdivision or agency thereof, to effectuate, implement and continue the valid and subsisting existence of the Partnership or to dissolve the Partnership or for any other purpose consistent with this Agreement and the transactions contemplated hereby. The power of attorney granted hereby is coupled with an interest and shall (i) survive and not be affected by the subsequent death, incapacity, Disability, dissolution, termination or bankruptcy of the Partner granting the same or the Transfer of all or any portion of such Partner’s Interest and (ii) extend to such Partner’s successors, assigns and legal representatives.",power-of-attorney
"Power of Attorney. Each Limited Partner hereby irrevocably appoints the General Partner its true and lawful attorney-in-fact, who may act for each Limited Partner and in its name, place and stead, and for its use and benefit, to sign, acknowledge, swear to, deliver, file or record, at the appropriate public offices, any and all documents, certificates, and instruments as may be deemed necessary or desirable by the General Partner to carry out fully the provisions of this Agreement and the Act in accordance with their terms, which power of attorney is coupled with an interest and shall survive the death, dissolution or legal incapacity of the Limited Partner, or the transfer by the Limited Partner of any part or all of its Partnership Interest.",power-of-attorney
"Power of Attorney. Each Borrower hereby irrevocably makes, constitutes, and appoints Agent (and any of Agent's officers, employees, or agents designated by Agent) as such Borrower's true and lawful attorney, with power to (a) if such Borrower refuses to, or fails timely to execute and deliver any of the documents described in Section 4.4, sign the name of such Borrower on any of the documents described in Section 4.4, (b) at any time that an Event of Default has occurred and is continuing, sign such Borrower's name on any invoice or bill of lading relating to the Collateral, drafts against Account Debtors, or notices to Account Debtors, (c) send requests for verification of Accounts, (d) endorse such Borrower's name on any Collection item that may come into the Lender Group's possession, (e) at any time that an Event of Default has occurred and is continuing, make, settle, and adjust all claims under such Borrower's policies of insurance and make all determinations and decisions with respect to such policies of insurance, and (f) at any time that an Event of Default has occurred and is continuing, settle and adjust disputes and claims respecting the Accounts, chattel paper, or General Intangibles directly with Account Debtors, for amounts and upon terms that Agent determines to be reasonable, and Agent may cause to be executed and delivered any documents and releases that Agent determines to be necessary. The appointment of Agent as each Borrower's attorney, and each and every one of its rights and powers, being coupled with an interest, is irrevocable until all of the Obligations have been fully and finally repaid and performed and the Lender Group's obligations to extend credit hereunder are terminated.",power-of-attorney
"Power of Attorney. Borrower hereby irrevocably appoints Bank (and each of Bank’s designated officers or employees) as Borrower’s true and lawful attorney to: (a) after the occurrence and during the continuance of a Event of Default, (i) send requests for verification of Accounts, if any, included in the Collateral, and notify Account Debtors of Bank’s security interests and Liens in such Accounts, if any; (ii) endorse Borrower’s name on any checks or other forms of payment or security relating to the Collateral that may come into Bank’s possession; (iii) sign Borrower’s name on any invoice or bill of lading relating to any Account, drafts against Account Debtors, schedules and assignments of Accounts, verifications of Accounts, and notices to Account Debtors, in each case relating to the Collateral; (iv) dispose of any Collateral; (v) make, settle and adjust all claims under and decisions with respect to Borrower’s policies of insurance; (vi) settle and adjust disputes and claims respecting the Accounts, if any included in the Collateral, directly with Account Debtors, for amounts and upon terms which Bank determines to be reasonable; (vii) transfer all or any part of the Collateral into the name of Bank or a third party to the extent permitted under the Code; (b) file, in its sole discretion, one or more financing or continuation statements and amendments thereto relative to any of the Collateral without the signature of Borrower where permitted by law, (c) to execute and do all such assurances, acts and things which Borrower is required, but fails to do under the covenants and provisions of the Loan Documents; (d) to take any and all such actions as Bank may reasonably determine to be necessary or advisable for the purpose of maintaining, preserving or protecting the Collateral or any of the rights, remedies, powers or privileges of Bank under this Agreement or the other Loan Documents; (e) to modify, in its sole discretion, any intellectual property security agreement entered into between Borrower and Bank without first obtaining Borrower’s approval of or signature to such modification by amending Exhibits A, B, and C, thereof, as appropriate, to include reference to any right, title or interest in any intellectual property acquired by Borrower or to delete any reference to any right, title or interest in any intellectual property in which Borrower no longer has or claims to have any right, title or interest, and (f) to sign Borrower’s name on any documents or Security In...",power-of-attorney
"Power of Attorney. Each Borrower and Guarantor hereby irrevocably designates and appoints Agent (and all persons designated by Agent) as such Borrower’s and Guarantor’s true and lawful attorney-in-fact, and authorizes Agent, in such Borrower’s, Guarantor’s or Agent’s name, to: (a) at any time an Event of Default exists or has occurred and is continuing (i) demand payment on any Collateral, (ii) enforce payment of any of the Collateral by legal proceedings or otherwise, (iii) exercise all of such Borrower’s or Guarantor’s rights and remedies to collect any Collateral, (iv) sell or assign any Collateral upon such terms, for such amount and at such time or times as the Agent deems advisable, (v) settle, adjust, compromise, extend or renew any of the Collateral, (vi) discharge and release any Collateral, (vii) prepare, file and sign such Borrower’s or Guarantor’s name on any proof of claim in bankruptcy or other similar document against an account debtor or other obligor in respect of any Collateral, (viii) notify the post office authorities to change the address for delivery of remittances from account debtors or other obligors in respect of Collateral to an address designated by Agent, and open and dispose of all mail addressed to such Borrower or Guarantor and handle and store all mail relating to the Collateral, (ix) clear Inventory the purchase of which was financed with a Letter of Credit through U.S. Bureau of Customs and Border Protection or foreign export control authorities in such Borrower’s or Guarantor’s name, Agent’s name or the name of Agent’s designee, and to sign and deliver to customs officials powers of attorney in such Borrower’s or Guarantor’s name for such purpose, and to complete in such Borrower’s or Guarantor’s or Agent’s name, any order, sale or transaction, obtain the necessary documents in connection therewith and collect the proceeds thereof, and (x) do all acts and things which are necessary, in Agent’s reasonable determination, to fulfill such Borrower’s or Guarantor’s obligations under this Agreement and the other Loan Documents and (b) at any time a Cash Dominion Event exists to (i) take control in any manner of any item of payment constituting Collateral or otherwise received in or for deposit in the Concentration Accounts and (ii) have access to any lockbox or postal box into which remittances from account debtors or other obligors in respect of Collateral are sent or received if a Cash Dominion Event exists, and (c) at any time to (i) take con...",power-of-attorney
