clause_text,clause_type
"Procedure. If any action is brought against an Underwriter, a Selected Dealer or a Controlling Person in respect of which indemnity may be sought against the Company pursuant to Section 6.1, such Underwriter, such Selected Dealer or Controlling Person, as the case may be, shall promptly notify the Company in writing of the institution of such action and the Company shall assume the defense of such action, including the employment and fees of counsel (subject to the reasonable approval of such Underwriter or such Selected Dealer, as the case may be) and payment of actual expenses. Such Underwriter, such Selected Dealer or Controlling Person shall have the right to employ its or their own counsel in any such case, but the fees and expenses of such counsel shall be at the expense of such Underwriter, such Selected Dealer or Controlling Person unless (i) the employment of such counsel at the expense of the Company shall have been authorized in writing by the Company in connection with the defense of such action, or (ii) the Company shall not have employed counsel to have charge of the defense of such action, or (iii) such indemnified party or parties shall have reasonably concluded that there may be defenses available to it or them which are different from or additional to those available to the Company (in which case the Company shall not have the right to direct the defense of such action on behalf of the indemnified party or parties), in any of which events the reasonable fees and expenses of not more than one additional firm of attorneys selected by such Underwriter (in addition to local counsel), Selected Dealer and/or Controlling Person shall be borne by the Company. Notwithstanding anything to the contrary contained herein, if any Underwriter, Selected Dealer or Controlling Person shall assume the defense of such action as provided above, the Company shall have the right to approve the terms of any settlement of such action which approval shall not be unreasonably withheld.",procedure
"Procedure. Any party that proposes to assert the right to be indemnified under this Section 9 will, promptly after receipt of notice of commencement of any action against such party in respect of which a claim is to be made against an indemnifying party or parties under this Section 9, notify each such indemnifying party of the commencement of such action, enclosing a copy of all papers served, but the omission so to notify such indemnifying party will not relieve the indemnifying party from (i) any liability that it might have to any indemnified party otherwise than under this Section 9 and (ii) any liability that it may have to any indemnified party under the foregoing provision of this Section 9 unless, and only to the extent that, such omission results in the forfeiture of substantive rights or defenses by the indemnifying party. If any such action is brought against any indemnified party and it notifies the indemnifying party of its commencement, the indemnifying party will be entitled to participate in and, to the extent that it elects by delivering written notice to the indemnified party promptly after receiving notice of the commencement of the action from the indemnified party, jointly with any other indemnifying party similarly notified, to assume the defense of the action, with counsel reasonably satisfactory to the indemnified party, and after notice from the indemnifying party to the indemnified party of its election to assume the defense, the indemnifying party will not be liable to the indemnified party for any legal or other expenses except as provided below and except for the reasonable costs of investigation subsequently incurred by the indemnified party in connection with the defense. The indemnified party will have the right to employ its own counsel in any such action, but the fees, expenses and other charges of such counsel will be at the expense of such indemnified party unless (1) the employment of counsel by the indemnified party has been authorized in writing by the indemnifying party, (2) the indemnified party has reasonably concluded (based on advice of counsel) that there may be legal defenses available to it or other indemnified parties that are different from or in addition to those available to the indemnifying party, (3) a conflict or potential conflict exists (based on advice of counsel to the indemnified party) between the indemnified party and the indemnifying party (in which case the indemnifying party will not have the right to d...",procedure
"Procedure. Any indemnification and advances provided for in Section 1 and this Section 3 shall be made no later than twenty (20) days after receipt of the written request of Indemnitee. If a claim under this Agreement, under any statute, or under any provision of the Company's Certificate of Incorporation or Bylaws providing for indemnification, is not paid in full by the Company within twenty (20) days after a written request for payment thereof has first been received by the Company, Indemnitee may, but need not, at any time thereafter bring an action against the Company to recover the unpaid amount of the claim and, subject to Section 11 of this Agreement, Indemnitee shall also be entitled to be paid for the expenses (including attorneys' fees) of bringing such action. It shall be a defense to any such action (other than an action brought to enforce a claim for expenses incurred in connection with any action, suit or proceeding in advance of its final disposition) that Indemnitee has not met the standards of conduct which make it permissible under applicable law for the Company to indemnify Indemnitee for the amount claimed, but the burden of proving such defense shall be on the Company and Indemnitee shall be entitled to receive interim payments of expenses pursuant to Section 3(a) unless and until such defense may be finally adjudicated by court order or judgment from which no further right of appeal exists. It is the parties' intention that if the Company contests Indemnitee's right to indemnification, the question of Indemnitee's right to indemnification shall be for the court to decide, and neither the failure of the Company (including its Board of Directors, any committee or subgroup of the Board of Directors, independent legal counsel, or its stockholders) to have made a determination that indemnification of Indemnitee is proper in the circumstances because Indemnitee has met the applicable standard of conduct required by applicable law, nor an actual determination by the Company (including its Board of Directors, any committee or subgroup of the Board of Directors, independent legal counsel, or its stockholders) that Indemnitee has not met such applicable standard of conduct, shall create a presumption that Indemnitee has or has not met the applicable standard of conduct.",procedure
"Procedure. In the event that any party intends to claim indemnification under this Article 10 (each such party, an “Indemnitee”) it shall promptly notify the other Party in writing of such alleged Liability. The indemnifying Party shall have the right to control the defense thereof with counsel of its choice as long as such counsel is reasonably acceptable to Indemnitee; provided, however, that any Indemnitee shall have the right to retain its own counsel at its own expense, for any reason, including if representation of any Indemnitee by the counsel retained by the indemnifying Party would be inappropriate due to actual or potential differing interests between such Indemnitee and any other Party reasonably represented by such counsel in such proceeding. The indemnifying Party shall keep the Indemnitee regularly informed of the status of the defense of any action, claim or liability covered by this Article 10 and shall take into consideration the Indemnitee’s reasonable comments thereon. The affected Indemnitee shall cooperate with the indemnifying Party and its legal representatives in the investigation of any action, claim or liability covered by this Article 10. The Indemnitee shall not compromise or settle any claim or suit, or voluntarily incur any expense with respect to any such claim or suit, in each case, without the prior written consent of the indemnifying Party, which such Party shall not be required to give. The failure to deliver written notice to the indemnifying Party within a reasonable time after the commencement of any action with respect to any action, claim or liability covered by this Article 10, if prejudicial to its ability to defend such action, shall relieve the indemnifying Party of any liability to the Indemnitee under this Article 10.",procedure
"Procedure. Any party that proposes to assert the right to be indemnified under this Section 9 will, promptly after receipt of notice of commencement of any action against such party in respect of which a claim is to be made against an indemnifying party or parties under this Section 9, notify each such indemnifying party of the commencement of such action, enclosing a copy of all papers served, but the omission so to notify such indemnifying party will not relieve the indemnifying party from (i) any liability that it might have to any indemnified party otherwise than under this Section 9 and (ii) any liability that it may have to any indemnified party under the foregoing provision of this Section 9 unless, and only to the extent that, such omission results in the forfeiture of substantive rights or defenses by the indemnifying party. If any such action is brought against any indemnified party and it notifies the indemnifying party of its commencement, the indemnifying party will be entitled to participate in and, to the extent that it elects by delivering written notice to the indemnified party promptly after receiving notice of the commencement of the action from the indemnified party, jointly with any other indemnifying party similarly notified, to assume the defense of the action, with counsel reasonably satisfactory to the indemnified party, and after notice from the indemnifying party to the indemnified party of its election to assume the defense, the indemnifying party will not be liable to the indemnified party for any other legal expenses except as provided below and except for the reasonable costs of investigation subsequently incurred by the indemnified party in connection with the defense. The indemnified party will have the right to employ its own counsel in any such action, but the fees, expenses and other charges of such counsel will be at the expense of such indemnified party unless (1) the employment of counsel by the indemnified party has been authorized in writing by the indemnifying party, (2) the indemnified party has reasonably concluded (based on advice of counsel) that there may be legal defenses available to it or other indemnified parties that are different from or in addition to those available to the indemnifying party, (3) a conflict or potential conflict exists (based on advice of counsel to the indemnified party) between the indemnified party and the indemnifying party (in which case the indemnifying party will not have the right to dire...",procedure
"Procedure. Any party that proposes to assert the right to be indemnified under this Section 11 will, promptly after receipt of notice of commencement of any action against such party in respect of which a claim is to be made against an indemnifying party or parties under this Section 11, notify each such indemnifying party of the commencement of such action, enclosing a copy of all papers served, but the omission so to notify such indemnifying party will not relieve the indemnifying party from (i) any liability that it might have to any indemnified party otherwise than under this Section 11 and (ii) any liability that it may have to any indemnified party under the foregoing provisions of this Section 11 unless, and only to the extent that, such omission results in the forfeiture of substantive rights or defenses by the indemnifying party. If any such action is brought against any indemnified party and it notifies the indemnifying party of its commencement, the indemnifying party will be entitled to participate in and, to the extent that it elects by delivering written notice to the indemnified party promptly after receiving notice of the commencement of the action from the indemnified party, jointly with any other indemnifying party similarly notified, to assume the defense of the action, with counsel reasonably satisfactory to the indemnified party, and after notice from the indemnifying party to the indemnified party of its election to assume the defense, the indemnifying party will not be liable to the indemnified party for any legal or other expenses except as provided below and except for the reasonable costs of investigation subsequently incurred by the indemnified party in connection with the defense. The indemnified party will have the right to employ its own counsel in any such action, but the fees, expenses and other charges of such counsel will be at the expense of such indemnified party unless (1) the employment of counsel by the indemnified party has been authorized in writing by the indemnifying party, (2) the indemnified party has reasonably concluded (based on advice of counsel) that there may be legal defenses available to it or other indemnified parties that are different from or in addition to those available to the indemnifying party, (3) a conflict or potential conflict of interest exists (based on advice of counsel to the indemnified party) between the indemnified party and the indemnifying party (in which case the indemnifying party will not ha...",procedure
"Procedure. The coordinator must immediately formally notify to the JU the suspension (see Article 52), stating: - the reasons why and - the expected date of resumption. The suspension will take effect the day this notification is received by the JU. Once circumstances allow for implementation to resume, the coordinator must immediately formally notify the JU and request an amendment of the Agreement to set the date on which the action will be resumed, extend the duration of the action and make other changes necessary to adapt the action to the new situation (see Article 55) — unless the Agreement or the participation of a beneficiary has been terminated (see Article 50). The suspension will be lifted with effect from the resumption date set out in the amendment. This date may be before the date on which the amendment enters into force. Costs incurred during suspension of the action implementation are not eligible (see Article 6).",procedure
"Procedure. Each party entitled to indemnification under this Section 5.6 (the “Indemnified Party”) shall give notice to the party required to provide indemnification (the “Indemnifying Party”) promptly after such Indemnified Party has actual knowledge of any claim as to which indemnity may be sought, and shall permit the Indemnifying Party to assume the defense of any such claim in any litigation resulting therefrom, provided that counsel for the Indemnifying Party, who shall conduct the defense of such claim or any litigation resulting therefrom, shall be approved by the Indemnified Party (whose approval shall not be unreasonably withheld), and the Indemnified Party may participate in such defense at its own expense, and provided further that the failure of any Indemnified Party to give notice as provided herein shall not relieve the Indemnifying Party of its obligations under this Section 5.6 except to the extent that the Indemnifying Party is materially and adversely affected by such failure to provide notice. No Indemnifying Party, in the defense of any such claim or litigation, shall, except with the consent of each Indemnified Party, consent to entry of any judgment or enter into any settlement which does not include as an unconditional term thereof the giving by the claimant or plaintiff to such Indemnified Party of a release from all liability in respect to such claim or litigation. Each Indemnified Party shall furnish such non-privileged information regarding itself or the claim in question as an Indemnifying Party may reasonably request in writing and as shall be reasonably required in connection with the defense of such claim and litigation resulting therefrom.",procedure
"Procedure. Executive agrees that any arbitration will be administered by the American Arbitration Association (“AAA”) and that a neutral arbitrator will be selected in a manner consistent with its National Rules for the Resolution of Employment Disputes. The arbitration proceedings will allow for discovery according to the rules set forth in the National Rules for the Resolution of Employment Disputes or California Code of Civil Procedure. Executive agrees that the arbitrator will have the power to decide any motions brought by any party to the arbitration, including motions for summary judgment and/or adjudication and motions to dismiss and demurrers, prior to any arbitration hearing. Executive agrees that the arbitrator will issue a written decision on the merits. Executive also agrees that the arbitrator will have the power to award any remedies, including attorneys’ fees and costs, available under applicable law. Executive understands the Company will pay for any administrative or hearing fees charged by the arbitrator or AAA except that Executive will pay the first $125.00 of any filing fees associated with any arbitration Executive initiates. Executive agrees that the arbitrator will administer and conduct any arbitration in a manner consistent with the Rules and that to the extent that the AAA’s National Rules for the Resolution of Employment Disputes conflict with the Rules, the Rules will take precedence.",procedure
"Procedure. If any action is brought against an Underwriter Indemnified Party in respect of which indemnity may be sought against the Company pursuant to Section 5.1.1, such Underwriter Indemnified Party shall promptly notify the Company in writing of the institution of such action and the Company shall assume the defense of such action, including the employment and fees of counsel (subject to the approval of such Underwriter Indemnified Party) and payment of actual expenses if an Underwriter Indemnified Party requests that the Company do so. Such Underwriter Indemnified Party shall have the right to employ its or their own counsel in any such case, but the fees and expenses of such counsel shall be at the expense of the Company, and shall be advanced by the Company. The Company shall not be liable for any settlement of any action effected without its consent (which shall not be unreasonably withheld). In addition, the Company shall not, without the prior written consent of the Underwriters, settle, compromise or consent to the entry of any judgment in or otherwise seek to terminate any pending or threatened action in respect of which advancement, reimbursement, indemnification or contribution may be sought hereunder (whether or not such Underwriter Indemnified Party is a party thereto) unless such settlement, compromise, consent or termination (i) includes an unconditional release of each Underwriter Indemnified Party, acceptable to such Underwriter Indemnified Party, from all liabilities, expenses and claims arising out of such action for which indemnification or contribution may be sought and (ii) does not include a statement as to or an admission of fault, culpability or a failure to act, by or on behalf of any Underwriter Indemnified Party.",procedure
