clause_text,clause_type
"Proprietary Rights. The Executive shall disclose promptly to the Company any and all inventions, discoveries, and improvements (whether or not patentable or registrable under copyright or similar statutes), and all patentable or copyrightable works, initiated, conceived, discovered, reduced to practice, or made by Executive, either alone or in conjunction with others, during the Executive’s employment with the Company and related to the business or activities of the Company and its Affiliates (the “Developments”). Except to the extent any rights in any Developments constitute a work made for hire under the U.S. Copyright Act, 17 U.S.C. § 101 et seq. that are owned ab initio by the Company and/or its applicable Affiliates, the Executive assigns all of Executive’s right, title and interest in all Developments (including all intellectual property rights therein) to the Company or its nominee without further compensation, including all rights or benefits therefor, including without limitation the right to sue and recover for past and future infringement. The Executive acknowledges that any rights in any developments constituting a work made for hire under the U.S. Copyright Act, 17 U.S.C § 101 et seq. are owned upon creation by the Company and/or its applicable Affiliates as the Executive’s employer. Whenever requested to do so by the Company, the Executive shall execute any and all applications, assignments or other instruments which the Company shall deem necessary to apply for and obtain trademarks, patents or copyrights of the United States or any foreign country or otherwise protect the interests of the Company and its Affiliates therein. These obligations shall continue beyond the end of the Executive’s employment with the Company with respect to inventions, discoveries, improvements or copyrightable works initiated, conceived or made by the Executive while employed by the Company, and shall be binding upon the Executive’s employers, assigns, executors, administrators and other legal representatives. In connection with Executive’s execution of this Employment Agreement, the Executive has informed the Company in writing of any interest in any inventions or intellectual property rights that Executive holds as of the date hereof. If the Company is unable for any reason, after reasonable effort, to obtain the Executive’s signature on any document needed in connection with the actions described in this Section 4.6, the Executive hereby irrevocably designates and appoints the Com...",proprietary_rights
"Proprietary Rights. The term “Proprietary Rights” shall mean all trade secret, patent, copyright, mask work and other intellectual property rights throughout the world.",proprietary_rights
"Proprietary Rights. The Manager agrees and acknowledges that the Sub-Adviser is the sole owner of the name ""Loomis, Sayles & Company, L.P."" and that all use of any designation consisting in whole or part of ""Loomis, Sayles & Company, L.P."" under this Agreement shall inure to the benefit of the Sub-Adviser. The Manager on its own behalf and on behalf of the Series agrees not to use any such designation in any advertisement or sales literature or other materials promoting the Series, except with the prior written consent of the Sub-Adviser. Without the prior written consent of the Sub-Adviser, the Manager shall not, and the Manager shall use its best efforts to cause the Series not to, make representations regarding the Sub-Adviser in any disclosure document, advertisement or sales literature or other materials relating to the Series. Upon termination of this Agreement for any reason, the Manager shall cease, and the Manager shall use its best efforts to cause the Series to cease, all use of any such designation as soon as reasonably practicable.",proprietary_rights
"Proprietary Rights. Schedule 2.10 sets forth a complete and accurate list of all patents (including all reissues, reexaminations, continuations, continuations-in-part and divisions thereof), inventions, trade secrets, processes, proprietary rights, proprietary knowledge, know-how, computer software, trademarks, names, service marks, trade names, copyrights, symbols, logos, franchises and permits of the Company and all applications therefor, registrations thereof and licenses, sublicenses or agreements in respect thereof that the Company owns or has the right to use or to which the Company is a party and all filings, registrations or issuances of any of the foregoing with or by any federal, state, local or foreign regulatory, administrative or governmental office or offices (collectively, the ""Intellectual Property Rights""). Except as set forth on Schedule 2.10, the Company is the sole and exclusive owner of all right, title and interest in and to all Proprietary Rights free and clear of all liens, claims, charges, equities, rights of use, encumbrances and restrictions whatsoever. Except as disclosed in Schedule 2.10 or as would not reasonably be expected to have a Material Adverse Effect (a) the Company is not, nor will it be as a result of the execution and delivery of this Agreement or the performance of its obligations hereunder, in violation of any license, sublicense or other agreement to which it is a party and pursuant to which it is authorized to use any third-party patents, trademarks, service marks or copyrights (the ""Third-Party Intellectual Property Rights""); (b) no claims with respect to the patents, registered and material unregistered trademarks and service marks, registered copyrights, trade names and any applications therefor owned by the Company (the ""Company Intellectual Property Rights""), any trade secret material to the Company, or Third Party Intellectual Property Rights to the extent arising out of any use, reproduction or distribution of such Third Party Intellectual Property Rights or through the Company, are currently pending or, to the knowledge of Seller, are threatened in writing by any person; and (c) Seller does not know of any valid ground for any bona fide claims (i) to the effect that the manufacture, sale, licensing or use of any products as now used, sold or licensed or proposed for use, sale or license by the Company, infringes on any copyright, patent, trademarks, service mark or trade secrets, copyrights, patents, technology, know-how or...",proprietary_rights
"Proprietary Rights. A. Each party acknowledges and agrees that it obtains no rights in or to any of the software, hardware, processes, trade secrets, proprietary information or distribution and communication networks of the other hereunder. Any software, interfaces or other programs a party provides to the other hereunder shall be used by such receiving party only in accordance with the provisions of this Exhibit C. Any interfaces, other software or other programs developed by one party shall not be used directly or indirectly by or for the other party or any of its affiliates to connect such receiving party or any affiliate to any other person, without the first party’s prior written approval, which it may give or withhold in its sole discretion. Except in the normal course of business and in conformity with Federal copyright law or with the other party’s consent, neither party nor any of its affiliates shall disclose, use, copy, decompile or reverse engineer any software or other programs provided to such party by the other in connection herewith.",proprietary_rights
"Proprietary Rights. A. The Trust acknowledges and agrees that by virtue of accessing the System, it shall not obtain any rights in or to any of the software, templates, screen and file formats, interface protocols, formats and development tools and instructions, hardware, processes, trade secrets, instruction manuals, enrollment authorization, authentication and other business processes, proprietary information or distribution and communication networks used to allow access to the System owned by or licensed to USBFS. Any interface and other software or programs provided to the Trust in order to provide connectivity to the System shall be used by the Trust only for the period during which this Agreement is in effect and only in accordance with the terms of this Agreement, and shall not be used by the Trust to provide connectivity to or through any other system or person without USBFS’s prior written approval. The Trust shall not copy, decompile or reverse engineer any software or programs provided to the Trust hereunder. The Trust also agrees not to take any action which would mask, delete or otherwise alter any on-screen disclaimers and copyright, trademark and service mark notifications, or any “point and click” features relating to acknowledgment and acceptance of such disclaimers and notifications.",proprietary_rights
"Proprietary Rights. Schedule 8.13 sets forth a correct and complete list of all of the Borrower's Proprietary Rights. None of the Proprietary Rights is subject to any licensing agreement or similar arrangement except as set forth on Schedule 8.13. To the best of the Borrower's knowledge, none of the Proprietary Rights infringes on or conflicts with any other Person's property, and no other Person's property infringes on or conflicts with the Proprietary Rights. The Proprietary Rights described on Schedule 8.13 constitute all of the property of such type necessary to the current and anticipated future conduct of the Borrower's business.",proprietary_rights
"Proprietary Rights. 10.1 The Customer acknowledges and agrees that the Supplier and/or its licensors own all intellectual property rights in the Services and the Documentation. Except as expressly stated herein, this agreement does not grant the Customer any rights to, under or in, any patents, copyright, database right, trade secrets, trade names, trade marks (whether registered or unregistered), or any other rights or licences in respect of the Services or the Documentation.",proprietary_rights
"Proprietary Rights. Section 3.9 of the Disclosure Schedule contains a complete and accurate list of (i) all patented and registered Proprietary Rights owned by the Company, (ii) all pending patent applications and applications for registrations of other Proprietary Rights filed by the Company, (iii) all unregistered trade names and corporate names owned or used by the Company and (iv) all unregistered trademarks, service marks and copyrights and computer software, which are material to the financial condition, operating results, assets, operations or business of the Company. Section 3.9 of the Disclosure Schedule also contains a complete and accurate list of all licenses and other rights granted by the Company to any third party with respect to any Proprietary Rights and all licenses and other rights granted by any third party to the Company with respect to any Proprietary Rights, except for ""shrink-wrapped"" or similar licenses granted to the Company by third parties for software used in the business of the Company that is generally commercially available. The Company owns or has the right to use pursuant to a valid license all Proprietary Rights necessary for the operation of the businesses of the Company as presently conducted and as presently proposed to be conducted. To the Company's knowledge, no loss or expiration of any Proprietary Right or related group of Proprietary Rights is threatened, pending or expected. The Company has taken all reasonably necessary actions to maintain and protect the Proprietary Rights which it owns and uses. The Company has no reason (without having conducted any special investigation) to believe that the owners of any Proprietary Rights licensed to the Company have not taken actions necessary to maintain and protect the Proprietary Rights which are subject to such licenses. Except as indicated on Section 3.9 of the Disclosure Schedule, (i) the Company owns all right, title, and interest in and to or has the right to use under a valid license all of the Proprietary Rights listed on such schedule and all other Proprietary Rights material to the operation of the business of the Company, (ii) there have been no claims made against the Company asserting the invalidity, misuse or unenforceability of any of such rights and to the Company's knowledge, none is threatened, (iii) the Company has not received a notice of conflict with the asserted rights of others, and (iv) to the knowledge of the Company (without having conducted a special investigatio...",proprietary_rights
"Proprietary Rights. Except as set forth on Schedule 2.8, the Company owns, or is duly licensed to use or possess, or possesses exclusive and enforceable rights to use all patents, patent applications, trademarks, service marks, copyrights, trade secrets, processes, formulations, technology or know-how used in the conduct of its business (the ""Proprietary Rights""). Except as set forth on Schedule 2.8 to this Subscription Agreement, the Company has not received any notice of any claims, nor does it have any knowledge of any threatened claims, and knows of no facts which would form the basis of any claim, asserted by any person to the effect that the sale or use of any product or process now used or offered by the Company or proposed to be used or offered by the Company infringes on any patents or infringes upon the use of any such Proprietary Rights of another person and, to the best of the Company's knowledge, no others have infringed the Company's Proprietary Rights.",proprietary_rights
