clause_text,clause_type
"Publicity. The Company, and the Buyer shall have the right to review a reasonable period of time before issuance of any press releases, SEC, OTCBB or FINRA filings, or any other public statements with respect to the transactions contemplated hereby; provided, however, that the Company shall be entitled, without the prior approval of the Buyer, to make any press release or SEC, OTCBB (or other applicable trading market) or FINRA filings with respect to such transactions as is required by applicable law and regulations (although the Buyer shall be consulted by the Company in connection with any such press release prior to its release and shall be provided with a copy thereof and be given an opportunity to comment thereon).",publicity
"Publicity. The Company and Investor shall consult with each other in issuing any press releases or otherwise making public statements with respect to the transactions contemplated hereby and no party shall issue any such press release or otherwise make any such public statement without the prior written consent of the other parties, which consent shall not be unreasonably withheld or delayed, except that no prior consent shall be required if such disclosure is required by law, in which such case the disclosing party shall provide the other parties with prior notice of such public statement. Notwithstanding the foregoing, the Company shall not publicly disclose the name of Investor without the prior written consent of such Investor, except to the extent required by law. Investor acknowledges that this Agreement and all or part of the Transaction Documents may be deemed to be ""material contracts"" as that term is defined by Item 601(b)(10) of Regulation S-K, and that the Company may therefore be required to file such documents as exhibits to reports or registration statements filed under the Securities Act or the Exchange Act. Investor further agrees that the status of such documents and materials as material contracts shall be determined solely by the Company, in consultation with its counsel.",publicity
"Publicity. The Company agrees that it will not disclose, and will not include in any public announcement, the name of the Purchasers without the consent of the Purchasers unless and until such disclosure is required by law or applicable regulation, and then only to the extent of such requirement.",publicity
"Publicity. No disclosure of the existence of, or the terms of, this Agreement may be made by either Party, and no Party shall use the name, trademark, trade name or logo of the other Party or its employees in any publicity, news release or disclosure relating to this Agreement or its subject matter, without the prior express written permission of the other Party, except as may be required by law or as set forth in this Section 10.3. The Parties acknowledge and agree that, upon and following the Effective Date, one or both of the Parties intends to issue a press release announcing the execution of this Agreement. Notwithstanding the foregoing, the Parties agree to consult with each other reasonably and in good faith with respect to the text and timing of such press releases prior to the issuance thereof. Either Party may issue such press releases or otherwise make such public statements or disclosures (such as in annual reports to stockholders or filings with the Securities and Exchange Commission) as it determines, based on advice of counsel, are reasonably necessary to comply with applicable laws and regulations. In addition, following any initial press release(s) announcing this Agreement or other public disclosure approved by both Parties, either Party shall be free to disclose, without the other Party’s prior written consent, the existence of this Agreement, the identity of the other Party and those terms of the Agreement which have already been publicly disclosed in accordance herewith.",publicity
"Publicity. So long as this Agreement is in effect, subject to the proviso in Section 12 none of the Stockholders or any of their respective Affiliates shall issue or cause the publication of any press release or other announcement with respect to the Merger, this Agreement or any of the other transactions contemplated hereby or thereby without the prior written approval of Parent, except as may be required by Law or by the rules of any applicable securities exchange as determined in the good faith judgment of the Stockholder wanting to make such release or announcement, in which event such Stockholder shall use its reasonable best efforts to provide a meaningful opportunity to Parent to review and comment upon such press release or announcement prior to making it.",publicity
"Publicity. The initial press release with respect to the execution of this Agreement shall be a joint press release acceptable to Parent and the Company. Thereafter, so long as this Agreement is in effect, neither the Company, Parent nor any of their respective affiliates shall issue or cause the publication of any press release or other announcement with respect to the Merger, this Agreement or the other transactions contemplated hereby without the prior consultation of the other party, except as may be required by law or by any listing agreement with a national securities exchange or trading market.",publicity
"Publicity. 23.1 Neither a Fund nor Transfer Agent shall release or publish news releases, public announcements, advertising or other publicity relating to this Agreement or to the transactions contemplated by it without the prior review and written approval of the other party; provided, however, that either party may make such disclosures as are required by legal, accounting or regulatory requirements after making reasonable efforts in the circumstances to consult in advance with the other party.",publicity
"Publicity. The initial press release regarding the Merger shall be a joint press release and thereafter the Company and Parent each shall consult with each other prior to issuing any press releases or otherwise making public announcements with respect to the Merger and the other transactions contemplated by this Agreement and prior to making any filings with any third party and/or any Governmental Entity (including any national securities exchange or interdealer quotation service) with respect thereto, except as may be required by Law or by obligations pursuant to any listing agreement with or rules of any national securities exchange or interdealer quotation service or by the request of any Government Entity.",publicity
"Publicity. None of the Seller, the Company nor the Purchaser shall issue any press release or public announcement concerning this Agreement or the transactions contemplated hereby without obtaining the prior written approval of the other party hereto, which approval will not be unreasonably withheld or delayed, unless, in the sole judgment of the Purchaser, the Company or the Seller, disclosure is otherwise required by applicable Law or by the applicable rules of any stock exchange on which the Purchaser lists securities, provided that, to the extent required by applicable law, the party intending to make such release shall use its best efforts consistent with such applicable law to consult with the other party with respect to the text thereof.",publicity
"Publicity. Except as otherwise required by law (including securities laws and regulations) and the regulations of any national stock exchange, so long as this Agreement is in effect, no Stockholder shall issue or cause the publication of any press release or other public announcement with respect to, or otherwise make any public statement concerning, the transactions contemplated by this Agreement or the Merger Agreement, without the consent of Parent, which consent shall not be unreasonably withheld.",publicity
"Publicity. Except as set forth below, no public release or announcement concerning the transactions contemplated hereby shall be issued by the Investor without the prior consent of the Company (which consent shall not be unreasonably withheld), except as such release or announcement may be required by law or the applicable rules or regulations of any securities exchange or securities market, in which case the Investor shall allow the Company, to the extent reasonably practicable in the circumstances, reasonable time to comment on such release or announcement in advance of such issuance. The Company shall not include the name of the Investor in any press release or public announcement (which, for the avoidance of doubt, shall not include any filing with the SEC) without the prior written consent of the Investor, except as otherwise required by law or the applicable rules or regulations of any securities exchange or securities market, in which case the Company shall allow the Investor, to the extent reasonably practicable in the circumstances, reasonable time to comment on such release or announcement in advance of such issuance. Promptly following the date this Agreement is executed, the Company shall issue a press release disclosing all material terms of transactions contemplated by this Agreement (the “Press Release”) and make an announcement thereof (including the name of the Investor) to a Regulatory Investment Service. No later than 5:30 p.m. (New York City time) on the fourth Business Day following the date this Agreement is executed, the Company will file a Report on Form 8-K (the “8-K Filing”) attaching the press release described in the foregoing sentence as well as a copy of this Agreement. In addition, the Company will make such other filings and notices in the manner and time required by the SEC or Nasdaq. The parties acknowledge that from and after the issuance of the Press Release, the Investor shall not be in possession of any material, nonpublic information received from the Company or any of its respective officers, directors, employees or agents, with respect to the transactions contemplated hereby that is not disclosed in the Press Release.",publicity
"Publicity. Except as otherwise required by law or the rules of the SEC, so long as this Agreement is in effect, no party shall issue or cause the publication of any press release or other public announcement with respect to the transactions contemplated by this Agreement without the written consent of the other party, which consent shall not be unreasonably withheld.",publicity
"Publicity. The Company and the Purchaser shall consult with each other in issuing any press releases or otherwise making public statements with respect to the transactions contemplated hereby and neither party shall issue any such press release or otherwise make any such public statement without the prior written consent of the other, which consent shall not be unreasonably withheld or delayed, except that no prior consent shall be required if such disclosure is required by law, in which such case the disclosing party shall provide the other party with prior notice of such public statement.",publicity
"Publicity. The parties will consult with each other and will mutually agree upon any press releases or public announcements pertaining to this Agreement or the transactions contemplated hereby and shall not issue any such press releases or make any such public announcements prior to such consultation and agreement, except as may be required by applicable law or by obligations pursuant to any listing agreement with any national securities exchange, in which case the party proposing to issue such press release or make such public announcement shall use its best efforts to consult in good faith with the other party before issuing any such press releases or making any such public announcements.",publicity
"Publicity. The Company shall afford the Investor and its counsel with the opportunity to review and comment upon, shall consult with the Investor and its counsel on the form and substance of, and shall give due consideration to all such comments from the Investor or its counsel on, any press release, SEC filing or any other public disclosure by or on behalf of the Company relating to the Investor, its purchases hereunder or any aspect of the Transaction Documents or the transactions contemplated thereby, not less than 24 hours prior to the issuance, filing or public disclosure thereof. The Investor must be provided with a final version of any such press release, SEC filing or other public disclosure at least 24 hours prior to any release, filing or use by the Company thereof. The Company agrees and acknowledges that its failure to fully comply with this provision constitutes a Material Adverse Effect.",publicity
"Publicity. Neither the Company nor Nicolet shall, and neither the Company nor Nicolet shall permit any of its Subsidiaries to, issue or cause the publication of any press release or other public announcement with respect to, or otherwise make any public statement or, except as otherwise specifically provided in this Agreement, any disclosure of nonpublic information to a third party, concerning, the Contemplated Transactions without the prior consent (which shall not be unreasonably withheld or delayed) of Nicolet, in the case of a proposed announcement, statement or disclosure by the Company, or the Company, in the case of a proposed announcement, statement or disclosure by Nicolet; provided, however, that either party may, without the prior consent of the other party (but after prior consultation with the other party to the extent practicable under the circumstances), issue or cause the publication of any press release or other public announcement to the extent required by applicable Legal Requirements or by the Nasdaq Rules. Subject to the foregoing, Nicolet and the Company agree that the press release announcing the execution and delivery of this Agreement shall be a joint press release of Nicolet and the Company, mutually agreed upon by both parties. Thereafter, and subject to the limitations of this paragraph, Nicolet and the Company shall each use their reasonable best efforts to develop a joint communications plan with respect to the Contemplated Transactions and to ensure that all press releases and other public statements with respect to the Contemplated Transactions shall be consistent with such joint communications plan.",publicity
"Publicity. From the date hereof through the Closing Date, no public release or announcement concerning the Transactions shall be issued by any party or any of its Affiliates without the prior consent of the other parties (which consent shall not be unreasonably withheld), except as such release or announcement may be required by law or the rules or regulations of any United States or foreign securities exchange or commission (in which case the party required to make the release or announcement shall allow the other parties reasonable time to comment on such release or announcement in advance of such issuance); provided, however, that a party may make internal announcements to its and its Affiliates' employees that are consistent with the parties' prior public disclosures regarding the Transactions.",publicity
"Publicity. Except as otherwise required by law, none of the parties hereto shall issue any press release or make any other public statement, in each case relating to, connected with or arising out of this Agreement or the matters contained herein, without obtaining the prior approval of the other to the contents and the manner of presentation and publication thereof.",publicity
"Publicity. Any publicity regarding the subject matter of a Work Authorization must identify the State as the sponsoring agency and must not be released without prior written approval from the State’s Authorized Representative. For purposes of this provision, publicity includes notices, informational pamphlets, press releases, research, reports, signs, and similar public notices prepared by or for the Contractor individually or jointly with others, or any subContractors, with respect to the program, publications, or services provided resulting from a Work Authorization.",publicity
"Publicity. All news releases, publicity or advertising by Borrower or their Affiliates through any media intended to reach the general public which refers to the Loan Documents or the financing evidenced by the Loan Documents, to Lender, Bear Stearns, or any of their Affiliates shall be subject to the prior written approval of Lender. All news releases, publicity or advertising by Lender through any media intended to reach the general public which refers solely to the Borrower or to the Loan made by the Lender to the Borrower shall be subject to the prior written approval of Borrower, provided however, the foregoing shall not apply to Provided Information included in disclosure documents in connection with a Securitization.",publicity
"Publicity. Prior to the Effective Time, each of SpinCo and Parent shall consult with each other prior to issuing any press releases or otherwise making public statements with respect to the Separation, the Distribution or any of the other transactions contemplated hereby or under any Ancillary Agreement and prior to making any filings with any Governmental Authority with respect thereto.",publicity
