clause_text,clause_type
"R E C I T A L S. A. The Board of Directors of the Company (the “Board”) recognizes that the possibility of an acquisition of the Company or an involuntary termination can be a distraction to Executive and can cause Executive to consider alternative employment opportunities. The Board has determined that it is in the best interests of the Company and its stockholders to assure that the Company will have the continued dedication and objectivity of Executive, notwithstanding the possibility, threat or occurrence of such an event.",r-e-c-i-t-a-l-s
R E C I T A L S. A. It is expected that the Company from time to time will consider the possibility of a Change of Control. The Board of Directors of the Company (the “Board”) recognizes that such consideration can be a distraction to the Employee and can cause the Employee to consider alternative employment opportunities.,r-e-c-i-t-a-l-s
R E C I T A L S. A. The Borrower has requested that the Lenders provide certain loans to and extensions of credit on behalf of the Borrower.,r-e-c-i-t-a-l-s
"R E C I T A L S. The following statements are true and correct: As of the date of this Agreement, the Company is engaged primarily in the business of providing document and information management outsourcing solutions. Employee is employed hereunder by the Company in a confidential relationship wherein Employee, in the course of his employment with the Company, has and will continue to become familiar with and aware of information as to the Company's customers, specific manner of doing business, including the processes, techniques and trade secrets utilized by the Company, and future plans with respect thereto, all of which has been and will be established and maintained at great expense to the Company; this information is a trade secret and constitutes the valuable goodwill of the Company. Therefore, in consideration of the mutual promises, terms, covenants and conditions set forth herein and the performance of each, it is hereby agreed as follows:",r-e-c-i-t-a-l-s
R E C I T A L S. Borrowers have requested that Lenders provide a credit facility to Borrowers to finance their mutual and collective business enterprise. Lenders are willing to provide the credit facility on the terms and conditions set forth in this Agreement.,r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the MLP, the Administrative Agent and the Lenders are parties to that certain Amended and Restated 5-Year Revolving Credit Agreement dated as of October 29, 2014 (as amended, modified or supplemented prior to the date hereof, the “Credit Agreement”), pursuant to which the Lenders have made certain extensions of credit available to the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. The Company provides management services to the Parent pursuant to a management services agreement dated as of December 30, 1994. The Company and the Parent acknowledge that Executive's contributions to the past and future growth and success of the Company and the Parent have been and will continue to be substantial. As a wholly-owned subsidiary of a publicly held corporation, the Company recognizes that there exists a possibility of a Change in Control (as defined herein) of the Company or its Parent. The Company and the Parent also recognize that the possibility of such a Change in Control may contribute to uncertainty on the part of senior management and may result in the departure or distraction of senior management from their operating responsibilities. Outstanding management of the Company is always essential to advancing the best interests of the Company's and the Parent's shareholders. In the event of a threat or occurrence of a bid to acquire or change control of the Parent or to effect a business combination, it is particularly important that the Company's and the Parent's businesses be continued with a minimum of disruption. The Company and the Parent believe that the objective of securing and retaining outstanding management will be achieved if the Company's key management employees are given assurances of employment security so they will not be distracted by personal uncertainties and risks created by such circumstances.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. Borrower, Administrative Agent and certain other Lenders have entered into a Second Amended and Restated Credit Agreement dated as of December 21, 2018 (as amended, the “Credit Agreement”). All capitalized terms used herein and not otherwise defined shall have the meanings given to them in the Credit Agreement.",r-e-c-i-t-a-l-s
"R E C I T A L S. In furtherance of the purposes of the Atlantic Capital Bancshares, Inc. 2015 Stock Incentive Plan, as it may be amended (the “Plan”), and in consideration of the services of the Participant and such other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Company and the Participant hereby agree as follows:",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the Parent, the Administrative Agent and the Lenders are parties to that certain Credit Agreement dated as of July 30, 2010, as amended by that certain First Amendment to Credit Agreement dated as of August 31, 2010, that certain Second Amendment to Credit Agreement dated as of November 5, 2010, that certain Third Amendment to Credit Agreement dated as of January 20, 2011, that certain Fourth Amendment to Credit Agreement dated as of February 14, 2011 and that certain Fifth Amendment to Credit Agreement dated as of May 18, 2012, among the Borrower, the Parent, the Administrative Agent and the Lenders party thereto (the “Credit Agreement”), pursuant to which the Lenders have made certain extensions of credit available to the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the MLP, the Administrative Agent and the Lenders are parties to that certain Letter of Credit Agreement dated as of June 5, 2012 (as amended, the “Reimbursement Agreement”), pursuant to which the Issuing Bank and the Lenders have made certain extensions of credit available to the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. Parent, OP LLC, the Borrower, the Administrative Agent and the Lenders are parties to that certain Third Amended and Restated Credit Agreement dated as of October 16, 2018 (as amended, amended and restated, restated, supplemented or otherwise modified, the “Credit Agreement”), pursuant to which the Lenders have made certain credit available to and on behalf of the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the Guarantors, the Collateral Agent and the lending institutions listed therein (the “Lenders”) have, in connection with the execution and delivery of this Agreement, entered into that certain credit agreement, dated as of October 20, 2010 (as amended, amended and restated, supplemented or otherwise modified from time to time, the “Credit Agreement”; which term shall also include and refer to any increase in the amount of indebtedness under the Credit Agreement and any refinancing or replacement of the Credit Agreement (whether under a bank facility, securities offering or otherwise) or one or more successor or replacement facilities whether or not with a different group of agents or lenders (whether under a bank facility, securities offering or otherwise) and whether or not with different obligors upon the Administrative Agent’s acknowledgment of the termination of the predecessor Credit Agreement).",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Company recognizes that competent and experienced persons are sometimes reluctant to serve as directors or officers of corporations unless they are protected by comprehensive liability insurance or indemnification, or both, due to increased exposure to litigation costs and risks resulting from their service to such corporations, and due to the fact that the exposure frequently bears no reasonable relationship to the compensation of such directors and officers;",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the Administrative Agent and the Lenders are parties to that certain 3-Year Revolving Credit Agreement dated as of July 19, 2006 (the “Credit Agreement”), pursuant to which the Lenders have made certain extensions of credit available to the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Borrower, the Administrative Agent and the Lenders are parties to that certain 5-Year Revolving Credit Agreement dated as of December 20, 2004 (as amended by the First Amendment to 5-Year Revolving Credit Agreement dated as of June 30, 2005 and the Second Amendment to 5-Year Revolving Credit Agreement dated as of May 15, 2006, each among the Borrower, the MLP, the Administrative Agent and the Lenders party thereto, the “Credit Agreement”), pursuant to which the Lenders have made certain extensions of credit available to the Borrower.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. The Company, the Agent and the Lenders (other than the hereinafter defined ""Additional Lenders"") are parties to that certain Amended and Restated Credit Agreement dated as of March 30, 1999 (said Amended and Restated Credit Agreement, as amended and supplemented by First Amendment to Amended and Restated Credit Agreement dated as of May 4, 1999, and as further amended by Second Amendment to Amended and Restated Credit Agreement dated as of October 6, 1999, ""Credit Agreement""), pursuant to which the Lenders agreed to make loans and issue Letters of Credit to and for the account of the Company.",r-e-c-i-t-a-l-s
"R E C I T A L S. A. Pursuant to the provisions of the Trust Agreement, the Trust may from time to time issue or redeem equity securities representing an interest in the assets of the Trust (“iShares”), in each case only in aggregate amounts of 50,000 iShares (such aggregate amount, a “Basket”), and integral multiples thereof, and only in transactions with a party who, at the time of the transaction, shall have signed and in effect an Authorized Participant Agreement with the Trust.",r-e-c-i-t-a-l-s
