clause_text,clause_type
"Real Property. Except as set forth in the Registration Statement, the Pricing Disclosure Package and the Prospectus, the Company and its Subsidiaries have good and marketable title in fee simple to, or have valid rights to lease or otherwise use, all items of real or personal property which are material to the business of the Company and its Subsidiaries taken as a whole, in each case free and clear of all liens, encumbrances, security interests, claims and defects that do not, singly or in the aggregate, materially affect the value of such property and do not interfere with the use made and proposed to be made of such property by the Company or its Subsidiaries; and all of the leases and subleases material to the business of the Company and its subsidiaries, considered as one enterprise, and under which the Company or any of its Subsidiaries holds properties described in the Registration Statement, the Pricing Disclosure Package and the Prospectus, are in full force and effect, and neither the Company nor any Subsidiary has received any notice of any material claim of any sort that has been asserted by anyone adverse to the rights of the Company or any Subsidiary under any of the leases or subleases mentioned above, or affecting or questioning the rights of the Company or such Subsidiary to the continued possession of the leased or subleased premises under any such lease or sublease.",real-property
"Real Property. (a) The Enhanced Entities do not own and have never owned any Owned Real Property. Schedule 3.13(a) of the Disclosure Schedules sets forth a true and complete list of all Leased Real Property. Each of the Enhanced Entities has valid leasehold interests in all Leased Real Property, in each case, free and clear of all Encumbrances except Permitted Encumbrances. To the knowledge of the Companies, no parcel of Leased Real Property is subject to any governmental decree or order to be sold or is being condemned, expropriated, re-zoned or otherwise taken by any public authority with or without payment of compensation therefore, nor, to the knowledge of the Companies, has any such condemnation, expropriation or taking been proposed. All leases of Leased Real Property and all amendments and modifications thereto are in full force and effect subject to the Enforceability Exceptions, and there exists no default under any such lease by an Enhanced Entity or, to the knowledge of the Companies, any other party thereto, nor any event which, with notice or lapse of time or both, would constitute a material default thereunder by an Enhanced Entity or, to the knowledge of the Companies, any other party thereto. the Companies, there are no material latent defects or material adverse physical conditions affecting the Owned Real Property or Leased Real Property. All plants, warehouses, distribution centers, structures and other buildings on the Owned Real Property or Leased Real Property are adequately maintained and are in good operating condition and repair for the requirements of the business of the Enhanced Entities as currently conducted.",real-property
Real Property. (a) The Company does not own any real property.,real-property
"Real Property. Each of the Company and its Subsidiaries holds good title to all real property, leases in real property, facilities or other interests in real property owned or held by the Company or any of its Subsidiaries (the “Real Property”) owned by the Company or any of its Subsidiaries (as applicable). The Real Property is free and clear of all Liens and is not subject to any rights of way, building use restrictions, exceptions, variances, reservations, or limitations of any nature except for (a) Liens for current taxes not yet due and (b) zoning laws and other land use restrictions that do not impair the present or anticipated use of the property subject thereto. Any Real Property held under lease by the Company or any of its Subsidiaries are held by them under valid, subsisting and enforceable leases with such exceptions as are not material and do not interfere with the use made and proposed to be made of such property and buildings by the Company or any of its Subsidiaries.",real-property
"Real Property. Schedule 4(u) sets forth the address of each leased real property of the Company (the “Leased Real Property”), and a true and complete list of all leases (including all amendments, extensions, renewals, Guarantees and other Contracts with respect thereto) for each such Leased Real Property (including the date and name of the parties to such lease or license document) (the “Leases”). Seller has delivered to Buyer a true and complete copy of each Lease, and in the case of any oral Lease, a written summary of the material terms of such Lease. With respect to each of the Leases: (i) such Lease is legal, valid, binding, enforceable and in full force and effect; (ii) the transactions set forth in this Agreement do not require the consent of any other Person to such Lease, or such consent has been obtained, shall not result in a breach of or default under such Lease, or otherwise cause such Lease to cease to be legal, valid, binding, enforceable and in full force and effect on identical terms following the Closing; (iii) the Company’s possession and quiet enjoyment of the Leased Real Property under such Lease has not been disturbed, and there are no disputes with respect to such Lease; (iv) the Company, and any other party to the Lease, is not in breach or default under such Lease, and no event has occurred or circumstance exists which, with the delivery of notice, the passage of time or both, would constitute such a breach or default, or permit the termination, modification or acceleration of rent under such Lease; (v) no security deposit or portion thereof deposited with respect to such Lease has been applied in respect of a breach or default under such Lease which has not been redeposited in full; (vi) the Company does not owe, or shall not owe in the future, any brokerage commissions or finder’s fees with respect to such Lease; (vii) the other party to such Lease is not an Affiliate of, and otherwise does not have any economic interest in, the Company; (viii) the Company has not subleased, licensed or otherwise granted any Person the right to use or occupy such Leased Real Property or any portion thereof; (ix) the Company has not collaterally assigned or granted any other security interest in such Lease or any interest therein; (x) there are no Liens on the estate or interest created by such Lease; and (xi) all buildings, structures, improvements, fixtures, building systems and equipment, and all components thereof, included in the applicable Leased Real Prop...",real-property
Real Property. (a) Neither the Company nor any of its Subsidiaries owns any real property.,real-property
"Real Property. SCHEDULE 2.12 includes a list of all real property owned or leased by the Company at the date hereof (the ""Real Property""), and all other real property, if any, used by the Company in the conduct of its business. True, complete and correct copies of all leases and agreements with respect to Real Property leased by the Company have been delivered to LandCARE, and an indication as to which such properties, if any, are currently owned, or were formerly owned, by the Stockholder or any affiliates of the Company or the Stockholder is included in SCHEDULE 2.12. All leases relating to Real Property leased by the Company from the Stockholder or any affiliate of the Stockholder has been terminated. Except as set forth on SCHEDULE 2.12, all of such leases included on SCHEDULE 2.12 are in full force and effect and constitute valid and binding agreements of the parties (and their successors) thereto in accordance with their respective terms. There are no leases, tenancy agreements, easements, covenants, restrictions or any other instruments, agreements or arrangements which create in or confer on any party, other than the Company, the right to occupy or possess all or any portion of the Real Property or create in or confer on any such party any right, title or interest in or to the Real Property or any portion thereof or any interest therein; no party other than the Company occupies or possesses the Real Property or any portion thereof; there is legal and adequate ingress and egress between each tract of Real Property and an adjacent (or, if none, the closest) public roadway; the Real Property is properly zoned in order to allow its current use in the Company's businesses; and there are no claims or demands pending or threatened by any party against the Real Property which, if valid, would create in, or confer on, any party other than the Company, any right, title or interest in or to the Real Property or any portion thereof. None of the buildings, structures or improvements described on SCHEDULE 2.12, or the operation or maintenance thereof as now operated or maintained, contravenes any zoning ordinance or other administrative regulation or violates any restrictive covenant or any provision of law, the effect of which would materially interfere with or prevent their continued use for the purposes for which they are now being used or would adversely affect the value thereof or the interest of the Company therein. The Stockholder has furnished to LandCARE a true and co...",real-property
"Real Property. Except as would not reasonably be expected, either individually or in the aggregate, to have a Material Adverse Effect on the Company, (a) the Company or a Company Subsidiary has good and marketable title to all the real property reflected in the latest audited balance sheet included in the Company Reports as being owned by the Company or a Company Subsidiary or acquired after the date thereof (except properties sold or otherwise disposed of since the date thereof in the ordinary course of business) (the “Company Owned Properties”), free and clear of all Liens, except (i) statutory Liens securing payments not yet due, (ii) Liens for real property Taxes not yet due and payable, (iii) easements, rights of way, and other similar encumbrances that do not materially affect the value or use of the properties or assets subject thereto or affected thereby or otherwise materially impair business operations at such properties and (iv) such imperfections or irregularities of title or Liens as do not materially affect the value or use of the properties or assets subject thereto or affected thereby or otherwise materially impair business operations at such properties (clauses (i) through (iv), collectively, “Permitted Encumbrances”), and (b) is the lessee of all leasehold estates reflected in the latest audited financial statements included in such the Company Reports or acquired after the date thereof (except for leases that have expired by their terms since the date thereof) (collectively with the Company Owned Properties, the “Company Real Property”), free and clear of all Liens of any nature whatsoever, except for Permitted Encumbrances, and is in possession of the properties purported to be leased thereunder, and each such lease is valid without default thereunder by the lessee or, to the Company’s knowledge, the lessor. There are no pending or, to the knowledge of the Company, threatened condemnation proceedings against the Company Real Property.",real-property
"Real Property. Section 4.13 of the Company Disclosure Schedule contains a true and correct list of (i) each parcel of real property owned beneficially or of record by the Company or any of its Subsidiaries (the “Owned Real Property““) and (ii) each parcel of real property leased, subleased or occupied to or by the Company or any of its subsidiaries (the “Leased Real Property“). A true, complete and correct copy of all deeds, leases, mortgages, deeds of trust, certificates of occupancy, title insurance policies, title reports, surveys and similar documents, and all amendments thereof, with respect to the Owned Real Property and all leases for the Leased Real Property have been made available to Parent by the Company. The Company or its subsidiaries, as applicable, has good and marketable, fee simple title to all Owned Real Property. Each lease for the Leased Real Property creates a valid leasehold interest in the Leased Real Property and is in full force and effect in all respects and the Company or its subsidiary is entitled to the benefit of such lease in accordance with its terms, with such exceptions as are not material and do not interfere with the use of such premises. To the Company’s knowledge, the other party or parties thereto are not in default of its or their obligations thereunder nor does any such party have the right to terminate prior to its scheduled expiration the term of any lease or similar agreement.",real-property
"Real Property. Priveco does not own any real property. Each of the leases, subleases, claims or other real property interests (collectively, the “Leases”) to which Priveco is a party or is bound is legal, valid, binding, enforceable and in full force and effect in all material respects. All rental and other payments required to be paid by Priveco pursuant to any such Leases have been duly paid and no event has occurred which, upon the passing of time, the giving of notice, or both, would constitute a breach or default by any party under any of the Leases. The Leases will continue to be legal, valid, binding, enforceable and in full force and effect on identical terms following the Closing Date. Priveco has not assigned, transferred, conveyed, mortgaged, deeded in trust, or encumbered any interest in the Leases or the leasehold property pursuant thereto.",real-property
"Real Property. (a) Schedule 4.12(a) sets forth a complete list of all real property and interests in real property leased by any Company (individually, a ""Real Property Lease"" and the real properties specified in such leases being referred to herein individually as a ""Company Property"" and collectively as the ""Company Properties"") as lessee or lessor. The Company Properties constitute all interests in real property currently used or currently held for use in connection with the business of either Company and which are necessary for the continued operation of the business of the Companies as their businesses are currently conducted. To the best of Sellers' knowledge the premises leased pursuant to the Real Property Leases comply with all building, fire, zoning and other ordinances and regulations applicable thereto. The Companies have paid all rent, additional rent and/or other charges reserved and payable under each of the Real Property Leases to the extent so payable as of the Closing Date. One of the Companies has a valid and enforceable leasehold interest under each of the Real Property Leases, subject to applicable bankruptcy, insolvency, reorganization, moratorium and similar laws affecting creditors' rights and remedies generally and subject, as to enforceability, to general principles of equity (regardless of whether enforcement is sought in a proceeding at law or in equity); neither Company has caused an event of default or received any written notice of any default or event that with notice or lapse of time, or both, would constitute a default by such Company under any of the Real Property Leases; and none of the landlords in respect of the Real Property Leases has caused an event of default that with notice or lapse of time, or both, would constitute a default by any one of such landlords under any of the Real Property Leases. Each of the Company Properties and each of the buildings, fixtures and improvements thereon is in good operating condition and repair (subject to normal wear and tear). With respect to each Company Property, there is no management agreement, equipment lease, service contract or other contract or agreement to which the Company is a party affecting such Company Property (collectively, ""Property Contracts"") which (i) was not made in the ordinary course of business, (ii) is not terminable upon 30 days' prior notice by the Company without payment of a premium or penalty or (iii) requires payments in excess of an amount that, if added to the mo...",real-property
"Real Property. As of the Closing Date, Schedule 5.5B annexed hereto contains a true, accurate and complete list of (i) all fee interests in any Real Property Assets and (ii) all leases, subleases or assignments of leases (together with all amendments, modifications, supplements, renewals or extensions of any thereof), if any, affecting each Real Property Asset, regardless of whether a Loan Party is the landlord or tenant (whether directly or as an assignee or successor in interest) under such lease, sublease or assignment. As of the Closing Date, except as specified in Schedule 5.5B annexed hereto, each agreement listed in clause (ii) of the immediately preceding sentence is in full force and effect and Company does not have knowledge of any default that has occurred and is continuing thereunder, and each such agreement constitutes the legally valid and binding obligation of each applicable Loan Party, enforceable against such Loan Party in accordance with its terms, except as enforcement may be limited by bankruptcy, insolvency, reorganization, fraudulent conveyance, moratorium or other laws relating to or affecting creditors’ rights generally or by equitable principles (whether considered in a proceeding in equity or at law). As to each Real Property Asset set forth on Schedule 5.5B, no changes have been made to such Real Property Asset or any improvements thereon since the date of the survey set forth on Schedule 5.5B as to such Real Property Asset that would be disclosed by a current survey of such Real Property Asset.",real-property
"Real Property. Set forth on Schedule 9.17 is a complete and accurate list, as of the Closing Date, of the address of all real property owned or leased by any Loan Party, together with, in the case of leased property, the name and mailing address of the lessor of such property.",real-property
"Real Property. Schedule 3.5 contains a complete and accurate description of all Real Property and all Real Property Interests (including street address, legal description (where known), owner, and Seller's use thereof). The Real Property Interests listed on Schedule 3.5 comprise all interests in real property necessary to conduct the business and operations of the Station as now conducted. Seller has good and marketable fee simple title to all fee estates included in the Real Property Interests and good title to all other Real Property Interests, in each case free and clear of all liens, mortgages, pledges, covenants, easements, restrictions, encroachments, leases, charges, and other claims and encumbrances, except for Permitted Liens. With respect to each leasehold or subleasehold interest included in the Real Property Interests, so long as Seller fulfills its obligations under the lease therefor, Seller has enforceable rights to nondisturbance and quiet enjoyment against its lessor or sublessor, and, to the knowledge of Seller, no third party holds any interest in the leased premises with the right to foreclose upon Seller's leasehold or subleasehold interest. Seller has full legal and practical access to all of the Real Property. To Seller's knowledge, all Real Property (including the improvements thereon) (a) is in good condition and repair consistent with its present use, (b) is available for immediate use in the conduct of the business and operations of the Station, and (c) complies in all material respects with all applicable building or zoning codes and the regulations of any governmental authority having jurisdiction, except to the extent that the current use by Seller, while permitted, constitutes or would constitute a ""nonconforming use"" under current zoning or land use regulations and except to the extent the failure to satisfy the forgoing statements would not have a material adverse effect on the business or operations of the Station. To Seller's knowledge, all water, sewer, gas, electric, telephone, drainage and other utility equipment, facilities and services required by law or necessary for the operation of the Real Property as it is now improved and operated are installed and connected pursuant to valid permits, are sufficient to service the Real Property and are in good operating condition.",real-property
"Real Property. As soon as available and in any event within 30 days after the end of each Fiscal Year, a report supplementing Schedules 4.01(w), 4.01(x)(i) and 4.01(x)(ii) hereto, including an identification of all owned and leased real property disposed of by the Borrower or any of its Subsidiaries during such Fiscal Year, a list and description (including the street address, county or other relevant jurisdiction, state, record owner, book value thereof and, in the case of leases of property, lessor, lessee, expiration date and annual rental cost thereof) of all real property acquired or leased during such Fiscal Year meeting the thresholds set forth in this Agreement for inclusion on such Schedules and a description of such other changes in the information included in such Schedules as may be necessary for such Schedules to be accurate and complete.",real-property
