clause_text,clause_type
RECITALS. OF THE COMPANY,recitals
"RECITALS. 1. It is expected that the Company from time to time will consider the possibility of an acquisition by another company or other change of control. The Board of Directors of the Company (the “Board”) recognizes that such consideration can be a distraction to Executive and can cause Executive to consider alternative employment opportunities. The Board has determined that it is in the best interests of the Company and its stockholders to assure that the Company will have the continued dedication and objectivity of Executive, notwithstanding the possibility, threat or occurrence of a Change of Control (as defined herein) of the Company.",recitals
"RECITALS. The Mortgage Loan Seller desires to sell, assign, transfer, set over and otherwise convey to the Purchaser, without recourse, representation or warranty, other than as set forth herein, and the Purchaser desires to purchase, subject to the terms and conditions set forth herein, the commercial, multifamily and manufactured housing community mortgage loans (collectively, the “Mortgage Loans”) identified on the schedule annexed hereto as Exhibit A (as such schedule may be amended from time to time pursuant to the terms hereof, the “Mortgage Loan Schedule”). The Purchaser intends to create a trust (the “Trust”), the primary assets of which will be a segregated pool of commercial, multifamily and manufactured housing community mortgage loans, that includes the Mortgage Loans. Beneficial ownership of the assets of the Trust (such assets collectively, the “Trust Fund”) will be evidenced by a series of mortgage pass-through certificates (the “Certificates”). Certain classes of the Certificates will be rated by nationally recognized statistical rating organizations (the “Rating Agencies”). Certain classes of Certificates (the “Registered Certificates”) will be registered under the Securities Act of 1933, as amended (the “Securities Act”), and certain classes of Certificates (the “Non-Registered Certificates”) will not be registered under the Securities Act. The Trust will be created and the Certificates will be issued pursuant to a pooling and servicing agreement to be dated as of December 1, 2013 (the “Pooling and Servicing Agreement”), among the Purchaser, as depositor (in such capacity, the “Depositor”), Wells Fargo Bank, National Association, as general master servicer (in such capacity, the “Master Servicer”), NCB, FSB, as NCB master servicer (in such capacity, the “NCB Master Servicer”), Wells Fargo Bank, National Association, as certificate administrator (in such capacity, the “Certificate Administrator”), as tax administrator (in such capacity, the “Tax Administrator”) and as custodian (in such capacity, the “Custodian”), Midland Loan Services, a Division of PNC Bank, National Association, as general special servicer (the “Special Servicer”), NCB, FSB as co-op special servicer (in such capacity, the “Co-op Special Servicer”), Pentalpha Surveillance LLC, as trust advisor (the “Trust Advisor”), and Deutsche Bank Trust Company Americas, as trustee (the “Trustee”). Capitalized terms used but not otherwise defined herein shall have the respective meanings assign...",recitals
"RECITALS. A. The Corporation recognizes that competent and experienced persons are increasingly reluctant to serve or to continue to serve as directors or officers of corporations unless they are protected by comprehensive liability insurance or indemnification, or both, due to increased exposure to litigation costs and risks resulting from their service to such corporations, and due to the fact that the exposure frequently bears no reasonable relationship to the compensation of such directors and officers;",recitals
"RECITALS. A. The Company and each Purchaser is executing and delivering this Agreement in reliance upon the exemption from securities registration afforded by Section 4(2) of the Securities Act of 1933, as amended (the “Securities Act”), and Rule 506 of Regulation D (“Regulation D”) as promulgated by the United States Securities and Exchange Commission (the “Commission”) under the Securities Act.",recitals
"RECITALS. The Company has duly authorized the execution and delivery of this Indenture to provide for the issuance from time to time of its unsecured, [unsubordinated/subordinated] debentures, notes or other evidences of indebtedness (hereinafter called the “Securities”), unlimited as to principal amount, to bear such rates of interest, to mature at such time or times, to be issued in one or more series and to have such other provisions as shall be fixed as hereinafter provided. The Company has duly authorized the execution and delivery of this Indenture. All things necessary to make this Indenture a valid agreement of the Company, in accordance with its terms, have been done. This Indenture is subject to the provisions of the Trust Indenture Act of 1939, as amended, and the rules and regulations of the Securities and Exchange Commission promulgated thereunder that are required to be part of this Indenture and, to the extent applicable, shall be governed by such provisions.",recitals
"RECITALS. The recital and introductory paragraphs hereof are a part hereof, form a basis for this Guaranty and shall be considered prima facie evidence of the facts and documents referred to therein.",recitals
"RECITALS. Borrower wishes to obtain credit from time to time from Bank, and Bank desires to extend credit to Borrower. This Agreement sets forth the terms on which Bank will advance credit to Borrower, and Borrower will repay the amounts owing to Bank.",recitals
"RECITALS. The above recitals are true and correct and are incorporated herein, in their entirety, by this reference.",recitals
"RECITALS. A. The Company and the Investors are executing and delivering this Agreement in reliance upon the exemption from securities registration afforded by the provisions of Regulation D (“Regulation D”), as promulgated by the U.S. Securities and Exchange Commission (the “SEC”) under the Securities Act of 1933, as amended; and",recitals
RECITALS. The foregoing recitals are true and correct and are incorporated herein by this reference.,recitals
"RECITALS. Borrower and Bank are parties to that certain Loan and Security Agreement dated as of April 9, 2010 (as amended from time to time, including by that certain First Amendment to Loan and Security Agreement dated as of August 20, 2010, that certain Second Amendment to Loan and Security Agreement dated as of December 15, 2010, that certain Third Amendment to Loan and Security Agreement dated as of July 26, 2011, that certain Fourth Amendment to Loan and Security Agreement dated as of November 18, 2011, that certain Fifth Amendment to Loan and Security Agreement dated as of March 30, 2012, that certain Sixth Amendment to Loan and Security Agreement dated as of June 26, 2012 and that certain Seventh Amendment to Loan and Security Agreement dated as of February 13, 2013, collectively, the “Agreement”). The parties desire to amend the Agreement in accordance with the terms of this Amendment.",recitals
