clause_text,clause_type
"Registration Expenses. The Registration Expenses of all Registrations shall be borne by the Company. It is acknowledged by the Holders that the Holders shall bear all incremental selling expenses relating to the sale of Registrable Securities, such as Underwriters’ commissions and discounts, brokerage fees, Underwriter marketing costs and, other than as set forth in the definition of “Registration Expenses,” all reasonable fees and expenses of any legal counsel representing the Holders.",registration-expenses
"Registration Expenses. The Company shall bear all costs and expenses incurred in connection with any Demand Registration pursuant to Section 2.1, any Piggy-Back Registration pursuant to Section 2.2, and any registration on Form S-3 effected pursuant to Section 2.3, and all expenses incurred in performing or complying with its other obligations under this Agreement, whether or not the Registration Statement becomes effective, including, without limitation: (i) all registration and filing fees; (ii) fees and expenses of compliance with securities or “blue sky” laws (including fees and disbursements of counsel in connection with blue sky qualifications of the Registrable Securities); (iii) printing expenses; (iv) the Company’s internal expenses (including, without limitation, all salaries and expenses of its officers and employees); (v) the fees and expenses incurred in connection with the listing of the Registrable Securities as required by Section 3.1.11; (vi) Financial Industry Regulatory Authority fees; (vii) fees and disbursements of counsel for the Company and fees and expenses for independent certified public accountants retained by the Company (including the expenses or costs associated with the delivery of any opinions or comfort letters requested pursuant to Section 3.1.9); (viii) the reasonable fees and expenses of any special experts retained by the Company in connection with such registration and (ix) the reasonable fees and expenses of one legal counsel selected by the holders of a majority-in-interest of the Registrable Securities included in such registration. The Company shall have no obligation to pay any underwriting discounts or selling commissions attributable to the Registrable Securities being sold by the holders thereof, which underwriting discounts or selling commissions shall be borne by such holders. Additionally, in an underwritten offering, all selling shareholders and the Company shall bear the expenses of the Underwriter pro rata in proportion to the respective amount of shares each is selling in such offering.",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with this Agreement by the Company shall be borne by the Company whether or not any Registrable Securities are sold pursuant to a Registration Statement. The fees and expenses referred to in the foregoing sentence shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses (A) with respect to filings required to be made with any Trading Market on which the Common Stock is then listed for trading, and (B) in compliance with applicable state securities or Blue Sky laws), (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities and of printing prospectuses if the printing of prospectuses is reasonably requested by the holders of a majority of the Registrable Securities included in the Registration Statement), (iii) messenger, telephone and delivery expenses, (iv) fees and disbursements of counsel for the Company, (v) Securities Act liability insurance, if the Company so desires such insurance, and (vi) fees and expenses of all other Persons retained by the Company in connection with the consummation of the transactions contemplated by this Agreement. In addition, the Company shall be responsible for all of its internal expenses incurred in connection with the consummation of the transactions contemplated by this Agreement (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any annual audit and the fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange as required hereunder.",registration-expenses
"Registration Expenses. (a) All expenses incident to the Company’s and the Guarantors’ performance of or compliance with this Agreement will be borne by the Company and the Guarantors, jointly and severally, regardless of whether a Registration Statement becomes effective, including, without limitation: (i) all registration and filing fees and expenses (including filings made by any Initial Purchaser or Holder with FINRA (and, if applicable, the fees and expenses of any “qualified independent underwriter” and its counsel that may be required by the rules and regulations of FINRA)); (ii) all fees and expenses of compliance with federal securities and state securities or blue sky laws; (iii) all expenses of printing (including printing certificates for the Exchange Securities to be issued in the Exchange Offer and printing of Prospectuses), messenger and delivery services and telephone; (iv) all fees and disbursements of counsel for the Company, the Guarantors and, subject to Section 7(b) hereof, the Holders of Transfer Restricted Securities; (v) all application and filing fees in connection with listing the Exchange Securities on a securities exchange or automated quotation system pursuant to the requirements thereof; and (vi) all fees and disbursements of independent certified public accountants of the Company and the Guarantors (including the expenses of any special audit and comfort letters required by or incident to such performance). Each of the Company and the Guarantors will, in any event, bear its internal expenses (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expenses of any annual audit and the fees and expenses of any Person, including special experts, retained by the Company or the Guarantors.",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with, this Agreement by the Company shall be borne by the Company whether or not any Registrable Securities are sold pursuant to a Registration Statement. The fees and expenses referred to in the foregoing sentence shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses of the Company’s counsel and independent registered public accountants) (A) with respect to filings made with the Commission, (B) with respect to filings required to be made with any Trading Market on which the Common Stock is then listed for trading, (C) in compliance with applicable state securities or Blue Sky laws reasonably agreed to by the Company in writing (including, without limitation, fees and disbursements of counsel for the Company in connection with Blue Sky qualifications or exemptions of the Registrable Securities) and (D) if not previously paid by the Company in connection with an Issuer Filing, with respect to any filing that may be required to be made by any broker through which a Holder intends to make sales of Registrable Securities with FINRA pursuant to FINRA Rule 5110, so long as the broker is receiving no more than a customary brokerage commission in connection with such sale, (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities), (iii) messenger, telephone and delivery expenses, (iv) fees and disbursements of counsel for the Company, (v) Securities Act liability insurance, if the Company so desires such insurance, and (vi) fees and expenses of all other Persons retained by the Company in connection with the consummation of the transactions contemplated by this Agreement. In addition, the Company shall be responsible for all of its internal expenses incurred in connection with the consummation of the transactions contemplated by this Agreement (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any annual audit and the fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange as required hereunder. In no event shall the Company be responsible for any broker or similar commissions of any Holder or, except to the extent provided for in the Transaction Documents, any legal fees or other costs of the Holders.",registration-expenses
"Registration Expenses. (a) Subject to Section 2.2(c), the Issuer shall pay all of the expenses set forth in this Section 2.8(a) in connection with its performance or compliance with this Agreement, including (i) all registration and filing fees, and any other fees and expenses associated with filings required to be made with the SEC or FINRA, (ii) all fees and expenses of compliance with state securities or “Blue Sky” laws, (iii) all printing, duplicating, word processing, messenger, telephone, facsimile and delivery expenses (including expenses of printing certificates for the Registrable Securities in a form eligible for deposit with The Depository Trust Company and of printing prospectuses and Issuer Free Writing Prospectuses), (iv) all fees and disbursements of counsel for the Issuer and of all independent certified public accountants of the Issuer, (v) Securities Act liability insurance or similar insurance if the Issuer so desires or the underwriter or underwriters, if any, so require in accordance with then-customary underwriting practice, (vi) all fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange or the quotation of the Registrable Securities on any inter-dealer quotation system and (vii) all applicable rating agency fees with respect to any applicable Registrable Securities. In addition, in all cases the Issuer shall pay its internal expenses (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any audit and the fees and expenses of any Person, including special experts, retained by the Issuer. In addition, the Issuer shall pay all reasonable fees and disbursements of one law firm or other counsel selected by the holders of a majority of the Registrable Securities being registered.",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with, this Agreement by the Company shall be borne by the Company whether or not any Registrable Securities are sold pursuant to a Registration Statement. The fees and expenses referred to in the foregoing sentence shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses of the Company’s counsel and independent registered public accountants) (A) with respect to filings made with the Commission, (B) with respect to filings required to be made with any Trading Market on which the Common Stock is then listed for trading, and (C) in compliance with applicable state securities or Blue Sky laws reasonably agreed to by the Company in writing (including, without limitation, fees and disbursements of counsel for the Company in connection with Blue Sky qualifications or exemptions of the Registrable Securities), (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities), (iii) messenger, telephone and delivery expenses, (iv) fees and disbursements of counsel for the Company, (v) Securities Act liability insurance, if the Company so desires such insurance, and (vi) fees and expenses of all other Persons retained by the Company in connection with the consummation of the transactions contemplated by this Agreement. In addition, the Company shall be responsible for all of its internal expenses incurred in connection with the consummation of the transactions contemplated by this Agreement (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any annual audit and the fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange as required hereunder. In no event shall the Company be responsible for any broker or similar commissions of any Holder or, except to the extent provided for in the Transaction Documents, any legal fees or other costs of the Holders.",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with this Agreement by the Company, except as and to the extent specified in this Section 4, shall be borne by the Company whether or not the Registration Statement is filed or becomes effective and whether or not any Registrable Securities are sold pursuant to the Registration Statement. The fees and expenses referred to in the foregoing sentence shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses (A) with respect to filings required to be made with any securities exchange or market on which Registrable Securities are required hereunder to be listed, if any, (B) with respect to filing fees required to be paid to the Financial Industry Regulatory Authority, Inc. (including, without limitation, pursuant to FINRA Rule 5110) and (C) in compliance with state securities or Blue Sky laws (including, without limitation, fees and disbursements of one counsel for the Holders up to a maximum amount of $5,000 in connection with Blue Sky qualifications of the Registrable Securities and determination of the eligibility of the Registrable Securities for investment under the laws of such jurisdictions as the Holders of a majority of Registrable Securities may designate)), (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities and of printing prospectuses if the printing of prospectuses is requested by the holders of a majority of the Registrable Securities included in the Registration Statement), (iii) messenger, telephone and delivery expenses, (iv) Securities Act liability insurance, if the Company so desires such insurance, and (v) fees and expenses of all other Persons retained by the Company in connection with the consummation of the transactions contemplated by this Agreement, including, without limitation, the Company’s independent public accountants (including the expenses of any comfort letters or costs associated with the delivery by independent public accountants of a comfort letter or comfort letters). In addition, the Company shall be responsible for all of its internal expenses incurred in connection with the consummation of the transactions contemplated by this Agreement (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any annual audit, the fees and expenses incurred in...",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with this Agreement by the Issuers shall be borne by the Company, whether or not the Exchange Offer Registration Statement or any Shelf Registration Statement is filed or becomes effective or the Exchange Offer is consummated, including, without limitation, (i) all registration and filing fees (including, without limitation, (A) fees with respect to filings required to be made with FINRA in connection with an underwritten offering and (B) fees and expenses of compliance with state securities or Blue Sky laws where required (including, without limitation, fees and disbursements of counsel in connection with Blue Sky qualifications of the Registrable Notes or Exchange Notes and determination of the eligibility of the Registrable Notes or Exchange Notes for investment under the laws of such jurisdictions (x) where the holders of Registrable Notes are located, in the case of the Exchange Notes, or (y) as provided in Section 5(h) hereof, in the case of Registrable Notes or Exchange Notes to be sold by a Participating Broker-Dealer during the Applicable Period)), (ii) printing expenses, including, without limitation, expenses of printing certificates for Registrable Notes or Exchange Notes in a form eligible for deposit with The Depository Trust Company and of printing prospectuses if the printing of prospectuses is requested by the managing underwriter or underwriters, if any, by the Holders of a majority in aggregate principal amount of the Registrable Notes included in any Registration Statement or in respect of Registrable Notes or Exchange Notes to be sold by any Participating Broker-Dealer during the Applicable Period, as the case may be, (iii) messenger, telephone and delivery expenses, (iv) fees and disbursements of counsel for the Issuers and, in the case of a Shelf Registration, reasonable fees and disbursements of one special counsel for all of the sellers of Registrable Notes selected by the Holder of a majority in aggregate principal amount of Registrable Notes covered by such Shelf Registration (exclusive of any counsel retained pursuant to Section 7 hereof), (v) fees and disbursements of all independent certified public accountants referred to in Section 5(n)(iii) hereof (including, without limitation, the expenses of any “cold comfort” letters required by or incident to such performance), (vi) Securities Act liability insurance, if the Issuers desire such insurance, (vii) fees and...",registration-expenses
"Registration Expenses. All fees and expenses incident to the performance of or compliance with this Agreement by the Company shall be borne by the Company whether or not any Registrable Securities are sold pursuant to a Registration Statement. The fees and expenses referred to in the foregoing sentence shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses (A) with respect to filings required to be made with the Trading Market on which the Common Stock is then listed for trading, (B) in compliance with applicable state securities or Blue Sky laws reasonably agreed to by the Company in writing (including, without limitation, fees and disbursements of counsel for the Company in connection with Blue Sky qualifications or exemptions of the Registrable Securities and determination of the eligibility of the Registrable Securities for investment under the laws of such jurisdictions as requested by the Holders) and (C) if not previously paid by the Company in connection with an Issuer Filing, with respect to any filing that may be required to be made by any broker through which a Holder intends to make sales of Registrable Securities with NASD Regulation, Inc. pursuant to the NASD Rule 2710, so long as the broker is receiving no more than a customary brokerage commission in connection with such sale, (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities and of printing prospectuses if the printing of prospectuses is reasonably requested by the holders of a majority of the Registrable Securities included in a Registration Statement), (iii) messenger, telephone and delivery expenses, (iv) fees and disbursements of counsel for the Company, (v) Securities Act liability insurance, if the Company so desires such insurance, and (vi) fees and expenses of all other Persons retained by the Company in connection with the consummation of the transactions contemplated by this Agreement. In addition, the Company shall be responsible for all of its internal expenses incurred in connection with the consummation of the transactions contemplated by this Agreement (including, without limitation, all salaries and expenses of its officers and employees performing legal or accounting duties), the expense of any annual audit and the fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange as required hereunder. In no event sh...",registration-expenses
"Registration Expenses. The Company shall bear all fees and expenses incurred in connection with the performance by the Company of its obligations under Sections 2 and 3 of this Agreement whether or not any of the Registration Statements are declared effective. Such fees and expenses shall include, without limitation, (i) all registration and filing fees (including, without limitation, fees and expenses (x) with respect to filings required to be made with the National Association of Securities Dealers, Inc. and (y) of compliance with federal and state securities or Blue Sky laws to the extent such filings or compliance are required pursuant to this Agreement (including, without limitation, reasonable fees and disbursements of the counsel specified in the next sentence in connection with Blue Sky qualifications of the Registrable Securities under the laws of such jurisdictions as the Notice Holders of a majority of the Registrable Securities being sold pursuant to a Registration Statement may designate)), (ii) printing expenses (including, without limitation, expenses of printing certificates for Registrable Securities in a form eligible for deposit with The Depository Trust Company), (iii) duplication expenses relating to copies of any Registration Statement or Prospectus delivered to any Holders hereunder, (iv) fees and disbursements of counsel for the Company in connection with the Shelf Registration Statement, and (v) reasonable fees and disbursements of the Trustee and its counsel and of the registrar and transfer agent for the Common Stock. In addition, the Company shall bear or reimburse the Notice Holders for the fees and disbursements of one firm of legal counsel for the Holders, which shall, upon the written consent of the Initial Purchaser (which shall not be unreasonably withheld), be a nationally recognized law firm experienced in securities law matters designated by the Company. In addition, the Company shall pay the internal expenses of the Company (including, without limitation, all salaries and expenses of officers and employees performing legal or accounting duties), the expense of any annual audit, the fees and expenses incurred in connection with the listing of the Registrable Securities on any securities exchange on which the same securities of the Company are then listed and the fees and expenses of any person, including special experts, retained by the Company.",registration-expenses
"Registration Expenses. All expenses incident to the Company’s performance of or compliance with this Agreement, including without limitation (i) all registration and filing fees, and any other fees and expenses associated with filings required to be made with any stock exchange, the Commission and FINRA (including, if applicable, the fees and expenses of any “qualified independent underwriter” and its counsel as may be required by the rules and regulations of FINRA), (ii) all fees and expenses of compliance with state securities or blue sky laws (including fees and disbursements of counsel for the underwriters or Selling Investors in connection with blue sky qualifications of the Shares and determination of their eligibility for investment under the laws of such jurisdictions as the managing underwriters or the Demand Holders may designate), (iii) all printing and related messenger and delivery expenses (including expenses of printing certificates for the Shares in a form eligible for deposit with The Depository Trust Company and of printing prospectuses, all fees and disbursements of counsel for the Company and of all independent certified public accountants of the Company and its Subsidiaries (including the expenses of any special audit and “cold comfort” letters required by or incident to such performance)), (iv) all fees and expenses incurred in connection with the listing of the Shares on any securities exchange and all rating agency fees, (v) all reasonable and documented out-of-pocket fees and disbursements of the Selling Investors’ Counsel, (vi) all fees and documented out-of-pocket disbursements of underwriters customarily paid by the issuer or sellers of securities, including liability insurance if the Company so desires or if the underwriters so require and expenses of any special experts retained in connection with the requested registration (excluding underwriting discounts and commissions and transfer taxes, if any, and fees and disbursements of counsel to underwriters (other than such fees and disbursements incurred in connection with any registration or qualification of Shares under the securities or blue sky laws of any state)), (vii) Securities Act liability insurance or similar insurance if the Company or the underwriters so require in accordance with then-customary underwriting practice, (viii) fees and expenses of other Persons retained by the Company, and the reasonable and documented fees and expenses of one legal counsel chosen by the Holders of a majorit...",registration-expenses
"Registration Expenses. All expenses relating to the Company's compliance with Sections 2 and 3 hereof, including, without limitation, all registration and filing fees, printing expenses, fees and disbursements of counsel and independent public accountants for the Company, fees and expenses (including reasonable counsel fees) incurred in connection with complying with state securities or ""blue sky"" laws, fees of the NASD, transfer taxes, fees of transfer agents and registrars, fees of, and disbursements incurred by, one counsel for the Holders (to the extent such counsel is required due to Company's failure to meet any of its obligations hereunder), are called ""Registration Expenses"". All selling commissions applicable to the sale of Registrable Securities, including any fees and disbursements of any special counsel to the Holders beyond those included in Registration Expenses, are called ""Selling Expenses."" The Company shall only be responsible for all Registration Expenses.",registration-expenses
"Registration Expenses. The Company shall bear all fees and expenses incurred in connection with the performance of its obligations under Sections 1 through 3 hereof (including the reasonable fees and expenses, if any, of Cravath, Swaine & Moore LLP, counsel for the Initial Purchasers, incurred in connection with the Registered Exchange Offer), whether or not the Registered Exchange Offer or a Shelf Registration is filed or becomes effective, and, in the event of a Shelf Registration, shall bear or reimburse the Holders of the Securities covered thereby for the reasonable fees and disbursements of one firm of counsel designated by the Holders of a majority in principal amount of the Initial Securities covered thereby to act as counsel for the Holders of the Initial Securities in connection therewith.",registration-expenses
