clause_text,clause_type
"Registration Procedures. In connection with the Company’s registration obligations hereunder, the Company shall:",registration-procedures
"Registration Procedures. Whenever the holders of Registrable Securities have requested that any Registrable Securities be registered pursuant to this Agreement, the Company shall use its best efforts to effect the registration and the sale of such Registrable Securities in accordance with the intended method of disposition thereof, and pursuant thereto the Company shall as expeditiously as possible:",registration-procedures
"Registration Procedures. If and whenever the Company is required by the provisions hereof to effect the registration of any Registrable Securities under the Securities Act, the Company will, as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the filing of any Registration Statement pursuant to Section 2 or 3 hereof, the Issuers shall effect such registrations to permit the sale of the securities covered thereby in accordance with the intended method or methods of disposition thereof, and pursuant thereto and in connection with any Registration Statement filed by the Issuers hereunder, the Issuers shall:",registration-procedures
"Registration Procedures. In the case of each registration, qualification or compliance effected by the Company pursuant to this Section 1, the Company will keep each Holder advised in writing as to the initiation of each registration, qualification and compliance and as to the completion thereof. At its expense the Company will:",registration-procedures
"Registration Procedures. In connection with any Shelf Registration contemplated by Section 2 hereof and, to the extent applicable, any Registered Exchange Offer contemplated by Section 1 hereof, the following provisions shall apply:",registration-procedures
"Registration Procedures. In the case of each registration effected by the Company pursuant to this Section 2, the Company will keep the Holders, as applicable, advised in writing as to the initiation of each registration and as to the completion thereof. At its expense, the Company will:",registration-procedures
"Registration Procedures. If and whenever the Company is required to use its best efforts to effect the registration of any Registrable Securities under the Securities Act as provided in Sections 2.1 and 2.2, the Company will as expeditiously as possible:",registration-procedures
"Registration Procedures. In the case of each registration effected by the Company pursuant to Section 2, the Company will keep each Holder advised in writing as to the initiation of each registration and as to the completion thereof. At its expense, the Company will use its commercially reasonable efforts to:",registration-procedures
"Registration Procedures. If and whenever the Company is required by the provisions of this Agreement to use its best efforts to effect the registration of any of the Registrable Shares under the Securities Act, the Company shall:",registration-procedures
"Registration Procedures. (a) In connection with their obligations pursuant to Section 2(a) and Section 2(b) hereof, the Company and the Guarantors shall as expeditiously as possible:",registration-procedures
"Registration Procedures. If and whenever the Company is required to use its reasonable best efforts to effect the registration of any Registrable Securities under the Securities Act as provided in Section 2 and Section 3 hereof, the Company shall effect such registration to permit the sale of such Registrable Securities in accordance with the intended method or methods of disposition thereof, and pursuant thereto the Company shall cooperate in the sale of the securities and shall, as expeditiously as possible:",registration-procedures
"Registration Procedures. If and whenever the Company is required by any of the provisions of this Agreement to effect the registration of any of the Registrable Securities under the Act, the Company shall (except as otherwise provided in this Agreement), as expeditiously as possible:",registration-procedures
"Registration Procedures. If and whenever the Company is required by the provisions of Sections 4, 5 or 6 to use its best efforts to effect the registration of any shares of Restricted Stock under the Securities Act, the Company will, as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the obligations of the Company with respect to the Registration Statements pursuant to Sections 2(a) and 2(b) hereof, the Company shall:",registration-procedures
"Registration Procedures. In connection with any Registration Statement, the following provisions shall apply:",registration-procedures
"Registration Procedures. If the Company files a registration statement pursuant to Section 2(a) or Section 2(b), the following provisions shall apply:",registration-procedures
"Registration Procedures. Whenever any Stockholders request that any Registrable Securities be registered pursuant to Section 1.01 or 1.02 hereof, subject to the provisions of such Sections, the Company shall use its best efforts to effect the registration and the sale of such Registrable Securities in accordance with the intended method of disposition thereof as quickly as practicable, and, in connection with any such request:",registration-procedures
"Registration Procedures. In connection with the registration obligations of the Company under Section 2 hereof, the Company shall:",registration-procedures
"Registration Procedures. Whenever any Holder has requested that any Registrable Securities be registered pursuant to this Agreement, the Company will use its reasonable best efforts to effect the registration and the sale of such Registrable Securities in accordance with the intended method of disposition thereof as promptly as is practicable, and pursuant thereto the Company will as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the Company's registration obligations under Section 2 hereof, the Company shall effect such registrations to permit the sale of the Registrable Securities in accordance with the intended method or methods of disposition thereof, and pursuant thereto the Company shall as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the obligations of the Company with respect to the Registration Statements pursuant to Section 2(a) and Section 2(b) hereof, the Company shall as expeditiously as possible:",registration-procedures
"Registration Procedures. If and whenever the Company is required by the provisions of Section 11.1(i), 11.1(ii), or (iv) to effect the registration of any Registrable Securities under the 1933 Act, the Company will, as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the Shelf Registration Statement, the following provisions shall apply:",registration-procedures
"Registration Procedures. In connection with any Shelf Registration Statement and, to the extent applicable, any Exchange Offer Registration Statement, the following provisions shall apply:",registration-procedures
"Registration Procedures. Whenever the Holders request that any Registrable Common Stock be registered pursuant to this Agreement, the Company shall use its commercially reasonable efforts to effect and maintain the registration and the sale of such Registrable Common Stock in accordance with the intended methods of disposition thereof, and pursuant thereto the Company shall as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the obligations of the Company with respect to any registration pursuant to this Agreement, the Company shall use its commercially reasonable efforts to effect or cause to be effected the registration of the Registrable Shares under the Securities Act to permit the sale of such Registrable Shares by the Holder or Holders in accordance with the Holder’s or Holders’ intended method or methods of distribution, and the Company shall:",registration-procedures
"Registration Procedures. (a) In connection with the Company’s Registration obligations under Sections 2.01, 2.02 and 2.03 and subject to the applicable terms and conditions set forth therein, the Company shall use its reasonable best efforts to effect such Registration to permit the sale of such Registrable Securities in accordance with the intended method or methods of distribution thereof as expeditiously as reasonably practicable, and in connection therewith the Company shall:",registration-procedures
"Registration Procedures. (a) In connection with the Shelf Registration Statement, the Issuer shall comply with all the provisions of Section 4(b) hereof and shall use its best efforts to effect such registration to permit the sale of the Transfer Restricted Securities being sold in accordance with the intended method or methods of distribution thereof, and pursuant thereto, shall as expeditiously as possible prepare and file with the Commission a Shelf Registration Statement relating to the registration on any appropriate form under the Securities Act.",registration-procedures
"Registration Procedures. If and whenever the Company is required to effect the registration of any Registrable Securities under the 1933 Act as provided in Section 2.2 and, as applicable, 2.3, the Company shall, as expeditiously as possible:",registration-procedures
"Registration Procedures. (a) In connection with their obligations pursuant to Section 2(a) and Section 2(b) hereof, the Company and the Guarantors shall:",registration-procedures
"Registration Procedures. If and whenever the Company is required by the provisions of this Agreement to effect or cause the registration of and/or participate in any offering or sale of any Registrable Securities under the Securities Act as provided in this Agreement (or use reasonable best efforts to accomplish the same), the Company shall, as expeditiously as possible:",registration-procedures
"Registration Procedures. In connection with the Shelf Registration contemplated by Section 1 hereof, the following provisions shall apply:",registration-procedures
"Registration Procedures. All expenses incurred in connection with the registrations under this Article 17 (including all registration, filing, qualification, legal, printer and accounting fees, but excluding underwriting commissions and discounts), shall be borne by VPI. In connection with registrations under Sections 17.1 and 17.2, VPI shall (i) use its best efforts to prepare and file with the SEC as soon as reasonably practicable, a registration statement with respect to the VPI Stock and use its best efforts to cause such registration to promptly become and remain effective for a period of at least 45 days (or such shorter period during which the Founding Stockholders shall have sold all VPI Stock which they requested to be registered); (ii) use its best efforts to register and qualify the VPI Stock covered by such registration statement under applicable state securities laws as the holders shall reasonably request for the distribution for the VPI Stock; and (iii) take such other actions as are reasonable and necessary to comply with the requirements of the 1933 Act and the regulations thereunder to enable the Founding Stockholders to sell their shares pursuant thereto.",registration-procedures
"Registration Procedures. (a) In connection with any registration pursuant to Section 3 hereof, the Company will prepare and file with the SEC, a Registration Statement, and any amendments and supplements thereto, on any form for which the Company then qualifies or which counsel for the Company shall deem appropriate, and use its reasonable efforts to cause such Registration Statement to become effective; provided that before filing with the SEC a Registration Statement or prospectus -------- or any amendments or supplements thereto, the Company will (i) furnish to counsel selected by the Purchaser copies of all such documents proposed to be filed, which documents will be subject to the review of such counsel, and (ii) notify the Purchaser of any stop order issued or threatened by the SEC and take all reasonable actions required to prevent the entry of such stop order or to remove it if entered. The Company will also (i) promptly notify the Purchaser of the effectiveness of such Registration Statement, (ii) furnish to the Purchaser such number of copies of such Registration Statement, and each amendment and supplement thereto, the Prospectus included in such Registration Statement and such other documents as the Purchaser may reasonably request; (iii) use its reasonable efforts to register or qualify such securities to be registered under such other securities or blue sky laws of such jurisdictions as the Purchaser reasonably requests; (iv) use its reasonable efforts to cause all such securities to be registered to be listed on each securities exchange on which similar securities issued by the Company are then listed, and to provide a transfer agent and registrar for such securities to be registered no later than the effective date of such Registration Statement; (v) enter in to such customary agreements (including an underwriting agreement in customary form) and take all such other actions as the Lenders or the underwriters retained by the Purchaser, if any, reasonably request in order to expedite or facilitate the disposition of such securities to be registered, including customary indemnification; and (vi) otherwise use its reasonable efforts to comply with all applicable rules and regulations of the SEC. The terms of this Section 4 shall not require the Company to qualify as a foreign corporation or as a dealer in securities or to execute or file any general consent to service of process under the laws of any such jurisdiction where it is not so subject.",registration-procedures
