clause_text,clause_type
"Registration. The Certificate Administrator shall be the initial Certificate Registrar in respect of the Certificates and the Certificate Registrar shall maintain books for the registration and for the transfer of Certificates (the “Certificate Register”). The Certificate Registrar may resign or be discharged or removed by the Certificate Administrator or the Certificateholders, and a new successor may be appointed, in accordance with the procedures and requirements set forth in Sections 7.6 and 7.7 hereof with respect to the resignation, discharge or removal of the Certificate Administrator and the appointment of a successor Certificate Administrator. The Certificate Registrar may appoint, by a written instrument delivered to the Holders and the Trustee, any trust company to act as co-registrar under such conditions as the Certificate Registrar may prescribe; provided that the Certificate Registrar shall not be relieved of any of its duties or responsibilities hereunder by reason of such appointment.",registration
"Registration. Counterparty hereby agrees that if, in the good faith reasonable judgment of Dealer, based on the advice of counsel, the Shares (“Hedge Shares”) acquired by Dealer for the purpose of hedging its obligations pursuant to the Transaction cannot be sold in the public market by Dealer without registration under the Securities Act, Counterparty shall, at its election, either (i) in order to allow Dealer to sell the Hedge Shares in a registered offering, make available to Dealer an effective registration statement under the Securities Act and enter into an agreement, in form and substance satisfactory to Dealer, substantially in the form of an underwriting agreement for a registered secondary offering of similar size; provided, however, that if Dealer, in its sole reasonable discretion, is not satisfied with access to due diligence materials, the results of its due diligence investigation, or the procedures and documentation for the registered offering referred to above, then clause (ii) or clause (iii) of this paragraph shall apply at the election of Counterparty, (ii) in order to allow Dealer to sell the Hedge Shares in a private placement, enter into a private placement agreement substantially similar to private placement purchase agreements customary for private placements of equity securities of similar size, in form and substance satisfactory to Dealer (in which case, the Calculation Agent shall make any adjustments to the terms of the Transaction that are necessary, in its reasonable judgment, to compensate Dealer for any discount from the public market price of the Shares incurred on the sale of Hedge Shares in a private placement of similar size), or (iii) purchase the Hedge Shares from Dealer at the then-current market price on such Exchange Business Days, and in the amounts and at such time(s), requested by Dealer.",registration
"Registration. (a) On or prior to the Filing Date the Company shall prepare and file with the Commission a Registration Statement covering the Registrable Securities for an offering to be made on a continuous basis pursuant to Rule 415. The Registration Statement shall be on Form SB-2 (except if the Company is not then eligible to register for resale the Registrable Securities on Form SB-2, in which case such registration shall be on another appropriate form in accordance herewith). The Company shall cause the Registration Statement to become effective and remain effective as provided herein. The Company shall use its reasonable commercial efforts to cause the Registration Statement to be declared effective under the Securities Act as promptly as possible after the filing thereof, but in any event no later than the Effectiveness Date. The Company shall use its reasonable commercial efforts to keep the Registration Statement continuously effective under the Securities Act until the date which is the earlier date of when (i) all Registrable Securities have been sold or (ii) all Registrable Securities may be sold immediately without registration under the Securities Act and without volume restrictions pursuant to Rule 144(k), as determined by the counsel to the Company pursuant to a written opinion letter to such effect, addressed and acceptable to the Company's transfer agent and the affected Holders (the ""Effectiveness Period"").",registration
"Registration. As soon as practicable, effect such registration and all such qualifications and compliances as may be so requested and as would permit or facilitate the sale and distribution of all or such portion of such Holders or Holders’ Registrable Securities as are specified in such request, together with all or such portion of the Registrable Securities of any other Holder or Holders joining in such request as are specified in a written request given within twenty (20) days after the Company provides the notice contemplated by Section 2.5(a); provided, however, that the Company shall not be obligated to effect any such registration, qualification or compliance pursuant to this Section 2.5:",registration
"Registration. 2.1 The Company shall, within thirty (30) calendar days upon the date of execution of this Agreement, use its best efforts to file with the SEC a Registration Statement or Registration Statements (as is necessary) on Form S-1 (or, if such form is unavailable for such a registration, on such other form as is available for such registration), covering the resale of all of the Registrable Securities, which Registration Statement(s) shall state that, in accordance with Rule 416 promulgated under the 1933 Act, such Registration Statement also covers such indeterminate number of additional shares of Common Stock as may become issuable upon stock splits, stock dividends or similar transactions. The Company shall initially register for resale all of the Registrable Securities which would be issuable on the date preceding the filing of the Registration Statement based on the closing bid price of the Company’s Common Stock on such date and the amount reasonably calculated that represents Common Stock issuable to other parties as set forth in the Equity Financing Agreement except to the extent that the SEC requires the share amount to be reduced as a condition of effectiveness.",registration
"Registration. (a) On or prior to the Filing Deadline, the Company shall prepare and file with the Commission a Registration Statement covering the resale of all of the Registrable Securities not already covered by an existing and effective Registration Statement for an offering to be made on a continuous basis pursuant to Rule 415 or, if Rule 415 is not available for offers and sales of the Registrable Securities, by such other means of distribution of Registrable Securities as the Company may reasonably determine (the “Initial Registration Statement”). The Initial Registration Statement shall be on Form S-3 (except if the Company is then ineligible to register for resale of the Registrable Securities on Form S-3, in which case such registration shall be on such other form available to the Company to register for resale of the Registrable Securities as a secondary offering) subject to the provisions of Section 2(f) and shall contain (except if otherwise required pursuant to written comments received from the Commission upon a review of such Registration Statement) the “Plan of Distribution” section substantially in the form attached hereto as Annex A. Notwithstanding the registration obligations set forth in this Section 2, in the event the Commission informs the Company that all of the Registrable Securities cannot, as a result of the application of Rule 415, be registered for resale as a secondary offering on a single registration statement, the Company agrees to promptly (i) inform each of the Holders thereof and use its commercially reasonable efforts to file amendments to the Initial Registration Statement as required by the Commission and/or (ii) withdraw the Initial Registration Statement and file a new registration statement (a “New Registration Statement”), in either case covering the maximum number of Registrable Securities permitted to be registered by the Commission, on Form S-3 or such other form available to the Company to register for resale the Registrable Securities as a secondary offering; provided, that prior to filing such amendment or New Registration Statement, the Company shall be obligated to use its commercially reasonable efforts to advocate with the Commission for the registration of all of the Registrable Securities in accordance with the SEC Guidance, including without limitation, Compliance and Disclosure Interpretation 612.09. Notwithstanding any other provision of this Agreement and subject to the payment of Liquidated Damages in Section ...",registration
"Registration. (a) Subject to the terms and conditions of this Agreement, the Company shall prepare and file, no later than thirty (30) days from the date hereof (the ""Scheduled Filing Deadline""), with the SEC a registration statement on Form S-1 or SB-2 (or, if the Company is then eligible, on Form S-3) under the 1933 Act (the ""Initial Registration Statement"") for the registration for the resale by all Investors who purchased Convertible Debentures pursuant to the Securities Purchase Agreement _________ shares of Common Stock to be issued upon conversion of the Convertible Debentures issued pursuant to the Securities Purchase Agreement and the Investor's Shares. The Company shall cause the Registration Statement to remain effective until all of the Registrable Securities have been sold. Prior to the filing of the Registration Statement with the SEC, the Company shall furnish a copy of the Initial Registration Statement to the Investors and Butler Gonzalez LLP for their review and comment. The Investors and Butler Gonzalez LLP shall furnish comments on the Initial Registration Statement to the Company within twenty-four (24) hours of the receipt thereof from the Company.",registration
"Registration. (a) The Company covenants and agrees that as promptly as practicable after the date that the Company becomes subject to the reporting requirements of Section 13 or 15(d) of the Exchange Act (and in any event no later than 30 days thereafter), the Company shall prepare and file with the SEC a Shelf Registration Statement covering all Registrable Securities (or otherwise designate an existing shelf registration on an appropriate form under Rule 415 under the Securities Act (a “Shelf Registration Statement”) filed with the SEC to cover the Registrable Securities), and, to the extent the Shelf Registration Statement has not theretofore been declared effective or is not automatically effective upon such filing, the Company shall use reasonable best efforts to cause such Shelf Registration Statement to be declared or become effective and to keep such Shelf Registration Statement continuously effective and in compliance with the Securities Act and usable for resale of such Registrable Securities for a period from the date of its initial effectiveness until such time as there are no Registrable Securities remaining (including by refiling such Shelf Registration Statement (or a new Shelf Registration Statement) if the initial Shelf Registration Statement expires). Notwithstanding the foregoing, if the Company is not eligible to file a registration statement on Form S-3, then the Company shall not be obligated to file a Shelf Registration Statement unless and until requested to do so in writing by Treasury.",registration
"Registration. (a) On or prior to the Filing Date, the Company shall prepare and file with the Commission a Registration Statement covering the resale of all Registrable Securities not already covered by an existing and effective Registration Statement for an offering to be made on a continuous basis pursuant to Rule 415. The Registration Statement shall be on Form S-3 (except if the Company is not then eligible to register for resale the Registrable Securities on Form S-3, in which case such registration shall be on another appropriate form for such purpose) and shall contain (except if otherwise required pursuant to written comments received from the Commission upon a review of such Registration Statement) the ""Plan of Distribution"" attached hereto as Annex A with respect to the Holders. The Company shall cause the Registration Statement to be declared effective under the Securities Act as soon as possible but, in any event, no later than the Effectiveness Date for such Registration Statement, and shall use its best efforts to keep the Registration Statement continuously effective under the Securities Act until the earliest of (i) the date which is five years after the date that the Registration Statement is declared effective by the Commission or (ii) such time as all Registrable Securities covered by such Registration Statement may be resold by the Holders without volume restrictions under Rule 144(k) promulgated under the Securities Act or (iii) the date on which the Holders shall have publicly sold all the Registrable Securities (the ""Effectiveness Period"").",registration
"Registration. The terms “register,” “registered,” and “registration” refer to a registration effected by preparing and filing a registration statement in compliance with the Securities Act, and the declaration or ordering of effectiveness of such registration statement.",registration
