clause_text,clause_type
"Reimbursement. If in any year in which the Advisory Agreement is still in effect, the estimated aggregate Fund Operating Expenses of such Fund for the fiscal year are less than the Operating Expense Limit for that year, the Adviser may be entitled to reimbursement by such Fund, in whole or in part as provided below, of the fees or expenses waived or reduced by the Adviser and other payments remitted by the Adviser to such Fund pursuant to Section 1 hereof. The total amount of reimbursement to which the Adviser may be entitled (“Reimbursement Amount”) shall equal, at any time, the sum of all fees previously waived or reduced by the Adviser and all other payments remitted by the Adviser to the Fund pursuant to Section 1 hereof, during any of the previous three (3) fiscal years, less any reimbursement previously paid by such Fund to the Adviser pursuant to this Section 2, with respect to such waivers, reductions, and payments. The Reimbursement Amount shall not include any additional charges or fees whatsoever, including, e.g., interest accruable on the Reimbursement Amount.",reimbursement
"Reimbursement. If any Purchaser becomes involved in any capacity in any Proceeding by or against any Person who is a stockholder of the Company (except as a result of sales, pledges, margin sales and similar transactions by such Purchaser to or with any current stockholder), solely as a result of such Purchaser’s acquisition of the Securities under this Agreement, the Company will reimburse such Purchaser for its reasonable legal and other expenses (including the cost of any investigation preparation and travel in connection therewith) incurred in connection therewith, as such expenses are incurred. The reimbursement obligations of the Company under this paragraph shall be in addition to any liability which the Company may otherwise have, shall extend upon the same terms and conditions to any Affiliates of the Purchasers who are actually named in such action, proceeding or investigation, and partners, directors, agents, employees and controlling persons (if any), as the case may be, of the Purchasers and any such Affiliate, and shall be binding upon and inure to the benefit of any successors, assigns, heirs and personal representatives of the Company, the Purchasers and any such Affiliate and any such Person. The Company also agrees that neither the Purchasers nor any such Affiliates, partners, directors, agents, employees or controlling persons shall have any liability to the Company or any Person asserting claims on behalf of or in right of the Company solely as a result of acquiring the Securities under this Agreement.",reimbursement
"Reimbursement. If the Issuing Bank shall make any LC Disbursement in respect of a Letter of Credit, the Borrower shall reimburse such LC Disbursement by paying to the Administrative Agent an amount equal to such LC Disbursement not later than 12:00 noon, New York City time, on the date that such LC Disbursement is made, if the Borrower shall have received notice of such LC Disbursement prior to 10:00 a.m., New York City time, on such date, or, if such notice has not been received by the Borrower prior to such time on such date, then not later than 12:00 noon, New York City time, on (i) the Business Day that the Borrower receives such notice, if such notice is received prior to 10:00 a.m., New York City time, on the day of receipt, or (ii) the Business Day immediately following the day that the Borrower receives such notice, if such notice is not received prior to such time on the day of receipt; provided that the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 that such payment be financed with an ABR Revolving Borrowing in an equivalent amount and, to the extent so financed, the Borrower’s obligation to make such payment shall be discharged and replaced by the resulting ABR Revolving Borrowing. If the Borrower fails to make such payment when due, the Administrative Agent shall notify each Lender of the applicable LC Disbursement, the payment then due from the Borrower in respect thereof and such Lender’s Applicable Percentage thereof. Promptly following receipt of such notice, each Lender shall pay to the Administrative Agent its Applicable Percentage of the payment then due from the Borrower, in the same manner as provided in Section 2.05 with respect to Loans made by such Lender (and Section 2.05 shall apply, mutatis mutandis, to the payment obligations of the Lenders), and the Administrative Agent shall promptly pay to the Issuing Bank the amounts so received by it from the Lenders. Promptly following receipt by the Administrative Agent of any payment from the Borrower pursuant to this paragraph, the Administrative Agent shall distribute such payment to the Issuing Bank or, to the extent that Lenders have made payments pursuant to this paragraph to reimburse the Issuing Bank, then to such Lenders and the Issuing Bank as their interests may appear. Any payment made by a Lender pursuant to this paragraph to reimburse the Issuing Bank for any LC Disbursement (other than the funding of ABR Revolving Loans as ...",reimbursement
"Reimbursement. In the event of any drawing under any Letter of Credit, the Issuing Lender will promptly notify the Borrower. Unless the Borrower shall immediately notify the Issuing Lender that the Borrower intends to otherwise reimburse the Issuing Lender for such drawing, the Borrower shall be deemed to have requested that the Lenders make a Revolving Loan in the amount of the drawing as provided in subsection (e) below on the related Letter of Credit, the proceeds of which will be used to satisfy the related reimbursement obligations. The Borrower promises to reimburse the Issuing Lender on the day of drawing under any Letter of Credit (either with the proceeds of a Revolving Loan obtained hereunder or otherwise) in same day funds. If the Borrower shall fail to reimburse the Issuing Lender as provided hereinabove, the unreimbursed amount of such drawing shall bear interest at a per annum rate equal to the Adjusted Base Rate plus 2%. The Borrower's reimbursement obligations hereunder shall be absolute and unconditional under all circumstances irrespective of any rights of setoff, counterclaim or defense to payment the Borrower may claim or have against the Issuing Lender, the Agent, the Lenders, the beneficiary of the Letter of Credit drawn upon or any other Person, including without limitation any defense based on any failure of the Borrower or any other Credit Party to receive consideration or the legality, validity, regularity or unenforceability of the Letter of Credit. The Issuing Lender will promptly notify the other Lenders of the amount of any unreimbursed drawing and each Lender shall promptly pay to the Agent for the account of the Issuing Lender in Dollars and in immediately available funds, the amount of such Lender's pro rata share of such unreimbursed drawing. Such payment shall be made on the day such notice is received by such Lender from the Issuing Lender if such notice is received at or before 2:00 P.M. (Charlotte, North Carolina time) otherwise such payment shall be made at or before 12:00 Noon (Charlotte, North Carolina time) on the Business Day next succeeding the day such notice is received. If such Lender does not pay such amount to the Issuing Lender in full upon such request, such Lender shall, on demand, pay to the Agent for the account of the Issuing Lender interest on the unpaid amount during the period from the date of such drawing until such Lender pays such amount to the Issuing Lender in full at a rate per annum equal to, if paid within...",reimbursement
"Reimbursement. If the Issuing Bank shall make any LC Disbursement in respect of a Letter of Credit, the Borrower shall reimburse such LC Disbursement by paying to the Administrative Agent in the currency of such LC Disbursement an amount equal to such LC Disbursement not later than 12:00 noon, New York City time, on the date that such LC Disbursement is made, if the Borrower shall have received notice of such LC Disbursement prior to 10:00 a.m., New York City time, on such date, or, if such notice has not been received by the Borrower prior to such time on such date, then not later than 12:00 noon, New York City time, on the Business Day immediately following the day that the Borrower receives such notice; provided that if such LC Disbursement is denominated in Dollars and is not less than $1,000,000, the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 that such payment be financed with an ABR Revolving Borrowing in an equivalent amount and, to the extent so financed, the Borrower’s obligation to make such payment shall be discharged and replaced by the resulting ABR Revolving Borrowing. If the Borrower fails to make such payment when due, (A) if such payment relates to a Letter of Credit denominated in an Alternative Currency, automatically and no further action required, the obligations of the Borrower to reimburse the applicable LC Disbursement shall be permanently converted into an obligation to reimburse the Dollar Amount, calculated using the Exchange Rate on the applicable LC Participation Calculation Date, of such LC Disbursement and (B) in the case of each LC Disbursement, the Administrative Agent shall notify each Revolving Lender of the applicable LC Disbursement, the payment then due from the Borrower in respect thereof and such Revolving Lender’s Revolving Commitment Percentage thereof. Promptly following receipt of such notice, each Revolving Lender shall pay to the Administrative Agent its Revolving Commitment Percentage of the payment then due from the Borrower, in the same manner as provided in Section 2.04 with respect to Loans made by such Revolving Lender (and Section 2.04 shall apply, mutatis mutandis, to such payment obligations of the Revolving Lenders), and the Administrative Agent shall promptly pay to the Issuing Bank the amounts so received by it from the Revolving Lenders. Promptly following receipt by the Administrative Agent of any payment from the Borrower pursuant to this parag...",reimbursement
"Reimbursement. If the Issuing Lender shall make any LC Disbursement in respect of a Letter of Credit, the Borrower shall reimburse the Issuing Lender in respect of such LC Disbursement by paying to the Administrative Agent an amount equal to such LC Disbursement not later than 1:00 p.m., New York City time, on (i) the Business Day that the Borrower receives notice of such LC Disbursement, if such notice is received prior to 10:00 a.m., New York City time, or (ii) the Business Day immediately following the day that the Borrower receives such notice, if such notice is not received prior to such time, provided that, if such LC Disbursement is not less than $1,000,000, the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 that such payment be financed with an ABR Revolving Borrowing or a Swing Line Loan in an equivalent amount and, to the extent so financed, the Borrower’s obligation to make such payment shall be discharged and replaced by the resulting ABR Revolving Borrowing or Swing Line Loan. If the Borrower fails to make such payment when due, the Administrative Agent shall notify each Revolving Lender of the applicable LC Disbursement, the payment then due from the Borrower in respect thereof and such Lender’s Applicable Percentage thereof.",reimbursement
"Reimbursement. If an Issuing Bank shall make any LC Disbursement in respect of a Letter of Credit, the Borrowers shall reimburse such LC Disbursement by paying to the Administrative Agent an amount equal to such LC Disbursement not later than 4:00 p.m., New York City time, on the Business Day immediately following the day that the Borrowers receive notice of such LC Disbursement; provided that, if such LC Disbursement is not less than $1,000,000, the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 or 2.04 that such payment be financed with an ABR Revolving Borrowing or a Swingline Loan, in each case in an equivalent amount, and, to the extent so financed, the Borrowers’ obligation to make such payment shall be discharged and replaced by the resulting ABR Revolving Borrowing or Swingline Loan. If the Borrowers fail to make such payment when due, the Administrative Agent shall notify each Revolving Lender of the applicable LC Disbursement, the payment then due from the Borrowers in respect thereof and such Revolving Lender’s Applicable Percentage thereof. Promptly following receipt of such notice, each Revolving Lender shall pay to the Administrative Agent its Applicable Percentage of the payment then due from the Borrowers, in dollars and in the same manner as provided in Section 2.06 with respect to Loans made by such Lender (and Section 2.06 shall apply, mutatis mutandis, to the payment obligations of the Revolving Lenders pursuant to this paragraph), and the Administrative Agent shall promptly remit to the applicable Issuing Bank the amounts so received by it from the Revolving Lenders. Promptly following receipt by the Administrative Agent of any payment from the Borrowers pursuant to this paragraph, the Administrative Agent shall distribute such payment to the applicable Issuing Bank or, to the extent that Revolving Lenders have made payments pursuant to this paragraph to reimburse such Issuing Bank, then to such Revolving Lenders and such Issuing Bank as their interests may appear. Any payment made by a Revolving Lender pursuant to this paragraph to reimburse any Issuing Bank for any LC Disbursement (other than the funding of ABR Revolving Loans or a Swingline Loan as contemplated above) shall not constitute a Loan and shall not relieve the Borrowers of their obligation to reimburse such LC Disbursement.",reimbursement
"Reimbursement. If (I) the Investor becomes involved in any capacity in any action, proceeding or investigation brought by any shareholder of the Company, in connection with or as a result of the consummation of the transactions contemplated by the Equity Line Transaction Documents, or if the Investor is impleaded in any such action, proceeding or investigation by any person (other than as a result of a breach of the Investor’s representations and warranties set forth in this Agreement); or (II) the Investor becomes involved in any capacity in any action, proceeding or investigation brought by the SEC against or involving the Company or in connection with or as a result of the consummation of the transactions contemplated by the Equity Line Transaction Documents (other than as a result of a breach of the Investor’s representations and warranties set forth in this Agreement), or if this Investor is impleaded in any such action, proceeding or investigation by any person, then in any such case, the Company will reimburse the Investor for its reasonable legal and other expenses (including the cost of any investigation and preparation) incurred in connection therewith, as such expenses are incurred. In addition, other than with respect to any matter in which the Investor is a named party, the Company will pay to the Investor the charges, as reasonably determined by the Investor, for the time of any officers or employees of the Investor devoted to appearing and preparing to appear as witnesses, assisting in preparation for hearings, trials or pretrial matters, or otherwise with respect to inquiries, hearing, trials, and other proceedings relating to the subject matter of this Agreement. The reimbursement obligations of the Company under this section shall be in addition to any liability which the Company may otherwise have, shall extend upon the same terms and conditions to any affiliates of the Investor that are actually named in such action, proceeding or investigation, and partners, directors, agents, employees, attorneys, accountants, auditors and controlling persons (if any), as the case may be, of Investor and any such affiliate, and shall be binding upon and inure to the benefit of any successors of the Company, the Investor and any such affiliate and any such person.",reimbursement
"Reimbursement. If the Issuing Bank shall make any LC Disbursement in respect of a Letter of Credit, the Borrower shall reimburse such LC Disbursement by paying to the Administrative Agent an amount equal to such LC Disbursement (i) not later than 11:00 a.m., Chicago time, on the date that such LC Disbursement is made, if the Borrower shall have received notice of such LC Disbursement prior to 9:00 a.m., Chicago time, on such date, or (ii) if such notice has not been received by the Borrower prior to such time on such date, then not later than 11:00 a.m., Chicago time, on the Business Day immediately following the day that the Borrower receives such notice; provided that, the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 or 2.05 that such payment be financed with a CBFR Borrowing in an equivalent amount and, to the extent so financed, the Borrower’s obligation to make such payment shall be discharged and replaced by the resulting CBFR Borrowing. If the Borrower fails to make such payment when due, the Administrative Agent shall notify each Revolving Lender of the applicable LC Disbursement, the payment then due from the Borrower in respect thereof and such Lender’s Applicable Percentage thereof. Promptly following receipt of such notice, each Revolving Lender shall pay to the Administrative Agent its Applicable Percentage of the payment then due from the Borrower, in the same manner as provided in Section 2.07 with respect to Loans made by such Lender (and Section 2.07 shall apply, mutatis mutandis, to the payment obligations of the Revolving Lenders), and the Administrative Agent shall promptly pay to the Issuing Bank the amounts so received by it from the Revolving Lenders. Promptly following receipt by the Administrative Agent of any payment from the Borrower pursuant to this paragraph, the Administrative Agent shall distribute such payment to the Issuing Bank or, to the extent that Revolving Lenders have made payments pursuant to this paragraph to reimburse the Issuing Bank, then to such Lenders and the Issuing Bank as their interests may appear. Any payment made by a Revolving Lender pursuant to this paragraph to reimburse the Issuing Bank for any LC Disbursement (other than the funding of CBFR Revolving Loans as contemplated above) shall not constitute a Loan and shall not relieve the Borrower of its obligation to reimburse such LC Disbursement.",reimbursement
"Reimbursement. If the Issuing Bank shall make any LC Disbursement in respect of a Letter of Credit, the Borrower shall reimburse such LC Disbursement by paying to the Administrative Agent an amount equal to such LC Disbursement not later than 12:00 noon, New York City time, on the date that such LC Disbursement is made, if the Borrower shall have received notice of such LC Disbursement prior to 10:00 a.m., New York City time, on such date, or, if such notice has not been received by the Borrower prior to such time on such date, then not later than 12:00 noon, New York City time, on the Business Day immediately following the day that the Borrower receives such notice, if such notice is not received prior to such time on the day of receipt; provided that the Borrower may, subject to the conditions to borrowing set forth herein, request in accordance with Section 2.03 or 2.05 that such payment be financed with an ABR Revolving Borrowing or Swingline Loan in an equivalent amount and, to the extent so financed, the Borrower’s obligation to make such payment shall be discharged and replaced by the resulting ABR Revolving Borrowing or Swingline Loan. If the Borrower fails to make such payment when due, the Administrative Agent shall notify each Revolving Lender of the applicable LC Disbursement, the payment then due from the Borrower in respect thereof and such Lender’s Revolving Percentage thereof. Promptly following receipt of such notice, each Revolving Lender shall pay to the Administrative Agent its Revolving Percentage of the payment then due from the Borrower, in the same manner as provided in Section 2.07 with respect to Revolving Loans made by such Lender (and Section 2.07 shall apply, mutatis mutandis, to the payment obligations of the Revolving Lenders), and the Administrative Agent shall promptly pay to the Issuing Bank the amounts so received by it from the Revolving Lenders. Promptly following receipt by the Administrative Agent of any payment from the Borrower pursuant to this paragraph, the Administrative Agent shall distribute such payment to the Issuing Bank or, to the extent that Revolving Lenders have made payments pursuant to this paragraph to reimburse the Issuing Bank, then to such Revolving Lenders and the Issuing Bank as their interests may appear. Any payment made by a Revolving Lender pursuant to this paragraph to reimburse the Issuing Bank for any LC Disbursement (other than the funding of ABR Revolving Loans or a Swingline Loan as contemplated above...",reimbursement
