clause_text,clause_type
Relationship of Parties. Nothing herein contained shall be deemed or construed to create a partnership or joint venture between the parties hereto and the services of the Company shall be rendered as an independent contractor and not as agent for the Purchaser.,relationship-of-parties
"Relationship of Parties. Nothing in this Agreement shall be deemed or construed by the parties or any third party as creating the relationship of principal and agent, partnership or joint venture between the parties, it being understood and agreed that no provision contained herein, and no act of the parties, shall be deemed to create any relationship between the parties other than the relationship set forth herein.",relationship-of-parties
"Relationship of Parties. Nothing contained in this Lease shall be deemed or construed by the parties hereto or by any third party to create the relationship of principal and agent, partnership, joint venturer or any association between Landlord and Tenant.",relationship-of-parties
"Relationship of Parties. You shall make available shares of the Funds only through us. In no transaction (whether of purchase or sale) shall you have any authority to act as agent for, partner of, or participant in a joint venture with us or with the Funds or any other entity having either a Selling Group Agreement or other Agreement with us.",relationship-of-parties
"Relationship of Parties. Contractor agrees and understands that the work/services performed under this Agreement are performed as an independent Contractor and not as an employee of the County and that Contractor acquires none of the rights, privileges, powers, or advantages of County employees.",relationship-of-parties
Relationship of Parties. 24.1 The parties agree that they are independent contractors and not partners or co-venturers and nothing contained herein shall be interpreted or construed otherwise.,relationship-of-parties
"Relationship of Parties. Nothing in this Agreement is intended or shall be deemed to constitute a partnership, agency, employer-employee or joint venture relationship between the Parties. No Party shall incur any debts or make any commitments for the other, except to the extent, if at all, specifically provided herein.",relationship-of-parties
"Relationship of Parties. Contractor shall be, and is, an independent contractor, and is not an employee or agent of the Judicial Council, and is not covered by any employee benefit plans provided to Judicial Council employees. Contractor is liable for the acts and omissions of itself, its employees, its Subcontractors and its agents. Nothing in this Agreement shall be construed as creating an employment or agency relationship between the Judicial Council and Contractor. Contractor will determine the method, details and means of performing the Work, including, without limitation, exercising full control over the employment, direction, compensation and discharge of all Subcontractors, agents, employees or other persons assisting Contractor in the performance of the Work. Contractor shall be solely responsible for all matters relating to the payment of Contractor’s employees, including but not limited to compliance with Medicare, social security, income tax withholding, unemployment and workers’ compensation laws and regulations, withholding for/providing of any and all employee benefits, and all other laws and regulations governing such matters. Neither party to this Agreement has any authority to enter into any contract or otherwise incur any liability in the name of, or on behalf of, the other party.",relationship-of-parties
"Relationship of Parties. Nothing herein contained shall be deemed or construed to create a partnership or joint venture between the parties. The duties and responsibilities of the Seller shall be rendered by them as independent contractors and not as an agent of Purchaser. The Seller shall have full control of all of its acts, doings, proceedings, relating to or requisite in connection with the discharge of its duties and responsibilities under this Agreement.",relationship-of-parties
"Relationship of Parties. Borrower and Lender acknowledge, understand and agree that the relationship between Borrower, on the one hand, and Lender, on the other, is, and at all time shall remain solely that of a borrower and lender. Lender shall not under any circumstances be construed to be a partner or a joint venturer of Borrower or any of its Affiliates; nor shall Lender under any circumstances be deemed to be in a relationship of confidence or trust or a fiduciary relationship with Borrower or any of its Affiliates, or to owe any fiduciary duty to Borrower or any of its Affiliates. Lender does not undertake or assume any responsibility or duty to Borrower or any of its Affiliates to select, review, inspect, supervise, pass judgment upon or otherwise inform Borrower or any of its Affiliates of any matter in connection with its or their Property, any Collateral held by Lender or the operations of Borrower or any of its Affiliates. Borrower and each of its Affiliates shall rely entirely on their own judgment with respect to such matters, and any review, inspection, supervision, exercise of judgment or supply of information undertaken or assumed by Lender in connection with such matters is solely for the protection of Lender and neither Borrower nor any Affiliate is entitled to rely thereon.",relationship-of-parties
