clause_text,clause_type
"Relationship of the Parties. The parties are independent contractors. This Agreement does not create a partnership, franchise, joint venture, agency, fiduciary or employment relationship between the parties.",relationship-of-the-parties
"Relationship of the Parties. The relationship between the parties is that of independent contractors. Nothing contained in this Agreement shall be construed as creating any agency, partnership, joint venture or other form of joint enterprise, employment or fiduciary relationship between the parties, and neither party shall have authority to contract for or bind the other party in any manner whatsoever.",relationship-of-the-parties
"Relationship of the Parties. The relationship between the Parties is and shall be that of independent contractors, and does not and shall not constitute a partnership, joint venture, agency or fiduciary relationship. Neither Party shall have the authority to make any statements, representations or commitments of any kind, or take any actions, that are binding on the other Party, except with the prior written consent of the other Party to do so. All Persons employed by a Party will be the employees of such Party and not of the other Party and all costs and obligations incurred by reason of any such employment shall be for the account and expense of such Party.",relationship-of-the-parties
Relationship of the Parties. 36.1 The relationship of the Parties under this Agreement shall be that of independent contractors and nothing herein shall be construed as creating any other relationship between the Parties.,relationship-of-the-parties
"Relationship of the Parties. Nothing contained in this Agreement shall be deemed to constitute a partnership, joint venture, or legal entity of any type between Pfizer and the Company, or to constitute one Party as the agent of the other. Moreover, each Party agrees not to construe this Agreement, or any of the transactions contemplated hereby, as a partnership for any tax purposes. Each Party shall act solely as an independent contractor, and nothing in this Agreement shall be construed to give any Party the power or authority to act for, bind, or commit the other Party.",relationship-of-the-parties
"Relationship of the Parties. Nothing herein contained shall be deemed or construed by the parties hereto, nor by any third party, as creating the relationship of principal and agent or of partnership or of joint venture between the parties hereto, it being understood and agreed that no provision contained herein, nor any acts of the parties hereto shall be deemed to create the relationship between the parties hereto other than the relationship of seller and buyer.",relationship-of-the-parties
"Relationship of the Parties. The status of a Party under this Agreement shall be that of an independent contractor. Nothing contained in this Agreement shall be construed as creating a partnership, joint venture or agency relationship between the Parties or, except as otherwise expressly provided in this Agreement, as granting either Party the authority to bind or contract any obligation in the name of or on the account of the other Party or to make any statements, representations, warranties or commitments on behalf of the other Party. All persons employed by a Party shall be employees of such Party and not of the other Party and all costs and obligations incurred by reason of any such employment shall be for the account and expense of such Party.",relationship-of-the-parties
"Relationship of the Parties. This Agreement provides for the making and repayment of Warehousing Advances by Lender (in its capacity as a lender) and Borrower (in its capacity as a borrower), for the payment of interest on those Warehousing Advances and for the payment of certain fees by Borrower to Lender. The relationship between Lender and Borrower is limited to that of creditor and secured party on the part of Lender and of debtor on the part of Borrower. The provisions of this Agreement and the other Loan Documents for compliance with financial covenants and the delivery of financial statements and other operating reports are intended solely for the benefit of Lender to protect its interest as a creditor and secured party. Nothing in this Agreement creates or may be construed as permitting or obligating Lender to act as a financial or business advisor or consultant to Borrower, as permitting or obligating Lender to control Borrower or to conduct Borrower’s operations, as creating any fiduciary obligation on the part of Lender to Borrower, or as creating any joint venture, agency, partnership or other relationship between Lender and Borrower other than as explicitly and specifically stated in the Loan Documents. Borrower acknowledges that it has had the opportunity to obtain the advice of experienced counsel of its own choice in connection with the negotiation and execution of the Loan Documents and to obtain the advice of that counsel with respect to all matters contained in the Loan Documents, including the waivers of jury trial and of punitive, consequential, special or indirect damages contained in Sections 11.16 and 11.17, respectively. Borrower further acknowledges that it is experienced with respect to financial and credit matters and has made its own independent decisions to apply to Lender for credit and to execute and deliver this Agreement.",relationship-of-the-parties
"Relationship of the Parties. Nothing in this Framework Agreement is intended to create a partnership, or legal relationship of any kind that would impose liability upon one Party for the act or failure to act of the other Party, or to authorise either Party to act as agent for the other Party. Neither Party shall have authority to make representations, act in the name of, or on behalf of, or to otherwise bind the other Party.",relationship-of-the-parties
"Relationship of the Parties. The parties hereunder are independent contractors. No party shall be deemed to be the agent, partner, joint venturer, franchisor or franchisee, or employee of MLS or have any authority to make any agreements or representations on the behalf of MLS. Each party shall be solely responsible for the payment of compensation, insurance, and taxes of its own employees.",relationship-of-the-parties
"Relationship of the Parties. This Agreement shall not be construed as creating any agency, partnership, joint venture, or any other form of association, for tax purposes or otherwise, between the parties. The parties shall at all times be and remain independent contractors. Except as expressly agreed to by the parties in writing, neither party shall have any right or authority, express or implied, to assume or create any obligation of any kind, or to make any representation or warranty, on behalf of the other party, or to bind the other party in any respect whatsoever.",relationship-of-the-parties
"Relationship of the Parties. Nothing contained in this Agreement is intended or is to be construed to constitute Elan and Newco as partners, or Elan as an employee of Newco, or Newco as an employee of Elan. Neither Party hereto shall have any express or implied right or authority to assume or create any obligations on behalf of or in the name of the other Party or to bind the other Party to any contract, agreement or undertaking with any third party.",relationship-of-the-parties
"Relationship of the Parties. Unless as otherwise agreed in writing, each Party shall bear its own costs incurred in the performance of its obligations under this Agreement without charge or expense to the other except as expressly provided in this Agreement. No employee or representative of a Party shall have any authority to bind or obligate the other Party to this Agreement for any sum or in any manner whatsoever, or to create or impose any contractual or other liability on the other Party without said Party’s approval. For all purposes, and notwithstanding any other provision of this Agreement to the contrary, each of the Parties’ legal relationship under this Agreement to the other Party shall be that of independent contractor.",relationship-of-the-parties
"Relationship of the Parties. This Agreement shall not be interpreted or construed to create an association, joint venture, or partnership or agency or any such other relationship between the Parties or to impose any partnership obligation or liability upon either Party and neither Party shall have any right, power or authority to enter into any agreement or undertaking for, or act on behalf of, or to act as or be an agent or representative of, or to otherwise bind, the other Party.",relationship-of-the-parties
