clause_text,clause_type
"Release. Cash Collateral (or the appropriate portion thereof) provided to reduce Fronting Exposure or other obligations shall be released promptly following (i) the elimination of the applicable Fronting Exposure or other obligations giving rise thereto (including by the termination of Defaulting Lender status of the applicable Lender (or, as appropriate, its assignee following compliance with Section 10.06(b)(vi))) or (ii) the Administrative Agent’s good faith determination that there exists excess Cash Collateral; provided, however, (x) that Cash Collateral furnished by or on behalf of a Loan Party shall not be released during the continuance of a Default or Event of Default (and following application as provided in this Section 2.15 may be otherwise applied in accordance with Section 8.03), and (y) the Person providing Cash Collateral and the L/C Issuer or Swing Line Lender, as applicable, may agree that Cash Collateral shall not be released but instead held to support future anticipated Fronting Exposure or other obligations.",release
"Release. EACH BORROWER HEREBY ACKNOWLEDGES THAT IT HAS NO DEFENSE, COUNTERCLAIM, OFFSET, CROSS-COMPLAINT, CLAIM OR DEMAND OF ANY KIND OR NATURE WHATSOEVER THAT CAN BE ASSERTED TO REDUCE OR ELIMINATE ALL OR ANY PART OF ITS LIABILITY TO REPAY THE OBLIGATIONS OR TO SEEK AFFIRMATIVE RELIEF OR DAMAGES OF ANY KIND OR NATURE FROM THE AGENT OR THE LENDERS. EACH BORROWER HEREBY VOLUNTARILY AND KNOWINGLY RELEASES AND FOREVER DISCHARGES THE AGENT AND THE LENDERS, THEIR PREDECESSORS, AGENTS, EMPLOYEES, SUCCESSORS AND ASSIGNS, FROM ALL POSSIBLE CLAIMS, DEMANDS, ACTIONS, CAUSES OF ACTION, DAMAGES, COSTS, EXPENSES, AND LIABILITIES WHATSOEVER, KNOWN OR UNKNOWN, ANTICIPATED OR UNANTICIPATED, SUSPECTED OR UNSUSPECTED, FIXED, CONTINGENT, OR CONDITIONAL, AT LAW OR IN EQUITY, ORIGINATING IN WHOLE OR IN PART ON OR BEFORE THE DATE THIS AMENDMENT IS EXECUTED, WHICH THE BORROWER MAY NOW OR HEREAFTER HAVE AGAINST THE AGENT AND THE LENDERS, THEIR PREDECESSORS, AGENTS, EMPLOYEES, SUCCESSORS AND ASSIGNS, IF ANY, AND IRRESPECTIVE OF WHETHER ANY SUCH CLAIMS ARISE OUT OF CONTRACT, TORT, VIOLATION OF LAW OR REGULATIONS, OR OTHERWISE, AND ARISING FROM ANY OF THE OBLIGATIONS, INCLUDING, WITHOUT LIMITATION, ANY CONTRACTING FOR, CHARGING, TAKING, RESERVING, COLLECTING OR RECEIVING INTEREST IN EXCESS OF THE HIGHEST LAWFUL RATE APPLICABLE, THE EXERCISE OF ANY RIGHTS AND REMEDIES UNDER THE AGREEMENT OR OTHER LOAN DOCUMENTS, AND NEGOTIATION FOR AND EXECUTION OF THIS AMENDMENT.",release
"Release. (a) In consideration of the agreements of Agent and Lenders contained herein and for other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, each Company, on behalf of itself and its successors, assigns, and other legal representatives, hereby absolutely, unconditionally and irrevocably releases, remises and forever discharges Agent and Lenders, and their successors and assigns, and their present and former shareholders, affiliates, subsidiaries, divisions, predecessors, directors, officers, attorneys, employees, agents and other representatives (Agent, each Lender and all such other Persons being hereinafter referred to collectively as the “Releasees” and individually as a “Releasee”), of and from all demands, actions, causes of action, suits, covenants, contracts, controversies, agreements, promises, sums of money, accounts, bills, reckonings, damages and any and all other claims, counterclaims, defenses, rights of set-off, demands and liabilities whatsoever (individually, a “Claim” and collectively, “Claims”) of every name and nature, known or unknown, suspected or unsuspected, both at law and in equity, which such Company or any of its successors, assigns, or other legal representatives may now or hereafter own, hold, have or claim to have against the Releasees or any of them for, upon, or by reason of any circumstance, action, cause or thing whatsoever which arises at any time on or prior to the day and date of this Amendment, including, without limitation, for or on account of, or in relation to, or in any way in connection with any of the Loan Agreement, or any of the other Loan Documents or transactions thereunder or related thereto.",release
"Release. Cash Collateral (or the appropriate portion thereof) provided to reduce Fronting Exposure or to secure other obligations shall be released promptly following (i) the elimination of the applicable Fronting Exposure or other obligations giving rise thereto (including by the termination of Defaulting Lender status of the applicable Lender (or, as appropriate, its assignee following compliance with Section 11.06(b)(vi))) or (ii) the determination by the Administrative Agent and the L/C Issuer that there exists excess Cash Collateral; provided, however, (x) any such release shall be without prejudice to, and any disbursement or other transfer of Cash Collateral shall be and remain subject to, any other Lien conferred under the Loan Documents and the other applicable provisions of the Loan Documents, and (y) the Person providing Cash Collateral and the L/C Issuer may agree that Cash Collateral shall not be released but instead held to support future anticipated Fronting Exposure or other obligations.",release
"Release. The Borrower hereby absolutely and unconditionally releases and forever discharges the Lender, and any and all participants, parent corporations, subsidiary corporations, affiliated corporations, insurers, indemnitors, successors and assigns thereof, together with all of the present and former directors, officers, agents and employees of any of the foregoing, from any and all claims, demands or causes of action of any kind, nature or description, whether arising in law or equity or upon contract or tort or under any state or federal law or otherwise, which the Borrower has had, now has or has made claim to have against any such person for or by reason of any act, omission, matter, cause or thing whatsoever arising from the beginning of time to and including the date of this Amendment, whether such claims, demands and causes of action are matured or unmatured or known or unknown.",release
"Release. The Borrowers hereby acknowledge and agree that: (a) neither they nor any of their Affiliates have any claim or cause of action against Agent or any Lender (or any of Agent’s or any Lender’s Affiliates, officers, directors, employees, attorneys, consultants or agents) and (b) Agent and each Lender have heretofore properly performed and satisfied in a timely manner all of their respective obligations to the Borrowers under the Loan Agreement and the Other Documents. Notwithstanding the foregoing, Agent and each Lender wish (and the Borrowers agree) to eliminate any possibility that any past conditions, acts, omissions, events or circumstances would impair or otherwise adversely affect any of Agent’s or such Lender’s rights, interests, security and/or remedies under the Loan Agreement and the Other Documents. Accordingly, for and in consideration of the agreements contained in this Agreement and other good and valuable consideration, each Borrower (for itself and its Affiliates and the successors, assigns, heirs and representatives of each of the foregoing) (each a “Releasor” and collectively, the “Releasors”) does hereby fully, finally, unconditionally and irrevocably release and forever discharge Agent, each Lender and each of their respective Affiliates, officers, directors, employees, attorneys, consultants and agents (each a “Released Party” and collectively, the “Released Parties”) from any and all debts, claims, obligations, damages, costs, attorneys’ fees, suits, demands, liabilities, actions, proceedings and causes of action, in each case, whether known or unknown, contingent or fixed, direct or indirect, and of whatever nature or description, and whether in law or in equity, under contract, tort, statute or otherwise, which any Releasor has heretofore had or now or hereafter can, shall or may have against any Released Party by reason of any act, omission or thing whatsoever done or omitted to be done on or prior to the date hereof arising out of, connected with or related in any way to this Agreement, the Loan Agreement or any Other Document, or any act, event or transaction related or attendant thereto, or Agent’s or any Lender’s agreements contained therein, or the possession, use, operation or control of any of the assets of agreements contained therein, or the possession, use, operation or control of any of the assets of the Borrowers, or the making of any advance, or the management of such advance or the Collateral.",release
"Release. Effective as of the Effective Time, and without the necessity of any further action, each of the SFC Equityholders, for itself, and its members, shareholders, partners, heirs, personal representatives, successors and assigns (collectively, the “Releasors”), hereby forever fully and irrevocably releases and discharges Parent, the Surviving Corporation, the Company, and the Subsidiary, and each current or former director, officer, employee, representative, agent, attorney, successors and assigns of the Parent, the Surviving Corporation, the Company, and the Subsidiary (collectively, the “Released Parties”) from any and all actions, suits, claims, demands, debts, agreements, obligations, promises, judgments, or liabilities of any kind whatsoever in law or equity and causes of action of every kind and nature (including, claims for damages, costs, expense, and attorneys’, brokers’ and accountants fees and expenses) arising out of or related to events, facts, conditions or circumstances existing or arising prior to the Effective Time, which the Releasors have, shall or may have against the Released Parties, whether known or unknown, suspected or unsuspected, unanticipated as well as anticipated, accrued or unaccrued as of the Effective Time (collectively, the “Released Claims”), and hereby irrevocably agree to refrain from directly or indirectly asserting any claim or demand, commencing (or causing to be commenced) any suit, action, or proceeding of any kind, in any court or before any tribunal, against any Released Party based upon any Released Claim, and if any court, administrative agency or other forum assumes jurisdiction over any complaint or claim against any Released Party, then the Releasors shall promptly direct such court, agency or forum to withdraw from or dismiss the matter with prejudice. Notwithstanding the preceding sentence of this Section 7.17, the term “Released Claims” does not include, and the provisions of this Section 7.17 shall not release or otherwise diminish (i) the rights or obligations of any party set forth in or arising under any provisions of this Agreement or the agreements contemplated in connection herewith, or (ii) with respect to any Releasor who is an employee of the Company or its Subsidiary, (a) any vested amounts in any 401(k) account, or (b) any benefits due to, or on behalf of, such Releasor or his dependents pursuant to the terms of any health, dental, vision or other similar health-related plan of the Company or its ...",release
"Release. In consideration of the payments and benefits set forth in the Agreement (the receipt and sufficiency of which is hereby acknowledged), the Executive for himself, his heirs, beneficiaries, administrators, representatives, executors, trustees, agents, successors and assigns (collectively, the “Executive Releasors”) does hereby irrevocably and unconditionally release, acquit and forever discharge the Company and its parent entities, subsidiaries, affiliates and divisions and their successors and assigns, and each of their past, present and future trustees, officers, directors, partners, agents, shareholders, employees and employee benefit plans and their administrators and fiduciaries and their respective successors and assigns, including without limitation all persons acting by, through, under or in concert with any of them (collectively, the “Company Releasees”), and each of them from any and all charges, complaints, claims, liabilities, obligations, promises, agreements, controversies, damages, remedies, actions, causes of action, suits, rights, demands, costs, losses, debts and expenses (including attorneys’ fees and costs) of any nature whatsoever, known or unknown, whether in law or equity and whether arising under federal, state or local law and in particular including any claim for discrimination based upon race, color, ethnicity, sex, national origin, religion, disability, age (including without limitation (i) under the Age Discrimination in Employment Act of 1967 as amended by the Older Workers Benefit Protection Act (“ADEA”), Title VII of the Civil Rights Act of 1964 as amended by the Civil Rights Act of 1991, the Equal Pay Act of 1962, the Americans with Disabilities Act of 1990, Sections 1981 through 1988 of Title 42 of the United States Code, the Employee Retirement Income Security Act of 1974, the Family and Medical Leave Act and the National Labor Relations Act, (ii) for breach of contract (express or implied), discrimination, harassment, retaliation, wrongful discharge, detrimental reliance, defamation, whistle blowing, emotional distress, compensatory and/or punitive damages; and (iv) for attorneys’ fees, costs, disbursements and/or the like) or any other unlawful criterion or circumstance, which the Executive Releasors had, may now have, or may have or claim to have in the future against each or any of the Company Releasees by reason of any matter, cause, circumstance or thing occurring, done or omitted to be done from the beginning of the...",release
"Release. In exchange for the Severance Benefits and other consideration, to which you would not otherwise be entitled, and except as otherwise set forth in this Agreement, you, on behalf of yourself and, to the extent permitted by law, on behalf of your spouse, heirs, executors, administrators, assigns, insurers, attorneys and other persons or entities, acting or purporting to act on your behalf (collectively, the “Employee Parties”), hereby generally and completely release, acquit and forever discharge the Company, its parents and subsidiaries, and its and their officers, directors, managers, partners, agents, representatives, employees, attorneys, shareholders, predecessors, successors, assigns, insurers and affiliates (the “Company Parties”) of and from any and all claims, liabilities, demands, contentions, actions, causes of action, suits, costs, expenses, attorneys’ fees, damages, indemnities, debts, judgments, levies, executions and obligations of every kind and nature, in law, equity, or otherwise, both known and unknown, suspected and unsuspected, disclosed and undisclosed, arising out of or in any way related to my employment with the Company and separation therefrom, arising at any time prior to and including the execution date of this Agreement, including but not limited to: all such claims and demands directly or indirectly arising out of or in any way connected with your employment with the Company or the termination of that employment; claims or demands related to salary, bonuses, commissions, vacation pay, the right to receive additional grants of stock, stock options or other ownership interests in the Company, fringe benefits, expense reimbursements, severance pay, or any other form of compensation; claims pursuant to any federal, state or local law, statute, or cause of action; tort law; or contract law (individually a “Claim” and collectively “Claims”). The Claims you are releasing and waiving in this Agreement include, but are not limited to, any and all Claims that any of the Company Parties: · has violated its personnel policies, handbooks, contracts of employment, or covenants of good faith and fair dealing; · has discriminated against you on the basis of age, race, color, sex (including sexual harassment), national origin, ancestry, disability, religion, sexual orientation, marital status, parental status, source of income, entitlement to benefits, any union activities or other protected category in violation of any local, state or federal l...",release
"Release. Notwithstanding anything to the contrary in this Agreement, any payments or other benefits due under this Agreement as a result of Executive’s termination of employment are subject to Executive’s execution and delivery of a Release, (a) the Company shall deliver the Release to Executive within ten (10) business days following Executive’s Date of Termination, and the Company’s failure to deliver a Release prior to the expiration of such ten (10) business day period shall constitute a waiver of any requirement to execute a Release, (b) if Executive fails to execute the Release on or prior to the Release Expiration Date (as defined below) or timely revokes Executive’s acceptance of the Release thereafter, Executive shall not be entitled to any payments or benefits otherwise conditioned on the Release, and (c) in any case where Executive’s Date of Termination and the Release Expiration Date fall in two separate taxable years, any payments required to be made to Executive that are conditioned on the Release and are treated as nonqualified deferred compensation for purposes of Section 409A (as defined below) shall be made in the later taxable year. For purposes of this Section 7, “Release Expiration Date” shall mean the date that is twenty-one (21) days following the date upon which the Company timely delivers the Release to Executive, or, in the event that Executive’s termination of employment is “in connection with an exit incentive or other employment termination program” (as such phrase is defined in the Age Discrimination in Employment Act of 1967), the date that is forty-five (45) days following such delivery date. To the extent that any payments of nonqualified deferred compensation (within the meaning of Section 409A (as defined below)) due under this Agreement as a result of Executive’s termination of employment are delayed pursuant to this Section 7, such amounts shall be paid in a lump sum on the first payroll date following the date that Executive executes and does not revoke the Release (and the applicable revocation period has expired) or, in the case of any payments subject to Section 7(c), on the first payroll period to occur in the subsequent taxable year, if later.",release
